ISBN,書籍簡介
9789860511369,"

本書是2016年台灣文學獎得獎作品，內容包括：圖書類長篇小說、散文；創作類劇本及原住民新詩作品結集。
                    
"
9789865321499,"

以旅誌的方式，介紹臺灣人權相關景點，讓讀者編走邊讀，認識臺灣白色恐怖時期的故事和空間。
                    
"
9781010402619,"

本書利用蔣中正日記、蔣中正總統文物等相關檔案資料，呈現譜主蔣中正一生事蹟。其體例採綱目體，以一條綱目為一事，綱對該事作提要，目再對該事作簡述，並於編年體架構下，兼採記事本末，使讀者略為明晰事件之來龍去脈。譜主蔣中正，書中將其還原成客觀的歷史人物，一律稱「先生」，他人則例用本名，又為使立場公正，行文不採「匪」、「逆」、「偽」等負面稱呼。考量方便讀者查考原始史料，所收史料原文較多，因而刪削去取，仍有所不足，故以「年譜長編」稱之，以為後人編纂完整年譜或傳記作張本。
                    
"
9789860446166,"

好書大家讀評選活動評選每一本好書，標示適讀年級，並請評委對所推薦的好書撰寫評介。本書收錄2013年好書大家讀活動之優良少年兒童讀物書單及導讀，為家長、學校、圖書館提供值得信賴的好書資料，擴展好書推廣之效能。

"
9781010302681,"

本書利用蔣中正日記、蔣中正總統文物等相關檔案資料，呈現譜主蔣中正一生事蹟。其體例採綱目體，以一條綱目為一事，綱對該事作提要，目再對該事作簡述，並於編年體架構下，兼採記事本末，使讀者略為明晰事件之來龍去脈。譜主蔣中正，書中將其還原成客觀的歷史人物，一律稱「先生」，他人則例用本名，又為使立場公正，行文不採「匪」、「逆」、「偽」等負面稱呼。考量方便讀者查考原始史料，所收史料原文較多，因而刪削去取，仍有所不足，故以「年譜長編」稱之，以為後人編纂完整年譜或傳記作張本。
                    
"
9789860440041,"

國立公共資訊圖書館為全國公共圖書從業人員每年規劃不同研習主題課程，培養並增進圖書館員服務態度及專業知能，本書為研習授課講師將講授內容以更周延文字稿呈現，製作成專輯，出版主題為圖書館經營及推廣閱讀。
                    
"
9789860534986,"

蘇花改工程發現漢本遺址，從搶救發掘出土研究的文化發展脈絡中擁有多文化層之豐富內涵，解釋臺灣新石器時代晚期發展至金屬器時代之變遷，在不同層位發現豐富之金屬器、玻璃、瑪瑙等外來物質，其文化堆積內涵之特殊性，並推測當時漢本人具有高溫技術，以及完整特殊的聚落型態與埋葬形式，可作為研究現代原住民文化的重要參照。本書將現階段已發掘之局部成果展現於全民眼前，以蘭陽博物館空間進行教育展示，從推廣考古教育為出發點，首度公開發表漢本考古遺址之局部發掘成果，本書將展覽現場的資料集結成特展專輯出版，讓博物館的展覽得以持續性推展，延伸博物館公共考古教育的推廣效應。
                    
"
9789860507881,"

為培養下一代珍惜與愛護淡水的文化遺產，我們邀請淡水地區國中小學教師及專家學者，規劃一系列淡水世界遺產教材。國小從生活層面著手，介紹馬偕的故事，福佑宮、鄞山寺建築與漢人聚落的發展，淡水紅毛城、滬尾?臺等防禦設施與清法戰爭；國中則銜接國小的教材，進一步談到淡水的漢、洋、日聚落風格，以及世界遺產的概念，並探討淡水及臺灣世界遺產淺力點的價值。
                    
"
9789860465204,"

荷蘭人17世紀在臺約40年的檔案記錄—荷蘭聯合東印度公司檔案，於今多庋藏荷蘭海牙國立檔案館之中，臺灣文獻館擇取該檔案中的長官書信部分，包含曾於澎湖築堡駐紮之雷爾松司令官迄派駐來臺之十二任長官送交巴達維亞城總督的書信，做一連串的原檔整理及中譯，可說是對臺灣早期歷史最重要而關鍵的入門史料，本書即為其中第4任長官普特曼斯的1-11封書信原檔之整理及中文譯註，譯文前為凡例、導言及圖片。

"
9789860465211,"

荷蘭人17世紀在臺約40年的檔案記錄—荷蘭聯合東印度公司檔案，於今多庋藏荷蘭海牙國立檔案館之中，臺灣文獻館擇取該檔案中的長官書信部分，包含曾於澎湖築堡駐紮之雷爾松司令官迄派駐來臺之十二任長官送交巴達維亞城總督的書信，做一連串的原檔整理及中譯，可說是對臺灣早期歷史最重要而關鍵的入門史料，本書即為其中第4任長官普特曼斯的12-24封書信原檔之整理及中文譯註。

"
