ISBN,書籍簡介
9781625032799,"

本書提供新加坡廣為人知涵蓋多個種族的節慶教學案例介紹，並框架出節慶教學活動進行的方向與脈絡。節日的介紹以普遍化的知識以及在幼稚教育中所代表的價值作為背景書寫，提供給幼稚園教師簡潔卻有情感的閱讀文字，以及可在幼稚園運作的簡單教學活動數則不等，給予幼稚園教師靈感，教師可以根據任教班級幼兒的年齡及程度，將書中提供的教案加以延伸、修改，在班級中進行，各節慶教案之間也可以互相流轉、改造。本書並配搭有教學工具《來！來過節—新加坡學前節慶教材》，此套教學工具的設計配合本書十三個節日，可作為教師節慶教學時的輔助，教學工具包含可作為教室佈置背景的節慶圖案中型佈景六幕，及大型如舞臺佈景的圖像四幕，教師可再從教學工具中的近百個節慶元素，展開相關的故事說明，設計與幼兒互動的扮演、語文遊戲等。
                    
"
9781625032423,"

糖尿病、氣喘等慢性病通常被認為是遺傳來的、是不能治癒、只能服藥控制的。事實上，這些慢性病幾乎是由於體質損壞所引起的，健康的體質具有營養轉化、再生自愈、環境平衡等六項整體能力，以應付與適應環境變化，由於人們受到「12項慢性病激發因數」的破壞體質，使得體質經由虛弱、血瘀、硬化的程式而逐漸喪失健康能力而得到慢性病，如果能採用「養生自療八法則」以複健「受損的體質」，則慢性病往往是可以改善或痊癒的。這個研究成果的論述將運用於體質系列三本書中的另外兩本『解密糖尿病體質』與『解密疑難雜症體質』。本書提供大量的案例與相片，以佐證本療法的通用性和正確性。
                    
"
9781625032430,"

根據「解密慢性病體質」的研究成果，糖尿病是由於體質損壞而失去「控制血糖于正常範圍的能力」，糖尿病在「再生自愈療法(Self Regeneration Therapy SRT )」的處理過程中，可以將糖尿病分為虛弱、血瘀、及胰炎三種類型，而在降血糖改善的過程中，似乎相對應為「症狀多 快降快愈」、「症狀少 慢降慢愈」及「症狀多 兩段式降血糖」三種類型，而糖尿病症狀、病變等也會一起改善或痊癒，致於糖尿病病變能否痊癒，還需要視身體「再生自愈」能力復原的狀況而定，即使不能痊癒，也可以達到「某種程度改善後」，病變惡化的速度變得很緩慢(幾乎是停止惡化)。就糖尿病時間軸來說，起初的糖尿病患者雖然可以分為三種類型，但是，隨著病情惡化，會兼有另外ㄧ型，到了糖尿病末期，往往三型混雜而難以用化學藥物控制病情。糖尿病即使到「腎病變」末期，「再生自愈療法」依然可以改善症狀與體力精神、提高生活品質，對於患者與家庭都有很大的幫助。本書提供72 案例與129張像片以證明再生自愈療法的可行性與真實性。
                    
"
9781625032447,"

根據「解密慢性病體質」與「解密糖尿病體質」的研究，人們會由健康而「罹患」慢性病是因為體質受到損壞，使身體逐漸喪失某一項功能的現象，例如…當身體喪失「控制血糖穩定于正常範圍的能力」，他將可能得到糖尿病。同樣的，當身體喪失「控制血壓穩定于正常範圍的能力」，他將可能得到高血壓病。由於身體功能有數千種以上，當健康體質受到破壞，即可能得到「只能控制 無法治癒」的慢性病，當多種慢性病糾纏的時候，就形成多變化的「疑難雜症」。治好「疑難雜症」的方法是：在妥善控制病情的狀況下，兼著採用「養生自療八法則」養生調理身體以修復受損的體質，從難治的「三年多的手指潰爛」(案例024)到命危的「心臟衰竭」(案例069)等，本書記載逾百個「疑難雜症」修復的案例及相片，以提供讀者參考。「疑難雜症」即使到末期，兼著使用「再生自愈療法」依然可以改善症狀與體力精神、提高生活品質，對於患者與家庭都有很大的幫助。
                    
"
9781625032225,"

《從剩女到蜜女》是一本極其難得的指導基督徒未婚單身女子的書籍，值得每一位等候婚姻的基督徒姐妹閱讀。此書將改變你的一生。如今談剩女的不少，但關注教會內剩女現象的不多；研究剩女的不少，但自身經歷過從“從剩女”到“蜜女”的基督徒更是不多。單身姐妹該如何走過這段婚戀之旅？本書將會為你提供基於聖經，切合實際的答案。
                    
"
9781625032263,"

本書是美國張文文牧師透過網路與華人基督徒的知性對話。涉及到生活，學業，愛情，婚姻，事業，家庭等各個方面。作者以其過去在中國生活的試煉經歷以及《聖經》的知識，用心輔導和幫助了許多的姐妹。此書如同讚美之衣護翼這來自全球帶著無數憂傷的心靈。閱讀此書有心靈醫治的功效，這是許多人已經見證的。
                    
"
9781625032133,"


	2008年8月“康氏信息醫學” 第一版曾由中國古書藉出版社發行，本次為第三版，此書是融合中醫學、西醫學、順勢醫學之三融合著作，附有王雪苔序文。

	《康氏信息》醫學的診斷與治療特點：

	一、中西醫有機地融合
	康氏資訊醫學是以哲學思想〔中庸思想〕作指導，新理論〔資訊理論、系統論〕為基礎，並運用新思想和新方法〔順勢醫學、福爾電針〕將中西醫有機地融合在一起。如何融合？康氏資訊醫學將順勢醫學原理作為粘合劑，福爾電針——儀器和檢測點為工具，將中醫的基礎學科〔陰陽、五行、臟腑辨證、…〕與西醫的基礎學科〔特別是解剖學、生理學、病理學、…〕，以及中醫和西醫的臨床學科有機地融合起來，構成“病因病變相關鏈”，從而將中西醫有機地融合在一起。在此強調一下，只能依靠中醫的陰陽五行，臟腑、經絡等等辨證才能找出此病人的“病因病變相關鏈”。

	二、找出此病人的“病因病變相關鏈”此點極重要，對醫者和病人都有極大好處 。
	1.對醫生——A.能一目了然地從整體認知病人的病情。B.便於選藥配方。C.便於對病人解說病情。D.將每次看病的“病因病變相關鏈”進行比較，能很清楚地知道病情的進展。
	2.對病人——A.容易理解自己的病情。B.容易從“病因病變相關鏈”圖看到自己病情的進展情況，使之對疾病的康復更具信心。

	三、診斷疾病時，首先找出病因。找出病因之前，盡可能清除影響機體的一切外界因素。其次, 找出各病變器官，以及各病變器官之間的相互關係與主次關係，這就是著者提出的“病因病變相關鏈”。這只能依靠中醫的陰陽五行，臟腑、經絡等等辨證才能找出。

	四、治療疾病時，其重點為: (1) 治療病因；（2）修復病變，根據著者的“病因病變相關鏈”，抓住主要病變進行治療，不管次要者，會不治自愈，就可達到治療全身的目地。（3）由淺入深的層次治療。將症狀之治療放在次要地位。（4）為病人所處方的藥物是先經檢測，證實對病人的各組織器官皆無副作用，才將此藥給病人使用。也可說，所處方的藥物是針對此病人、此時該服用的藥物，是極有針對性的。

	五、本書上下2冊共分四部分。第一、二部分為基礎篇與臨床篇。為“康氏資訊醫學---中醫、西醫、順勢醫學三融合”。不是採用中醫診斷加西醫診斷，中藥加西藥的結合方法。此二部分重點突出中醫、西醫、順勢醫學的融合過程，教導如何診治病人。第三、四篇為中國經脈穴與福爾解剖檢測點結合篇。即文字結合與經脈穴位彩色圖譜結合，是目前針灸唯一如此的結合本。再者，此中國經脈穴與中國大陸者不同，它是中、日、韓三國經3年10次討論決定的“國際標準化針灸經穴，361穴中、日、韓三國一致穴”。另外，還有5個穴位未統一意見。第三、四篇是中醫、西醫、順勢醫學者的工具，必須具備。對針灸醫師而言， 可說更為重要。在中國大陸絕大多數的針灸醫師都學習過中西醫的基礎知識，當然知道西醫解剖學、組織學的含義。如果針灸師能用第一、二篇的方法診斷病人，配合中國針穴與福爾解剖檢測點進行治療，其療效之快，真不可思議。因此，本書也可說是中西醫結合醫師和針灸醫師應備的手冊。
	此書是著者60餘年的經驗總結，是一本較好的教科書。不但為你講清原理，一步一步的教你如何診治，還培訓與發揮你的智慧與想像力。

"
9781625032140,"


	2008年8月“康氏信息醫學” 第一版曾由中國古書藉出版社發行，本次為第三版，此書是融合中醫學、西醫學、順勢醫學之三融合著作。《下冊》附上中國前世界針灸學會聯合會第二屆主席、中國針灸學會副會長、中國中醫研究院副院長王雪苔教授閱讀本書後給予的書信評論。

	《康氏信息》醫學的診斷與治療特點：

	一、中西醫有機地融合
	康氏資訊醫學是以哲學思想〔中庸思想〕作指導，新理論〔資訊理論、系統論〕為基礎，並運用新思想和新方法〔順勢醫學、福爾電針〕將中西醫有機地融合在一起。如何融合？康氏資訊醫學將順勢醫學原理作為粘合劑，福爾電針——儀器和檢測點為工具，將中醫的基礎學科〔陰陽、五行、臟腑辨證、…〕與西醫的基礎學科〔特別是解剖學、生理學、病理學、…〕，以及中醫和西醫的臨床學科有機地融合起來，構成“病因病變相關鏈”，從而將中西醫有機地融合在一起。在此強調一下，只能依靠中醫的陰陽五行，臟腑、經絡等等辨證才能找出此病人的“病因病變相關鏈”。

	二、找出此病人的“病因病變相關鏈”此點極重要，對醫者和病人都有極大好處 。
	1.對醫生——A.能一目了然地從整體認知病人的病情。B.便於選藥配方。C.便於對病人解說病情。D.將每次看病的“病因病變相關鏈”進行比較，能很清楚地知道病情的進展。
	2.對病人——A.容易理解自己的病情。B.容易從“病因病變相關鏈”圖看到自己病情的進展情況，使之對疾病的康復更具信心。

	三、診斷疾病時，首先找出病因。找出病因之前，盡可能清除影響機體的一切外界因素。其次, 找出各病變器官，以及各病變器官之間的相互關係與主次關係，這就是著者提出的“病因病變相關鏈”。這只能依靠中醫的陰陽五行，臟腑、經絡等等辨證才能找出。

	四、治療疾病時，其重點為: (1) 治療病因；（2）修復病變，根據著者的“病因病變相關鏈”，抓住主要病變進行治療，不管次要者，會不治自愈，就可達到治療全身的目地。（3）由淺入深的層次治療。將症狀之治療放在次要地位。（4）為病人所處方的藥物是先經檢測，證實對病人的各組織器官皆無副作用，才將此藥給病人使用。也可說，所處方的藥物是針對此病人、此時該服用的藥物，是極有針對性的。

	五、本書上下2冊共分四部分。第一、二部分為基礎篇與臨床篇。為“康氏資訊醫學---中醫、西醫、順勢醫學三融合”。不是採用中醫診斷加西醫診斷，中藥加西藥的結合方法。此二部分重點突出中醫、西醫、順勢醫學的融合過程，教導如何診治病人。第三、四篇為中國經脈穴與福爾解剖檢測點結合篇。即文字結合與經脈穴位彩色圖譜結合，是目前針灸唯一如此的結合本。再者，此中國經脈穴與中國大陸者不同，它是中、日、韓三國經3年10次討論決定的“國際標準化針灸經穴，361穴中、日、韓三國一致穴”。另外，還有5個穴位未統一意見。第三、四篇是中醫、西醫、順勢醫學者的工具，必須具備。對針灸醫師而言， 可說更為重要。在中國大陸絕大多數的針灸醫師都學習過中西醫的基礎知識，當然知道西醫解剖學、組織學的含義。如果針灸師能用第一、二篇的方法診斷病人，配合中國針穴與福爾解剖檢測點進行治療，其療效之快，真不可思議。因此，本書也可說是中西醫結合醫師和針灸醫師應備的手冊。
	此書是著者60餘年的經驗總結，是一本較好的教科書。不但為你講清原理，一步一步的教你如何診治，還培訓與發揮你的智慧與想像力。

"
9781625031617,"

我是大學中文系畢業，都說中文系的人喜歡寫詩，可我年青時代卻喜歡搞發明，可謂不務正業。其實，寫詩與搞發明有如孿生兄弟，都是因於愛胡思亂想。詩人往往是些喜愛幻想和激情勃發的人，詩人每遇美好事物，總是容易觸景生情，產生靈感，於是浮想聯翩，佳句噴薄而出。而我是過於喜愛“堅如磐石，穩如泰山”這樣的頑固，缺少了詩人的激情，於是寫不出好詩；可卻多了一些愛幻想的習慣，於是，噴薄不出激情的詩篇，卻噴射出了一些對生活用品的異想天開。其實，這也和寫詩一樣，詩人一見美好景色就激動，就好詩連篇；我是一見哪樣物品用著不好使就激動，就開始想像怎麼去改造它。算下來，過去已發表出去數百項“小發明”文章，並稀裡糊塗地獲得了三十多項專利。過去有朋友問我：“你搞這些要花多少時間？有什麼用？”我知道朋友們的好意，怕我浪費時間。其實，寫順手了，有許多小發明從突發奇想到坐下來寫成文字，前後也不過十幾分鐘的時間。我也曾多次克制自己，去幹點正事，不要在胡思亂想上花費太多時間。可是，已形成的愛好猶如一股泉水，你越壓它越湧，實在是不吐不快。為了自我安慰，我現竟找出了三條理由，能夠說明搞小發明的好處。第一，搞發明有如寫詩，都是一種愛好，一種精神上的創造，自得其樂，其樂無窮。而寫詩人們已認可，不會說他是浪費時間；搞發明人們早晚也會認可。第二，搞發明能培養人們的創造性思維。當今社會是知識經濟的社會，需要人們不斷地創新，不斷地發現，一項好的發明勝過千百萬人的晝夜苦幹。第三，搞發明不僅是一種精神上的享受，搞不好，還會轉化成取之不盡的物質財富。世界上依靠發明創造成功的例子不勝枚舉。有了這些解釋，似乎便有些心安理得了。有人問我，你是學中文的，怎麼能想出這麼多技術性的發明來。我能理解人們的這種疑惑。因為世界上工程師有成千上萬，而發明家卻寥寥無幾，因此人們往往把發明創造想得神乎其神，一提發明家就是愛迪生、愛因斯坦，仿佛那只是少數科學家的事情。其實，世界上很多的發明都是外行人想出來的。正如人們所說“無知者最無畏”，因為其無知，才敢胡思亂想，才能擺脫傳統的窠臼，取得意想不到的突破。生活中點點滴滴皆可成發明，人們只要勤於思考，都可成為發明人。你知道鉛筆嗎？最早的鉛筆是圓形的，放在桌上容易滾動，掉到地上摔壞，因此有人就發明了六棱形鉛筆，使其不易滾動，並申請了專利。這是一個多麼簡單的想法啊，可是發明人卻靠這項專利的轉讓費吃了一輩子。還有不乾膠、呼拉圈、創可貼等等，多少人在驚歎：“就這麼簡單的東西，我過去為什麼沒有想到？”其實，很多發明就如一層窗戶紙，一捅就破，可是很多人受習慣思維的影響，一輩子生活在黑屋子裡，就是不知道去捅破這層窗戶紙。據說，發明柯達彩色膠捲的竟是兩個不懂科學的音樂家。很多時候，專業人員往往容易為固有的思維模式和現行的條條框框所限；外行人卻敢於隨心所欲地去想，以至於打破常規，搞出一些讓人們意想不到的奇跡來。我過去曾認為，世界上聰明人那麼多，該想的主意都讓人們想遍了，不可能再有新的發明讓你去想了。後來我才明白，世界的發展是無止境的，永遠會有新生事物湧現，你不可能搞高深的技術，生活中最簡單的用品也夠你設計一輩子的。我看到了一篇報導，教育進展國際評估組織  對世界上二十一個國家的調查顯示，中國孩子的計算能力在世界上排名第一，可是創造力卻排名倒數第五。在美國很多中國留學生都有這種感受，要論學習成績，中國學生無以倫比；可是論動手能力和創造力，中國學生就遠不如美國學生了。諾貝爾獎和國際講壇帶有創造性的文論也總是與中國人無緣。是中國人缺乏想像力嗎？不是。是我們的教育制度過於偏重基礎知識的教學，用大量的考試把學生壓得喘不過氣來。即使一些孩子具有發明潛質，也被這樣沉重的學習壓力弄得心源枯竭了。很多時候，孩子初期的發明思想猶如一個小火花，需要鼓勵，需要引導，這樣他的思想火花就會越燃越大，最後變成燎原大火；你一下子把這火花吹滅了，他就永遠不再燃起了，很多孩子的創造性就是這樣夭折的。於是，我產生一種想法，我要把我過去的發明經歷和小發明文章編成一本書，專門寫給中小學生看，去啟發他們的思想，激發他們的靈感，從小培養其創造性的思維。我要讓他們感到，有這麼一個笨叔叔，中小學在文革時期沒有學到知識，沒有一些數理化基礎，卻能搞出這麼多小發明來；你們那麼聰明，從小就有好的數理化基礎，難道不能搞出一大堆的發明創造來嗎？也許你的某個發明賺了大錢，也讓你的爸爸媽媽舒舒服服地享用一輩子。說起我搞發明的起因，最早是在上世紀90年代初，那時妻子上下班都騎車，晚上天黑我不放心，經常去接。我在想，如果能有一種小發射器攜帶在身上，一遇緊急情況按動按鈕，發射台就會根據接收到的信號測定其方位，派員警前去解救。這樣，婦女外出不就放心了嗎？於是還真設想了幾個月，寫出了一整套方案，並找到一些電子公司去請教他們的意見。
                    
"
9789862215685,"

　　流行的趨勢使得現今的成革遠離厚顏料膏的塗飾，漸漸地轉移至操作較複雜，且僅能摻入少許顏料膏為輔的苯胺塗飾或苯染革，再施予手感修正的噴飾。由於這種原因，所以現在的染色都要求染色後的色調能儘量地和「樣版色」接近，更要求提高各種堅牢度。換言之，現在我們所見到有關染色的種種問題，不再是於染色後，再使用塗飾工藝的顏料膏加以糾正色調即可，而是講求染色不僅要能符合色版的色調及均勻，而且在各方面的堅牢度也都要能符合要求。因此不僅可以提高成革的價值，尚能節省塗飾工藝上顏料膏及樹脂使用量的成本。
                    
"
