ISBN,書籍簡介
4712839709561,"

[本書是《閱讀訓練百分百》菊8開大字版]低年級的小朋友，認識的詞彙不多，編寫這一類讀物，困難重重。因此，編者在編寫文章時，盡量配合低年級小朋友的語文程度，在「用詞」及「句法」方面，下了很多功夫。從每篇一、兩百字的短文中，要出幾道題目評量小朋友的語文程度，是相當棘手的問題。編者儘量借重注音符號，讓小朋友能夠充分理解。在所出的題目中，包括了應用、思考、推理和記憶等能力的評量，可以說各方面都顧到了。小朋友手上如果擁有本書，對於寫作和演說能力的培養，也很有幫助。小朋友在做題目之前，最好把文章多讀幾遍，了解得越多，答對的題目就越多，閱讀本書的時候，也會覺得趣味盎然。
                    
"
4712839705570,"

成語故事產生於不同的歷史背景，它是獨具文化與知識領域，寓意精闢而深刻，且為眾人所熟知的優美辭句。小朋友正在學習的階段，必須先了解成語的意義，才能運用自如，給人美好的印象。編者有鑒於此，特地編選六冊「成語故事閱讀評量」，希望小朋友無師自通，歡歡喜喜地學習。從閱讀故事中，藉著「想想看」，知道成語的含義；從「填填看」中，學會成語的用法；並且讓小朋友「動動腦」，深究故事的內容。如此反覆練習，對小朋友實在有很大的幫助。本書的成語故事，每篇都經過編者精心改寫，非常適合小朋友閱讀。所以，本書是小朋友學習上最佳的伴侶，希望大家廣為介紹，讓好書跟好朋友一起分享。
                    
"
4710562780086,"

本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設計了看圖作文、作文遊戲等單元，以啟發學童對於寫作的興趣；同時選編了與單元主題相關的閱讀文章，並設計評量單元，以幫助並檢測學童對於文章的理解。本書所編寫的主題均貼近國小學生的生活範圍，適合做為國語科的課外輔助教材，對於小學生國語文能力的增進有相當助益。編寫過程，所有編者對於內容均細心斟酌，並用心校對，但疏漏之處仍恐在所難免，祈望讀者不吝給予批評與指教。
                    
"
4712839709745,"

成語是古人的智慧結晶，簡單明瞭又富含人生道理，也是現代人不可或缺的表達方式。在九年一貫課程當中，強調語文知識的靈活運用，所以成語自然而然受到特別的重視。以最有效的方法幫助國小學生學習成語，是我們編寫這套【成語故事悅讀動動腦】的主要目的。我們希望用簡潔的編輯形式及活潑的內容，增進學生的語文素養。【成語故事悅讀動動腦】共有六冊，每個年級一冊，每一冊均為五十個單元，單元的編排如下：一、解釋停看聽：針對成語的意義，做清楚的說明。二、例句模範生：透過種種生活化的舉例，了解成語的使用。三、成語填填樂：讓學生將該單元的成語寫一遍，加深學習印象。四、成語動動腦：各式各樣的練習題型，測試學生對於成語的吸收狀況。【成語故事悅讀動動腦】的特色，就是著重成語在日常生活上的實際應用，以及在語文領域的融會貫通。因此，同學們只要循序漸進持續學習，一定能夠很快地展現令人刮目相看的成績。
                    
"
4712839708984,"

低年級的小朋友，認識的詞彙不多，編寫這一類讀物，困難重重。因此，編者在編寫文章時，盡量配合低年級小朋友的語文程度，在「用詞」及「句法」方面，下了很多功夫。從每篇一、兩百字的短文中，要出幾道題目評量小朋友的語文程度，是相當棘手的問題。編者儘量借重注音符號，讓小朋友能夠充分理解。在所出的題目中，包括了應用、思考、推理和記憶等能力的評量，可以說各方面都顧到了。小朋友手上如果擁有本書，對於寫作和演說能力的培養，也很有幫助。小朋友在做題目之前，最好把文章多讀幾遍，了解得越多，答對的題目就越多，閱讀本書的時候，也會覺得趣味盎然。
                    
"
4712839708908,"

成語是古人的智慧結晶，簡單明瞭又富含人生道理，也是現代人不可或缺的表達方式。在九年一貫課程當中，強調語文知識的靈活運用，所以成語自然而然受到特別的重視。以最有效的方法幫助國小學生學習成語，是我們編寫這套「國小成語大考驗」的主要目的。我們希望用簡潔的編輯形式及活潑的內容，增進學生的語文素養。「國小成語大考驗」每個年級一冊，每一冊均為八十個單元，單元的編排如下：一、解釋停看聽：針對成語的意義，做清楚的說明。二、例句模範生：透過種種生活化的舉例，了解成語的使用。三、成語填填樂：讓學生將該單元的成語寫一遍，加深學習印象。四、實力大考驗：各式各樣的練習題型，測試學生對於成語的吸收狀況。「國小成語大考驗」的特色，就是著重成語在日常生活上的實際應用，以及在語文領域的融會貫通。因此，同學們只要循序漸進持續學習，一定能夠很快地展現令人刮目相看的成績。
                    
"
4712839706812,"

低年級的小朋友，認識的詞彙不多，編寫這一類讀物，困難重重。因此，編者在編寫文章時，盡量配合低年級小朋友的語文程度，在「用詞」及「句法」方面，下了很多功夫。從每篇一、兩百字的短文中，要出幾道題目評量小朋友的語文程度，是相當棘手的問題。編者儘量借重注音符號，讓小朋友能夠充分理解。在所出的題目中，包括了應用、思考、推理和記憶等能力的評量，可以說各方面都顧到了。小朋友手上如果擁有本書，對於寫作和演說能力的培養，也很有幫助。小朋友在做題目之前，最好把文章多讀幾遍，了解得越多，答對的題目就越多，閱讀本書的時候，也會覺得趣味盎然。
                    
"
4712839705464,"

本書是<2年級上冊>和<2年級下冊>的合訂本。編者鑑於目前社會上充斥暴力及貪婪的氣氛，人與人相處，缺乏包含和關懷的慈悲心。本書就是順應小朋友的需要而編寫的，共有三十七篇皆和品德教育有關的文章及故事，供小朋友閱讀。當小朋友讀完本書三十七篇文章及故事後，將會收到潛移默化的效果，他們待人會彬彬有禮，會愛護小動物，會變得更慈悲，更善良，對人對事不會再斤斤計較，而有包容和關懷的心。小朋友閱讀完後，可以考查一下自己的語文實力，所以在每一篇文章後面，附了五道題目，用來評量小朋友的了解程度。在篇後或有成語、詩詞或有諺語、俏皮話欣賞，可以增進小朋友的語文能力。
                    
"
4712839709196,"

本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設計了看圖作文、作文遊戲等單元，以啟發學童對於寫作的興趣；同時選編了與單元主題相關的閱讀文章，並設計評量單元，以幫助並檢測學童對於文章的理解。本書所編寫的主題均貼近國小學生的生活範圍，適合做為國語科的課外輔助教材，對於小學生國語文能力的增進有相當助益。編寫過程，所有編者對於內容均細心斟酌，並用心校對，但疏漏之處仍恐在所難免，祈望讀者不吝給予批評與指教。
                    
"
4712839708564,"

編者鑑於目前社會上充斥暴力及貪婪的氣氛，人與人相處，缺乏包含和關懷的慈悲心。本書就是順應小朋友的需要而編寫的，共有六十篇皆和品德教育有關的文章及故事，供小朋友閱讀。當小朋友讀完本書六十篇文章及故事後，將會收到潛移默化的效果，他們待人會彬彬有禮，會愛護小動物，會變得更慈悲，更善良，對人對事不會再斤斤計較，而有包容和關懷的心。小朋友閱讀完後，可以考查一下自己的語文實力，所以在每一篇文章後面，附了五道題目，用來評量小朋友的了解程度。在篇後或有成語、詩詞或有諺語、俏皮話欣賞，可以增進小朋友的語文能力。
                    
"
