ISBN,書籍簡介
4719742157021,"

本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文章內容有更明確的認識，依閱讀程度不同，從簡易到困難，透過閱讀文章的練習，奠定語文基礎，累積語文實力，加強理解進而增進閱讀素養。
                    
"
9789864298020,"

本書精選國小三年級應學的重要生字，從「字」的認識、「詞」的練習到「句」的創造，循序訓練孩子的文字運用能力。書中提供生字的部首及解釋、詞性變化練習、字句結構整理和活潑有趣的語文遊戲，讓孩子融會貫通，活學活用！
                    
"
9789577045140,"

國語文知識的養成，代表著表達、閱讀、寫作、組織能力的提升;但只是單項的加強，例如：字詞、成語、閱讀等等...，並不能完整提升國語文能力。編者有感於此，設計了一系列""循序漸進、創造性""的思考與練習，讓國小學生學習完整而有系統的國語文基礎。本系列共12本，分低、中、高年級，針對各年級應具備的知識，完整深入地強化國語文的能力。特 色 : ★全面引導字詞、句子組織、成語、寫作，完整提昇語文能力。 ★增加語文的應用，強化學生表達、閱讀及作文能力。★跳脫國語文制式題目，提供具思考與創意的題型。
                    
"
9789577045133,"

國語文知識的養成，代表著表達、閱讀、寫作、組織能力的提升;但只是單項的加強，例如：字詞、成語、閱讀等等...，並不能完整提升國語文能力。編者有感於此，設計了一系列""循序漸進、創造性""的思考與練習，讓國小學生學習完整而有系統的國語文基礎。本系列共12本，分低、中、高年級，針對各年級應具備的知識，完整深入地強化國語文的能力。特 色 : ★全面引導字詞、句子組織、成語、寫作，完整提昇語文能力。 ★增加語文的應用，強化學生表達、閱讀及作文能力。★跳脫國語文制式題目，提供具思考與創意的題型。
                    
"
9789577044907,"

結合語文與世界文化，視野與能力的提升！【閱讀新視界】一系列閱讀測驗書籍，以國小低、中、高年級程度區分，挑選世界各國最具代表性的人事物，以主題化分類設計。每冊五個主題，除本文外並結合語文、知識的練習題。以多元的角度，結合「閱讀能力」和「世界觀」將語文學習提升到另一境界。由淺至深的了解世界各地的風俗民情讓孩子「願閱讀」；豐富有趣的語文練習讓孩子「學閱讀」；最終能夠讓孩子「愛閱讀」，透過閱讀來增強語文理解能力及獲得課外知識。  特 色： ★文章題材廣，培養孩子的世界觀。 ★題目設計上由淺入深，提升孩子的語文能力。 ★活潑、有趣的版面和題型設計，達到寓教於樂的成果。
                    
"
9789577044914,"

結合語文與世界文化，視野與能力的提升！【閱讀新視界】一系列閱讀測驗書籍，以國小低、中、高年級程度區分，挑選世界各國最具代表性的人事物，以主題化分類設計。每冊五個主題，除本文外並結合語文、知識的練習題。以多元的角度，結合「閱讀能力」和「世界觀」將語文學習提升到另一境界。由淺至深的了解世界各地的風俗民情讓孩子「願閱讀」；豐富有趣的語文練習讓孩子「學閱讀」；最終能夠讓孩子「愛閱讀」，透過閱讀來增強語文理解能力及獲得課外知識。  特 色： ★文章題材廣，培養孩子的世界觀。 ★題目設計上由淺入深，提升孩子的語文能力。 ★活潑、有趣的版面和題型設計，達到寓教於樂的成果。
                    
"
9789577044921,"

結合語文與世界文化，視野與能力的提升！【閱讀新視界】一系列閱讀測驗書籍，以國小低、中、高年級程度區分，挑選世界各國最具代表性的人事物，以主題化分類設計。每冊五個主題，除本文外並結合語文、知識的練習題。以多元的角度，結合「閱讀能力」和「世界觀」將語文學習提升到另一境界。由淺至深的了解世界各地的風俗民情讓孩子「願閱讀」；豐富有趣的語文練習讓孩子「學閱讀」；最終能夠讓孩子「愛閱讀」，透過閱讀來增強語文理解能力及獲得課外知識。  特 色： ★文章題材廣，培養孩子的世界觀。 ★題目設計上由淺入深，提升孩子的語文能力。 ★活潑、有趣的版面和題型設計，達到寓教於樂的成果。
                    
"
4719742091011,"

本書選輯52篇適合中年級學童閱讀的中外寓言、童話及古詩，搭配生動有趣的插圖，引發孩子的閱讀興趣，使其能輕易融入故事情節。每篇文章內含一個成語，附上解釋及例句，讓孩子正確了解成語涵義，並靈活應用。此外本書更配合品格教育編寫，讓孩子在快樂閱讀中，潛移默化，建立良好的品德。
                    
"
4719742091707,"

國小中年級學童適用─本書精選常用成語、各類文章及造詞、造句訓練等內容，並設計活潑、有趣的遊戲式題型，增進小朋友的學習興趣，奠定扎實的語文基礎，提升語文能力。
                    
"
4719742091714,"

國小中年級學童適用─本書精選常用成語、各類文章及造詞、造句訓練等內容，並設計活潑、有趣的遊戲式題型，增進小朋友的學習興趣，奠定扎實的語文基礎，提升語文能力。
                    
"
4719742073543,"

本書由資深國小教師編寫、審定，內容包括字、詞和關聯詞共九十六個，每個語詞除了解釋、例句外，有些還列出近義詞、反義詞及辨析，指導孩子了解語詞的意義和正確用法，避免混淆、誤用，並提供造句練習空間，讓孩子立即練習，靈活應用。此外，書中附八回綜合練習和二回總復習，題型活潑、多樣化，增加孩子練習的機會，檢核學習成果，逐步累積語文實力。
                    
"
4719742065791,"

本書精選國小三年級應學的重要生字，從「字」的認識、「詞」的練習到「句」的創造，循序訓練孩子的文字運用能力。書中提供生字的部首及解釋、詞性變化練習、字句結構整理和活潑有趣的語文遊戲，讓孩子融會貫通，活學活用！
                    
"
4719742065739,"

本書是特別為三年級學童編訂的成語評量，按照成語的部首順序編排，標明首字的部首及筆劃數，並搭配生動的插圖及多變的練習題，讓孩子吸收成語的菁華。
                    
"
4719742065678,"

本書精選童話、詩詞、寓言、成語故事、偉人小傳及自然科學等各種多元的題材，其活潑的寫作風格能讓孩子更有興趣閱讀。文後設計活潑的測驗題型，有助孩子掌握文章重點，提升文學程度，輕鬆拿高分。
                    
"
9789577043337,"

特 色 : ★全面引導字詞、句子組織、成語、寫作，完整提昇語文能力。 ★增加語文的應用，強化學生表達、閱讀及作文能力。★跳脫國語文制式題目，提供具思考與創意的題型。 國語文知識的養成，代表著表達、閱讀、寫作、組織能力的提升;但只是單項的加強，例如：字詞、成語、閱讀等等...，並不能完整提升國語文能力。編者有感於此，設計了一系列""循序漸進、創造性""的思考與練習，讓國小學生學習完整而有系統的國語文基礎。本系列共12本，分低、中、高年級，針對各年級應具備的知識，完整深入地強化國語文的能力。
                    
"
9789577043740,"

特 色 : ★全面引導字詞、句子組織、成語、寫作，完整提昇語文能力。 ★增加語文的應用，強化學生表達、閱讀及作文能力。★跳脫國語文制式題目，提供具思考與創意的題型。 國語文知識的養成，代表著表達、閱讀、寫作、組織能力的提升;但只是單項的加強，例如：字詞、成語、閱讀等等...，並不能完整提升國語文能力。編者有感於此，設計了一系列""循序漸進、創造性""的思考與練習，讓國小學生學習完整而有系統的國語文基礎。本系列共12本，分低、中、高年級，針對各年級應具備的知識，完整深入地強化國語文的能力。
                    
"
9789577477682,"

九年一貫國語科必備最佳輔助教材 ● 本書針對三年級學童常用的字詞語句所編寫而成的。 ● 內容含括了字詞解釋、造詞示範之外，更設計語文練習題，讓學童將詞語上的學習，可以靈活運用出來，進而提升寫作能力，讓孩子作文越寫越好。 

"
9789577475992,"

本書特色　　依照中年級小朋友所需，精選適讀的成語１４０則。除了淺顯易懂的解釋和例句外，並著重於趣味性的學習題目。在加強遣詞、造句之外，更增進了小朋友的學習動力，激發自身潛藏的文學才華。

"
9789868256606,0
9789868256682,0
9789868256613,0
202010704961,0
202010800641,0
2020105006,0
202010600641,0
4071311200805,0
