ISBN,書籍簡介
4710562780123,"

本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設置了作文小百科單元，以啟發學童對於寫作的興趣；同時每單元均選編與單元主題相關的文章，增加學童閱讀的廣度，文後的評量題目可檢測學童對於文章的理解程度。本書所編寫的主題均貼近國小學生的生活範圍，適合做為國語科的課外輔助教材，對於小學生國語文能力的增進有相當助益。編寫過程中，編者對於內容均細心斟酌，並用心校對，但疏漏之處仍恐在所難免，祈望讀者不吝給予批評與指教。
                    
"
4712839709783,"

成語是古人的智慧結晶，簡單明瞭又富含人生道理，也是現代人不可或缺的表達方式。在九年一貫課程當中，強調語文知識的靈活運用，所以成語自然而然受到特別的重視。以最有效的方法幫助國小學生學習成語，是我們編寫這套【成語故事悅讀動動腦】的主要目的。我們希望用簡潔的編輯形式及活潑的內容，增進學生的語文素養。【成語故事悅讀動動腦】共有六冊，每個年級一冊，每一冊均為五十個單元，單元的編排如下：一、解釋停看聽：針對成語的意義，做清楚的說明。二、例句模範生：透過種種生活化的舉例，了解成語的使用。三、成語填填樂：讓學生將該單元的成語寫一遍，加深學習印象。四、成語動動腦：各式各樣的練習題型，測試學生對於成語的吸收狀況。【成語故事悅讀動動腦】的特色，就是著重成語在日常生活上的實際應用，以及在語文領域的融會貫通。因此，同學們只要循序漸進持續學習，一定能夠很快地展現令人刮目相看的成績。
                    
"
4712839709608,"

[本書是《閱讀訓練百分百》菊8開大字版]小朋友要想增進自己的語文能力和寫作技巧，最好的辦法是大量閱讀有益的書刊。所以編者撰寫了五十篇富有趣味性、機智性、啟發性、教育性的故事，供小朋友閱讀，相信小朋友們讀來，一定覺得津津有味。可是，一般小朋友在看完故事以後，很少人肯動腦筋下一番深思的功夫。編者為了讓小朋友看完故事以後，考查一下自己的語文實力，在每一篇文章後面，附了數道題目，用來評量小朋友的理解程度。這些題目，可以測出小朋友應用、推理、思考和記憶的能力。如果題目做得不很理想，不妨把文章多讀幾遍，多看看「題旨」和「詞句解釋」，它們能幫助你對文章做更深入的了解。在本書的末頁，附有各篇問題解答，供小朋友校對答案之用。編者敢斷言，當你做完這些題目以後，語文能力一定比以前提高很多。
                    
"
4712839709028,"

小朋友要想增進自己的語文能力和寫作技巧，最好的辦法是大量閱讀有益的書刊。所以編者撰寫了五十篇富有趣味性、機智性、啟發性、教育性的故事，供小朋友閱讀，相信小朋友們讀來，一定覺得津津有味。可是，一般小朋友在看完故事以後，很少人肯動腦筋下一番深思的功夫。編者為了讓小朋友看完故事以後，考查一下自己的語文實力，在每一篇文章後面，附了數道題目，用來評量小朋友的理解程度。這些題目，可以測出小朋友應用、推理、思考和記憶的能力。如果題目做得不很理想，不妨把文章多讀幾遍，多看看「題旨」和「詞句解釋」，它們能幫助你對文章做更深入的了解。在本書的末頁，附有各篇問題解答，供小朋友校對答案之用。編者敢斷言，當你做完這些題目以後，語文能力一定比以前提高很多。
                    
"
4712839708946,"

成語是古人的智慧結晶，簡單明瞭又富含人生道理，也是現代人不可或缺的表達方式。在九年一貫課程當中，強調語文知識的靈活運用，所以成語自然而然受到特別的重視。以最有效的方法幫助國小學生學習成語，是我們編寫這套「國小成語大考驗」的主要目的。我們希望用簡潔的編輯形式及活潑的內容，增進學生的語文素養。「國小成語大考驗」每個年級一冊，每一冊均為八十個單元，單元的編排如下：一、解釋停看聽：針對成語的意義，做清楚的說明。二、例句模範生：透過種種生活化的舉例，了解成語的使用。三、成語填填樂：讓學生將該單元的成語寫一遍，加深學習印象。四、實力大考驗：各式各樣的練習題型，測試學生對於成語的吸收狀況。「國小成語大考驗」的特色，就是著重成語在日常生活上的實際應用，以及在語文領域的融會貫通。因此，同學們只要循序漸進持續學習，一定能夠很快地展現令人刮目相看的成績。
                    
"
4712839708601,"

編者鑑於目前社會上充斥暴力及貪婪的氣氛，人與人相處，缺乏包含和關懷的慈悲心。本書就是順應小朋友的需要而編寫的，共有六十篇皆和品德教育有關的文章及故事，供小朋友閱讀。當小朋友讀完本書六十篇文章及故事後，將會收到潛移默化的效果，他們待人會彬彬有禮，會愛護小動物，會變得更慈悲，更善良，對人對事不會再斤斤計較，而有包容和關懷的心。小朋友閱讀完後，可以考查一下自己的語文實力，所以在每一篇文章後面，附了五道題目，用來評量小朋友的了解程度。在篇後或有成語、詩詞或有諺語、俏皮話欣賞，可以增進小朋友的語文能力。
                    
"
4712839707215,"

在這個3C產品充斥的年代，人與人之間最常用來溝通的管道，變成了網路；尤其是年輕人之間，更是習慣用手機或電腦來互傳訊息，彼此交流。因此，多數人都會使用「輸入法」來輸入中文。中文的輸入法通常是利用「字音」或「字形」來建構的。在臺灣，最常被使用的輸入法大概就是「注音輸入法」了；於是，「走投無路」經常就被打成「走頭無路」，「故步自封」成了「固步自封」，「可見一斑」成了「可見一般」…。如果是利用字形輸入法，也有可能把「緊迫盯人」打成像「緊迫釘人」這樣可怕的用詞。這些「同音字」、「形似字」的誤用，變成了學生作文上的弊病。一篇結構完整，堪稱賞心悅目的文章，如果出現太多錯別字，不免令人扼腕。而一場立論高妙，堪稱精彩絕倫的演說，如果把「盛飯」說成了「剩飯」，那豈不是令人嘆惜。認識「多音字」，不僅能讓我們讀出正確的字音，也讓我們對國字有更深入的理解。本書列出了許多基礎的「形似字」和「多音字」，極適合國小和國中的學生使用。不僅有助於學習辨析字音字形相類的國字，也能讓學生對於「字義」有更深一層的認識。同時，本書也列出許多容易誤寫、誤讀或誤解的成語，供學生提筆練習書寫。在隨堂練習中，也有許多字詞和成語的「形、音、義」辨別練習，用以檢測不足之處，提醒學生再三複習。字音字形是學習國語文的基礎，惟有基礎穩固了，對於修辭造句才能有正確無誤的發揮。因此，字音字形的訓練，是培養寫作能力的不二法門。同時，熟練字音字形也能提升對於文章的閱讀理解，可說是一舉數得。
                    
"
4712839707222,"

在這個3C產品充斥的年代，人與人之間最常用來溝通的管道，變成了網路；尤其是年輕人之間，更是習慣用手機或電腦來互傳訊息，彼此交流。因此，多數人都會使用「輸入法」來輸入中文。中文的輸入法通常是利用「字音」或「字形」來建構的。在臺灣，最常被使用的輸入法大概就是「注音輸入法」了；於是，「走投無路」經常就被打成「走頭無路」，「故步自封」成了「固步自封」，「可見一斑」成了「可見一般」…。如果是利用字形輸入法，也有可能把「緊迫盯人」打成像「緊迫釘人」這樣可怕的用詞。這些「同音字」、「形似字」的誤用，變成了學生作文上的弊病。一篇結構完整，堪稱賞心悅目的文章，如果出現太多錯別字，不免令人扼腕。而一場立論高妙，堪稱精彩絕倫的演說，如果把「盛飯」說成了「剩飯」，那豈不是令人嘆惜。認識「多音字」，不僅能讓我們讀出正確的字音，也讓我們對國字有更深入的理解。本書列出了許多基礎的「形似字」和「多音字」，極適合國小和國中的學生使用。不僅有助於學習辨析字音字形相類的國字，也能讓學生對於「字義」有更深一層的認識。同時，本書也列出許多容易誤寫、誤讀或誤解的成語，供學生提筆練習書寫。在隨堂練習中，也有許多字詞和成語的「形、音、義」辨別練習，用以檢測不足之處，提醒學生再三複習。字音字形是學習國語文的基礎，惟有基礎穩固了，對於修辭造句才能有正確無誤的發揮。因此，字音字形的訓練，是培養寫作能力的不二法門。同時，熟練字音字形也能提升對於文章的閱讀理解，可說是一舉數得。
                    
"
4712839707239,"

[本書是＜上冊＞和＜下冊＞的合訂本。]在這個3C產品充斥的年代，人與人之間最常用來溝通的管道，變成了網路；尤其是年輕人之間，更是習慣用手機或電腦來互傳訊息，彼此交流。因此，多數人都會使用「輸入法」來輸入中文。中文的輸入法通常是利用「字音」或「字形」來建構的。在臺灣，最常被使用的輸入法大概就是「注音輸入法」了；於是，「走投無路」經常就被打成「走頭無路」，「故步自封」成了「固步自封」，「可見一斑」成了「可見一般」…。如果是利用字形輸入法，也有可能把「緊迫盯人」打成像「緊迫釘人」這樣可怕的用詞。這些「同音字」、「形似字」的誤用，變成了學生作文上的弊病。一篇結構完整，堪稱賞心悅目的文章，如果出現太多錯別字，不免令人扼腕。而一場立論高妙，堪稱精彩絕倫的演說，如果把「盛飯」說成了「剩飯」，那豈不是令人嘆惜。認識「多音字」，不僅能讓我們讀出正確的字音，也讓我們對國字有更深入的理解。本書列出了許多基礎的「形似字」和「多音字」，極適合國小和國中的學生使用。不僅有助於學習辨析字音字形相類的國字，也能讓學生對於「字義」有更深一層的認識。同時，本書也列出許多容易誤寫、誤讀或誤解的成語，供學生提筆練習書寫。在隨堂練習中，也有許多字詞和成語的「形、音、義」辨別練習，用以檢測不足之處，提醒學生再三複習。字音字形是學習國語文的基礎，惟有基礎穩固了，對於修辭造句才能有正確無誤的發揮。因此，字音字形的訓練，是培養寫作能力的不二法門。同時，熟練字音字形也能提升對於文章的閱讀理解，可說是一舉數得。
                    
"
4712839706669,"


本書是<6年級上冊>和<6年級下冊>的合訂本。


	本書以學期的時間為主軸，採用主題方式學習，融合各家版本學習內容，讓小朋友透過練習，熟悉各類型題目，最後以統整方式，進行測驗，模擬檢測。

	語文可以運用在日常生活中，因此題目也逐漸朝向生活化與實用化；另外本書也採納各私校入學考題目、國中教材，讓學生在題目中瞭解自己的能力及未來學習方向。

	作文能力也是近年熱門的話題，要寫好一篇作文，從基本的字形、字義、語詞、成語到句型，最後組成一篇文章，都需要階段性的練習。更重要的是，配合課外讀物會增進作文寫作的能力，希望透過本書的學習，能夠讓學生基礎能力增進，國語文能力躍進。

	最後希望各位同學，好好練習，並把語文落實在生活中，讓語文的學習更有意義。

"
