ISBN,書籍簡介
9789574818044,"

本書中的各個單元都精心設計了數道重要的「例題」；並詳細列出解題的想法和解答，讓學生經由例題的練習和引導，進而思考解答「類似題」中的題目，達到活學活用的目的。在每個單元最後，我們也安排了「複習評量」，讓家長與老師可以清楚知道小朋友的學習成效，以及對該單元內容的理解程度。全書最後並附有參考答案及詳解，不僅有助於學生自修，也方便家長與老師批改答案。本書在編寫過程中，編輯同仁無不力求內容之正確及解答之詳盡，但書中錯誤和不足之處仍在所難免，懇請讀者批評與指正。最後，期待本書能為小學師生提供有益的幫助，使學生的數學能力大幅提升。
                    
"
4712839709530,"

[全年級總複習‧暑期練習教材]本書是依據教育部頒布的課程標準所編撰，凡是採用康軒、南一、翰林等數學教科書版本，配合本書為輔導教材，能讓學童從學習中產生智力啟發的效果，進而培養數學推理的能力。根據科學家的研究，人類的左腦用語言進行思考，右腦則是以圖像進行思考；左腦偏向語言、邏輯性的思考，右腦則是影像和心像的思考。本書的『智力綜合測驗』，希望幫助小朋友進行圖像式思考，而有助於右腦的活絡。本書適合作為全年級的複習之用，亦可作為暑期練習教材。全書共20回測驗，每回均附解答及精解，利用本書練習，相信對於開發小朋友的數學能力會有很大的助益。
                    
"
4710562780185,"

本書是＜6年級上冊＞和＜6年級下冊＞的合訂本。我們學習數學的目的不僅是為了能正確的將加、減、乘、除的答案計算出來，更要用積極的態度藉由所學去解決日常生活中所遇到的數學問題。所以，學好數學的首要工作是奠定基礎，有了穩固的根本，解決一般的問題當然輕而易舉，而加強提升數學能力更是重要，讓你面對困難或多元變化的問題時，能有自信的迎刃而解。這本書就是為了讓小朋友提升能力而精心編寫的，整理出每個單元的重點，輔以範例題型及解題策略的提供，可以讓小朋友快速掌握學習要點與解題關鍵，靈活變化的練習題能讓小朋友檢視及提升自我的數學能力。本書的特色有：一、經典題型：精心規劃50個題型，學習重點不遺漏。二、解題策略：提供每種題型的解題方向，加上詳細的解題過程說明，讓小朋友熟悉題型並掌握解題關鍵。三、舉一反三練習：熟練經典題型之後，提供變化延伸的題目，讓小朋友能勇於自我挑戰，以便達到加強提升學習的效果。四、解答篇：除了提供練習的答案之外，貼心加上解析說明部分，讓小朋友能更清楚掌握解題的要訣。本書是檢視基礎和延伸學習的最佳幫手，藉由提綱挈領的設計，熟練與深入的練習，一步步帶領小朋友建構完整的數學能力。
                    
"
4710562780062,"

數學是一門相當重要的學科，亦是科學發展的基礎，而要學好數學也可以在快樂氛圍中學習。在學習數學的過程中，不僅要培養對數學的邏輯與思考的解題能力，更應發展出對學習數學的樂趣，而樂趣是一切偉大的原動力。如果孩子們都能培養對數學的熱愛，那學好數學可以說是事半功倍，指日可待。為了讓您的孩子開啟一扇通往歡喜的數學學習殿堂的門，本編研組同仁精心規劃編著此書，我們衷心祈盼藉由本書，能讓您的孩子在快樂的學習中學好數學。
                    
"
4712839709349,"

本書是依據教育部頒定的《九年一貫數學領域綱要》所編寫。因此，凡是採用「南一」、「康軒」、「翰林」…等各版本教科書的學生，均適合使用此書作為輔助教材。書中的每個單元均由「學習重點」、「實力養成」和「學習評量」組成。「學習重點」將該單元所應學習的內容詳細列出，並加以說明，使學生先具有基本的概念，以便進入做題練習的階段；「實力養成」採範例講解的方式，詳細列出每一個例題的想法和解答，讓學生經由例題的練習和引導，進而思考解答類題中的題目，達到活學活用的地步。單元後的「學習評量」，讓家長與老師了解學生的學習成果。全書最後並附有詳解，不僅有利於學生自修，也方便家長或老師批改題目。本書不但能配合各版本教科書使用，還適合做為學年結束後的總複習。在編寫過程中，編輯同仁無不力求內容之正確及解答之詳盡，但書中錯誤和不足之處仍在所難免，懇望讀者批評與指正。最後，期待本書能為小學師生提供有益的幫助，使學生的數學能力大幅提昇。
                    
"
4712839707765,"

本書的內容是依據教育部頒定的「九年一貫數學領域綱要」所編寫；因此，舉凡採用「南一」、「康軒」、「翰林」…等各版本數學教科書的學生，均適合使用此書作為課外輔助教材。書中的每個單元均由三大部分組成：「基本試題」、「進階試題」和「單元評量」；基本試題和進階試題均採範例講解的方式，詳細列出每一個題目的解答重點、技巧和算式，讓學生可經由基本試題的練習，進而思考解答進階的題目，達到活用數學原理的地步。家長與老師並可由每個單元後的綜合評量卷，了解學生對於該單元內容的理解程度。全書最後附有數回總複習卷，讓學生對該年級的課程可做一總結複習。本書不僅適於配合各版本教科書使用，還可以做為學年結束後的總複習之用。編者期望能為使用本書的學生，指引學習數學的方向，使每個學生都能成為數學資優生。
                    
"
4712839707581,"

[重點整理．範例觀摩．練習評量]自從國小教科書開放由民間出版以來，各界疑慮聲浪不斷，尤其是適用「九年一貫」課程學生的家長們，更是憂心忡忡；一方面擔心自己的小孩會不會成為教育改革下的犧牲品，一方面也擔心自己的小朋友只唸了某一個版本的教科書，究竟是不是足以與使用其他版本的小朋友們競爭？本書參照了坊間大部分主要的國小數學教科書版本，如「康軒」、「南一」、「翰林」…等，設計出適合各個年級的單元，每個單元都為小朋友整理出『學習重點』，老師或家長可以據此了解每個單元的學習內容；同時，各個單元都精心設計了數道重要的『範例題』，在每個範例之下，又有『類題』供小朋友練習；而在每個單元最後，我們也安排了『練習題』，讓家長們可以清楚知道小朋友的學習成效。不管小朋友是使用哪一個版本的數學教科書，只要善加利用本書練習，假以時日，相信小朋友的數學能力都能有長足的進步。
                    
"
4712839707383,"

培養孩子縝密的邏輯思考能力，不僅能幫助他們增強數學知識的吸收力，在其他學科如自然科學、社會科學上也有相當大的幫助。有縝密的邏輯思考能力，孩子們能很快地分析判斷進入腦中的資訊，這不僅對記憶力有所幫助，對日常生活事情的處理、判斷是非的能力也有相當正面的影響。這本書的目標就是幫助老師與家長及早培養孩子們的邏輯思考能力。本書運用日常生活及常識，來幫助孩子們在歡樂中一點一滴培養這方面的能力，內附許多鮮活的例子與圖片，吸引孩子的注意力，增加學習興趣，進而加強鍛鍊孩子的邏輯頭腦，使他成為思考敏捷、條理分明的人才！
                    
"
4712839708786,"

本書是＜6年級上冊＞和＜6年級下級＞的合訂本。數學是一門相當重要的學科，亦是科學發展的基礎，而要學好數學也可以在快樂氛圍中學習。在學習數學的過程中，不僅要培養對數學的邏輯與思考的解題能力，更應發展出對學習數學的樂趣，而樂趣是一切偉大的原動力。如果孩子們都能培養對數學的熱愛，那學好數學可以說是事半功倍，指日可待。為了讓您的孩子開啟一扇通往歡喜的數學學習殿堂的門，本編研組同仁精心規劃編著此書，我們衷心祈盼藉由本書，能讓您的孩子在快樂的學習中學好數學。
                    
"
4712839707871,"

[本書是高年級3、4的合訂本]奧林匹克數學具有其獨特的教學功能，對於培養學生的分析和思考能力有所助益；它使學生在數學的學習中感受到樂趣，進而培養出學習數學的興趣。為了配合奧林匹克數學的教學，對學生進行長期、系統式的數學訓練，我們特地編寫了這套教材；不論是老師或家長，均可利用這套教材，幫助學生培養出其獨特的數學能力。本套教材參酌學校教學課程的編排，使學生在掌握基礎知識的前提下，進行拓展式的學習和訓練。老師和家長可根據學生的程度，選定符合學生需要的內容，循序漸進，幫助學生提升對於數學的自信。書中各單元均由「學習引導」和「例題」出發，藉由「例題」闡明與單元相關的知識、方法和解題技巧。經由「解析」的說明，幫助學生建立思維路徑。例題之後，設置「類題」，使學生熟悉題型並建立解題策略。最後，再「加強練習」相關的題目，以加深印象、建立信心。書末並附有「參考答案及解析」，使學生可隨時查閱，方便自學。本書參考了各種同類的書籍，謹在此表達誠摯謝意。在編寫過程中，編者力求內容的完備，公司同仁對於內容的校對亦力求正確無誤，但書中錯誤與不足之處仍在所難免，懇請不吝批評與指正。最後，期待本書能為眾多小學師生提供助益，並成為小學生學習數學的良師益友。
                    
"
