ISBN,書籍簡介
9789865222680,"


	本書多採用引導讀者思考的方式，先舉出較為貼近生活的實際例子，再將慢慢延伸至較深入的部分，如此能使讀者循序漸進地學習生物，而非用傳統的填鴨式學習，只能盲目硬記。

	任何學習就如上樓梯，本書已在生物領域鋪好了階梯，而等待的正是在閱讀本書的你，期待你能進入生物世界，去理解生活在地球上的我們，亦或是同樣生活在地球上的各種生物，去探究這個繽紛的自然世界，另外在這裡強烈建議，在閱讀完本書的任何一個小節或章節後，一定要再自行去學習更多的相關內容，畢竟俗話說「學海無涯勤是岸」，本書旨在引導你輕鬆學習，但也想讓你能夠養成良好的讀書習慣。

	期望你在讀完本書後，能在國中範圍的生物有非常大進益與收穫喔！

"
4712839709264,"

〔私中入學．國中資優班考試 適用〕國中是另一個新的開始，但也是舊的延續。國中自然是建立在國小自然科的基礎上，如果對國小自然的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小自然課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「自然科」考題，全書共30回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839709288,"

〔私中入學．國中資優班考試 適用〕國中是另一個新的開始，但也是舊的延續。國中社會是建立在國小社會科的基礎上，如果對國小社會的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小社會課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「社會科」考題，全書共30回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839709967,"

[升國中先修．私中入學]九年一貫自然與生活科技課程，整合了生物、理化、地球科學和生活科技，教材的內容延續國小的生活科技，並加深增廣許多生活上的自然科學與科技知識。本書的編寫即是秉持上述的理念，整理更廣泛、更深入的相關資料，提供學習的廣度和深度，引發學習興趣，供學生習得自然科學的基本問題。學習自然科學除了獲得知識外，同時須養成科學的思考和應用科學的技能，以及解決問題的能力，並提升科學的素養。本書係編者本著認真嚴謹的態度來完成，一遇疑義之處，必遍查多種資料，以求真求實，唯限於才學淺薄，難免有疏漏之處，尚祈先進不吝更正。
                    
"
4712839709547,"

[私中入學‧升國中資優班]本書是＜智力性向測驗習作＞和＜智力性向測驗廣場＞的合訂本。私中入學考試或國中資優分班時，學校通常採取智力性向測驗或學科能力測驗的方式，測驗學生的學習程度，作為入學以及分班的教學依據。所謂智力，是指學習課業的能力，其中「圖形測驗」則是所有智力性向測驗的主軸，經由各類型的圖形測驗，可以瞭解學生的學習性向。至於國語文的訓練是要靈活語文組織能力，強化字義、字音、字詞及字形等的正確運用。有關數學部分則以數學模擬測驗方式總結數學的學習完整概念。其實「智力測驗」的拿分沒有別的秘訣，就是多加練習，反覆熟作，藉由多做題目打通思路，如此，才能在考試時無往不利。甚盼藉由本書的幫助，使讀者輕鬆獲得高分。本書雖經細心校訂，疏誤之處在所難免，如有不臻之處，尚祈讀者先進指正，謝謝！
                    
"
4712839708847,"

[ 國語科、圖形科、數學科、自然科、社會科、英語科 ]私中入學考試或國中資優分班時，學校通常採取智力性向測驗或學科能力測驗的方法，測驗學生的學習程度，作為入學以及分班的教學依據。所謂智力，是指學習課業的能力，其中「圖形測驗」，則是所有智力性向測驗的主軸，經由各類型的圖形測驗，可以瞭解學生的學習性向。至於國語文的訓練是要靈活語文組織能力，強化字義、字音、字詞及字形等的正確運用。有關數學部分，則以數學模擬測驗方式總結數學的學習完整概念。其實「智力測驗」的拿分沒有別的秘訣，就是多加練習，反覆熟作，藉由多做題目打通思路，如此，才能在考試時無往不利。甚盼藉由本書的幫助，使讀者輕鬆獲得高分。本書雖經細心校訂，疏誤之處在所難免，如有不臻之處，尚祈讀者先進指正，謝謝！
                    
"
4712834275887,"


	英文：詳錄必考重要單字、重要片語與重要文法句型。同學可以在考前迅速複習，由點（單字）到線（片語與句子）形成面（文法與文章）。

	數學：有清晰的觀念介紹，並詳列重要公式。只要能夠清楚瞭解觀念、記住重要公式，同學就可以將題目迅速地化為清楚的數學符號，要解出答案來就一點也不難。

	歷史：將臺灣歷史、中國歷史、世界歷史以圖、表分開整理、清楚比較，讓同學可以按照時間順序記住歷史上發生的重要大事，並能夠分析歷史的成因與結果。

	地理：運用大量的圖表分析，將文字敘述轉化為圖像記憶，分門別類地將臺灣地理、中國地理、世界地理的觀念統整。同學熟悉觀念後就能夠輕鬆應付各種題型。

	公民：公民就是生活，本單元帶領同學從自我與群我開始，一點一滴的複習自我成長過程，進而瞭解家庭、學校、兩性生活、法律、經濟、政治、文化，環環相扣地明白與熟悉整個社會。

	生物：清楚地分類各種生物與詳列生物的特色，讓同學融會貫通生物體的各種特色與作用，並懂得分類與比較。

	理化：理化分為物理與化學。本單元圖表整理化學重點，包含化學反應的變化，以及一些特殊的化合物性質；將物理依據聲、光、溫度、力、電與磁與各種運動性質歸納，讓同學可以快速地擁有正確而清楚的觀念。

	地球科學：地球是我們生存的環境，本書以圖表流程來表達宇宙的組成、地球生命的形成、分析大氣圈、水圈、岩石圈的成分及結構，以及各種氣象、天災的成因。

	國文：十分鐘教同學搶救爛作文，圖表整理豐富的國學常識、語文常識、修辭技巧、重要字彙的形音義、重要的成語彙整。

本書特色

	【學習地圖】十分鐘立即完成三年學科輪廓

	本書特點：
	1.各科學習地圖，十分鐘架構三年所學的完整輪廓，震撼難忘。
	2.考前方便攜帶，十分鐘緊急回溯必考重點，失分搶救。
	3.一套記憶系統，適用各版本總複習教材，觀念強化。
	4.本書完全掌握國中會考命題焦點，衝刺必備。

"
4712839708106,"


	本書是<智力性向測驗習作>和<智力性向測驗廣場>的合訂本。

	私中入學考試或國中資優分班時，學校通常採取智力性向測驗或學科能力測驗的方式，測驗學生的學習程度，作為入學以及分班的教學依據。

	所謂智力，是指學習課業的能力，其中「圖形測驗」則是所有智力性向測驗的主軸，經由各類型的圖形測驗，可以瞭解學生的學習性向。至於國語文的訓練是要靈活語文組織能力，強化字義、字音、字詞及字形等的正確運用。有關數學部分則以數學模擬測驗方式總結數學的學習完整概念。

	其實「智力測驗」的拿分沒有別的秘訣，就是多加練習，反覆熟作，藉由多做題目打通思路，如此，才能在考試時無往不利。

	甚盼藉由本書的幫助，使讀者輕鬆獲得高分。

	本書雖經細心校訂，疏誤之處在所難免，如有不臻之處，尚祈讀者先進指正，謝謝！

"
9789867978288,"


彩色版的總複習，條列清晰。

	 

自出版此書以來，每年不斷的調整與修改，累計銷售已經突破了20萬冊。

	 

	英文：詳錄必考重要單字、重要片語與重要文法句型。同學可以在考前迅速複習，由點（單字）到線（片語與句子）形成面（文法與文章）。

	 

	數學：有清晰的觀念介紹，並詳列重要公式。只要能夠清楚瞭解觀念、記住重要公式，同學就可以將題目迅速地化為清楚的數學符號，要解出答案來就一點也不難。

	　

	歷史：將臺灣歷史、中國歷史、世界歷史以圖、表分開整理、清楚比較，讓同學可以按照時間順序記住歷史上發生的重要大事，並能夠分析歷史的成因與結果。

	 

	地理：運用大量的圖表分析，將文字敘述轉化為圖像記憶，分門別類地將臺灣地理、中國地理、世界地理的觀念統整。同學熟悉觀念後就能夠輕鬆應付各種題型。

	 

	公民：公民就是生活，本單元帶領同學從自我與群我開始，一點一滴的複習自我成長過程，進而瞭解家庭、學校、兩性生活、法律、經濟、政治、文化，環環相扣地明白與熟悉整個社會。

	 

	生物：清楚地分類各種生物與詳列生物的特色，讓同學融會貫通生物體的各種特色與作用，並懂得分類與比較。

	 

	理化：理化分為物理與化學。本單元圖表整理化學重點，包含化學反應的變化，以及一些特殊的化合物性質；將物理依據聲、光、溫度、力、電與磁與各種運動性質歸納，讓同學可以快速地擁有正確而清楚的觀念。

	 

	地球科學：地球是我們生存的環境，本書以圖表流程來表達宇宙的組成、地球生命的形成、分析大氣圈、水圈、岩石圈的成分及結構，以及各種氣象、天災的成因。

	 

	國文：十分鐘教同學搶救爛作文，圖表整理豐富的國學常識、語文常識、修辭技巧、重要字彙的形音義、重要的成語彙整。

	 

	適讀對象：國中三年級升高中專用

	 

產品特色

	 

	【學習地圖】十分鐘立即完成三年學科輪廓

	 

本書特點：

	 

	1.各科學習地圖，十分鐘架構三年所學的完整輪廓，震撼難忘。

	2.考前方便攜帶，十分鐘緊急回溯必考重點，失分搶救。

	3.一套記憶系統，適用各版本總複習教材，觀念強化。

	4.本書完全掌握國中基測命題焦點，衝刺必備。

"
4712839704474,"

本書是<智力性向測驗習作>和<智力性向測驗廣場>的合訂本。私中入學考試或國中資優分班時，學校通常採取智力性向測驗或學科能力測驗的方式，測驗學生的學習程度，作為入學以及分班的教學依據。所謂智力，是指學習課業的能力，其中「圖形測驗」則是所有智力性向測驗的主軸，經由各類型的圖形測驗，可以瞭解學生的學習性向。至於國語文的訓練是要靈活語文組織能力，強化字義、字音、字詞及字形等的正確運用。有關數學部分則以數學模擬測驗方式總結數學的學習完整概念。其實「智力測驗」的拿分沒有別的秘訣，就是多加練習，反覆熟作，藉由多做題目打通思路，如此，才能在考試時無往不利。甚盼藉由本書的幫助，使讀者輕鬆獲得高分。本書雖經細心校訂，疏誤之處在所難免，如有不臻之處，尚祈讀者先進指正，謝謝！
                    
"
