ISBN,書籍簡介
9789865306304,0
9789865306137,0
4718373770043,0
9789865306243,0
9789865306250,0
4712839708397,"

對於即將要升上國中的國小學生而言，未知的課業內容總是教人感到惶恐；尤其是讓人又愛又怕的「數學科」更是如此。為了幫助初升國中的學生們面對這樣的難題，本書針對國小升國中馬上要面臨的數學課程設計單元，並同時複習與這些單元有關的國小數學內容，讓學生在面對國中的新課程時，不但不會手足無措，更能應用小學已經學過的數學知識，掌握新的課程內容，從此奠定國中數學的基礎，使往後的學習一帆風順。全書共分為六個單元：「負數與絕對值」、「整數的四則運算」、「指數律與科學記號」、「因數和倍數」、「分數的四則運算」和「一元一次方程式」。每個單元都有學力評量，不僅可讓同學練習應用所學來解題，也可供同學檢測自己對該主題的熟悉程度。書末並附有綜合測驗，將全書的單元內容整合，精編試題，同學們練習之後，能收統整複習的效果。本書的設計是以國小所學的數學，銜接國中的數學課程；因此，學生不用擔心看不懂單元的內容。同時，每回測驗都附有解答及難題精解，若遇有不會的題目，也能快速的找到答案和解法。最後，希望所有的讀者，藉由本書預先修習國中數學，都能在國中階段有所發揮，學業精進。
                    
"
4712839706867,"


	私中入學．升國中資優班．國小總複習

	數學科測驗，可能是所有參加私立國中的入學考試和國一新生的能力分班測驗中，最為關鍵的一科；由於數學科的題型千變萬化，如果在數學考試中掉以輕心，恐怕會差之毫厘，失之千里。不過，數學科的準備可以說是沒有任何訣竅，不論題目如何變化，所謂萬變不離其宗，範圍不外是國小五、六年級的數學領域，因此只要充分掌握了基本的觀念，不管題型如何變化，都能應付自如。

	本書有五年級總複習、六年級總複習及綜合複習測驗，共21回測驗，每回均有40至50題測驗題；經由本書的練習，可以再一次熟悉小學階段五、六年級的數學科內容，使參加私中入學或國中資優班考試的同學在數學科的考試中取得好成績。

"
4712839704993,"

國中是另一個新的開始，但也是舊的延續。在數學這個領域，尤其真切。國中數學是建立在國小數學的基礎上，如果你對國小數學已經很熟練，你就贏在起跑點上。如果你不覺得自己對國小數學掌握度足夠，或者已經忘記一些課本內的東西，所謂「亡羊補牢，未為遲也」，只要你好好研讀本書，你就可以增強功力，在新學期開始後，自信地和其他同學一較長短。讓這本書扮演著你現階段數學「承先啟後」的功能，它將帶領你遊覽國小數學的精華，讓你能溫故而知新。它也將帶領你一窺國中數學的開端，讓你能掌握先機，預作準備。讓我們把握時間，趕快做一個國小數學的總複習，做一國中數學的預習，我們才能在這新的開始，贏在起跑點上喔。「千里之行，始於足下」再遠大的目標，也必須有確切的執行才能實現。讓我們從今天，從這一刻開始，為我們能贏在起跑點上的目標努力！
                    
"
4718373770012,0
4718373770029,0
4718373770036,0
,0
4712839704627,"

國中是另一個新的開始，但也是舊的延續。國中數學是建立在國小數學科的基礎上，如果對國小數學的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小數學課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「數學科」考題，全書共24回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839704221,"

國中是另一個新的開始，但也是舊的延續。在數學這個領域，尤其真切。國中數學是建立在國小數學的基礎上，如果你對國小數學已經很熟練，你就贏在起跑點上。如果你不覺得自己對國小數學掌握度足夠，或者已經忘記一些課本內的東西，所謂「亡羊補牢，未為遲也」，只要你好好研讀本書，你就可以增強功力，在新學期開始後，自信地和其他同學一較長短。讓這本書扮演著你現階段數學「承先啟後」的功能，它將帶領你遊覽國小數學的精華，讓你能溫故而知新。它也將帶領你一窺國中數學的開端，讓你能掌握先機，預作準備。讓我們把握時間，趕快做一個國小數學的總複習，做一國中數學的預習，我們才能在這新的開始，贏在起跑點上喔。「千里之行，始於足下」再遠大的目標，也必須有確切的執行才能實現。讓我們從今天，從這一刻開始，為我們能贏在起跑點上的目標努力！
                    
"
4712839702081,"

私中入學．升國中資優班．國小總複習數學科測驗，可能是所有參加私立國中的入學考試和國一新生的資優能力分班測驗中，最為關鍵的一科；由於數學科的題型千變萬化，如果在數學考試中掉以輕心，恐怕會差之毫厘，失之千里。不過，數學科的準備可以說是沒有任何訣竅，不論題目如何變化，所謂萬變不離其宗，範圍不外是國小五、六年級的數學領域，因此只要充分掌握了基本的觀念，不管題型如何變化，都能應付自如。本書有五年級總複習、六年級總複習及綜合複習三項測驗，共21回，每回均有40至50題測驗題；經由本書的練習，可以再一次熟悉小學五、六年級的數學科內容，使參加私中入學或升國中資優班考試的同學在數學科的考試中取得好成績。
                    
"
4718784900176,0
