ISBN,書籍簡介
9789862243213,"

一、近年來，大學入學的方式已朝向多元化邁進，除了學測外，指考更是考上優良國立大學理想的方式；除了準備的科目不像學測那樣多外，以數學來說，考試的範圍也有縮小，不再像以前傳統的聯考要考一～六冊全部，只需準備大考中心公布的範圍即可輕鬆應考；故如何在短時間內作有效率的複習，提升實力，更是高三學生必須重視的課題。二、有鑒於此，在複習的過程中，考古題的練習是不可或缺的一環；以指考來說，除了難易外，數學甲和數學乙最大的差別，是在命題範圍有非常大的不同，再者因為新舊課綱的差異，造成有些考題在過去是學測範圍，如今卻變為指考範圍。若按傳統只收錄數學甲試題的編法，內容將會不夠豐富與完整，故筆者決定打破傳統，創新求變，在數學甲的命題範圍內，亦收錄了數學乙的試題，並在高三選修的部分，再加強學測與日大聯招的考古題，讓同學們能夠有更多練習的機會，實為本書最大的特色！三、本書共12章，每章分為【重要觀念篇】、【試題篇】及【解答篇】，三者皆透過「類型」同步整理歸納，學習效果更具一致性！
                    
"
9789862242650,"

根據筆者多年的第一線「升學加強班」教學經驗，只要能在考前針對命題頻率高的「要點」與「題型」，進行有效率的複習，絕對可以在最短時間內有效的掌握該科目的複習重點，所以本書絕對是同學們應付「指考數學乙」的最佳選擇！本書以最嚴謹的精神，最負責的態度，融合作者數十年來的教學經驗與用心研究教材心得，針對考生的需求，以獨創的統整歸納方式精心成書，考生用心研讀本書，定可應考得意，得到優異成績！
                    
"
9789862242896,"

本書內容總共分成個16單元，建議在指考前八週的時間，每週固定複習兩個單元，以達事半功倍之效。第1～15單元為數學甲命題的範，涵蓋下列四個部分：1. 黃金命題診斷：分析每個單元在指考中的命題方向，讓同學們朝正確的方向做好準備。2. 單元重點check-up：列舉每個單元一定要熟記的定義與結論，作為日後解題的依據。3. 解題技巧急救站：依據筆者多年來教學的經驗整理而成，只針對指考會用到的技巧加以提示，捨去了刁鑽的解法，讓同學能夠有效率的吸收，學以致用。4. 戰力大進補test：完全模擬指考的題型，有單選、多選、填充以及計算共四部分，每個單元固定10題，不造成複習上的負擔，每道題目都是筆者精心挑選，能夠精準找出自己的弱點加以補強。第16單元則是「指考仿真模擬測驗」，希望同學們能藉由完整的練習，提前熟悉考試的模式，增加應試的信心！
                    
"
9789862242919,"

本書內容總共分成個14單元，建議在指考前八週的時間，每週固定複習兩個單元，以達事半功倍之效。第1～12單元為數學乙命題的範圍，涵蓋下列四個部分：1. 黃金命題診斷：分析每個單元在指考中的命題方向，讓同學們朝正確的方向做好準備。2. 單元重點check-up：列舉每個單元一定要熟記的定義與結論，作為日後解題的依據。3. 解題技巧急救站：依據筆者多年來教學的經驗整理而成，只針對指考會用到的技巧加以提示，捨去了刁鑽的解法，讓同學能夠有效率的吸收，學以致用。4. 戰力大進補test：完全模擬指考的題型，有單選、多選、填充以及計算共四部分，每個單元固定10題，不造成複習上的負擔，每道題目都是筆者精心挑選，能夠精準找出自己的弱點加以補強。第13~14單元則是「指考仿真模擬測驗」，希望同學們能藉由完整的練習，提前熟悉考試的模式，增加應試的信心！
                    
"
9789862242322,"

指考數學甲應考的準備主要有二個方向，一方面要精讀高一和高二的教科書內容，另一方面則要清楚最新的學測趨勢和命題模式，如果還抱著舊觀念和思維來面對諸多新式題型的挑戰，成功是遙不可及的。筆者以身為第一線教師的實際教學經驗，針對近五年大學入試指考數學甲試題做精闢的解析。各種類型的出題趨勢及解題思考方向和技巧，本書均有精闢且詳盡的說明。此外，筆者根據近五年來指考命題取向，精選最新穎題型編寫模擬試題兩回，題題皆具代表性並附上縝密解析，提供應試的考生確實「自我補強臨場戰力」。
                    
"
9789862243046,"

一、近年來，大學入學的方式已朝向多元化邁進，除了學測外，指考更是考上優良國立大學理想的方式；除了準備的科目不像學測那樣多外，以數學來說，考試的範圍也有縮小，不再像以前傳統的聯考要考一～六冊全部，只需準備大考中心公布的範圍即可輕鬆應考；故如何在短時間內作有效率的複習，提升實力，更是高三學生必須重視的課題。二、有鑒於此，在複習的過程中，考古題的練習是不可或缺的一環；以指考來說，除了難易外，數學甲和數學乙最大的差別，是在命題範圍有非常大的不同，再者因為新舊課綱的差異，造成有些考題在過去是學測範圍，如今卻變為指考範圍。若按傳統只收錄數學甲試題的編法，內容將會不夠豐富與完整，故筆者決定打破傳統，創新求變，在數學甲的命題範圍內，亦收錄了數學乙的試題，並在高三選修的部分，再加強學測與日大聯招的考古題，讓同學們能夠有更多練習的機會，實為本書最大的特色！三、本書共14章，每章分為【重要觀念篇】、【試題篇】及【解答篇】，三者皆透過「類型」同步整理歸納，學習效果更具一致性！
                    
"
9789862240762,"

■大學入試歷屆「指定科目考試」試題完整蒐錄■逐題詳解，精闢關鍵，確實掌握臨場答題訣竅■解題技巧完備，試題盲點突破，應考戰力大躍進
                    
"
9789862240779,"

■大學入試歷屆「指定科目考試」試題完整蒐錄■逐題詳解，精闢關鍵，確實掌握臨場答題訣竅■解題技巧完備，試題盲點突破，應考戰力大躍進
                    
"
9789862242605,"

命題頻率高的「要點」與「題型」，進行有效率的複習，絕對可以在最短時間內有效的掌握該科目的複習重點，所以本書絕對是同學們應付「指考數學甲」的最佳選擇！本書以最嚴謹的精神，最負責的態度，融合作者數十年來的教學經驗與用心研究教材心得，針對考生的需求，以獨創的統整歸納方式精心成書，考生用心研讀本書，定可應考得意，得到優異成績！
                    
"
9789862242339,"

指考數學乙應考的準備主要有二個方向，一方面要精讀高一和高二的教科書內容，另一方面則要清楚最新的學測趨勢和命題模式，如果還抱著舊觀念和思維來面對諸多新式題型的挑戰，成功是遙不可及的。筆者以身為第一線教師的實際教學經驗，針對近5年大學入試指考數學乙試題做精闢的解析。各種類型的出題趨勢及解題思考方向和技巧，本書均有精闢且詳盡的說明。此外，筆者根據近五年來指考命題取向，精選最新穎題型編寫模擬試題兩回，題題皆具代表性並附上縝密解析，提供應試的考生確實「自我補強臨場戰力」。
                    
"
