書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Foundations of Blockchain,https://www.kingstone.com.tw//basic/203c109252274?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Ahmed,Imteaj",Springer    ,9783030750244,https://cdn.kingstone.com.tw/english/images/product/0244/9783030750244.jpg,0
Essentials of Blockchain Technology,https://www.kingstone.com.tw//basic/203c109205868?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Kuan-Ching,Li",Ingram      ,9781032087269,https://cdn.kingstone.com.tw/english/images/product/7269/9781032087269.jpg,0
Convergence of Blockchain Technology and E-Business,https://www.kingstone.com.tw//basic/203c108721716?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"D,Sumathi",CRC Press,9780367498146,https://cdn.kingstone.com.tw/english/images/product/8146/9780367498146.jpg,"

The purpose of this edited book is to provide the relevant technologies and case studies in a concise format that will simplify and streamline the processing of blockchain. The goal is for the contents of this book to change the way business transformations are conducting in economic and social systems.  The book examines blockchain technology, the transaction attributes, and its footprint in various fields. It offers fundamentals and terminologies used in blockchain, architecture, and various consensus mechanisms that can be deployed in areas such as healthcare, smart cities, and supply chain management. The book provides a widespread knowledge into the deployment of security countermeasures that can be implemented for a blockchain network and enables the reader to consider the management of business processes and the implementation process in detail. The book highlights the challenges and provides various e-business case studies of security countermeasures.  The book serves researchers and businesses by providing a thorough understanding of the transformation process using blockchain technology.
                    
"
Introduction to Blockchain Technology and Cryptocurrency,https://www.kingstone.com.tw//basic/203c108698841?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Phani Praveen,Surapaneni",Ingram      ,9786138944836,https://cdn.kingstone.com.tw/english/images/product/4836/9786138944836.jpg,"

This edited book would serve as an ideal guide for B.E., B.Tech., B.S., B.Sc, and B.C.A., undergraduate students of Electronics and Communication Engineering, Telecommunication Engineering, Network Engineering, Computer Science and Engineering and Information Technology, who wish to take up projects on applications of Blockchain Technology. Students pursuing postgraduate course in Science and Engineering, M.E., M.Tech., M.S., M.Sc., and M.C.A. students will find this book useful for their research projects. Research Scholars working in the area of applications of Blockchain Technology will find this book as a handy reference guide for their M.Phil., Ph.D. and D.Eng., works. Software and Hardware Engineers, who work specifically in the area of applications of Blockchain Technology, will find this book as a useful resourc
                    
"
Blockchain for Business,https://www.kingstone.com.tw//basic/203c200906905?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"S S,Tyagi",Ingram      ,9781119711049,https://cdn.kingstone.com.tw/english/images/product/1049/9781119711049.jpg,"

The book focuses on the power of business blockchain. It gives an overview of blockchain in traditional business, marketing, accounting and business intelligence. The book provides a detailed working knowedge of blockchain, user cases of blockchain in business, cryptocurrency and Initial Coin Offering(ICO) along with the risks associated with them. The book also covers the detailed study of decentralization, mining, consensus, smart contracts, concepts and working of distributed ledgers and hyper ledgers as well as many other important concepts. It also details the security and privacy aspects of blockchain. The book is beneficial for readers who are preparing for their business careers, those who are working with small scale businesses and startups, and helpful for business executives, managers, entrepreneurs, bankers, government officials and legal professionals who are looking to blockchain for secure financial transactions. The book will also be beneficial for researchers and students who want to study the latest developments of blockchain.
                    
"
Design and Analysis of Cryptographic Algorithms in Blockchain,https://www.kingstone.com.tw//basic/203c109918886?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Ke,Huang",Ingram      ,9781032039916,https://cdn.kingstone.com.tw/english/images/product/9916/9781032039916.jpg,"

This book seeks to generalize techniques and experiences in designing and analyzing cryptographic schemes for blockchain. It devotes three chapters to review the background and basic knowledge, four chapters to discuss specific types of cryptographic primitive design for blockchain, one chapter to discuss optimization tools and another chapter for blockchain regulation and economies. This book covers the systematic survey of research objects, as well as detailed reviews of cryptographic schemes, lectures and methodologies to practice cryptography.The main findings of this book are summarized as following, first, the practical design and analysis of cryptographic schemes for blockchain can address major problems in blockchain at algorithmic level. Then, some intrinsic deficiencies in some traditional cryptographic primitives, like centralized setup, impractical design, etc, prevent the successful application of these primitives in blockchain. However, huge efforts are being made to make these primitives practical and applicable for researchers. Finally, the formal and rigorous design and analysis of public key cryptographic algorithms is vital to blockchain. Design and Analysis of Cryptographic Algorithms in Blockchain is a useful textbook for graduate students and PhD students, or researches who wish to connect cryptography with blockchain for research and developing projects.
                    
"
From Traditional Fault Tolerance to Blockchain,https://www.kingstone.com.tw//basic/203c108230086?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Wenbing,Zhao",Wiley-Scrivener,9781119681953,https://cdn.kingstone.com.tw/english/images/product/1953/9781119681953.jpg,"

This book covers the most essential techniques for designing and building dependable distributed systems, from traditional fault tolerance to the blockchain technology. Topics include checkpointing and logging, recovery-orientated computing, replication, distributed consensus, Byzantine fault tolerance, as well as blockchain. This book intentionally includes traditional fault tolerance techniques so that readers can appreciate better the huge benefits brought by the blockchain technology and why it has been touted as a disruptive technology, some even regard it at the same level of the Internet. This book also expresses a grave concern on using traditional consensus algorithms in blockchain because with the limited scalability of such algorithms, the primary benefits of using blockchain in the first place, such as decentralization and immutability, could be easily lost under cyberattacks.
                    
"
Essential Enterprise Blockchain Concepts and Applications,https://www.kingstone.com.tw//basic/203c108125213?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Kavita,Saini",Auerbach Publications,9780367564889,https://cdn.kingstone.com.tw/english/images/product/4889/9780367564889.jpg,"

Blockchain is a technology that has attracted the attention of all types of businesses. Cryptocurrency such as Bitcoin has gained the most attention, but now companies are applying Blockchain technology to develop solutions improving traditional applications and securing all types of transactions. Robust and innovative, this technology is being combined with other well-known technologies including Cloud Computing, Big Data, and IoT to revolutionize outcomes in all verticals.Unlike books focused on financial applications, Essential Enterprise Blockchain Concepts and Applications is for researchers and practitioners who are looking for secure, viable, low-cost, and workable applications to solve a broad range of business problems. The book presents research that rethinks how to incorporate Blockchain with existing technology. Chapters cover various applications based on Blockchain technology including:  Digital voting Smart contracts Supply chain management Internet security Logistics management Identity management Securing medical devices Asset management Blockchain plays a significant role in providing security for data operations. It defines how trusted transactions can be carried out and addresses Internet vulnerability problems. Blockchain solves the security fault line between AI and IoT in smart systems as well as in other systems using devices connected to each other through public networks. Linear and permanent indexed records are maintained by Blockchain to face the vulnerability issues in a wide variety applications. In addition to applications, the book also covers consensus algorithms and protocols and performance of Blockchain algorithms.
                    
"
Political and Economic Implications of Blockchain Technology in Business and Healthcare,https://www.kingstone.com.tw//basic/203c108613807?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"D獺rio de Oliveira,Rodrigues",Ingram      ,9781799873631,https://cdn.kingstone.com.tw/english/images/product/3631/9781799873631.jpg,"

It is known that trust is of the utmost importance in human interactions, and blockchain technology establishes a new type of foundation for financial and political confidence. This new kind of trust is based on cryptographic techniques and distributed in digital networks. In an uncertain world where it is difficult to tell what is real or fake, decentralized organizational networks may prove to be particularly competitive given that this new ""distributed trust"" endows them with an unusual functional autonomy, namely guaranteeing the authenticity, confidentiality, and integrity of the processed data. Besides the direct sharing of information enabled by blockchain, transactions can now also take place with newfound trust and ways to safely manage personal data. It is important to look at these implications, particularly in sectors such as business and healthcare. Political and Economic Implications of Blockchain Technology in Business and Healthcare provides relevant theoretical frameworks on the political and economic impact of blockchain technology, which is thought to be able to redesign human interactions concerning transactions. Specifically, it will give ideas, concepts, and instruments considered relevant to advance the knowledge about ""cryptoeconomics"" and decentralized governance. The chapters will also provide several insights on business applications of this digital innovation, particularly in the healthcare sector, and will explore the ethical impact of the new ""distributed trust"" paradigm resulting from the surge of such a disruptive technology. This book is essential for students and researchers in social and life sciences, professionals and policymakers working in the fields of public and business administration, healthcare workers and researchers, academicians, and students interested in blockchain technology and the political and economic impacts in the industry.
                    
"
Machine Learning Approaches for Convergence of Iot and Blockchain,https://www.kingstone.com.tw//basic/203c109134046?zone=english&lid=search&actid=WISE&kw=Blockchain&pi=0,"Krishna Kant,Singh",Ingram      ,9781119761747,https://cdn.kingstone.com.tw/english/images/product/1747/9781119761747.jpg,"

The digital revolution is characterized by the convergence of technologies, rapidly advancing the 4th industrial revolution thereby blurring the lines between physical, digital and biological objects. The speed of the fourth revolution which evolves at an exponential rate cannot by any means be compared with any previous technologies. AI and IoT employ the interactions and operations in various fields such as home appliances, autonomous vehicles, nanotechnology, robotics, cognitive systems, self-driving cars and wearable devices. The potential of blockchain technology is realized in many sectors as security plays a crucial role everywhere. This book deeply discusses two of the most critical emerging fields of machine learning: blockchain technology and the Internet of Things.
                    
"
