書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
DevOps Culture and Practice with OpenShift,https://www.kingstone.com.tw//basic/203c109947286?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Tim,Beattie",Packt       ,9781800202368,https://cdn.kingstone.com.tw/english/images/product/2368/9781800202368.jpg,"

A practical guide to making the best use of the OpenShift container platform based on the real-life experiences, practices, and culture within Red Hat Open Innovation LabsKey Features: Learn how modern software companies deliver business outcomes that matter by focusing on DevOps culture and practicesAdapt Open Innovation Labs culture and foundational practices from the Open Practice LibraryImplement a metrics-driven approach to application, platform, and product, understanding what to measure and how to learn and pivotBook Description: DevOps Culture and Practice with OpenShift features many different real-world practices - some people-related, some process-related, some technology-related - to facilitate successful DevOps, and in turn OpenShift, adoption within your organization. It introduces many DevOps concepts and tools to connect culture and practice through a continuous loop of discovery, pivots, and delivery underpinned by a foundation of collaboration and software engineering.Containers and container-centric application lifecycle management are now an industry standard, and OpenShift has a leading position in a flourishing market of enterprise Kubernetes-based product offerings. DevOps Culture and Practice with OpenShift provides a roadmap for building empowered product teams within your organization.This guide brings together lean, agile, design thinking, DevOps, culture, facilitation, and hands-on technical enablement all in one book. Through a combination of real-world stories, a practical case study, facilitation guides, and technical implementation details, DevOps Culture and Practice with OpenShift provides tools and techniques to build a DevOps culture within your organization on Red Hat's OpenShift Container Platform.What You Will Learn: Implement successful DevOps practices and in turn OpenShift within your organizationDeal with segregation of duties in a continuous delivery worldUnderstand automation and its significance through an application-centric viewManage continuous deployment strategies, such as A/B, rolling, canary, and blue-greenLeverage OpenShift's Jenkins capability to execute continuous integration pipelinesManage and separate configuration from static runtime softwareMaster communication and collaboration enabling delivery of superior software products at scale through continuous discovery and continuous deliveryWho this book is for: This book is for anyone with an interest in DevOps practices with OpenShift or other Kubernetes platforms.This DevOps book gives software architects, developers, and infra-ops engineers a practical understanding of OpenShift, how to use it efficiently for the effective deployment of application architectures, and how to collaborate with users and stakeholders to deliver business-impacting outcomes.
                    
"
Modern DevOps Practices,https://www.kingstone.com.tw//basic/203c108650677?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Gaurav,Agarwal",Packt       ,9781800562387,https://cdn.kingstone.com.tw/english/images/product/2387/9781800562387.jpg,"

Enhance DevOps workflows by integrating the functionalities of Docker, Kubernetes, Spinnaker, Ansible, Terraform, Flux CD, CaaS, and more with the help of practical examples and expert tips Key Features: Get up and running with containerization-as-a-service and infrastructure automation in the public cloudLearn container security techniques and secret management with Cloud KMS, Anchore Grype, and Grafeas KritisLeverage the combination of DevOps, GitOps, and automation to continuously ship a package of softwareBook Description: Containers have entirely changed how developers and end-users see applications as a whole. With this book, you'll learn all about containers, their architecture and benefits, and how to implement them within your development lifecycle.You'll discover how you can transition from the traditional world of virtual machines and adopt modern ways of using DevOps to ship a package of software continuously. Starting with a quick refresher on the core concepts of containers, you'll move on to study the architectural concepts to implement modern ways of application development. You'll cover topics around Docker, Kubernetes, Ansible, Terraform, Packer, and other similar tools that will help you to build a base. As you advance, the book covers the core elements of cloud integration (AWS ECS, GKE, and other CaaS services), continuous integration, and continuous delivery (GitHub actions, Jenkins, and Spinnaker) to help you understand the essence of container management and delivery. The later sections of the book will take you through container pipeline security and GitOps (Flux CD and Terraform).By the end of this DevOps book, you'll have learned best practices for automating your development lifecycle and making the most of containers, infrastructure automation, and CaaS, and be ready to develop applications using modern tools and techniques.What You Will Learn: Become well-versed with AWS ECS, Google Cloud Run, and KnativeDiscover how to build and manage secure Docker images efficientlyUnderstand continuous integration with Jenkins on Kubernetes and GitHub actionsGet to grips with using Spinnaker for continuous deployment/deliveryManage immutable infrastructure on the cloud with Packer, Terraform, and AnsibleExplore the world of GitOps with GitHub actions, Terraform, and Flux CDWho this book is for: If you are a software engineer, system administrator, or operations engineer looking to step into the world of DevOps within public cloud platforms, this book is for you. Existing DevOps engineers will also find this book useful as it covers best practices, tips, and tricks to implement DevOps with a cloud-native mindset. Although no containerization experience is necessary, a basic understanding of the software development life cycle and delivery will help you get the most out of the book.
                    
"
Google Cloud for DevOps Engineers,https://www.kingstone.com.tw//basic/203c109283567?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Sandeep,Madamanchi",Packt       ,9781839218019,https://cdn.kingstone.com.tw/english/images/product/8019/9781839218019.jpg,0
DevOps Adoption Strategies,https://www.kingstone.com.tw//basic/203c109947394?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Martyn,Coupland",Packt       ,9781801076326,https://cdn.kingstone.com.tw/english/images/product/6326/9781801076326.jpg,"

Gain in-depth insight into DevOps relative to your field of expertise and implement effective DevOps culture and processes within your organizationKey Features: Packed with step-by-step explanations and practical examples to help you get started with DevOpsDevelop the skills and knowledge you need to tackle the deployment of DevOps toolsDiscover technology trends such as FinOps and DevSecOps to get more value from DevOpsBook Description: DevOps is a set of best practices enabling operations and development teams to work together to produce higher-quality work and, among other things, quicker releases. This book helps you to understand the fundamentals needed to get started with DevOps, and prepares you to start deploying technical tools confidently.You will start by learning the key steps for implementing successful DevOps transformations. The book will help you to understand how aspects of culture, people, and process are all connected, and that without any one of these elements DevOps is unlikely to be successful. As you make progress, you will discover how to measure and quantify the success of DevOps in your organization, along with exploring the pros and cons of the main tooling involved in DevOps. In the concluding chapters, you will learn about the latest trends in DevOps and find out how the tooling changes when you work with these specialties.By the end of this DevOps book, you will have gained a clear understanding of the connection between culture, people, and processes within DevOps, and learned why all three are critically important.What You Will Learn: Understand the importance of culture in DevOpsBuild, foster, and develop a successful DevOps cultureDiscover how to implement a successful DevOps frameworkMeasure and define the success of DevOps transformationGet to grips with techniques for continuous feedback and iterate process changesDiscover the tooling used in different stages of the DevOps life cycleWho this book is for: This book is for IT professionals such as support engineers and systems engineers and developers looking to learn DevOps and for those going through DevOps transformation. General knowledge of IT and business processes will be helpful. You'll also find this book useful if you are in a business or service role within technology such as service delivery management. Basic familiarity with DevOps and transformational methods such as value streams and process are needed to get the most out of this book.
                    
"
DevOps-Leadership - Schritte zur Einf羹hrung und Umsetzung von DevOps,https://www.kingstone.com.tw//basic/203c103219502?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Martin J,Adams",Ingram      ,9783752667158,https://cdn.kingstone.com.tw/english/images/product/7158/9783752667158.jpg,"

DevOps ist in aller Munde. Oft wird es sehr technisch dargestellt, sei es in Hinblick auf die einzusetzenden Methoden und Frameworks oder auch in Hinblick auf Techniken und Entwicklungs-Frameworks. Martin J. Adams ist ausgewiesener Fachmann f羹r agile Vorgehensweisen, speziell zu den Themenbereichen ""F羹hrung"" und ""Organisationsentwicklung"". Im vorliegenden Band stellt er die wichtigsten Methoden im Kontext von DevOps und die sich daraus ergebenden Ma?nahmen und Methoden f羹r F羹hrungspersonen dar, welche ihre Teams dabei unterst羹tzen wollen, mit DevOps erfolgreich zu sein und damit einen wertvollen Beitrag zum Unternehmenserfolg zu leisten.
                    
"
DevOps For Beginners,https://www.kingstone.com.tw//basic/203c102172790?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Liam,Foster",17 Books Publishing,9781801490481,https://cdn.kingstone.com.tw/english/images/product/0481/9781801490481.jpg,"

Have you been looking for a way to boost your skills and become a master in DevOps for your business or career in software development but lack an excellent, high-quality guide to assist you get there?And are you looking for a guide that is simple, assuring and easy to follow?If you've answered YES, keep reading...You Are About To Discover The Ins And Outs Of Dev-Ops, Including How To Leverage Its Power To Your Advantage In Your Business Or Career!It goes without saying that DevOps is one of the greatest inventions in software development. It came to satisfy a need to get away from the traditional software design for efficiency, collaboration and productivity in development processes, and by extension to boost business growth.Did you know that businesses that adopt DevOps enjoy up to 60% more revenue rates and profit than their reticent counterparts?Unfortunately, great as it is, DevOps remains one of the most misunderstood concepts- even by tutors across the world!Similarly, for someone who's just getting into the software development scene or someone wh0 has drowned in the ""Waterfall"" methodology a couple of times before, it may seem like something a little complex or one that requires some skill, or lots of effort and time to master.If you can relate, you must have wondered: What's DevOps all about, and is there a way to learn it quickly?What does DevOps entail?How exactly would I benefit from learning DevOps?How and where do I get started?Is DevOps agile? How does it work?So if such questions have been keeping you from making the next important step in your career or business with DevOps, then this simple, clear and straightforward guide is here for you.With it, you'll learn: What DevOps is and why you need itThe features of DevOps architecture The potential benefits and risks of using DevOpsWhat you need to know about the DevOps lifecycleThe ins and outs of the DevOps architectureThe workflow and principles of DevOpsThe DevOps tools you need to know and useHow DevOps automation worksWho DevOps engineers are, and the roles they playThe methodologies and pipelines of DevOps you need to familiarize yourself withThe DevOps Amazon Web ServicesThe tools and tutorials for DevOps, including their features and benefitsHow to install GIT on Mac, Linux and Windows...And much more!Do you prefer practical guides that you can implement as you go (not ones that are heavy on theory- that require taking loads of caffeine to complete)?Do you want a beginners' book that is exciting to follow and well-structured for quick comprehension?Then don't let this one slip away.Even if this is your first time actually wanting to learn DevOps, this book will hold you by the hand until you feel confident about it!
                    
"
DevOps - Successfully Combining Development and IT Operations,https://www.kingstone.com.tw//basic/203c102176547?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Curt W,Meister",Books on Demand,9783752659269,https://cdn.kingstone.com.tw/english/images/product/9269/9783752659269.jpg,"

DevOps is on everyone's lips. The combination of agile development approaches such as Scrum, Kanban, Extreme Programming or others with future-proof service management approaches seems to be the guarantee for success for modern IT organizations. Is this just the next fad in IT or is there actual optimization potential here and if so, what are the prerequisites and framework conditions that are important for this? The author, a proven expert for agile methods and DevOps, shows where DevOps can be used beneficially and which techniques and methods are target-oriented. This includes approaches such as Continuous Delivery as well as the concept of anti-fragility or the integration of approaches from Lean Thinking. This book is aimed at newcomers to the subject who want to gain a good overview and a basis for decision-making with little effort.
                    
"
Azure DevOps Explained,https://www.kingstone.com.tw//basic/203c011143280?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Sjoukje,Zaal",Packt       ,9781800563513,https://cdn.kingstone.com.tw/english/images/product/3513/9781800563513.jpg,"

Implement real-world DevOps and cloud deployment scenarios using Azure Repos, Azure Pipelines, and other Azure DevOps toolsKey FeaturesImprove your application development life cycle with Azure DevOps in a step-by-step mannerApply continuous integration and continuous deployment to reduce application downtimeWork with real-world CI/CD scenarios curated by a team of renowned Microsoft MVPs and MCTsBook DescriptionDeveloping applications for the cloud involves changing development methodologies and procedures. Continuous integration and continuous deployment (CI/CD) processes are a must today, but are often difficult to implement and adopt. Azure DevOps is a Microsoft Azure cloud service that enhances your application development life cycle and enables DevOps capabilities.Starting with a comprehensive product overview, this book helps you to understand Azure DevOps and apply DevOps techniques to your development projects. You'll find out how to adopt DevOps techniques for your development processes by using built-in Azure DevOps tools. Throughout the course of this book, you'll also discover how to manage a project with the help of project management techniques such as Agile and Scrum, and then progress toward development aspects such as source code management, build pipelines, code testing and artifacts, release pipelines, and GitHub integration. As you learn how to implement DevOps practices, this book will also provide you with real-world examples and scenarios of DevOps adoption.By the end of this DevOps book, you will have learned how to adopt and implement Azure DevOps features in your real-world development processes.What you will learnGet to grips with Azure DevOpsFind out about project management with Azure BoardsUnderstand source code management with Azure ReposBuild and release pipelinesRun quality tests in build pipelinesUse artifacts and integrate Azure DevOps in the GitHub flowDiscover real-world CI/CD scenarios with Azure DevOpsWho this book is forThis book is for developers, solutions architects, and DevOps engineers interested in getting started with cloud DevOps practices on Azure. Prior understanding of Azure architecture and services is necessary. Some knowledge of DevOps principles and techniques will be useful.

"
Professional Scrum Development with Azure Devops,https://www.kingstone.com.tw//basic/203c200303481?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Richard,Hundhausen",Microsoft Press,9780136789239,https://cdn.kingstone.com.tw/english/images/product/9239/9780136789239.jpg,"

This is the definitive guide to maximizing the value of today's Scrum and DevOps methodologies with state-of-the-art Microsoft cloud tools and services, including Azure DevOps Services, specifically Azure Boards and Azure Test Plans. Renowned Scrum expert Richard Hundhausen has comprehensively revamped and updated his classic Professional Scrum Development with Microsoft Visual Studio 2012 to reflect the latest Scrum Guide, Microsoft's breakthrough development tools, GitHub integration, and developers' deeper experience with Scrum.  Professional Scrum Development with Azure DevOps  stands apart from all other Scrum and Azure guides by focusing on the fusion of today's most popular agile framework (Scrum) and ALM/DevOps toolset (Azure DevOps). Hundhausen shows how a professional Scrum team can more effectively plan, track, and manage its work with Azure Boards, Azure Test Plans, and related Azure DevOps features. He offers detailed coverage of team formation, backlogs, sprints, test plans, collaboration, flow, continuous improvement, and the real-world tradeoffs between using tools and interacting directly with other team members. To make this guide even more valuable, Hundhausen has crafted it to complement Scrum.org's popular Professional Scrum Developer (PSD) program, which he personally created with Scrum.org's Ken Schwaber. 

"
DevOps - Erfolgreich Entwicklung und IT-Betrieb verbinden,https://www.kingstone.com.tw//basic/203c101312247?zone=english&lid=search&actid=WISE&kw=DevOps&pi=0,"Curt W,Meister",Ingram      ,9783751994897,https://cdn.kingstone.com.tw/english/images/product/4897/9783751994897.jpg,"

DevOps ist in aller Munde. Die Verbindung von agilen Entwicklungsans瓣tzen wie Scrum, Kanban, Extreme Programming oder anderen mit zukunftsf瓣higen Service Management- Ans瓣tzen scheint der Erfolgsgarant f羹r moderne IT-Organisationen zu sein. Ist dies nur die n瓣chste Modeerscheinung in der IT oder liegt hier tats瓣chliches Optimierungspotential und wenn ja, welche Voraussetzungen und Rahmenbedingungen sind daf羹r wichtig? Der Autor, ein ausgewiesener Fachmann f羹r agile Methoden und DevOps, zeigt auf, wo DevOps nutzbringend eingesetzt werden kann und welche Techniken und Methoden dabei zielf羹hrend sind. Dazu geh繹ren Ans瓣tze wie Continuous Delivery genauso wie das Konzept der Antifragilit瓣t oder die Integration von Ans瓣tzen aus dem Lean Thinking. Das vorliegende Buch richtet sich an Einsteiger ins Thema, welche sich mit geringem Aufwand einen guten ?berblick verschaffen und Entscheidungsgrundlagen erwerben m繹chten.
                    
"
