書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106331342?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781667107943,https://cdn.kingstone.com.tw/english/images/product/7943/9781667107943.jpg,"


如何用別人的智慧解決你的問題！
《生命是長期而持續的累積》作者彭明輝新作，教你掌握知識經濟時代的核心能力
	 

	彭明輝〈學術文獻回顧與分析的程序與技巧〉，一篇震撼海峽兩岸大學的文章，網站點閱超過100萬次！
	北京四大高校的博士生為它舉辦了一次跨校討論會，一個學術研討會將它印給全體與會者。
	新竹的國立交通大學圖書館連續兩年邀彭明輝演講並錄影，很多實驗室都把這錄影帶列為「新生必看」。
	本書《研究生完全求生手冊：方法、秘訣、潛規則》即由該文延伸而成，是國內外指導教授不會教、攸關碩博士生研究成敗的要領！

	用別人的智慧，解決自己的問題

	彭明輝《研究生完全求生手冊》的寫作目標聚焦在碩、博士生所需要的基本能力，以及畢業前所需要的研究方法、訣竅與潛規則，而不奢談更高深的創意或研究方法。

	此外，為了讓這些方法易學、易用，彭明輝還把不可捉摸的研究方法與創意精煉成一套「研究工作DIY」的分解動作，引導讀者由淺入深，逐步掌握文獻回顧、批判性思考與創新的要領，讓他們可以只靠前人的智慧就生產出不錯的碩士論文，但又為讀者的個人天分保留充分的發揮餘地。

	最重要的是這項研究能力還可以轉化為終生受用的核心能力，讓你的工作、人生邁向更高的境界。

本書最佳使用指南

	《研究生完全求生手冊》有兩種可能的用法：其一碩士生自己培養研究能力或博士生和研發工程師提升研究能力的工具書；其二是研究所新生訓練或企業界研發單位新人訓練的教材。

	起步
	第1章介紹研究所可以學到的能力，以及它們如何讓人「終生受用」；
	第2章區辨學術論文的良窳，讓讀者知道自己要找的是怎樣的「金礦」；
	第3章將研究工作分成十三個主要步驟，並且建議一個工作進度表，供讀者參考。如果把研究工作比喻為一趟探險之旅，這三章合起來等於是「行前說明」。

	如何進行研究工作
	第4章談如何選指導教授；
	第5章到第16章討論選題、總覽式文獻回顧、彙整批判性思考的要領與原則、創新的策略、十倍速文獻回顧的要領、研究規劃與風險控管、盤點研究成果與鞏固深化、論文寫作，以及口試委員的期待。
	這十三章就是《研究生完全求生手冊》的核心。
	看似遺漏的一章是關於論文研究計畫書的撰寫，它是很多博士生和少數碩士生資格考的項目之一，但是絕大多數碩士生不需要寫論文研究計畫書，作者把它放在書末的〈附錄1：碩、博士論文計畫書〉。

	學術界、產業界如何相互為用
	第17章談研究所核心能力在職場與人生重大事件裡的轉化與活用；
	第18章談台灣這種後進、小國較適用的低成本、低耗時、低風險、高產出研發策略；
	第19章討論學界如何跨越產學鴻溝。
	這本書所介紹的研究能力不僅對研究生有用，還可以轉化為對台灣產業界與制度設計非常有參考價值的能力，用以促成產業升級。

	《研究生完全求生手冊》下筆力求流暢、易懂，用具體案例來深化讀者的吸收。本書強調方法論層次的觀念、要領和潛規則，目的在掌握建立讀者文獻回顧、自我批判與創新的能力，並且避免用瑣碎的技術性細節和規範來糾絆讀者的理解。

學術界‧產業界大力推薦

	治學的人，世界很小，也很大。說小就是研究室，說大卻是全世界，彭教授的書，告訴我們如何享受那個大世界。──朱國瑞（中央研究院院士，台大物理系特聘研究講座教授）

	彭教授這本書的重點不在於文憑高分、也不在於如何進入有名的公司。它是一本透過科學精神、科學方法教導如何培養自我能力與獨立思考的書。──楊光磊（台積電研發中心處長）

	《研究生完全求生手冊》撰寫雖從研究生角度出發，一般企業的產品或技術研發部門，若能依循本書的DIY技巧詳實操作，相信在新產品的開發上也能獲得極大的助益。──柯茂全（四零四科技公司董事）

	《研究生完全求生手冊》是一本一步步協助你學習的優異指南，讓你除了順利得到一紙文憑當作事業的敲門磚，還真正掌握探索新知的信心和力量。──黃貞祥（清華大學分子與細胞生物研究所助理教授）

	每當有研究生問我關於學術文獻分析與論文題目選取等問題時，我總是推薦他們閱讀彭老師準備給他的實驗室學生的文件。如今彭老師將這些文件內容擴充並且彙整成為專書，……書中雖然是以理工科系作為範例，然而同樣適用於數量方法取向的經濟與財金科系的研究生以及研究人員。──何泰寬（清華大學計量財務金融學系教授）

	如果我在出國前就讀過這一本書，將會更懂得如何選學校、指導教授與研究題目，不會因為太在意獎學金而失去許多更好的機會。假如我在博士畢業前就讀過它，選擇職場跑道時會有更好的判斷依據，而不會浪費許多時間。──廖瑞蘋（矽谷科技公司Cisco前資深研究員）

	彭教授傾盡畢生研究、教學與產業心得，從「探索求知」一路到「務實應用」，所有心得與方法，都灌注到這本書中。字字金玉，篇篇深刻。──謝宇程（多年研究教育、人才培育的專欄／書籍作家）

"
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106331343?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781667107950,https://cdn.kingstone.com.tw/english/images/product/7950/9781667107950.jpg,"


日本哲學大叔又出招了，
	這回化身為教你如何寫論文的犀利導師！


	不知道論文怎麼下筆嗎？別人寫起來咻咻咻，你卻是頭皮抓到破？
	就讓笑哏用不完的哲學大叔，帶你走一趟既殘酷又感動且爆笑的論文寫作之旅吧！
	大叔從哲學家最擅長、而你最頭痛的「論證」著手，
	一步步讓你由抓頭皮到咻咻咻，從低空飛過變得揮灑自如。
	秘藏不傳的葵花寶典，絕對前所未聞，保證大開眼界！
	（噓，不要跟老師說這本書把他們的秘密都洩光光了！）

	論文是什麼！？是針對某個問題主張明確的答案，並且論證該主張的文章。本書主角是個不擅長寫文章的大一新生，在他想方設法寫出有閱讀價值的論文的奮鬥過程中，作者傳授了邏輯地寫作文章的知識。本書不只詳細介紹論文大綱的寫作方法，也清楚說明必須舉什麼樣的例證才能提高說服力，以及怎麼樣駁斥反對意見。這是本你讀了，就必定學會寫論文的終極入門書！

【哲學大叔火花四濺的論文寫作語錄】

	「你是為了什麼要寫論文的呢？是為了不暴露自己的愚蠢嗎？不是吧。是為了要擺脫愚昧，才去思考、寫作論文的吧。……為什麼讀高中、大學要孜孜不倦地寫論文呢？因為這對於擺脫愚昧是必要的。如果只把寫論文當成學分必經的苦差事，是相當可惜的事。」

	「學術世界裡的基本規則是：『經過人們傾力調查、思考而獲得的真理、知識，基本上應該為人類全體所共享。但是，為了回報這些努力，必須對催生了這些真理、知識的人致敬。』剽竊違反了這個規則。剽竊被嚴厲地責難，是因為學生也被視為是學術界的一員。」

	「寫論文是把自己的想法以……別人可以檢驗的格式……提出主張，某種意義上是非常傲慢的行為，就像對別人說：『喂！你！還有你！你們如果腦筋清楚的話，就一定得接受我的結論！』因此這部分的責任會一直如影隨形地跟著你。如果沒有承擔這個責任的勇氣，那你一生就與論文無緣了。」

	「論文是為了說服別人而寫的文章，不是青春宣言，也不是愛的告白。要隱藏熱切的心，用冷靜的頭腦取得邏輯上的說服力。」

	「讓別人認可自己想法，不光只有寫論文這條路。利用對方的恐懼感來威脅，或者訴諸情感苦苦哀求也可以。利用對方的無知用騙的也行。……如果傳達自己的想法，得付出讓人害怕、同情或怨懟的代價，有另一條路不是更好嗎？那就是訴諸對方的理性來說服。而且我偏愛這種方式。為什麼呢？因為只有這種方式，才是把對方跟自己擺在對等的地位。」

	「不易閱讀的文章，並不是使用困難詞彙的文章，而是無法看透結構的文章。如果你們或我是某個領域最傑出的領袖學者，那不管寫的論文多難讀，大家還是會忍耐讀下去。但那是少數人的特權。我們既然是平凡人，就必須盡可能地在論文的結構上下功夫，讓讀者容易瞭解。」

本書特色

	◎擅長以生動活潑的筆觸推廣學問的戶田山和久這次要教你寫論文！長銷日本二十萬冊的《論文教室》不但和他的《「科學的思考」九堂課：學校不教的科學》一樣，有著清晰的邏輯和清楚的結構，更明白地暴露了作者的毒舌本色。《論文教室》充分展現哲學大叔的魅力風格，集細膩的分析、充滿機鋒的對話，和激勵學子提升自我的諄諄善誘於一書。怎麼會有這麼神奇的論文寫作書！？

	◎哲學大叔以二十年教學生涯中批改過無數報告的經驗，綜合各種「差勁論文」的寫作特色，創造出虛擬人物「作文差勁男」。閱讀《論文教室》，你將與差勁男一同經歷寫論文過程中的憤怒、絕望、哭泣、吶喊及歡笑。大叔還運用收藏的大量樣本，秀出學生很容易「創造」出來的包括「幽靈」、「殭屍」、「烏賊飯」、「不明物體」、「頭腦星人」、「濃妝鬼」等等怪異文句，逐一分析這些不良寫作方式的問題所在。

	◎論文最重要的是結構！大叔以「播種」、「培育」的生動意象，一步步教你孕育出具有清晰結構的論文。首先播下論文的種子（「項目」大綱），接著從模模糊糊的問題，透過「角色扮演法」和「撞球法」發展出明確的大綱；隨著調查進展與思考深化，「項目大綱」應循序漸進地轉變成「語句大綱」；然後將語句大綱的各個語句當成主題句，再加上補充說明的附屬句，擴充形成「paragraph」；最終按部就班地膨脹成為文章，你就培育出具有完整結構的論文了。

"
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106383240?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781008965720,https://cdn.kingstone.com.tw/english/images/product/5720/9781008965720.jpg,"


	Chicago論文寫作格式出版至今，數十年來已幫助了各學科領域裡無數研究者與學生，能夠順利完成研究及論文的撰寫與提交。「芝加哥格式」又稱為「杜拉賓格式」（為了紀念原作者Kate L. Turabian），本書是為研究者示範「芝加哥格式」的權威工具書。

	 

	本書涵蓋從事研究與論文寫作的所有步驟，共分為三部分：第一部分概述研究與寫作的每個步驟，包括草擬與修改；第二部分全方位地解說兩種「芝加哥格式」的引註方法；最後一部分闡述寫作格式，以及呈現引述和圖像資料的正確方法。

	 

第九版新增內容

	●引註數位資料與網路來源的指引

	●關於培養資訊素養的實質建議

	●更多關於論文電子格式與電子提交的指導

	●可與第17版的The Chicago Manual of Style對照使用

	 

"
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106180058?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781008965683,https://cdn.kingstone.com.tw/english/images/product/5683/9781008965683.jpg,"

本世紀以來，向「學術期刊」投稿並發表論文業已成為不同領域眾多學術工作者日思夜夢卻難以揮之即去的暗影，而其「篇數」與「點數」（影響係數）的重要性則久已凌駕研究發現或成果之學術意涵，成為謀求學術地位與身分的捷徑與門路，功利導向甚濃。但學術期刊真的只是學術工作者的「發表工具」？其「學術性」為何？內在結構與運作流程以及外在體系的相關鍊結組件又為何？投稿人面對高退稿率的現況要如何自處？其所書寫之學術論著有何體例規範必須遵循？本書有意探索此一「學術黑盒子」的真實面貌，旨在揭櫫「學術期刊」涉及之寫作、投稿與審稿諸多考量，並以實例說明投稿人如何得與「學刊編輯委員會」（含主編與匿名評審）互動，藉此示範、闡述、釋疑向「學術期刊」投稿此一歷程可能含括之眾多內在元素。
                    
"
Machine Learning,https://www.kingstone.com.tw//basic/203c106255708?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728782,https://cdn.kingstone.com.tw/english/images/product/8782/9781801728782.jpg,"


	高中階段是許多同學開始接觸學術研究的時期，小論文及科展的研究常常是同學們在學術之路的第一個研究作品。但是，高中是升學過程中極為關鍵的階段，如果想進行小論文的寫作通常需要付出相當多的額外心力，一本簡潔但精闢的工具書將可以提供許多重要的幫助。作者身為大學教授，希望能夠將自身豐富的研究及寫作經驗，轉化為簡潔扼要的內容，作為高中同學在進行學術研究時的指南。本書內容涵蓋了「學術倫理」、「研究進行」，和「論文寫作」三個重要面向，分別介紹研究進行前、研究進行中，以及研究完成後，同學們所需要培養與具備的研究概念及寫作能力。

"
Machine Learning,https://www.kingstone.com.tw//basic/203c106391434?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728775,https://cdn.kingstone.com.tw/english/images/product/8775/9781801728775.jpg,"


	◎本書適用對象 ☑碩博士論文 ☑小論文 ☑課堂報告 ☑論述性報告

	 

◎為什麼小論文、研究論文很難寫？

	資訊爆炸的時代下，不管是生活還是學問，都過分強調快速、方便。相較之下，生產出有價值的情報，或是成為有價值的情報生產者變得沒這麼重要。有些人稍微聽了一點報紙、電視等大眾媒體的資訊就一副了然於心的樣子，我把這些人稱為「資訊消費者」。但是，無論消費者多麼精通情報掌握，都不可能變成生產者。而論文就是所有情報資訊生產的集大成，所以我經常要求學生，與其當一個資訊的消費者，不如當生產者。

	 

	◎Check！寫出結構清楚、妥當論證的六大論文重點

	 

【寫論文前該有的問題意識】

	1. 提問：論文的核心關鍵，而且還必須提出沒有人提過的問題。提出適當的問題，研究說成功了一半。提問有兩個條件，第一個是提出能回答的問題；第二是提出自己能力所及的問題。

	 

	2. 原創性：提出沒有人提過的問題，就叫做「原創性」；而了解既有資訊的知識，稱為「素養」。人只要努力就能擁有素養，但原創性需要的是品味。那麼素養和原創性哪一個重要？如果有人這樣問我，我都會回答：兩者都重要，但硬要選一個的話，「有原創性但欠缺素養」比「有素養但缺乏原創性」好一點。

	 

【寫出具有導航功能的研究計畫】

	3. 先行研究：保持批判性才不會被既有的研究說服，不是看透已經有什麼，而是看透缺少什麼。別忘了！批判永遠是後進者（late comer）的特權。

	 

	4. 研究計畫的十大金律：從研究主題到研究限制的十大要素，學會了，架構就出來了。

	 

	5. 沒有一次就成功的研究計畫：專業的研究者一生都在撰寫研究計畫，如果沒有先修正好軌道，錯誤就會一直累積到之後。

	 

【假說和研究方法的靈活運用】

	6. 理論假說和實用假說：假說就是，偏見或預判的別名。因為我們無法在完全空白的狀態下開始研究，本來在提問的時候，研究者就已經有定見，問題才能成立。把理論假說套入可驗證的實證命題，就叫做「實用假說」。

	 

	7. 兩大分析手法：量化調查能獲得每個問題的統計結果，質化調查則是獲得和樣本數等量的案例報告。

	 

【蒐集並分析資料】

	主要針對質化調查的分析提出4大步驟，從觀察、面談、文書或紀錄等語言資訊中，用KJ法和上野式質化分析法做分析。

	 

【輸出】

	從論文最重要的目次開始教你怎麼寫，再到細節的格式、適用、註釋、文獻的標記，還有字體與大小等方法。

	 

【傳達給讀者】

	輸出完成的論文，還要透過時間掌控與簡報技巧的加強。把自己想像成製作人，用現場發表的機會傳遞給讀者。

	 

本書特色

	 

	★中國文化大學大眾傳播學系副教授林福岳，專業審訂專文導讀，實用度倍增

	★東京大學名譽教授上野千鶴子，耗費14個月將畢生40年的研究心得和方法系統化

	★號稱日本最嚴格的「東大上野講座」，歸納整理出論文的18個步驟、143個具體操作

	★學生狂熱支持！從問題提起到口頭報告的流程，讓研究生低門檻、高效率的克服論文障礙的最強工具書

	 

"
Learning Python,https://www.kingstone.com.tw//basic/203c102160111?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146654,https://cdn.kingstone.com.tw/english/images/product/6654/9781801146654.jpg,"

一本為你而生的褓母級論文救急攻略。　每週3小時，你也能寫出一篇自己滿意（教授點頭）的研究論文！◆本書操作簡明，讓SPSS極易上手，速懂這套國內研究生分析數據最普遍使用的統計軟體。◆包含「問卷調查」教學，從事前的規劃、設計及眉角，到事後的解讀、分析及常見謬誤。◆褓母級的論文輔導，從題目構想、章節論述，到最後口試的細節，step-by-step從頭帶領你深入了解。------羨慕別人咻咻咻就寫完論文？含恨自己上統計課時總私會周公？最怕朋友突然的關心——「你畢業了嗎？」、「論文寫完了嗎？」隆重介紹本書登場！以科學方法正面迎擊研究生的最大關卡！講求效率是本書的核心。兼具精簡性及完整性，設立明確目標，少走許多自我探索時摸不著頭緒的彎路。一學年內，每週3小時，過關斬將KO論文大魔王。作者融會多年來指導數十位碩士生論文的經驗，從碩論的完整流程、基本架構，到問卷調查的信效度分析，一步一腳印帶著初學者領略統計分析與論文的撰寫技巧。108小時後——碩士學位輕鬆到手！
                    
"
Machine Learning,https://www.kingstone.com.tw//basic/203c103772268?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146678,https://cdn.kingstone.com.tw/english/images/product/6678/9781801146678.jpg,"

寫作機器人需要擁有哪些能力？為什麼寫作時要言之有物，要避免使用大量華麗的辭藻？廢話、贅詞、錯字會對讀者的閱讀會造成什麼影響？為什麼有些文章會吸引人？為什麼找出自己文章的錯誤很難？為什麼知識是力量，但也是盲點的起源和偏見之母？這些是本書要回答的其中一些問題。這本書以學術論文寫作為例，不只提出關於如何寫作的建議，更重要的是論述這些建議的心理學基礎。本書根據認知心理學的理論和研究成果，提出寫作的三個支柱：有效分配認知資源、能夠監控自己和讀者的心理，以及具備寫作相關的知識和技能。這三個支柱分別涉及基礎的認知運作、後設與社會認知、以及語言與推理能力。增進寫作能力就是加強這三個支柱，缺一不可。本書並指出有效溝通的兩個原則：減輕讀者的認知負荷和將心比心地從讀者的角度思考。最後，本書主張我們應該以說故事的心態來思考和組織文章的內容。本書最終目標是希望你可以透過本書所討論的理論和研究，了解寫作所涉及的基本認知歷程，進而可以簡潔、有效且語意精準的文字與讀者溝通。
                    
"
Python Programming,https://www.kingstone.com.tw//basic/203c102203375?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146708,https://cdn.kingstone.com.tw/english/images/product/6708/9781801146708.jpg,"

這本實用的寫作指南教導學生如何為學期報告或碩博士論文準備文獻回顧，作者從已發表的論文中，為本書所提供的寫作準則提供大量的範例。原文書第七版的修訂特色：每章節皆將較廣泛的整體文獻回顧作業，分解成一系列較小與較容易掌握的步驟。增加適用於現代數位圖書館的操作說明。有關數位工具的全面性討論，包含：書目管理軟體與抄襲查驗軟體。符合第七版更新內容的章節活動。提供可協助授課老師規劃與教授課程的線上資源（www.routledge.com/9780415315746）。
                    
"
Machine Learning,https://www.kingstone.com.tw//basic/203c102203376?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146715,https://cdn.kingstone.com.tw/english/images/product/6715/9781801146715.jpg,"

「誰說等級低就不能拿勇者之劍？」本書是《傻瓜也會跑統計I》的續作。延續前作「就算不懂統計，也能跑完統計、寫完論文」的精神，本書希望為不懂統計但卻迫切需要統計的學生們……或是懂統計，但卻必須和不懂統計的學生相依為命的老師們，帶來一些溫暖。本書的特色有：✔18種常用的「進階統計操作步驟」—就算不懂統計也能照著這本書跑完統計。✔57個「論文書寫範例」—就算看不懂分析結果，也能依著這些範例寫完論文。✔25個「統計表格範例」—跟著書中指示去填，就能完成論文所需的表格。✔28個可愛的Excel小工具—可以幫你處理一般統計軟體無法處理，但論文需要的統計分析。✔32個精采的統計註解—增加你對統計奧密的理解……但可能同時伴隨有助眠的副作用。✔2個上了年紀但仍然帥氣的作者……這就不多作解釋了。相較於前作，本書介紹的是更進階的統計方法。面對進階統計分析的學生，就像剛踏入電玩冒險世界等級還很低的新手，卻必須立刻和血量無盡、攻防爆表的BOSS戰鬥。這時候已經沒有時間再慢慢練等級了，唯一能作的，就是帶上最強的武器裝備，硬著頭皮上陣。本書就是一把能夠立刻上手的勇者之劍；就算你的等級不高，也可以帶著這勇者之劍，平定那守在論文關卡前的統計魔龍！ ♦本書相關資料及程式下載方式請至作者網站： http://www.chihlongyen.url.tw/download/，直接下載。
                    
"
