書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Lte Cellular Narrowband Internet of Things (Nb-Iot),https://www.kingstone.com.tw//basic/203c106128353?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Hossam,Fattah",Ingram      ,9780367636296,https://cdn.kingstone.com.tw/english/images/product/6296/9780367636296.jpg,"

NB-IoT is the Internet of Things (IoT) technology used for cellular communication. NB-IoT devices deliver much better capability and performance, such as: increased area coverage of up to one kilometer; a massive number of devices--up to 200,000--per a single base-station area; longer battery lifetime of ten years; and better indoor and outdoor coverage for areas with weak signal, such as underground garages.  The cellular NB-IoT technology is a challenging technology to use and understand. With more than 30 projects presented in this book, covering many use cases and scenarios, this book provides hands-on and practical experience of how to use the cellular NB-IoT for smart applications using Arduino(TM), Amazon Cloud, Google Maps, and charts.  The book starts by explaining AT commands used to configure the NB-IoT modem; data serialization and deserialization; how to set up the cloud for connecting NB-IoT devices; setting up rules, policy, security certificates, and a NoSQL database on the cloud; how to store and read data in the cloud; how to use Google Maps to visualize NB-IoT device geo-location; and how to use charts to visualize sensor datasets.  Projects for Arduino are presented in four parts. The first part explains how to connect the device to the mobile operator and cellular network; perform communication using different network protocols, such as TCP, HTTP, SSL, or MQTT; how to use GPS for geo-location applications; and how to upgrade NB-IoT modem firmware over the air. The second part explains the microcontroller unit and how to build and run projects, such as a 7-segment display or a real-time clock. The third part explains how NB-IoT can be used with sensor devices, such as ultrasonic and environmental sensors. Finally, the fourth part explains how NB-IoT can be used to control actuators, such as stepper motors and relays.  This book is a unique resource for understanding practical uses of the NB-IoT technology and serves as a handbook for technical and non-technical readers who are looking for practicing and exercising the cellular NB-IoT technology. The book can be used by engineers, students, researchers, system integrators, mobile operators' technical staff, and electronics enthusiasts.  To download the software which can be used with the book, go to:  https: //github.com/5ghub/NB-IoT About the Author:   Hossam Fattah is a technology expert in 4G/5G wireless systems and networking. He received his Ph.D. in Electrical and Computer Engineering from University of British Columbia, Vancouver, Canada in 2003. He received his Master of Applied Science in Electrical and Computer Engineering from University of Victoria, Victoria, Canada in 2000. He completed his B.Sc. degree in Computers and Systems Engineering from Al-Azhar University, Cairo, Egypt in 1995. Between 2003 and 2011, he was in academia and industry, including Texas A&M University. Between 2011 and 2013, he was with Spirent Communications, NJ, USA. Since 2013, he has been with Microsoft, USA. He is also an affiliate associate professor at University of Washington, Tacoma, WA, USA, teaching graduate courses on IoT and distributed systems and collaborating on 5G research and innovations. He has had many patents and technical publications in conferences and journals. He is a registered professional Engineer with the Association of Professional Engineers, British Columbia, Canada. He is the author of the recent book 5G LTE Narrowband Internet of Things (NB-IoT). His research interest is in wireless communications and radio networks and protocols, cellular quality of service, radio resource management, traffic and packet scheduling, network analytics, and mobility.
                    
"
From GSM to LTE-Advanced 4Ed C,https://www.kingstone.com.tw//basic/203c102164665?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Martin,Sauter",Wiley       ,9781119714675,https://cdn.kingstone.com.tw/english/images/product/4675/9781119714675.jpg,"

A revised edition of the text that offers a comparative introduction to global wireless standards, technologies, and their applications The revised and updated fourth edition of From GSM to LTE-Advanced Pro and 5G: An Introduction to Mobile Networks and Mobile Broadband offers an authoritative guide to the technical descriptions of the various wireless technologies currently in use. The author--a noted expert on the topic--explains the rationale behind their differing mechanisms and implementations while exploring the advantages and limitations of each technology.   The fourth edition reflects the significant changes in mobile network technology that have taken place since the third edition was published. The text offers a new chapter on 5G NR that explores its non-standalone and standalone architecture. In the Wi-Fi chapter, additional sections focus on the new WPA3 authentication protocol, the new 802.11ax air interface and protocol extensions like 802.11k and 11v for meshed networks.  This important book:   Presents the various systems based on the standards, their practical implementation and design assumptions, and their performance and capacity  Provides an in-depth analysis of each system in practice  Offers an updated edition of the most current changes to mobile network technology  Includes questions at the end of each chapter and answers on the accompanying website that make this book ideal for self-study or as course material   Written for students and professionals of wireless technologies, the revised fourth edition of From GSM to LTE-Advanced Pro and 5G provides an in-depth review and description of the most current mobile networks and broadband.
                    
"
Performance Analysis of Long Term Evolution (LTE) Physical Layer,https://www.kingstone.com.tw//basic/203c011122327?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Iraj S,Amiri",Createspace Independent Publishi,9781727515503,https://cdn.kingstone.com.tw/english/images/product/5503/9781727515503.jpg,"

In recent years, mobile communication has been evolving rapidly, and demand for fast, secure and higher quality mobile services has increased dramatically. Thus, mobile communication service providers have been trying many different digital mobile communication standards to fulfill their customers' demands. During the last few years, major service providers have committed to a single standard known as Long Term Evolution (LTE), and within a very short period LTE has emerged as the fourth generation network choice for almost all mobile service providers. 3GPP LTE (Long Term Evolution), which is one of the latest standards for mobile communications, was proposed by a cooperation between groups of telecommunications consortium named as 3rd Generation Partnership Project to improve the UMTS (Universal Mobile Telecommunications System) mobile phone standard to meet the demands and ensure the coping with future technology evolutions. This technology describes a mobile communication standard which supports up to 300 Mbps of data transmission in downlink using the Orthogonal Frequency Division Multiplexing scheme as well as up to 75 Mbps throughput for uplink using the SC-FDMA modulation. In this dissertation, an in-depth study of LTE performance evaluation is conducted for downlink transmission under different scenarios. The focus of this book is a comprehensive analysis of LTE physical layer performance for different channel bandwidths, antenna diversities, modulation schemes and other scenarios. In addition, this study presents Bit Error Rate (BER), Block Error Rate (BLER) and throughput results based on different parameters. Overall, this book provides a comprehensive investigation of the LTE performance analysis based on detailed physical layer parameters to fill in the gap in the existing literature in LTE physical layer performance study.
                    
"
Icp Emission Spectrometry,https://www.kingstone.com.tw//basic/203c108559729?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Joachim,N繹lte",Wiley-VCH   ,9783527346578,https://cdn.kingstone.com.tw/english/images/product/6578/9783527346578.jpg,"

A practical guide to ICP emission spectrometry, updated with information on the latest developments and applications The revised and updated third edition of ICP Emission Spectrometry contains all the essential information needed for successful ICP OES analyses. In addition, the third edition reflects the most recent developments and applications in the field. Filled with illustrative examples and written in a user-friendly style, the book contains material on the instrumentation instructions on how to develop effective methods.  Throughout the text, the author--a noted expert on the topic--incorporates typical questions and problems and provides checklists and detailed instructions for implementation. The third edition includes 10 new chapters that cover recent progress in both the application and methodology of the technology. New information on plasma, the optics, and the detector of the spectrometer is also highlighted. This revised third edition:   Contains fresh chapters on the newest developments  Presents several new chapters on plasma as well as the optics and the detector of the spectrometer  Offers a helpful troubleshooting guide as well as examples of practical applications  Includes myriad illustrative examples   Written for lab technicians, students, environmental chemists, water chemists, soil chemists, soil scientists, geochemists, and materials scientists, ICP Emission Spectrometry, Third Edition continues to offer the basics for successful ICP OES analyses and has been updated with the latest developments and applications.
                    
"
Wirtschaftlichkeit und Technologie von Kraft-W瓣rme-K瓣lte-Kopplung (KWKK)-Anlagen,https://www.kingstone.com.tw//basic/203c011391680?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Ghaith,Shehri",Grin Verlag,9783346235916,https://cdn.kingstone.com.tw/english/images/product/5916/9783346235916.jpg,"

Studienarbeit aus dem Jahr 2020 im Fachbereich Ingenieurwissenschaften - Energietechnik, Note: 1,3, Fachhochschule Westk羹ste Heide, Sprache: Deutsch, Abstract: Das Ziel dieser Arbeit ist es, die Technologie der KWK bzw. KWKK unter die Lupe zu stellen, auf verschiedene Aspekte einzugehen, um auf die Effizienz dieser innovativen Technologie bez羹glich der Energieumwandlungsprozesse aufmerksam zu machen. Weiter ist es wichtig, Beitr瓣ge solcher Anlagen zur Umwelt darzustellen u.a. das Prim瓣renergiesparpotenzial sowie die Reduzierung von CO2-Emissionen. Dazu wird im Rahmen dieser Arbeit zun瓣chst ein Vergleich in Bezug auf die Qualit瓣t und die Effizienz bei der Energieerzeugung bzw. der Geb瓣udeenergieversorgung zwischen den KWKK-Anlagen und der typischen getrennten Energieerzeugung dargestellt. Dann wird der Unterschied der beiden Anlagen KWK und KWKK vorgestellt. Mit einer unterschiedlichen Anlage werden Strom, W瓣rme und K瓣lte produziert. Dazu wird die Funktionsweise der beiden Anlagen erl瓣utert und analysiert, sodass im n瓣chsten Schritt und in Kapitel 3 die Wirtschaftlichkeit bewertet werden kann.
                    
"
5g Lte Narrowband Internet of Things (Nb-Iot),https://www.kingstone.com.tw//basic/203c007113554?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Fattah,Hossam",CRC Press,9780367571153,https://cdn.kingstone.com.tw/english/images/product/1153/9780367571153.jpg,"

This book explains the 3GPP technical specifications for the upcoming 5G Internet of Things (IoT) technology based on latest release which is Release 15. It details the LTE protocol stack of an IoT device, architecture and framework, how they are functioning and communicate with cellular infrastructure, and supported features and capability. NB-IoT is designed to connect a large number of devices in a wide range of application domains forming so-called Internet of Things (IoT). Connected devices are to communicate through cellular infrastructure. This technology is new within the 3GPP specifications and is part of upcoming new wireless technology known as 5G.Table of ContentsPreface. Acknowledgments. Author. List of Abbreviations. 1. Internet of Things. 2. 4G and 5G Systems. 3. Radio Resource Control Sublayer. 4. Packet Data Convergence Protocol Sublayer. 5. Radio Link Control Sublayer. 6. Medium Access Control Sublayer. 7. Physical Sublayer. 8. Quality of Service Architecture. 9. Use Cases and Deployment. References. Index.

"
Coordinated Interference Management for Multiple Access in LTE Network,https://www.kingstone.com.tw//basic/203c108678957?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Safa,Essassi",Scholars' Press,9786138831426,https://cdn.kingstone.com.tw/english/images/product/1426/9786138831426.jpg,"

In Long-Term Evolution (LTE) system, multi-access interference coordination has been planned to optimize the exploitation of radio resources, thus maximizing service quality, coverage and capacity. Many techniques aim to minimize inter-cell interference in LTE, such as fractional power control and spatial antenna techniques, including MIMO and SDMA. In LTE, the access technique rests on the OFDM modulation technique. The allocation of resources takes place both in time and frequency. These resources are allocated to user equipment according to a given frequency reuse approach.
                    
"
行動通訊╳物聯網：機器通訊M2M搭載LTE技術終端進化,https://www.kingstone.com.tw//basic/2014840047857?zone=book&lid=search&actid=WISE&kw=LTE&pi=0,朱雪田、趙孝武、宋令陽等,佳魁      ,9789863797623,https://cdn.kingstone.com.tw/book/images/product/20148/2014840047857/2014840047857b.jpg,"

近年來物聯網應用已滲透人類生產和生活各方面，透過與行動網路相互結合，物聯網幾乎包含所有網路涉足的空間，而以E/LTE-Advanced為主的4G以上之行動通訊方興未艾，正處高速成長期，因此採取針對性之最佳化與增強措施，將可大幅提升物聯網系統的效率和適用性，並有效降低成本，有利於電信業者之網路營運與有效控管，對物聯網產業發展具有積極意義。本書著眼於4G以上之行動通訊與物聯網的融合技術，以3GPP/CCSA對物聯網關鍵技術的標準制定和推進為主線，結合物聯網主要應用場景及增強需求，詳細介紹物聯網應用在網路架構、業務管理支撐平台、承載網路和終端等多方面增強技術之實現需求與基本原理。商品特色：◆ 掌握行動通訊與物聯網的融合技術◆ 精準切入M2M技術◆ 針對支援M2M的LTE網路增強與最佳化適用：通訊電信業者、規劃設計和物聯網解決方案提供商等相關技術人員，以及大專院校和研究機構人員參考用書。
                    
"
Lte-A Cellular Networks,https://www.kingstone.com.tw//basic/203c108618486?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Abid,Yahya",Springer    ,9783319827841,https://cdn.kingstone.com.tw/english/images/product/7841/9783319827841.jpg,"

In this book, three different methods are presented to enhance the capacity and coverage area in LTE-A cellular networks. The scope involves the evaluation of the effect of the RN location in terms of capacity and the determination of the optimum location of the relay that provides maximum achievable data rate for users with limited interference at the cell boundaries. This book presents a new model to enhance both capacity and coverage area in LTE-A cellular network by determining the optimum location for the RN with limited interference. The new model is designed to enhance the capacity of the relay link by employing two antennas in RN. This design enables the relay link to absorb more users at cell edge regions. An algorithm called the Balance Power Algorithm (BPA) is developed to reduce MR power consumption. The book pertains to postgraduate students and researchers in wireless & mobile communications.
                    
"
The Vienna Lte-Advanced Simulators,https://www.kingstone.com.tw//basic/203c109977665?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Markus,Rupp",Springer    ,9789811092114,https://cdn.kingstone.com.tw/english/images/product/2114/9789811092114.jpg,"

This book introduces the Vienna Simulator Suite for 3rd-Generation Partnership Project (3GPP)-compatible Long Term Evolution-Advanced (LTE-A) simulators and presents applications to demonstrate their uses for describing, designing, and optimizing wireless cellular LTE-A networks.Part One addresses LTE and LTE-A link level techniques. As there has been high demand for the downlink (DL) simulator, it constitutes the central focus of the majority of the chapters. This part of the book reports on relevant highlights, including single-user (SU), multi-user (MU) and single-input-single-output (SISO) as well as multiple-input-multiple-output (MIMO) transmissions. Furthermore, it summarizes the optimal pilot pattern for high-speed communications as well as different synchronization issues. One chapter is devoted to experiments that show how the link level simulator can provide input to a testbed. This section also uses measurements to present and validate fundamental results on orthogonal frequency division multiplexing (OFDM) transmissions that are not limited to LTE-A. One chapter exclusively deals with the newest tool, the uplink (UL) link level simulator, and presents cutting-edge results.In turn, Part Two focuses on system-level simulations. From early on, system-level simulations have been in high demand, as people are naturally seeking answers when scenarios with numerous base stations and hundreds of users are investigated. This part not only explains how mathematical abstraction can be employed to speed up simulations by several hundred times without sacrificing precision, but also illustrates new theories on how to abstract large urban heterogeneous networks with indoor small cells. It also reports on advanced applications such as train and car transmissions to demonstrate the tools' capabilities. 

"
"Lte-a, Wimax 2.2 and Wlan 4g/5g",https://www.kingstone.com.tw//basic/203c603591418?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Korowajczuk, Leonhard",Ingram      ,9781118897003,https://cdn.kingstone.com.tw/english/images/product/7003/9781118897003.jpg,0
From GSM to LTE-Advanced,https://www.kingstone.com.tw//basic/203c408390296?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Sauter, Martin",Ingram      ,9781118861950,https://cdn.kingstone.com.tw/english/images/product/1950/9781118861950.jpg,0
Radio Protocols for LTE and LTE-Advanced,https://www.kingstone.com.tw//basic/203c308368266?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Yi, Seungjune",Wiley,9781118188538,https://cdn.kingstone.com.tw/english/images/product/8538/9781118188538.jpg,"

Provides a unique focus on radio protocols for LTE and LTE-Advanced (LTE-A) Giving readers a valuable understanding of LTE radio protocols, this book covers LTE (Long-Term Evolution) Layer 2/3 radio protocols as well as new features including LTE-Advanced. It is divided into two sections to differentiate between the two technologies' characteristics. The authors systematically explain the design principles and functions of LTE radio protocols during the development of mobile handsets. The book also provides essential knowledge on the interaction between mobile networks and mobile handsets.  Among the first publications based on the 3GPP R10 specifications, which introduces LTE-A Beginning with an overview of LTE, topics covered include: Idle Mode Procedure; Packet Data Convergence Protocol and Public Warning Systems Presents the LTE radio interface protocol layers in a readable manner, to enhance the material in the standards publications From an expert author team who have been directly working on the 3GPP standards  It is targeted at professionals working or intending to work in the area and can also serve as supplementary reading material for students who need to know how theory on the most extensively used mobile radio interface today is put into practice
                    
"
第四代行動通訊系統3GPP LTE-Advanced：原理與實務,https://www.kingstone.com.tw//basic/2015214780547?zone=book&lid=search&actid=WISE&kw=LTE&pi=0,李大嵩、李明峻、李常慎、黃,全華      ,9789572197547,https://cdn.kingstone.com.tw/book/images/product/20152/2015214780547/2015214780547b.jpg,"

本書主題為第四代行動通訊技術標準3GPPLTE-A系統的原理與實務，全書分為兩個部分：第一部分側重與LTE-A相關性較高的行動通訊學理介紹，第二部分側重LTE-A的技術標準實務介紹。學理部份首先探討電波傳輸物理特性，並介紹多天線系統信號模型；其次，針對OFDM系統，從傳收機基本架構、原理及相關的信號檢測與處理演算法進行深入介紹；最後探討多天線信號處理，提供全面性的介紹。實務部分：首先針對LTE/LTE-A系統與技術，介紹從R8到R12規格版本的演進過程與主要技術內涵，並詳述系統網路架構、通訊協定，與實體傳輸資源；其次，介紹LTE/LTE-A系統實體層運作與處理，包括各類參考信號、實體層處理、多天線傳輸模式、控制信令，與協調多點傳輸及載波聚合技術；最後，探討後4G技術趨勢，介紹幾種較具潛力的新技術組合，並以5G技術展望作為結尾，說明下世代行動通訊技術的發展趨勢與遠景。
                    
"
An Introduction to LTE,https://www.kingstone.com.tw//basic/203c308370819?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Cox, Christopher",Ingram      ,9781119970385,https://cdn.kingstone.com.tw/english/images/product/0385/9781119970385.jpg,0
4G LTE/LTE-Advanced for Mobile Broadband,https://www.kingstone.com.tw//basic/203c312119376?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Dahlman, Erik",Academic Pr ,9780123854896,https://cdn.kingstone.com.tw/english/images/product/4896/9780123854896.jpg,0
Voice over Lte (Volte),https://www.kingstone.com.tw//basic/203c203365450?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Poikselk, Miikka",Ingram      ,9781119944935,https://cdn.kingstone.com.tw/english/images/product/4935/9781119944935.jpg,0
LTE Security,https://www.kingstone.com.tw//basic/203c109588534?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Forsberg, Dan",Wiley-Inters,9780470661031,https://cdn.kingstone.com.tw/english/images/product/1031/9780470661031.jpg,0
From GSM to LTE,https://www.kingstone.com.tw//basic/203c109705270?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Sauter, Martin",Ingram      ,9780470667118,https://cdn.kingstone.com.tw/english/images/product/7118/9780470667118.jpg,0
"LTE Signaling, Troubleshooting, and Optimization",https://www.kingstone.com.tw//basic/203c109542616?zone=english&lid=search&actid=WISE&kw=LTE&pi=0,"Kreher, Ralf",Ingram      ,9780470689004,https://cdn.kingstone.com.tw/english/images/product/9004/9780470689004.jpg,0
