書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Word Essentials 2019,https://www.kingstone.com.tw//basic/203c109233467?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"M L,Humphrey",Ingram      ,9781637440667.0,https://cdn.kingstone.com.tw/english/images/product/0667/9781637440667.jpg,"

Microsoft Word is a vital program to learn for both business and school because it is still the go-to word processing program used today.Word Essentials 2019 combines Word 2019 Beginner and Word 2019 Intermediate and is meant to take a new user of Word from absolute beginner to an advanced intermediate level in a simple and straight forward manner that focuses on what you need to know to master Word today.This guide is focused on Microsoft Word 2019. If you are using a different version of Word then you may prefer the Word Essentials series which starts with Word for Beginners.
                    
"
Word Essentials 2019,https://www.kingstone.com.tw//basic/203c109359638?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"M L,Humphrey",Ingram      ,9781637440568.0,https://cdn.kingstone.com.tw/english/images/product/0568/9781637440568.jpg,0
第一次用Word寫論文就上手,https://www.kingstone.com.tw//basic/2014713621863?zone=book&lid=search&actid=WISE&kw=Word&pi=0,黃聰明,碁峰資訊  ,9789865028428.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713621863/2014713621863b.jpg,"

第一次寫論文就上手，告訴您如何輕鬆搞定格式 準備論文本身已經是一件令人手忙腳亂的事情，還必須遵守各種格式的規定與要求，有沒有甚麼方式可以更有效率地滿足這些要求呢？如果您有這樣的疑問，本書就是您最好的選擇。本書完全針對論文寫作的需求而設計，能夠幫您解決使用WORD寫作論文時的各種疑難雜症。 藉由本書，您可以學到： ‧12招結構化的論文寫作心法 ．如何設好標題樣式 ‧提升編輯效率的常用操作技能 ‧如何製作圖表目錄 ‧各種索引製作技巧 ‧運用巨集一鍵完成繁複的例行操作
                    
"
MOS國際認證應考指南：Microsoft Word Associate|Exam MO－100,https://www.kingstone.com.tw//basic/2014713618870?zone=book&lid=search&actid=WISE&kw=Word&pi=0,王仲麒．王莉婷,碁峰資訊  ,9789865028671.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713618870/2014713618870b.jpg,"

Microsoft Office Specialist: Word Associate (Word and Word 2019) ★為MOS 2019 Word Associate認證教材。 ★該測驗透過各種用途與狀況建立及編輯文件，證明具有正確使用Word主要功能的能力。 ★涵蓋建立和維護專業外觀報告，多欄電子報，簡歷和商務信函的能力。 ★具有Word主要功能正確使用及基礎能力，並能獨立完成任務。 測驗技能 ★管理多個文件 ★插入和格式化文字、段落及章節 ★管理表格與清單 ★建立及管理參考 ★插入並設定圖形元素格式 ★管理文件協同作業
                    
"
超實用！業務.總管.人資的辦公室WORD必備50招省時技（2016/2019）（暢銷回饋版）,https://www.kingstone.com.tw//basic/2013120592728?zone=book&lid=search&actid=WISE&kw=Word&pi=0,張雯燕,博碩文化  ,9789864348046.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592728/2013120592728b.jpg,"


職人必備！省時、方便、立即應用
	4大類職場文書應用實例與50個超實用WORD操控技


	每天都在使用的Word軟體，你有100%熟練？100%知道各按鈕的功用嗎？作為最多人使用的文書軟體，Word其實有非常多聰明的技巧，可達到事半功倍的效果。本書以【商業應用】為目的，從企業各部門日常工作中實際遭遇的案例切入，包括行政部門各式簡易的表單，到行銷業務部門經常處理的合約書、廣告郵件，或是技術部門的使用手冊、流程圖，乃至高階主管的營運計畫書等，循序漸進地引導使用者從「經常用」進階成「很會用」，製作出合宜的商業文件。

	全書統整出4大篇文書製作系統包括：行政總務、人事管理、業務行銷、經營企劃，精選圖例操作50個實用Word範例，內容完全符合業務、總管、人資、行銷等商務必學的實用主題，有效提升工作效率，展現你的職場價值。

本書特色

	以「省時實用、圖例操作」的寫作原則導入Word實務技巧。
	符合辦公室業務、總管、人資、行銷等商務活用主題，有效提昇工作效能。
	包含行政總務、人事管理、業務行銷、經營管理等四大類的職場文件製作範本。
	提供50例辦公室常用的Word文書表單，讓您馬上學習與套用。
	可針對有興趣的範例主題單獨學習，不用擔心範例不連貫的情形。
	本書範例均適用於Word 2016/2019。

"
Bird Names Word Search,https://www.kingstone.com.tw//basic/203c103267932?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"Deeza,Publishing",Blurb       ,9781034509530.0,https://cdn.kingstone.com.tw/english/images/product/9530/9781034509530.jpg,"

This large print word search puzzle book is an excellent gift for bird watchers. There are over 700 bird names to search and find. Features: 8x10 puzzle book. 92 large print puzzles. Large font - easy to read (perfect for seniors and low vision). One puzzle to a page, providing plenty of space to solve the puzzles. Solutions are provided at the back of the book.
                    
"
丙級電腦軟體應用含資訊類題庫工作項目解析與技能檢定共用項學術科研讀範本（Windows 7 / 10 + Word 2010 /2,https://www.kingstone.com.tw//basic/2015216983571?zone=book&lid=search&actid=WISE&kw=Word&pi=0,佳彥資訊,台科大    ,9789865231637.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216983571/2015216983571b.jpg,"


	1. 分類學習效能佳：依其屬性分成三大類進行編排，提供考生類化學習，達到熟能生巧、快速解題的能力。

	2. 本書作業系統採用Windows 10（內文）及Windows 7（書附PDF）雙軟體，來進行檔案管理的解題，讀者可依自有軟體選閱。

	3. 試題分析表格化：將各項操作詳加分析並製成統計表，使讀者了解題組差異，掌握解題正確概念。

	4. 解題流程圖：讓讀者於考試前快速瀏覽，增加應考信心。

	5. 本書隨書附MOSME行動學習一點通教學（Windows 7/10+Word 2010/2013/2016/2019）。登入會員與書籍密碼後，可線上閱讀學科與使用題庫，可自我練習增強記憶力，反覆測驗提升應考戰鬥力，即學即測即評，強化試題熟練度。

"
Word Association Thematic Analysis,https://www.kingstone.com.tw//basic/203c103515413?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"Mike,Thelwall",Morgan & Claypool,9781636390673.0,https://cdn.kingstone.com.tw/english/images/product/0673/9781636390673.jpg,"

Many research projects involve analyzing sets of texts from the social web or elsewhere to get insights into issues, opinions, interests, news discussions, or communication styles. For example, many studies have investigated reactions to Covid-19 social distancing restrictions, conspiracy theories, and anti-vaccine sentiment on social media. This book describes word association thematic analysis, a mixed methods strategy to identify themes within a collection of social web or other texts. It identifies these themes in the differences between subsets of the texts, including female vs. male vs. nonbinary, older vs. newer, country A vs. country B, positive vs. negative sentiment, high scoring vs. low scoring, or subtopic A vs. subtopic B. It can also be used to identify the differences between a topic-focused collection of texts and a reference collection. The method starts by automatically finding words that are statistically significantly more common in one subset than another, then identifies the context of these words and groups them into themes. It is supported by the free Windows-based software Mozdeh for data collection or importing and for the quantitative analysis stages. This book explains the word association thematic analysis method, with examples, and gives practical advice for using it. It is primarily intended for social media researchers and students, although the method is applicable to any collection of short texts.
                    
"
Word 2019 Beginner,https://www.kingstone.com.tw//basic/203c103745295?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"M L,Humphrey",M.L. Humphrey,9781637440438.0,https://cdn.kingstone.com.tw/english/images/product/0438/9781637440438.jpg,"

In Word for Beginners, M.L. Humphrey introduced readers to the power of Microsoft Word. Now in Word 2019 Beginner, Humphrey presents a guide tailored specifically for users of Word 2019. In this book, you'll learn the basics of Word that you need to know to use the program on a daily basis. Topics covered range from how to open and save a file to how to enter text to formatting of text, paragraphs, and pages, and wrap up with printing your document. Word is the go-to word processing program in use today. Whether you're learning for business or school, it's an essential program to learn. So what are you waiting for? Get started today.
                    
"
Word 2019 Intermediate,https://www.kingstone.com.tw//basic/203c103567485?zone=english&lid=search&actid=WISE&kw=Word&pi=0,"M L,Humphrey",M.L. Humphrey,9781637440346.0,https://cdn.kingstone.com.tw/english/images/product/0346/9781637440346.jpg,"

Word 2019 Intermediate expands upon the basics taught in Word 2019 Beginner. Written specifically for users of Word 2019, this book covers more advanced topics such as breaks, styles, tables, track changes, and multilevel lists. If you've mastered the basics of Word and are looking to move to the next level, this is the book for you.
                    
"
