書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
瞄過一眼就忘不了的世界史：高中老師╳神級YouTuber 2，000萬次點閱的超人氣課程,https://www.kingstone.com.tw//basic/2017110045096?zone=book&lid=book_class3_baa&actid=book_class3_baa,山崎圭一,野人文化  ,9789863844433.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017110045096/2017110045096b.jpg,"


高中老師╳神級YouTuber╳最強「圖像記憶法」

	 

★2,000萬次點閱的超人氣課程！

★狂銷30萬冊！

★長踞日本Amazon世界史排行榜TOP1！

	 

	學生說：「老師，拜託您在YouTube 上推出課程啦！老師調走之後，我們還是好想聽您上課！」

	為此山崎老師上傳了500部影片，從此走上超級YouTuber之路，這回他決定將網路上「神級課程」的祕訣傾囊相授：

	 

✓一氣呵成！學習世界史毫無阻礙！

	打破傳統教科書時間軸跳躍、紊亂，讓人暈頭轉向的架構，本書先說明各區域文明特色，再串聯大航海時代各地互動，輕鬆掌握世界史「整體概貌」！再也不用敲頭死背歷史名詞＋年分！

	 

✓丟掉年分！歷史就是好看好聽的故事！

	學歷史怎麼可以不背年分！（師長尖叫）沒有啦！要考試的學生還是要背一下。

	先將世界史當成好看的故事書，對故事因果爛熟於心，再回頭記年分才會事半功倍！

	背年分不再是學習世界史的重點，只是考前複習時的最後步驟。

	 

✓最強圖像！沒有什麼歷史是134張地圖＋圖表學不起來的！

✓如果不夠，那就再加上20頁極簡年表！

	絕頂超強圖像化記憶！讓地圖或表格幫你重點整理＋提神醒腦！

	【章首】有分章架構示意圖，【內文】平均2.3頁穿插地圖及圖像化事件整理，

	【卷末】再附上考前速成「超強年表」。你的世界史，沒有不得高分的理由！

	 

認準事件主角＋剔除艱澀年分＋華麗圖表視覺化學習

＝歷史高分金三角！

	 

本書特色

	 

＼最好用！圖像記憶法！／

	從單一事件演變，到同一時期的跨區域發展，減少大篇章的文字帶來的壓力！

＼超簡單！不用死背年分！／

	學歷史就像在看故事！事件的演進順序，一目瞭然，再複雜也能輕鬆吸收！

＼最實用！特別附錄！／

	考前衝刺沒負擔！【文化史重點補充】＆【跨區域年表總複習】

＼無法擋！讀完本書，歷史分數直線飆升！／

	 

"
大戰略：耶魯大學長紅20年大師課程，從歷史提煉的領導決策心法,https://www.kingstone.com.tw//basic/2015410301355?zone=book&lid=book_class3_baa&actid=book_class3_baa,約翰．路易斯．蓋迪斯,聯經      ,9789570856712.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410301355/2015410301355b.jpg,"


金石堂強力推薦書 !

	 

★耶魯大學長紅20年的戰略大師課★
	★投資銀行摩根大通必讀清單★
	★Amazon歷史書籍排行NO.1、領導力與管理力暢銷書★
	跨越時間、空間與規模的最高戰略思維
	綜觀歷史、俯瞰全局


	眾領導者需知：「力量越大，犯蠢事的風險也越大。」
	蓋迪斯藉歷史告訴領導者：如何兼具宏觀與識微、如何做選擇、何時下決定──更重要的是，如何不輸？

	★精粹20年經典課程、窮盡畢生功力
	★培養刺蝟的深刻洞見、狐狸的開闊眼界

	蓋迪斯《大戰略》跨越時間、空間、規模的戰略典範，探看領導者、將領、史學家的經驗與思考方式。

	本書探看人生當中諸多需要做抉擇、判斷的關鍵時刻，細說屋大維與安東尼的爭權奪位、奧古斯丁與馬基維利對國家的思辨、軍事思想家克勞塞維茨的戰略兵法、英國女王伊莉莎白的統治之道、美國總統林肯在南北戰爭中的謀略，以及羅斯福又為何在眾人避之惟恐不及時，堅持參與二戰等歷史事件。

	蓋迪斯借用政治哲學家柏林的主張，指出世上有「狐狸」、「刺蝟」兩類人；「狐狸」機巧、靈活，視野廣闊、綜觀天下事，擅長臨場應變；「刺蝟」以一種理念理解全世界、見解深刻。許多領導者思考一輩子，想在狐狸與刺蝟間做抉擇，然而蓋迪斯認為，引領眾人的領導者，需要的不是選邊站或獨尊一種說法，能否掌握相背觀點之間的連結才是關鍵。領導者須既是「狐狸」也是「刺蝟」，唯有身兼兩種角色，才能掌握現實世界的矛盾與衝突，化解反向的力量，破除阻礙、邁向成功。

	不限於空間、時間的《大戰略》，是讓領導者掌握自己、開闊眼界、看透全局、扭轉局勢的重要心法。

［長紅20年的秘辛：耶魯大學大戰略專題學程的誕生］

•見樹不見林──北大西洋公約組織決策團隊從沒想過這個！
	1998年11月24日，北大西洋公約組織派員到耶魯大學做簡報，介紹柯林頓政府積極向東擴展北約組織聯盟的政策，並胸有成竹地指出，因為北約組織成員在布魯塞爾協定期間做出了足夠多的努力，使捷克、波蘭、匈牙利人感到賓至如歸，因此將其納入聯盟絕對可行且順利。

	簡報結束後，蓋迪斯的一位同事魯賽特（Bruce Russett）舉手詢問：北大西洋公約組織的擴張，會不會對俄羅斯造成不好的影響呢？例如可能破壞葉利欽（Boris Yeltsin）總理使俄國民主化的努力，或是造成俄羅斯大國復興時某些尷尬的局面，甚至驅使俄國與中國開始新型態的合作，而冷戰時西方獲得的最大勝利──中蘇交惡，可能因此不再有。

	面對魯賽特這位學者的提問，原本信心十足的北大西洋公約組織簡報員們一陣沉默，接著其中一人彷彿大夢初醒，當著所有人的面驚呼起來：「天啊！我們從來沒想過這個！」

	美國著名五星上將馬歇爾（George Catlett Marshall）曾說過，在指揮戰事時，有太多領導者只考量自己戰區的需求，而非整場戰爭所需。對美國來說，只看某些面相而忽略全體的歷史例子多不勝數，珍珠港事變即是，韓戰也是，而此般上位決策者無法以宏觀大視角審視國家所需，將導致連串策略失準、不可挽回的後果。顯然這次北大西洋公約組織的策略並未從歷史上學到教訓，還是一樣見樹不見林。

	聽完簡報，心情沉重的蓋迪斯與他的同事保羅•甘迺迪（Paul Kennedy）、查爾斯•希爾（Charles Hill），三人在步出會場時連連搖頭，對聽到的內容失望不已。蓋迪斯甚至在這天的日記裡記下，顯然影響政策的大戰略方向，現在握在像《哈姆雷特》裡要原本奉命要殺害王子，最後卻反被殺害的配角羅生克蘭和蓋登思鄧（Rosencrantz & Guildernstern）那樣的人手裡了。

•從教育著手，拓寬領導者視野──設立大戰略學程
	面對北大西洋公約組織的政策失準，蓋迪斯、甘迺迪與希爾心情沉重，深感要改變國家決策者、領導者橫斷、片面、受限的政策制訂方式，唯有從最基礎開始做起，透過教育一途，培育具有宏觀視角，不受空間、時間限制，能夠以大戰略視野領導國家的人才。

	2000年，蓋迪斯、甘迺迪、希爾於耶魯大學設立了「大戰略專題學程」，旨在以大規模、長時段戰略方式，研究政治、社會與治國之道，培養國家領導人才。該課程定義大戰略為以有限手段實現大目標的統合方法，學生須鑽研自西元前300年至今的大脈絡歷史，整合學術與實踐，兼顧安全、經濟發展、政治穩定、社會正義、人權與技術進步等大原則提升解決問題的能力，每週與外交官、政治人物、軍事專家、社會革命者等實際接觸，最後則會與高層官員面對面做戰略簡報。《華爾街日報》稱此課程為「制定政策者的出身地」。前任美國國家安全顧問唐尼隆（Tom Donilon, 任職期間2010-2013）、海德利（Stephen Hadley, 任職期間2005-2009），和新任拜登政府國家安全顧問蘇利文（Jake Sullivan）皆為此課程講師。

	蓋迪斯說，大戰略是一門「生態學科」，研習者須查看所有問題的相互關聯，並由此去看它們和整個世界的互動；掌握大戰略的領導者，要看的是森林而不是單獨一棵樹，是圓形的世界而不是一方切片。大戰略最終要追求的，是將所有可支配的手段與目標整合起來，而現在的我們最迫切需要的，就是在各領域培養領略大戰略的領導者。

"
歷史學的探究與實作操作手冊,https://www.kingstone.com.tw//basic/2015240255613?zone=book&lid=book_class3_baa&actid=book_class3_baa,陳建守、韓承樺、張育甄、萬雅筑,臺灣商務  ,9789570533446.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015240255613/2015240255613b.jpg,"


108課綱歷史科目「探究與實作」課程規劃設計參考指南！
一次解決  主題設定、課程活動、參考書目、作品產出


每天的生活就是理解歷史最好的出發點，
從社群媒體、口罩、牛仔褲和鐵路，完整解析歷史學的本質與意義！
隨書附贈全彩「歷史偵探大搜查」桌遊組，小組競賽或是單人遊戲都適合
從遊戲中學歷史，一書搞定108課綱的疑難雜症

	‧108課綱中的探究與實作到底該如何進行與實踐？
	‧一向不擅長自己思索來源與因素的臺灣學生，該如何找出適合的主題，有系統歸納和運用史料？
	‧教師們又該如何循循善誘迷惘的學生，找到正確的方向並釐清疑惑？
	‧本書特邀中研院研究員、大學教授與高中老師共同撰寫 讓教師與學生們按書索驥，解決教學備課與主題設定上的困擾！

	108課綱強調歷史的多元視野、主題式學習，更帶入了「探究與實作」的全新元素，培養學生的問題意識和歷史素養，透過課堂上所學的知識，實際操作來完成自己的學習成果。108課綱不僅為學生帶來開創的視野和思維，對於站在教學現場的高中歷史教師，如何設計和安排歷史探究與實作的課程，也是一場全新的挑戰。

	本書構想是依循108課綱中「歷史學探究」主題的精神，從「為什麼要學歷史」開始，依序是「歷史資料的性質和意義」「歷史解釋的概念與詮釋」「歷史觀點與爭議」，到最後「作品的構思與產出」，從五堂課完整解析歷史學的意義、資料的掌握與詮釋，如何從零到有提出自己的歷史思考和詮釋。在章節主題方面，為了貼近學生和一般大眾的生活經驗，選擇了日常生活中經常接觸到的主題，例如：社群媒體的誕生、牛仔褲的跨國旅行等，發掘生活周遭潛藏的歷史，拓展我們的思維與視野。同時，每堂課皆規劃有對應的探究活動，透過實際的操作帶領你一步一步了解歷史學的方法，並學習如何產出自己的作品。此外，本書也設計了一款寓教於樂的桌遊，透過輕鬆有趣的互動情境，迅速進入歷史學的世界。

	‧「歷史偵探大搜查」桌遊組包含：
	1.8張全彩主題卡
	2.40張全彩線索卡（8種主題，每種各5張）
	3.全彩遊戲圖板

	‧「探究活動」提供相關說明指引給教師和學生參考。詳細內容可掃描書中QRcode。

本書特色

	1.遵循108課綱「探究與實作」的精神，從「為什麼學歷史」為出發點，探討「歷史資料的性質和意義」「歷史解釋的概念與詮釋」「歷史觀點與爭議」，到「作品的構思與產出」，解析歷史學的本質和內涵。

	2.從日常生活貼近的主題：社群媒體、衛生、牛仔褲、鐵路，激發我們探索潛藏在生活周遭的歷史。

	3.每堂課皆設計「探究活動」，提供實際操作與學習的教案。並附贈一款「歷史偵探大搜查」桌遊組，透過「找主題」、「找線索」兩種玩法，作為歷史學習的暖身操。

	 

	‧「探究活動」提供相關說明指引給教師和學生參考。詳細內容可掃描書中QRcode。裡面包含：

	1. 第一到五堂課的探究活動相關說明和提示，以及表格和提問的範例答案，作為探究活動的引導和線索，以利讀者進一步的延伸思考與發想，建立屬於自己的歷史探究主題與學習成果。

	2.提供每堂活動對應「探究與實作」課綱條目，以及範例答案可對應的課綱必修及選修知識點，提供教師教學上的參考與指引，例如：可運用在必修正課中的「歷史探究活動」。

"
忘了自己是動物的人類：重思生命起源的歷史與身而為人的意義,https://www.kingstone.com.tw//basic/2011730257099?zone=book&lid=book_class3_baa&actid=book_class3_baa,梅蘭妮．查林傑,商周出版  ,9789864779376.0,https://cdn.kingstone.com.tw/book/images/product/20117/2011730257099/2011730257099b.jpg,"


最優美的生命起源敘事，重思人類身為動物的美麗與哀愁
	英、美、加、德、義、荷、葡、俄、西、台灣十國授權
	BBC、國家地理頻道、動物星球紀錄拍攝
	國立台灣大學外文系教授黃宗慧專文推薦

	--------------------------------------------------------------

	人類身上有種種高貴特質：擴及卑下者的惻隱之心，不限於同胞而能照顧弱勢生物的善意，足以解析太陽系天體構成和運動、媲美上帝的智力。即便如此，人類的肉體依舊留有低微出身的痕跡，那是難以磨滅的印記。――查爾斯·達爾文

動物起源書寫了人類在這世界尋求定位、為生命賦予意義的故事，
	理解與化解人性和動物性的矛盾，我們才能好好思考活著這件事。

	這個世界此刻正由不認為自己是動物的動物所主宰；未來的想像也操之在不想要當動物的動物手中。
	人類是這個星球上最充滿好奇心、情感最豐沛、最具侵略性也最難對付的動物。然而社會生活經過層層包裹，致使我們認為自己脫離了身為動物的殘酷；我們認為人有獨特價值且會思考，是凌駕其他生物的特例！
	當我們擁抱慾望時，我們是動物；當我們與其他人交談溝通時，我們是人。當我們大口喝水、大塊吃肉時，我們是動物；當我們堅持公平正義時，我們是人。然而，這些分際日漸被人忽略，幾千年來，人類並不將自己視為動物，我們認為人有獨特價值，或許是理智，也或許是意識。人不是動物，人就是人，將人與動物區別開來的重要因素就是「思想」，人類會思考，動物不會！
	人類對動物身分的否認，人性與動物性的二元論，從各個層面影響我們生活，包括部落心理、生死觀點，以及人如何對待其他動物，甚至造成了物種滅絕、自然資源耗竭、科技狂想等種種問題，讓地球上所有生命都付出相當代價。
	本書作者集結科學、哲學、心理學、生物學等領域的大量論證，輔以四十四張照片，將身而為人的意義寫成一段引人入勝的故事，重現人與自然的偉大敘事，抱持強烈的人文關懷，邀請讀者一起「回憶作為動物的可愛之處」，珍惜我們動物身體的體驗，看見其他物種之美。

"
西方憑什麼：五萬年人類大歷史，破解中國落後之謎,https://www.kingstone.com.tw//basic/2017130022602?zone=book&lid=book_class3_baa&actid=book_class3_baa,伊安．摩里士,雅言文化  ,9789868271272.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017130022602/2017130022602b.jpg,"


 美國筆會書獎、德國GetAbstract國際財經書獎

 美國、英國、中國、德國暢銷書

 書開頭是一隻狗，原本是慈禧太后的狗，

 1860年英軍攻進圓明園，把牠帶回倫敦，

 獻給維多利亞女王，取名「戰利品」。

 作者於是問出第一個問題：

 為什麼鴉片戰爭結果是維多利亞女王賺到一隻愛犬，

 而不是她丈夫亞伯特被押去北京做人質？

  

 一個問題導向更多問題：

 西方征服新大陸靠的是「槍炮、病菌與鋼鐵」，

 槍炮、鋼鐵都源自中國，

 中國亦不缺病菌，為什麼征服新大陸的卻是西方？

 鄭和航海技術大大勝過哥倫布，為何沒橫越太平洋？

 為什麼工業革命在英國發韌？

  

 簡單問一句就是：西方憑什麼主宰世界？

  

 從馬克斯以降，許多大師都給過解答，

 從人種優劣論、文化決定論、地理決定論

 到英雄史觀、狗熊史觀，不一而足。

 本書推翻前人論點，另立新說。
  

 前人回答「西方憑什麼」，往往只專注近世，只看文藝復興以後，本書卻堅持從遠古開始，上古、中古一直寫到二十一世紀。是全球史，也是以中國史為對照的西方史，更是以西方史為對照的中國史。一路東西對照：

  

           尼安德塔人  vs   北京人

   埃及法老拉美西斯  vs   商王武丁

              羅馬帝國  vs   秦漢一統

 拜占庭淫后狄奧多拉 vs   武則天

  葡萄牙恩里克王子   vs   明英宗

              宗教戰爭  vs   明末民變

              科學革命  vs   清代考證學

 《環遊世界八十天》 vs 《浮生六記》

  

 區區五百頁篇幅，卻將中西大事一網打盡，旁徵博引，材料遍及埃及王室文書、中國古籍，還有最新科技的粒腺體DNA分析、南極冰帽底下的古氣候資料。故事精彩，論述亦往往出人意表。

  

 嚴肅史家往往認為歷史變數太多，不可能有法則可言。作者卻力排眾議，指出只要視野夠廣，上溯史前萬年，就會辨識出諸多歷史法則。本書綿密的中西對照，揭露東西歷史大勢其實驚人雷同，因為都遵循同樣的歷史法則：

 ●地理決定發展，卻不決定未來。發展會改變地理的意義，一時劣勢另一時可能變優勢。

 ●從埃及文明，到羅馬崛起，到英國締造海洋帝國，到中國變世界工廠，都是後發優勢的範例。

 ●社會向上發展，一定會埋下阻礙發展的禍因。

 ●發展遇到阻礙，不可能一直原地踏步。不突破，就是衰退或崩潰。

 ●核心衰退，就淪為邊陲。邊陲發現後發優勢，就躍升為核心。

"
跟史家一起創作：近代史學的閱讀方法與寫作技藝,https://www.kingstone.com.tw//basic/2016030005975?zone=book&lid=book_class3_baa&actid=book_class3_baa,皮國立,遠足文化  ,9789865080747.0,https://cdn.kingstone.com.tw/book/images/product/20160/2016030005975/2016030005975b.jpg,"


	如何寫歷史？最強的實作力！
	第一本以臺灣及華文視角，
	談論史學閱讀、寫作與教學的整合性專書，
	文史學生和人文愛好者的必備工具。
	以嶄新的視角重新認識史家的閱讀與寫作，
	用通俗筆調詮釋高深的史學方法，
	將人文素養轉化成執行實務的基本功。
	讓史家的技藝，貼近真實生活，
	兼具深度與廣度的實作和訓練，
	應用於文史系所、中學新課綱，
	甚至職場、學術江湖、生命態度，
	一般人都能受用的實務史學方法。
	非虛構的閱讀與寫作，有核心，有步驟，
	解決問題，提升思考力，
	改變看世界的眼光。

	史家的閱讀與寫作不只是技巧與方法，更是一種真切的日常態度與精神！
	本書從「個人的歷史經驗」與「近代歷史人物的經驗」兩者出發，以歷史學者的閱讀和寫作技藝為主，用實際的情境案例，搭配歷史人物的經歷，來為讀者闡釋史家的閱讀、寫作和日常生活、心靈與思考等方方面面的故事，讓讀者讀過後能習得方法並有實際的收穫，進而增強寫作力，並將閱讀融入自己的學習與日常生活中。

本書特色：

	◎歷史寫作第一手經驗分享。具有嶄新視野的史學方法著作，一般讀者也受用的方法論。
	◎本書從史學的實際寫作方法入門，彰顯史家技藝的實用性與各種應用的可能性，是文史學生和人文愛好者的必備工具。
	◎用故事和實際案例，把歷史學的技藝和訓練，賦予真實的生命力與人性化，貼近真實的寫作與生活。
	◎實務性的人際經營之道及學術江湖注意事項。
	◎以本土的史學觀點與路徑為主線，顧及在地經驗與華人的真實情況。
	◎結合近年最流行的概念，包括閱讀素養、寫作訓練、敘事力、探究與實作、素養教育、史學應用等，都可以用「史學技藝」找到解答。

"
起源的故事（「大歷史」學派開創者大衛．克里斯欽2018年最新扛鼎巨作）,https://www.kingstone.com.tw//basic/2017130027072?zone=book&lid=book_class3_baa&actid=book_class3_baa,大衛．克里斯欽,馬可孛羅  ,9789578759688.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017130027072/2017130027072b.jpg,"


有沒有一本書可以告訴我們，「人類從何處而來？又該往何處而去？」
	《起源的故事》或許可以提供我們一些答案。

	獲選比爾．蓋茲2018年夏季書單，讚譽本書是人類未來發展的指引
	入圍Goodreads年度最佳歷史與傳記類圖書
	林俊良、孫維新、陳文屏、黃春木、黃貞祥、楊士範、蔣竹山、謝哲青、顏聖紘等諸方學人一致推薦
	「大歷史」學派開創者、TED影片點擊九百五十萬次的歷史學家大衛．克里斯欽最新力作！

【內容簡介】
	跨越自然與人文學科的藩籬，重新構建你對歷史的認知，
	走過一趟一百三十八億年的「歷史旅程」

	大多數歷史學家研究的是一小片段的時間，他們凸顯特定的日期、個人及文獻。但研究從大霹靂直到今天，甚至深入遙遠未來的歷史，會是什麼模樣？注視太古以來的時間，又會如何改變我們理解宇宙、地球，以及自身存在的方式呢？這些正是大衛．克里斯欽開始探討「大歷史」觀念時試圖解答的問題，人類從何而來，又會往何處而去。

	《起源的故事》將打破一般人對歷史的認知，跨越自然與人文學科的藩籬，帶領讀者走過整整一百三十八億年的「歷史旅程」。本書會聚焦於決定性的事件，諸如宇宙大霹靂、地球誕生、人類出現、農業興起與文明發展，連結一切事物的關聯性，構成一個單一卻連貫清晰的「歷史敘事」，為所有人類知識提供宏大的知識架構。

	作者在自序中提到，一九八○年他任教於澳洲雪梨，時時擔心現代世界充斥著核武威脅，人類間充滿種族文化等等的隔閡與偏見，人們的眼見局限於民族、地區與國家。他深感往昔的歷史教學、歷史觀念無助於客觀傳遞知識，反而更加深、加劇人類的衝突，因而起心動念思索如何教授一門「總和的人類史」，開創所謂的「大歷史」學派。

	其後，大衛．克里斯欽更跟比爾．蓋茲合作，聯手打造「大歷史計畫」，針對歐美的中學生、大學生，以及有志傳授「大歷史」觀念的教師，設計一系列線上課程，大力推廣綜合天文學、生物學、考古學、物理學、歷史學的跨界新知識。著名的全球史、世界史學者威廉．麥克尼爾（William McNeill）因而讚譽大衛．克里斯欽的成就，足以媲美牛頓的「萬有引力理論」、達爾文的「進化論」。

	本書關於宇宙源起、生命起始、人類誕生和未來可能走向的驚人洞見，已大膽重構了我們在宇宙中的定位。

"
詭圖：地圖歷史上最偉大的神話、謊言和謬誤（精裝）,https://www.kingstone.com.tw//basic/2017160015025?zone=book&lid=book_class3_baa&actid=book_class3_baa,愛德華．布魯克希欽,奇幻基地  ,9789869590235.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017160015025/2017160015025b.jpg,"


人類勇於探索未知，遠赴險地，征服困境，驗證夢想的偉大過程！

英國亞馬遜地圖製圖學與大地測量學類，銷售排行榜第一名
讀者五顆星優秀評價
《時代》雜誌、《博物》雜誌、英國《衛報》、《經濟學人》
高度讚賞推薦

第一本精闢分析地圖史上從未被整理、探索的古地圖真相之謎圖鑑
58幅珍稀古地圖實例，近200頁全彩圖片，
以及前無古人絕無僅有的豐富古昔追尋之旅

專業推薦：
國立臺灣大學地理環境資源學系教授暨中國民國地圖學會理事長　賴進貴教授
國立清華大學歷史研究所　李毓中副教授
荒野夢二書店主人　銀色快手
這本與眾不同、高度有趣的書，揭露了地圖製作者持續了數百年之久的幕後

"
酷刑史：99種人類的罪與罰,https://www.kingstone.com.tw//basic/2016000024593?zone=book&lid=book_class3_baa&actid=book_class3_baa,笠倉出版社,月之海    ,9789869399470.0,https://cdn.kingstone.com.tw/images/restricted.jpg,"


充滿鮮血與瘋狂的黑暗刑罰史
圖解古今中外的處刑與拷問


車裂、木裂、剝皮、拔舌、吞釘、刺眼
斷頭臺、鐵處女、肢刑架、頸手枷、苦刑梨、海老縛
水滴拷問、搔癢拷問、照射拷問、噪音拷問、浴缸拷問……
	99種奇形怪狀的刑具、光怪陸離的處刑、怪誕不經的拷問
人類殘殺嗜虐的慾望沒‧有‧底‧限！

	自從人類文明開始發展，刑罰史就與時並進。面對異己，耍心機、鬥權謀還不夠，最好給他來場活生生、血淋淋的盛大處刑饗宴，讓恥辱與痛苦的時間比永遠還長，精神與肉體一起慘叫，更具寓教娛樂效果。

	‧你看過改造精良、方便攜帶，精緻得像藝術品的劃時代刑具嗎？
	‧中世紀，全民參與的處刑嘉年華是最佳的紓壓娛樂活動！
	‧劊子手也是一門專業，著名的「巴黎先生」不但擁有高明的醫術、筆挺的制服，還是祖傳六代、擁有獨門刀法的世襲職業！

	這些酷刑到底是為了伸張正義，還是滿足人性深處的嗜血慾望？

	《酷刑史》活脫脫就是一部人類瘋狂的暴力進化史，讓你一覽人性潛藏的暴力基因與瘋狂獸性。

"
圖解世界史—現代卷【彩圖解說版】,https://www.kingstone.com.tw//basic/2017120011845?zone=book&lid=book_class3_baa&actid=book_class3_baa,郭豫斌閒,好讀      ,9789861782645.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017120011845/2017120011845b.jpg,"

【圖解世界史系列】——放眼全球歷史的浪漫人文之旅！！★1.古代卷 ☆2.中古卷 ★3.近代卷上 ☆4.近代卷下 ★5.現代卷用500個精采故事和3000幅彩圖講述世界的歷史生動的文筆敘述，搭配上精美的圖片，再現人類文明的發展進程。一部貫穿人類社會的世界史簡明百科，串聯起人類文化的瑰寶，留傳恆久的魅力。圖解世界史【現代卷】西元1890年至西元2012年間對抗與競爭歐洲舊勢力衰落到今日科技文明飛躍的世界故事盡覽新世界的風雲變化、人類向自我極限的挑戰，一次收錄現代文明點滴的歷史巨獻！●從歐洲舊勢力的衰落到一次世界大戰前的科技發展●從第一次世界大戰到殖民地世界的覺醒●從戰火籠罩下的文明到法西斯政權的興起●從第二次世界大戰到美蘇對峙的冷戰●從冷戰後新格局直至文化科技的飛躍→所有精采的故事，都在這趟歷史的浪漫之旅中，等待好奇的你來深入探索！系列書特色：閱讀導言 歷史對於整個人類，就像記憶對於我們每個人一樣，它說明我們現在做的是什麼，為什麼我們這樣做，以及我們過去是怎樣做的。因此誰要想瞭解世界，就必須知道它的歷史。《圖解世界史》是這樣的一本書，我們希望透過一些通俗的語言和故事體裁，對世界歷史做一個概述。它只講其中最重要的事件、人物和對關鍵階段的描述，選擇了一種最易認識整個世界面貌的簡明形式。閱讀一本生動的書，總能多吸引一個讀者，對文化傳承的意義更大。這本書可以作為歷史專著的補充讀物。你可以用非常休閒的方式去閱讀它，讀讀停停，我們相信在歷史人文的浪漫風景中，你不會感到乏味。舒適的版面安排 現代人讀書，比起以往的讀書人更能夠享受多樣的人性化空間，這是時代的進步，也是閱讀革命和讀圖時代給讀書人的饋贈。充滿美學細節的版式設計，使閱讀者毫不疲倦地從每一頁的細節單元中，輕鬆獲得更多的資訊。關於圖片 「讀圖」是我們這個時代的閱讀時尚，因而也被潮流冠以了「讀圖時代」的雅名。其實這只是人類視覺元素的一種豐富，文字是符號，圖片也是符號，兩者相得益彰。本書在詮釋圖片時，盡可能提供一種嶄新的角度，使其和故事呼應補充。細心的讀者也許會發現，其實在圖片中還隱藏了許多用文字無法表述清楚的故事，這就是圖片的神奇魅力。我們相信每位讀者都能讀出自己的故事。提綱式的閱讀指南 我們在每一篇故事前特別安排了提要性的文字，對於急切吸收內容的讀者，這足以讓他記住這個故事了。在每篇故事下還安排了小標題，盡可能地幫助讀者理清楚內容的脈絡。關於「人文歷史百科」 這是為故事的背景和關聯知識提供的一個櫥窗。透過「人文歷史百科」，你不會為自己對某些知識或者對枯燥的數字，存在模糊的印象而感到不安。「人文歷史百科」和每個主題故事巧妙地有機融化在一起，讓你感受到閱讀的精采性。對表格的利用 有些故事牽涉的項目十分複雜，我們盡可能採用表格的形式，使之一目了然。這些表格對知識的歸納和記憶，定能發揮相當作用。
                    
"
