書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
圖解禮儀OX 100問（改版）：一看就懂的國際禮儀與生活禮節,https://www.kingstone.com.tw//basic/2011920736908?zone=book&lid=book_class3_bak&actid=book_class3_bak,朱玉鳳,商周出版  ,4717702109257.0,https://cdn.kingstone.com.tw/book/images/product/20119/2011920736908/2011920736908b.jpg,"


簡明的圖文，輕鬆了解職場與生活中的禮貌。
	作者以三十多年的外交經驗，導正大家容易犯的錯誤禮儀，親授最正規的國際禮儀與日常生活應注意的禮貌。
	一看就懂的國際禮儀與生活禮節。

	大家都這麼做，就一定是正確的嗎？
	100種每天都可能遇上的日常禮儀疑惑，
	時時都該注意的餐桌、服裝、職場和生活禮儀，
	全方位提升你的人際好感度，晉升為真正的國際人！
	本書以簡明的圖文問答點出職場、商務訪問、社交、餐桌、日常生活、公共場所、服裝等日常容易犯的錯誤，
	輔以作者國際禮儀專業說明，解釋正確的禮儀作法。

"
女孩，妳的禮儀價值千萬,https://www.kingstone.com.tw//basic/2011920586701?zone=book&lid=book_class3_bak&actid=book_class3_bak,王馨平,漢湘文化  ,9789862253373.0,https://cdn.kingstone.com.tw/book/images/product/20119/2011920586701/2011920586701b.jpg,"

氣質女星   王馨平 魅力鉅獻這是一本價值連城的禮儀寶典，學校沒教的、職場學不到的，新女性必修的23堂禮儀課，讓妳成為「價值千萬」的女孩！為什麼那些名媛的舉手投足總是那麼吸引人？為什麼我總是遇不上王子呢？不必再去夢想得到王子，妳將變成王子的夢中情人！女孩，妳可以不一樣！氣質是妳最大的資產，面容、身形可以改變，唯有氣質無法喬裝，唯一用錢也買不到的，就是妳優雅迷人的氣質。學習在生活細節裡處處用心，培養待人接物、社交應對的基本禮儀，從尊重他人進而自尊自愛，從「心」出發，讓妳驚豔全場！本書特色也許女孩們都有過王子與公主的童話美夢，但為了成為公主，妳做了什麼努力嗎？妳的坐姿端正嗎？在燈光美氣氛佳的餐廳裡，妳懂得用餐禮儀嗎？妳知道中式圓桌座位應該怎麼安排，才是一位稱職的宴客者嗎？出席不同的社交場合，妳知道如何穿戴正確的禮服嗎？公主不是一日造成的，凱特也不是一天就成為王妃，女孩們，一起翻開本書，為自己的優雅加分！不用含金湯匙，無須出身名門，平民也能變麻雀變鳳凰！沒有比投資自己的質感更有價值的事了，此時此刻，絕不容錯過的禮儀書，蛻變的一刻，就從這一秒開始！
                    
"
深情相約：婚嫁禮俗面面觀,https://www.kingstone.com.tw//basic/2015380087402?zone=book&lid=book_class3_bak&actid=book_class3_bak,彭美玲、呂敦華、羅健蔚,國家      ,9789573611110.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380087402/2015380087402b.jpg,"

結婚是人生大事，該如何在儀式的宣證功能中，強調男女雙方的結合的合法性與社會價值。不同的文化習俗有不同的安排。本書的編寫，以結婚儀式為主，內容含括傳統漢族婚禮沿革、現代閩南、客家在台灣地區的婚俗禮儀，再擴充佛教、基督教、天主教、回教等各宗教婚禮，以及集團、公證婚禮的介紹。介紹各式婚禮的層次，從訂婚、結婚甚至到歸寧，除了基本的儀節程序之外，更注重探討各個禮節背後所代表的意涵為何，各類婚禮如何在儀式的安排中反映它對婚姻與家庭的價值觀或神聖性，務使讀者能在婚禮禮儀與禮意上獲得充分的認識。本書所介紹的各類婚禮的儀節程序與禮意，均採最普遍、基本的精神與實用性。另外各式婚禮的品物。禮服、喜餅、賀詞、吉祥話、謠諺、應用文書、音樂歌曲等，也是本書搜羅介紹的範圍，並酌附圖像資料，使內容更具參考性。綜言之，本書的特色是兼顧文化與實用性，不論是即將結婚的新人; 從事婚禮相關行業的人員，或是對各式婚禮儀式與精神意涵有興趣者，都可以在本書獲得相對完整的訊息。
                    
"
日本人不說但外國人一定要懂的禮儀：七百年歷史的禮儀宗家告訴你，連陌生人看了也按讚的舉止。,https://www.kingstone.com.tw//basic/2015380125487?zone=book&lid=book_class3_bak&actid=book_class3_bak,小笠原敬承斎,大是      ,9789579654692.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380125487/2015380125487b.jpg,"


	◎進入室內要脫鞋，我穿絲襪怎麼辦？日本人什麼場合都會送禮、都要鞠躬嗎？
	◎如何優雅的吃烤魚、蝦、墨魚？可別扒筷、夾筷、淚筷……還沒開動就失禮。
	◎去神社的參拜禮儀：洗手、漱口、過鳥居、搖鈴，你真的做對了嗎？
	◎住民宿比住飯店沒拘束？錯！搭乘大眾交通工具，什麼行為會一秒惹怒眾人？

	以上這些都是日本人不說，但外國人一定要懂的禮儀。

	本書作者小笠原敬承斎是小笠原流禮法第33代接班人，
	在室町時代，小笠原為日本天皇指定的禮儀宗家，
	她將告訴你，日本人口中的「盛情款待」，跟你以為的，哪裡不一樣。

◎日本人的交際應酬：

‧日本人多禮所以不停鞠躬？錯：
	小笠原流禮法告訴我們 :「行禮不過三」，
	打一次招呼鞠躬無數次，反而讓鞠躬變得輕率無意義。

‧送禮必附「熨斗」，奠儀禁送新鈔：
	這個熨斗當然不是真熨斗，而是象徵長壽的乾鮑魚片。
	包奠儀更馬虎不得──包新鈔會有「你早就知道這個人會死亡」的意思，
	最適當的做法是先把新鈔對折，再把有摺痕的新鈔放進香奠袋中。

◎不明說的公共場合禮儀：

‧一秒惹怒人的大眾交通工具搭乘行為：
	避免在車廂內講電話；搭計程車，要特別留意行李和雨傘是否造成座椅的汙漬。
	如果你搭新幹線，千萬別吃咖哩便當……。

‧馬桶蓋與大眾池的禮儀：
	在澡堂泡澡時，毛巾要怎麼用？
	你得先洗澡、包好頭髮才可進浴池，用過的桶子、椅子，都要用熱水清洗放回原位。
	還有，馬桶蓋與不蓋也是日本人的大禁忌。

◎和食禮儀：

‧這樣吃和食，驚呆日本人：
	用餐時，吃完食物的碗盤疊在一起，以方便服務人員收拾？錯！
	要避免把碗盤疊放在一起，這代表珍惜器物，是對同桌之人和主人的貼心。
	海鮮很美味，怕吃相難看？這裡告訴你如何優雅的吃烤魚、蝦、墨魚。
	吃麵，一定要像日本人一樣呼嚕呼嚕出聲？錯！其實不需要。

‧用筷子進食，日本人有18種禁忌：
	淚筷、刺筷、移筷、架筷、指筷、塞筷……吃飯的時候這樣動筷子，
	小心！這些舉動會讓日本人當場嚇壞，食不下嚥，心裡翻你一個大白眼！
	快來看看還有哪些禁忌是你不小心犯過的。

	再怎麼精美的筷子，日本人為何還是用後即扔？
	你穿過浴衣嗎？（本書有圖解），這裡有參加日本婚喪喜慶的服裝須知。
	你所不知道或不清楚的日本禮節，約有七百年歷史的禮儀宗家親自告訴你。

"
辣椒的世界史：橫跨歐亞非的尋味旅程，一場熱辣過癮的餐桌革命,https://www.kingstone.com.tw//basic/2014350188576?zone=book&lid=book_class3_bak&actid=book_class3_bak,山本紀夫,馬可孛羅  ,9789578759053.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350188576/2014350188576b.jpg,"


小小的辣椒，竟是扭轉飲食文化的重要關鍵！

	 

500年前才遲遲傳入歐亞的它，

何以改變近代味覺體驗，讓辣味成為生活中不可缺的一部分。

	 

你知道嗎──

在過去時代，辣椒遠比黃金更有價值

小小辣椒竟然可以改變黑奴制度

衣索比亞人嗜辣成癮，連喝咖啡都加辣椒

在印度不僅用辣椒來煮咖哩，還順便用來驅趕惡鬼

近代中國有多位革命家嗜吃辣味，這可能與他們的出身地有密切關係！

	 

	 

	15世紀末，航海家哥倫布的遠航不僅發現了新大陸，也收穫了比黃金更有價值的「辛」作物──辣椒。雖然中南美洲早在西元前七、八千年的古代就開始運用辣椒，但在哥倫布「發現」新大陸之前，舊大陸的人完全不認識這種作物。隨著航路的打通，辣椒才從原產地中南美洲開始傳播到世界各地，讓這種香料始為世界所識。

	 

	然而，才僅僅五百年間，它卻已經讓全世界的人們深深著迷。

	 

	辣椒最初傳入時，從謠傳這種東西「吃了會死人」，到被當作藥物、護身符、園藝植物，直至今日在世界飲食文化中肩負起重要使命，足可見辣椒的重要性。義大利的辣魚醬、匈牙利的招牌燉肉湯、衣索比亞的辣咖啡、印度的咖哩、四川的麻婆豆腐與豆瓣醬、朝鮮半島的泡菜、日本的京野菜……全世界料理中都能看見小小辣椒的身影，它為平淡的飲食生活帶來一抹亮色，在人們的舌尖上火辣熱舞，由此可見這紅色小辣椒的魅力非凡。

	 

	作者山本紀夫潛心研究辣椒長達40年，探索辣椒的腳步遍及世界各地，從原產地中南美洲，往東繞行到歐洲、非洲、印度、中國、韓國，在日本結束。本書按地域來編排，並詳細介紹辣椒的傳播軌跡、馴化過程、栽培、用途、歷史文化、故事趣聞，看它如何豐富、改變人類的飲食文化與生活習慣，在世界各地掀起一場又一場的「餐桌革命」。

"
中國現代民俗學的鼓吹與經營,https://www.kingstone.com.tw//basic/2015380112524?zone=book&lid=book_class3_bak&actid=book_class3_bak,施愛東,秀威出版  ,9789863265320.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380112524/2015380112524b.jpg,"


▍著重探討中國現代民俗學的學科創立與學術轉型，
及其派生的宣傳策略及學術論爭。


	早期民俗學者在極其艱苦的物質和人事條件下，為理想而奔波，憑熱情而工作，為經費而鬥爭，但最終還是因學術論爭、人事矛盾而分道揚鑣。中國現代民俗學的學科創設、學術轉型，以及中道沒落，涉及到胡適、魯迅、周作人、顧頡剛、傅斯年、鍾敬文、容肇祖、董作賓、劉半農、辛樹幟、史祿國、江紹原、楊成志等中國現代學術史上一大批著名學者。本書企圖勾勒出早期民俗學者的個性特徵，儘量還原他們所處的學術生態，通過歷史書寫，指出學者的個性特徵對於其學術事業的可能影響。他們的個性風格與學術分歧在特定學術制度下的不同展現，折射出中國現代學術發展史上具有意義的突出典範。

本書特色

	1.專門以「學科史」的角度，深入探討中國現代民俗學的學科建構史！
	2.從胡適、魯迅，到周作人、顧頡剛、傅斯年，本書勾勒出早期民俗學者的個性特徵，研究者必備！

"
Kiss！吻的文化史：從中古世紀傳?神話到網路時代影音文化，浪漫吻的前世今生,https://www.kingstone.com.tw//basic/2015440509837?zone=book&lid=book_class3_bak&actid=book_class3_bak,馬塞爾．達內西,麥田      ,9789863444084.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015440509837/2015440509837b.jpg,"


以愛為名，以吻封緘
尋找吻、愛情與人性的真實樣貌


 ◎以接吻為脈絡，企圖找出「吻」的來龍去脈，討論親吻的最初原型和演變。
 ◎由中古時期到現代，從神話故事、文學作品、情歌、影像、電影等方面，探討親吻與愛情在其中的獨特意義，以及吻對流行文化所造成的影響。

 因此，吻留存在時間的洪流裡、經過一代又一代、橫跨許多國家。吻會持續鼓勵戀人、演員、作家，以及我們每一個人。不管愛情怎麼開始、為什麼我們要這麼做、發生的地點在何處，吻表達的都是最偉大的情感：愛。──愛情科學家柯申鮑姆（Sheril Kirshenbaum）

 只有去愛，才能讓這個世界更美好、更友善。──美國舞蹈家伊莎多拉‧鄧肯(Isadora Duncan)

 接吻，到底是純粹慾望的展現，或是真愛的試金石？
 遺失吻的童話故事，王子該如何喚醒公主，結局又該走向何處？
 落在戀人唇邊的吻，引來的究竟是「從此幸福快樂」的美好結局，還是敲響死亡與別離的悲劇命運？

 提到美好的愛情，除了玫瑰、巧克力，怎能缺少了炙熱而浪漫的親吻。放眼望去，不論是神話故事、文學作品、情歌、影像、電影，你將發現，「吻」無所不在。從羅密歐和茱麗葉、桂妮薇爾和蘭斯洛特，到電影中傑克和蘿絲的吻，每一個吻都被賦予了獨特的意義，並且一再地引領出一段段膾炙人口的愛情故事。然而，「親吻」不僅僅是愛情與浪漫的化身，它更是對傳統宗教與社會規範的反抗，自由表達情感的象徵。從過去到現在，吻一如既往地擁有著強大的影響力。

 究竟，人們為何要親吻？是誰賦予了親吻如此巨大的魔力，讓眾人為它神魂顛倒？第一個浪漫的吻，是在何時誕生？是從何時開始，我們將吻與愛情、浪漫畫上等號？一旦遺落了吻，雋永的愛情故事從何震懾人心，童話故事裡的魔咒又該怎麼打破？本書以「接吻」為線索，從中古時期至現代，仔細爬梳吻的來龍去脈，並且還原每個親吻和浪漫愛情的原貌。

"
國際禮儀,https://www.kingstone.com.tw//basic/2015300009026?zone=book&lid=book_class3_bak&actid=book_class3_bak,傑夫．丹尼爾、Cecilia,旗林文化  ,9789863830337.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015300009026/2015300009026b.jpg,"


這是想學會國際禮儀的你不能錯過的一本書，
國際禮儀X各國文化，帶你進一步的打開視野，
詳盡的餐桌、社交、衣著等禮儀，讓你掌握「關鍵細節」，
讓你不管是出國觀光或是外出洽公，都能在舉手投足間加分。


	在邁入國際化的社會，經常會有出國出差，或是參加大型宴會的時候，而在這種場合，用餐時要注意什麼？該穿什麼衣服？要怎麼交換名片？甚至在車上、餐桌上坐哪個位置，其實都有講究，但初入社交場合的新鮮人不一定知道。因此為了讓社會人士能更清楚的瞭解國際禮儀，我們運用輕鬆的問答方式並搭配圖、表，帶領大家進入國際禮儀的世界。

	進入後，你們會發現，其實最基本的禮貌就是將自己的外表理整齊（外在），就是對他人的尊重。而在培養氣質的過程中，為了符合身上的服飾，慢慢地自己的儀態、談吐也會開始優雅（內在），進而晉升紳士、淑女，成為一個有禮的人！

本書特色

‧問答方式，帶你輕鬆進入國際禮儀！
	以問答方式列舉出需要注意的禮儀，並解答讀者的疑惑，讓大家避免在社交場合中出糗。

‧圖文解析！明確指出合「禮」的行為
	運用圖、表解析動作，文字說明細節，讓大家知道怎麼做才能符合「禮貌」，並在各式場合中應用自如，不會「踩到雷」。

‧脈絡清楚！由點到面的涵蓋性寫作
	從餐桌禮儀到社交禮儀全數收錄，讓你跟隨書中的腳步，漸漸將自己培養成一位紳士／淑女。

"
饞：貪吃的歷史,https://www.kingstone.com.tw//basic/2015380094813?zone=book&lid=book_class3_bak&actid=book_class3_bak,弗羅杭．柯立葉,馬可孛羅  ,9789865722432.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380094813/2015380094813b.jpg,"


你可知道：
熱可可曾讓民眾春心蕩漾？在修道院裡引發軒然大波？
女人在文藝復興時期不把體態吃得肥軟豐腴，便稱不上美女？
哈利波特吃得到柏蒂全口味豆和巧克力蛙，
是因為十九世紀後，糖與巧克力不再是貴族階級的專屬樂趣！


穿梭時空，用目光滿足食慾，
圖文並茂，大嚼吃的歷史！
一本插圖豐富精美、內容色香俱全的美食史

 禁忌全彩！超過200幅歷史珍稀畫作、諷刺畫，及文學作品中的插圖、名畫
 有點邪惡！跨越千年，帶領你偷窺歷史上奇形怪狀、奇風異俗的貪食場景
 一覽無遺！從希臘神話到童話世界，從黑暗時代到現代飲食，探討貪食與文化的變遷

 舔油盤、刀子嘴、夾肉鉗、吸湯碟、吮羹盤、啜酒杯──
 歡迎來到貪吃博物館！

 這裡不但要勾起你的食慾，更要讓你大開眼戒。這本書帶領我們遊走一場華麗的美食之旅，從中探索那充滿曖昧的原罪：「貪吃」。當中收錄超過200張噴香欲滴的插圖及畫作，以獵奇和戲謔角度，展出人類歷史上著名的貪食場景。從中世紀到現代，透過貪吃這件事，探討「人類與吃、吃與文化」的進展。

 從希臘神話中佳餚美酒築成的極樂世界，到中古時期魔鬼引誘墮落的縱酒暴食。「貪吃」到了十七、十八世紀時期，有了率真、貪嘴、講究美食的特質。後來才成為精緻美點的同義詞。直至現代，貪饞被商業廣告上下其手，健康飲食與對纖細時尚的狂熱追求，也使貪食以另一種世俗化的形式，從二十世紀蔓延到你我周遭……

 吃，是一種罪嗎？

 嘴巴是身體洞開的門戶，舌頭鬆了，道德感也搖搖欲墜？本書思考：貪吃，是品味饕家虛榮的美食藝術？還是教會及上流社會鄙視的暴飲暴食？為什麼貪戀美食會被視為縱情自私的罪惡？女人又為什麼自願對繽紛多彩、美侖美奐的甜點寬喉解舌、放棄矜持？甚至於連童話裡也運用了「貪吃」，當作嚇壞小孩的惡趣味呢？

 餐桌讓人甘心墮落，也可以是啟迪人心和提升人性的殿堂。作者以歷史角度談論「貪吃」及「美食」，讓佳釀美饌成為一次認同的饗宴，並發酵成讀者禁不住嘴角上揚的高級幽默！

"
圖解國際禮儀,https://www.kingstone.com.tw//basic/2015300008784?zone=book&lid=book_class3_bak&actid=book_class3_bak,黃淑敏、林秋卿(編著),五南      ,9789571178554.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015300008784/2015300008784b.jpg,"


	在國際化及全球化的時代，人與人之間交往頻繁，如何在與外賓接觸時不至於行為失態，而是讓自己的儀態在外表現彬彬有禮以做好國民外交，實已成為全球人重視的議題。為提升國人的禮儀素養，近年來政府與民間均大力倡導國際禮儀活動，國際禮儀亦成為學術界所敎授的重要課程。

	 

	本書採用圖解方式，以深入淺出、循序漸進的方式與通俗易懂的文字，凸顯重點。將每一個單元分為兩頁，一頁文一頁圖，左右兩頁互為參照化、互補化與系統化，將文字、圖表等生動活潑的視覺元素加以有效整合。

"
