書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
皇帝的家書：康熙的私人情感與滿洲帝國的治理實相,https://www.kingstone.com.tw//basic/2016270064305?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,岡田英弘,八旗文化  ,9789860763379.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270064305/2016270064305b.jpg,"


科學、親情、軍事、政治、謀略

史上獨一無二的皇帝教養書

	 

康熙皇帝與皇太子之間的往來書信，

不只有著傳統帝王難得一見的真實情感與教養心得，

信中涉及滿洲、蒙古、西藏之間的複雜關係，

更是探究滿洲帝國如何主導東亞歷史的關鍵所在！

	 

＊＊＊＊＊

	 

★國立故宮博物院珍藏，康熙滿文書信直譯首度公開！

★「岡田史學」代表作，日本出版四十年來廣受好評！

★本書涉及敏感的滿蒙藏歷史，臺灣中譯本為全球獨家！

★結合滿蒙藏多語言史料，呈現漢字文獻中缺乏的歷史面向！

★市面唯一從一手史料出發，還原康熙皇帝真實性格的權威之作！

★臺灣重量級清史與滿文專家——莊吉發——權威推薦！

★中研院歷史語言研究員——陳國棟——專文導讀！

	 

＊＊＊＊＊

	 

	■康熙的親筆家書，是充滿情感的儲君教育手冊！

	 

	西元十七世紀後期，邁入中年的康熙皇帝決定親征蒙古，平定瓦剌蒙古諸部的紛爭。在三次親征的近三年期間（康熙三十五至三十六年，西元一六九五至一六九七年），康熙雖然長途跋涉、軍務繁忙，仍不忘與遠在北京的家人保持聯繫。為此，他持續親筆以滿文寫信給北京的皇太子──二阿哥胤礽。這些信件證實康熙與太子之間的往來頻繁，屬於皇帝的私人家書，限制外臣閱讀，前後多達三十餘封以上。

	 

	在這些家書中，康熙除了關切太子的生活作息與工作狀況，更寫下戰爭過程與戰事之餘的日常生活見聞，其中包括了康熙平日狩獵的成果、在蒙古高原所見的人文風光、觀察平民生活而領悟的治國心得，以此作為教育太子的難得材料，是充滿情感的儲君教養手冊！

	 

	下列摘錄部分信件內容，生動呈現了康熙對皇太子的關懷與期許：

	 

	●「如今可喜的踏上歸途，不禁思念起你來。現在正值天氣變熱，把你穿的棉紗、棉葛布袍四件、褂四件送來；務必送來舊的衣服，我在想念你的時候，想穿上你的衣服。」（康熙三十五年六月十一日，第一次西征）

→康熙在首次西征的歸途上，向皇太子傳達思念之情。

	 

	●「在巴倫．郭爾（「西河」）過夜。野兔數之不盡。野雉有兩隻，也有狐狸、鵪鶉。我非常興奮地射獵，射中許多獵物食用。每天都有許多蒙古人，不分男女老幼全都前來迎接，人數不可勝數。我吃了奶皮、奶、酸奶、奶酒、燒酒等食物，非常滿足。」（康熙三十五年十月三十一日，第二次西征）

→康熙詳述平日的狩獵生活，向皇太子表現精神抖擻的樣子。

	 

	●「我因為害怕皇太子在遠方擔心，所以一而再，再而三地把我們在這裡精神抖擻的樣子，書寫起來送過去給你。為什麼你卻連一句話也不回信呢？光是寫這麼多封信件，你知道要花費多少心力嗎？從今以後我不會再寫多餘的事情了。」（康熙三十五年十二月七日，第二次西征）

→苦於戰事失利的康熙，對回信拖沓的皇太子予以斥責。

	 

	●「從前鄂爾多斯人將野兔賣給長城漢人時，野兔一頭值銅錢兩枚；如今六、七枚銅錢，才能買一頭野兔，價格比以前高出三倍。既然如此，那以前數量豐富的時代，究竟是什麼樣子呢？雖然我不應該寫下這些讓你們羨慕，但是對家人不能說謊，實在是沒有辦法。」（康熙三十五年，十二月十一日，第二次西征）

→康熙於第二次西征的尾聲，觀察邊民生活而心有所感。

	 

	●「我們到這裡以後，用儀器測量，發現北極星比京師低了一度二十分。東西之間相距兩千一百五十里。委託安多（西洋傳教士）按照他的方式計算，得知日蝕的時間為九分四十六秒。(……)天空變得昏暗，沒有出現星星。從寧夏看，京師在正東偏北之處。只是想讓你知道，所以寫下送去。也告訴滿人大臣們。」（康熙三十六年，四月二十一日，第三次西征）

→好奇心旺盛的康熙，向皇太子分享觀測天文的發現。

	 

	●「不須為我擔憂，只求你不分晝夜為國事盡心，閒暇之時閱讀經史，學習歷史經驗所傳授的得失，這樣就足以慰藉我內心的愁悶了。」（康熙三十六年，四月二十五日，第三次西征）

→康熙勸勉皇太子，勤奮學習為君之道，同時也能使父親開心。

	 

	岡田英弘認為，康熙早年沒有得到皇族該有的培養與教育，而是憑藉其個人的自我期許與堅毅不拔的耐力，鞏固其皇帝之位。因此，康熙登基後，在二十二歲便立二皇子胤礽為皇太子，對其細心呵護、積極教養；即使出征在外，仍不忘透過書信教育皇太子，身為儲君所應該具備的帝王教養與關於滿洲帝國的治理準則。

	 

	因此，透過康熙的親筆家書，不僅能得窺傳統漢字史料中極為難得的帝王情感與私人生活，更可以從中認識巔峰期的滿洲帝國與蒙古、西藏之間的複雜關係，甚至還能見到西方──遠道而來的耶穌會士的影響。

	 

	■康熙親征蒙古，體現了滿洲帝國作為「共主邦聯」的歷史實相！

	 

	十七世紀後期，滿洲帝國以「共主邦聯」的形式，統治著東亞大陸上不同的族群勢力，包括滿洲、蒙古、西藏與關內十八省的漢人居住地。康熙皇帝對滿洲人而言，是部族會議的議長；對蒙古人而言，是繼承成吉思汗的大汗；對西藏人而言，是佛教中地位最高的「施主」；對漢人而言，則是儒家傳統的皇帝。

	 

	因此，康熙作為各族群的共主，負有協調族群關係與維持帝國和平的責任。一六八八年，瓦剌蒙古諸部之間發生紛爭，最終導致準噶爾部入侵喀爾喀部，後者請求滿洲帝國援助。因此，康熙御駕親征，率領軍隊深入蒙古高原，懲罰準噶爾部及其領導者噶爾丹，此即康熙三次親征蒙古的開端。

	 

	■本書是結合宏觀歷史視野與微觀史料分析的重量級作品！

	 

	《皇帝的家書》是日本歷史學者岡田英弘的代表作。岡田英弘深入研究臺灣故宮收藏的康熙親筆滿文書信，重建滿洲帝國西征蒙古的具體過程，並進一步還原康熙個人的真實性格與家庭情感，不論是在宏觀的歷史視野，或是微觀的史料分析上，都有著獨到的見解與豐富的成果。

	 

	本書的日文版發行於一九七九年，一開始定位為歷史普及作品，四十年來廣受日本讀者好評；二○一三年改版，除了修訂內文，更增補及新譯相關清代文獻，包括滿、蒙、藏語等難得一見的紀錄，內容更加豐富多元。本書便是採用二○一三年增補後的版本。

"
躁動的亡魂：太平天國戰爭的暴力、失序與死亡,https://www.kingstone.com.tw//basic/2016270061939?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,梅爾清,衛城出版  ,9789869889032.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270061939/2016270061939b.jpg,"


日常中斷，死難兩千萬，熟悉世界毀於一旦
	生而為人，如何面對史上最慘烈內戰？
	掙脫教科書與民族主義的太平天國


	■■■  ■■
挑戰官方的歷史詮釋，第一本從民間視角認識太平天國戰爭的歷史著作
	十九世紀中葉，大清帝國歷經長達十五年的太平天國戰爭，超過兩千萬人喪生、更多老百姓流離失所，堪稱世界近代史上最慘烈內戰。

	師承最會說故事的漢學家史景遷，本書作者梅爾清大膽跳脫傳統教科書裡的成王敗寇與民族主義，不再將焦點放在洪秀全、曾國藩和帝王將相背後的政軍角力，反而關注那些受到戰爭直接影響、其心聲卻被官方紀念與國家記憶所遺忘之人。

	對地方上失去愛人、生計與生命的幾百萬老百姓來說，太平天國戰爭到底意味著什麼？

	■■  ■■■
挖掘被遺忘的聲音，捕捉地方老百姓眼中的動盪時代
	「世人做錯什麼，才得遭受天譴？」

	當太平軍攻陷南京城，家鄉就在附近的一位慈善家發出了天問。他將眼前的殘酷戰爭，描寫成老天爺勸人為善的象徵。他振筆疾書、積極向鄉民佈道，為了替地方團練籌措經費，也為了導正世間的道德秩序。

	除了這位以道德解釋災難的慈善家，本書還記載著一段段備受劫難的人生故事，包括用日記描述戰爭慘況的揚州詩人、被太平軍俘虜與剃頭的讀書人，以及透過書寫喪母之痛，學著與悲傷共處的孝順兒子。藉由從未揭露過的民間視角，讀者得以窺見長期被官方所遺忘或扭曲的故事，認識太平天國戰爭的實際影響。

	■  ■■■■
透過躁動的亡魂，看見太平天國戰爭在人心中的刻痕
	戰爭如何中斷日常？人們如何面對失序與動盪？如何處理遍地屍骨與紀念逝去親人？如何重拾內心的確定感，重建被戰爭粉碎的世界？

	躁動的亡魂，反映出躁動的人心。太平天國戰爭讓成千上萬人成為亡魂，並在無數生者心中烙下刻痕。

	本書透過方志、傳記、詩集、外交文獻與傳教士報告，帶領讀者看見這些刻痕，看見當時人們最切身的經歷：失親之痛、對官府失能的憤怒，以及摻雜腐臭氣息與夢魘畫面的可怖回憶。

"
八國聯軍乃正義之師,https://www.kingstone.com.tw//basic/2016270063353?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,劉淇昆,時報文化  ,9789571391991.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270063353/2016270063353b.jpg,"


	原來我們讀的教科書是被誤導的假歷史！

	八國聯軍是什麼？餓的話每日熬一鷹？

	慈禧跟義和團是合作關係還是彼此利用？

	是境外政治勢力介入想遏制中國崛起？

	世世代代的中國人要銘記在心、勿忘國恥？

	最後結果是中國人輸了還是滿清輸了？

	　

	想像一下，如果你生活在1900年的北京，你會遇到腐敗的朝廷、沉重的賦稅、殘暴的義和拳……最後是八國聯軍救了你？！

	 

	★其實，中國沒有正式對列強宣戰，列強也沒有對中國宣戰。

	★其實，八國聯軍是一場救援行動，而不是侵略行為。

	★其實，當時的中國百姓大多感謝八國聯軍的占領行動。

	★其實，辛丑條約不是戰爭的和約，而是賠償的合約。

	★其實，八國聯軍間接導致了共和中國的最終誕生。

	 

	在教科書裡，八國聯軍歷來被描述為西方列強欺凌清末軟弱中國的一項具體事證，然而實際上卻是一支因為人道危機而不得不興的仁義之師。八國聯軍攻占天津、北京，解使領館之圍，平息暴亂，整頓治安，拳匪的紅色恐怖、清廷的「滅洋」屠戮方告終結，社會才由亂入治。歷史清楚地表明，平息浩劫、解危紓難、人道救援，這是八國聯軍出師中國的唯一目的。

	 

	本書以最詳盡的引據及考證、最豐富的圖片輔佐，推翻原有的國恥觀點，如實呈現清末庚子戰爭的真相，為讀者解剖這段被誤導的歷史。

	 

"
不一樣的中國史12：從八旗到洋行，天朝震盪的時代─清,https://www.kingstone.com.tw//basic/2016100179773?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,楊照,遠流      ,9789573292180.0,https://cdn.kingstone.com.tw/book/images/product/20161/2016100179773/2016100179773b.jpg,"


	「中國史」是「臺灣史」的重要部分！
	要回答臺灣怎麼來的，不能不理解中國歷史。

	以歸零、新解的思維，扭轉你過去所讀的歷史印象
	一套重新理解臺灣、理解中國、理解世界的書──
	 
	【本冊簡介】  
	清朝和明朝在三件事上不一樣。滿漢官並行、以八旗為滿洲命脈與統治基礎，以及「永不加賦」的祖宗家法，清朝歷史的變動主軸亦由此梳理。康熙完成史無前例的「政統」與「道統」合一，雍正有著折服天下的想像，延續至乾隆打造了百年盛世。
	但失去道統權威的士人，出現了知識結構真空。「實學」成為新的關鍵詞，卻因缺乏思想工具而回到古籍考索上，表現之一為乾嘉學派。太平天國是清中葉出現的一個內部挑戰，和來自西方列國對於中國中心的挑戰同時迸發。曾國藩所帶領的士人信仰雖力挽狂瀾，新的政治骨幹也抵擋不了官僚習氣的沉淪。
	滿洲人必須進入漢人建構的「天下觀」中才能治理中國，這也是難以將自身放入「列國」新秩序的關鍵障礙。中國近代史的主題是「衝擊與回應」，開放通商口岸正是洋人與中國關係的突破點。西洋事物、制度、野心以驚人速度湧入中國，上千年文明無力再提供現實指引，如此迎來一個極其獨特的騷動時代。
	 
	【突破看點】
	●清朝立足中原，何以稱得上「偉業」？
	●從「內聖」、「外王」重新認識康熙皇帝
	●《聊齋》到《紅樓夢》，看個人主義精神萌芽
	●探看平等、狂想、價值撼動的太平天國
	●深入理解東方帝國與西方帝國的根本差異
	 
	【系列特色】（共13冊，陸續出版中）
	◆這是為臺灣讀者而寫的中國通史──只看臺灣，不可能真正認識臺灣。從臺灣主體性出發，中國史是構成及解釋臺灣史的重要部分。
	◆既是「一家之言」，又超越「一家之見」──楊照自比為「二手研究整合者」，站在前輩同輩學者的龐大學術基礎上，為讀者進行有意義的選擇，建立有意義的觀點。
	◆全「新」的讀史方法──考古挖掘、敦煌文獻、大內檔案……，王國維、陳寅恪等開啟的新史學革命，以及中、臺、日和歐美學界的新研究成果，充分運用近百年新史料、新觀點，取代傳統舊說法。
	◆用問題邀請讀者──探討歷史運作的深層邏輯，不只學What（歷史上發生了什麼），更要探究How and Why（這些事如何發生，為什麼會發生）。
	◆點燃思考的靈光──從社會型態、民生經濟、食衣住行、文化思想的角度切入，關注歷史變化脈絡，自然而然引導獨立思辨的能力。
	◆學習「活」的歷史──打破傳統帝王將相的「王朝史觀」，去除「中國同質性文化」的假設，改用「求異」的眼光，凸顯長久以來被忽視或誤讀的現象。
	◆清奇的「說史」方式──既有平易酣暢的故事感，亦有歷史的現場感，更有啟迪思考的深度與廣度。
	 

"
最後的帝國：大清龍旗飄落與民國崛起的始末,https://www.kingstone.com.tw//basic/2016270064145?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,金滿樓,大旗      ,9789860602036.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270064145/2016270064145b.jpg,"


從晚清到民國的起起落落
	打開紫禁城的大門，
	窺探深宮內院、家國山河的那些年那些事，
	細讀牆裡牆外、龍位之主的政權變動與利益布局。

中國與列強的紛紛擾擾
	34個篇章，
	剖析各國的戰略布局，與表面通商、實為瓜分的如意算盤，
	透視中方掌權者各項政策的利害考量、心理畏懼與仍對未來抱持的冀望。

	曾經的盛事輝煌，在各國的造訪與交流下弱點日益明顯，
	舊制度的不合時宜、財政漏洞的一再擴大、
	內部鬥爭造成的無法落實改革與一致對外抗敵……。

不只是歷史，更是人性的最佳寫照，
從晚清到民國，細看帝國從輝煌到黯淡的最後身影。

"
海不揚波：清代中國與亞洲海洋,https://www.kingstone.com.tw//basic/2016270063513?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,布琮任,時報文化  ,9789571391007.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270063513/2016270063513b.jpg,"


18世紀的清皇朝，真的是一個漠視海疆的內亞帝國嗎？

從測繪海疆、伐木造船與海防方略，到《海錯圖》、追逐魚翅與渡海詩文，

讓我們重探一段被遺忘的盛清海洋大歷史！

	 

	我們已習慣利用以大陸為軸心的史觀，去分析滿清統治中國的歷史：滿洲人馳騁天下，建立一個橫跨中亞的陸上帝國。他們對海洋的認識，對海疆的重視，往往不如前朝鄭和下西洋的積極。若不是19世紀西方列強相繼由海路侵擾中國，清政府也不會意識到鞏固海防，發展海事的重要性。

	 

	但史實真是如此嗎？

	 

	《海不揚波：清代中國與亞洲海洋》希望追溯清帝國的海洋關懷，證明清代中國在歐美列強紛起入侵前，不是一個漠視海疆的陸權國家。

	 

	全書第一部分聚焦於康雍乾三朝在測繪海疆、伐木造艦，以至在渤海一帶發展海洋軍事化等議題，引證清廷的籌海方略與其帝國性的展示，合理地還原十八世紀清政府對海疆的關注及謀劃。

	 

	第二部分則自國家層面轉移到以學人、商品為中心的討論，從《海錯圖》的想像與書寫、對魚翅的消費與追逐，以至創作於往返閩臺之間的渡海詩文，探索盛清時代人和海洋的互動與連結。

	 

	布琮任試圖透過「去陸地化」的觀點，以淺顯生動的筆觸勾勒清代中國與海洋世界的脈動，從而呈現清帝國在鴉片戰爭之前的海洋意識，試圖為海洋史和盛清史灌注新的思維與色彩。

"
晚清原來是這樣,https://www.kingstone.com.tw//basic/2016270063803?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,金滿樓,大地出版社,9789864023462.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270063803/2016270063803b.jpg,"


	從虎門銷煙到清帝退位，從留美幼童到革命書生，從剪辮禁煙到開礦修路，本書以豐富的真實史料為基礎旁徵博引、從多重新視角切入，還原晚清歷史鮮為人知的諸多細節，全景式呈現晚清帝國社會各階層的眾生相以及壯闊恢弘的世界歷史圖景。

	 

	硝煙四起，三千年未有之大變局下，僵腐的晚清朝廷將如何面對列強的堅船利炮？沉睡的國民如何迎接西潮的連番衝擊？十字路口的古老帝國將何去何從，又將如何破繭重生？撥開迷霧，直擊真相，見微知著，窺斑見豹，深刻剖析百年前的人與事，從細微末節追近代歷史的真奧秘，並對晚清覆亡的原因做了深入探討和富有洞見的反思。

"
這一夜，雍正奪嫡（20周年紀念版）,https://www.kingstone.com.tw//basic/2016270062981?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,丁燕石,遠流      ,9789573289753.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270062981/2016270062981b.jpg,"


	有關雍正皇帝繼位是否合法的問題，向來眾說紛紜，是清朝的一大公案。

	丁燕石經過多年的研究及蒐集相關資料，也試著從心理層面出發來撰寫此書。

	 

	他以康、雍二帝的心理脈絡為經，康熙、雍正兩朝實錄及雍正的各式「上諭」為緯，交織出宮廷紛擾，帶領讀者重回雍正得位現場，針對歷來各種說法剖析其可能性。

	 

	全書分上、下兩卷；上卷是「康熙皇帝──立太子恐懼症候群患者」，下卷是「雍正皇帝──捍衛皇位合法症候群患者」，他根據現有資料，踵武前賢，擴大視野，仔細爬梳，於一字一行間，疑其所疑，信其所信。對雍正皇帝這個人，和他繼位的經過，再做一次蒐尋之旅，希望能在前輩學人們的既有成就中，使這段歷史更增加一些可以提供後之來者足以鑽探研究的空間。

	 

	★全新專文導讀－－紀實歷史作家岳南從雍正奪嫡的謎團開始，討論到為什麼雍正不遵守「昭穆之制」，隨康熙一起葬在東陵，卻另外闢建「泰陵」。他同時也深入分析雍正皇帝的個性，以及歷史如何在雍正朝拐彎。

	 

好評推薦

	 

	「滿清王朝自興起到滅亡，歷經十二朝，幾乎每一朝都有懸案，每一代都有謎團，可謂奇案迭出，謎團連環。其懸其亂，四千年歷史無出其右者。其中，光是雍正皇帝自繼位至駕崩，短短十三年間引發的謎團，就讓後代學者、小說家、編劇忙得不亦樂乎，進而名利雙收。……丁燕石先生大著《這一夜雍正奪嫡》行文嚴謹，考證縝密，發前人未發之覆。對所涉人物的處境、地位、性格、才能皆有精細描繪，對歷史事件嬗遞往復，內在隱祕的因果關係，細入無間的草蛇灰線及蛛絲馬跡，洞察犀利，剖析透徹，抽絲剝繭，層層推進，直至影現形出，豁然開朗。讀到緊要處，不禁令人拍案叫絕。」──岳南

	 

"
大清盛世忙什麼：來去紫禁城打卡，體驗當皇上的日常！,https://www.kingstone.com.tw//basic/2016270062721?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,李純瑀（魚小姐）,平安文化  ,9789579314855.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270062721/2016270062721b.jpg,"


大膽！是誰在背後說朕的八卦？

	全面「清」襲！揭開紫禁城裡帝后生活的秘密！

	想知道皇上吃什麼、去哪兒玩？
	走進紫禁城，來一趟最有深度的「清」旅行！

●人在宮中身不由己，皇帝婚姻全是太后在幕後操盤？
	●乾隆舉辦千叟宴，誠意滿滿卻反而讓老年人大幅減少？
	●公主身價以夫為貴，婚後薪水、生產福利大不同？
	●粗食愛好者康熙晚年成為紅酒達人，老饕乾隆則是月餅魔人？
	●當太醫真命苦，不只錢少事多，一不小心還可能落入地牢？
	●康熙、乾隆揪團下江南，目的不在把妹，而是另有大事要辦？

	《後宮甄嬛傳》、《延禧攻略》……這些清宮劇中的「皇上」看似位高權重，其實他們也跟平民老百姓一樣，各有各的辛苦日常，例如每年過年行程忙到像是在趕通告、清明祭祖跪到膝蓋都破皮、端午節必須連吃一個禮拜的粽子……
	而在講究秩序、階級分明的紫禁城裡，每一套服飾都有不同意義、每一個角色都有各自價值，至於那些隆重的皇家婚禮、風光的狩獵大會、奢華的滿漢宴席背後，更有著令人唏噓不已的故事。
	李純瑀老師繼《歡樂宋》之後，再度以活潑生動的筆法，引領讀者回到那個被影視改編最多的朝代，一窺皇家的食衣住行、生活禮儀、養生秘訣和各種不為人知的小插曲，體驗大清盛世好時光！

"
太平天國,https://www.kingstone.com.tw//basic/2016270051602?zone=book&lid=book_class3_bdl&actid=book_class3_bdl,史景遷,時報文化  ,9789571365633.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016270051602/2016270051602b.jpg,"


一部西方經書如何被引用、誤讀，最後據為己用？

一場宣教行動如何觸動滿漢族群問題、華洋民族意識？

信仰如何成為狂熱，終於燃燒中國大半江山？

  

史景遷敘事史學登峰造極之作

魔幻手法鉤勒出波瀾壯闊史詩

  

恪守史料，布局奇絕，敘事精妙，文筆流暢

──漢學巨擘史景遷作品  經典重現──

  

 洪秀全在一八五一年到一八六三年間建立的太平天國，造成兩千五百萬人喪生，經濟損失不計其數，大清國一流的政治人物、兵力財力幾乎盡耗於此，斲傷大清元氣。史景遷並無意寫一本太平天國全史，而是想通過提供一個排比有序的歷史脈絡，來瞭解洪秀全的內心世界，去追索他的行為邏輯。史景遷在試圖追尋洪秀全心中的宗教熱情時，也在思索：有些人堅信自己身負使命，要讓一切「乃有奇美新造，天民為之讚歎」，極少計算後果，而這是否就是歷史的大苦痛？

  

 史景遷的論述重心在於爬梳洪秀全本人的心靈世界如何受到聖經的啟示，真摯相信能在塵世締造人間天堂，而這種認知更與當時中國華南動盪的時代脈絡合拍，最後竟造成無數生靈的塗炭，逼使清廷窮十年之力來鎮壓這場史無前例的運動。《太平天國》展現了類似《魔戒》的磅礡史詩氣魄，史景遷以他那迷人的蒙太奇寫作手法，打破了線性時間和僵固空間的制約，游移於歷史與小說之間，因此成為西方漢學界關於史學方法論爭辯的焦點。

"
