書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
世界第一簡單電磁學,https://www.kingstone.com.tw//basic/2013380009400?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,遠藤雅守,世茂      ,9789866097904.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380009400/2013380009400b.jpg,"

磁學之所以被認為是門難懂得學問，不外乎是其含有大量的公式與定律。但本書則是從周遭的現象切入，以漫畫的方式，來說明這些發生在我們日常生活中、隨處可見的電磁學定律與現象。讓學習電磁學變得更簡易、輕鬆。本書特色看漫畫學電磁學！「磁軌砲」是什麼？它是怎麼製作出來的？它能摧毀其他行星？毀滅世界？是世上最終極的武器？！電磁學因為有許多定律與公式，所以常被人認為是門難懂的學問。可是偏偏，電磁學又是理工科系的必修！本書正是為了解決這令人頭痛的問題而生。本書以漫畫形式，講解發生在生活周遭的電磁學現象，包括庫倫定律、馬克士威方程式、勞倫茲力等，希望藉由輕鬆的漫畫、簡易的說明以及實際、具體又切身的範例講解，讓你輕輕鬆鬆學會電磁學！想知道關於電磁學中的所有奧秘嗎？不論你是對電磁學有興趣的初入門者，還是不得不學習電磁學卻不得其門而入的理工科系學生，透過本書漫畫式的講解，相信一定能讓你輕鬆學會電磁學！
                    
"
圖解電波與光的基礎和運用,https://www.kingstone.com.tw//basic/2013380010819?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,井上伸雄,台灣東販  ,9789865110185.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380010819/2013380010819b.jpg,"


從技術的歷史講起，最適合入門者的一本書！

	當今世界可說是由「電波」建構而成。我們的周遭隨處可見電波的存在，如廣播、電視、手機、Wi-fi、藍牙等。與電波同屬電磁波的「光」也一樣。除了照明用的燈光之外，我們也會將光的各種特性應用在我們的日常生活中。

	各種「電波與光」的尖端技術支持著現代社會，要瞭解這些技術的原理，就必須學會基礎知識才行。

	 

將高中物理的內容簡化，

一本搞懂「電波與光」的誕生與應用！

	本書會盡量擺脫複雜難解的數學公式，結合最新、最切身的具體實例，簡單說明各種生活中的物理現象。

	不同於一般教科書將各個理論拆開說明，讓我們從起點「電波的發現」開始，隨著簡潔直白的文字，循序漸進認識這個世界吧！

	 

	 

	第一章 生活中不可或缺的電波

	第二章 電磁波的本質

	第三章 電波和光是同樣的東西

	第四章 光的各種性質

	第五章 接下來是光子學的時代

"
觀念物理5電磁學?核物理,https://www.kingstone.com.tw//basic/2015240230689?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,休伊特,天下文化  ,9789864795109.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015240230689/2015240230689b.jpg,"


與其每個月花幾千元去補習，
不如一套《觀念物理》寶典在手，妙用無窮！


	大家都知道電磁學與核物理很重要，
	不只在物理考試中是決定分數高低的關鍵，
	而且處在這個電子時代、核能時代，
	若缺少了相關常識，旦夕福禍經常就在一念之間。

	可是在物理課堂上，這些知識的傳授總是壓軸演出，
	學生往往來不及學會多少招式，就匆匆忙忙綁赴考場了；
	出了考場，只憑還記得的一招半式就這麼闖蕩險惡的江湖……
	你也是這樣對待決定你人生前途的緊要觀念嗎？

	如果你的家教老師告訴你，在核反應中，原子核轉變為能量，
	你聽到之後，就應該另找一位家教老師才對。為什麼？
	你看到鳥兒兩腳站在一條幾萬伏特的高壓電線上，
	卻不會觸電烤焦；而你有時候碰觸到不過110伏特的家用電器，
	卻被電得哇哇叫。為什麼？
	如果你知道發電廠並不出售電子，而是要由你自己提供，
	那你為什麼還要乖乖繳電費？
	請看這本《觀念物理》第5冊吧！

"
費曼物理學講義 II：電磁與物質（共5冊，平裝版）,https://www.kingstone.com.tw//basic/2013300048762?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,理查．費曼、羅伯．雷頓,天下文化  ,9789864794362.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013300048762/2013300048762b.jpg,"


費曼留給世人最寶貴的遺產
歷久彌新的跨世紀經典巨獻


	《費曼物理學講義》共有三大卷，
	展現了最偉大的物理教師——費曼博士的獨到見解，
	以及縱覽物理學的非凡功力。
	第 II 卷的主題為電磁與物質，共有5冊。

	第 1 冊闡明靜電與高斯定律的觀念與現象：向量場的微積分、靜電學、高斯定律的應用、靜電能量、大氣的電學。
	第 2 冊解釋介電質、磁與感應定律的觀念：介電質、靜電類比、靜磁學、向量位勢、感應電流與定律。
	第 3 冊完整介紹馬克士威方程，並涵蓋相關的主題：交流電路、空腔共振器、波導、相對論觀點下的電動力學。
	第 4 冊著重於電磁場能量動量、折射與反射等相關主題：場能量與場動量、電磁質量、晶體、緻密材料的折射、表面反射。
	第 5 冊闡釋磁性、彈性與流體等主題：順磁性與反磁性、鐵磁性、彈性學與彈性材料、乾水與濕水之流動、彎曲時空。

"
圖解電磁學,https://www.kingstone.com.tw//basic/2013380009950?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,坤禮、張簡士琨,五南      ,9789571174235.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380009950/2013380009950b.jpg,"


 在電機及電子領域中電磁學是一們非常重要的學科，坊間已有許多不同的相關系列問世，但是在深入及廣度的教材上，並沒有看到一套有系列介紹，並且白話的教材存在。此外，對於電磁學而言，相關的教材及專書似乎太過於專門及艱深，使得欲學習此項科目的學生不能夠得心應手的加以學習及了解。因此，本書主要鎖定在此一領域，分成兩大部分：第一部分是針對基本電磁學的重要領域-向量分析，庫倫定律，靜電學，靜磁學及馬克斯威爾方程式，以深入淺出的白話及圖文並貌的說明的方式，將內容加以呈現。第二部份是收集及整合基本電磁學相關的考題，內容從庫倫定律開始，涵蓋了電場、電位、電容、電流、電阻、磁場及電磁力等領域，總共160題，經由作者詳細的加以解析。提供學習者之十地練習之用。完成了一套易懂及具有白話文說明的基本電磁學教學系統，並且更一步發展成電機專業課程的輔助教材。

本書特色

 1.輕易理解電磁學的相關理論
 2.簡潔的說明方式能快速的記憶重點
 3.以圖表方式加深記憶

"
太陽電池,https://www.kingstone.com.tw//basic/2014480840207?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,佐藤勝昭,瑞昇文化  ,9789865957339.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014480840207/2014480840207b.jpg,"

未來能源的終極王牌，太陽光發電技術認識半導體是理解太陽電池技術的關鍵，實現低碳社會，高效率化的新興太陽電池科技擺脫對化石燃料、核能的依賴，阻止地球暖化……新興自然能源中最受人期待的是太陽電池。目前的太陽電池，尚無法取代舊有能源，然而在半導體科技的發展下，未來必能製造出效率更高，成本更低，能夠節省能源的太陽電池。為了推廣太陽電池的開發，一本適合普羅大眾閱讀，且富有專業知識的書籍相當重要！ 本書將搭配圖解，循序漸進的解說太陽電池、半導體、以及半導體元件的基礎知識。不論是對環保新能源有興趣的高中生、專科生、大學生，或是需要瞭解能源知識的相關工作者，相信本書一定可以幫助你更瞭解太陽電池。本書特色搭配全彩圖解，專業知識輕鬆學。  認識太陽電池與半導體技術，涵蓋基礎與專業知識。推論太陽電池會往什麼樣的方向進行技術開發，認識太陽電池未來的動向。
                    
"
圖解簡明電磁學,https://www.kingstone.com.tw//basic/2013380008908?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,高橋寬,建興      ,9789578179271.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380008908/2013380008908b.jpg,"


	本書內容，藉由第1章「直流電路」說明電路之構成要素及基本概念。第2章「電與磁」帶領大家學習有關電流與磁力線之關係的諸定律。第3章「靜電」探討電容器之性質及基本概念。第4章「交流電路」說明電力之利用。

"
電磁學天堂祕笈（2019新版）：輕鬆解析最實用的馬克士威方程式,https://www.kingstone.com.tw//basic/2013380010949?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,夫雷胥,天下文化  ,4713510946695.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380010949/2013380010949b.jpg,"

馬克士威方程式是有史以來最具影響力、最實用的方程式，是我們每天都在使用的電子科技產品的基石！「所有電磁學理論的內容，都包含在馬克士威方程式中。」──費曼「馬克士威的理論是自牛頓以來，最出色、最有影響力的理論。」──愛因斯坦「馬克士威電磁方程式……包羅一切光、電的現象，是更高一個層次的美。」──楊振寧在所有名聲響亮的科學方程式當中，馬克士威方程式可說是有史以來最具影響力、最實用的方程式，是我們每天都在使用的電子科技產品的基石。馬克士威方程式包含四道著名的方程式：電場的高斯定律、磁場的高斯定律、法拉第定律、以及安培－馬克士威定律。在這本《電磁學天堂祕笈》裡，每一道方程式都是單獨一章的主題，作者夫雷胥教授用簡單易懂的語言，仔細拆解方程式中每一個符號的物理意義，清晰描述各個方程式的積分形式與微分形式，並且提供解題的範例。你不需要讀過幾百頁的物理教科書或電磁學教科書，就能得到電磁學最主要的觀念。
                    
"
圖解電磁學,https://www.kingstone.com.tw//basic/2013380009240?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,溫坤禮,五南      ,9789571167749.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380009240/2013380009240b.jpg,"

在電機及電子領域中電磁學是一們非常重要的學科，坊間已有許多不同的相關系列問世，但是在深入及廣度的教材上，並沒有看到一套有系列介紹，並且白話的教材存在。此外，對於電磁學而言，相關的教材及專書似乎太過於專門及艱深，使得欲學習此項科目的學生不能夠得心應手的加以學習及了解。因此，本書主要鎖定在此一領域，分成兩大部分：第一部分是針對基本電磁學的重要領域-向量分析，庫倫定律，靜電學，靜磁學及馬克斯威爾方程式，以深入淺出的白話及圖文並貌的說明的方式，將內容加以呈現。第二部份是收集及整合基本電磁學相關的考題，內容從庫倫定律開始，涵蓋了電場、電位、電容、電流、電阻、磁場及電磁力等領域，總共160題，經由作者詳細的加以解析。提供學習者之十地練習之用。完成了一套易懂及具有白話文說明的基本電磁學教學系統，並且更一步發展成電機專業課程的輔助教材。  本書特色1.能夠輕易理解著作權法的相關理論2.用簡潔的說明方式能快速的記憶重點3.以圖表方式來加深記憶  

"
電磁學：宏觀電磁學，光學和狹義相對論,https://www.kingstone.com.tw//basic/2014000020935?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,林清涼,五南      ,9789571162973.0,https://cdn.kingstone.com.tw/book/images/product/20140/2014000020935/2014000020935b.jpg,"

本書具有下列四個特色：一、參照西洋物理學史，簡單介紹一些我們的祖先在物理方面曾經做過的貢獻。二、彰顯物理學本質：「和生活相關的實驗科學」，故盡量從日常生活中切入，敘述歷史淵源及當時背景來逼近問題核心和推導因子。三、展示科學家們如何整理歸納實驗結果或物理現象、創造數學工具和符號的過程，同時以分析方式逐步詳細解析各章節的基本題目，誘導讀者自然體會到科學的嚴謹性，數學和物理的互動性。四、因應生物和電子的二十一世紀，將物理學應用到我們最關心的人體，以加深親近感。
                    
"
電磁學天堂祕笈：輕鬆解析最實用的馬克士威方程式,https://www.kingstone.com.tw//basic/2013380009080?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,夫雷胥,天下文化  ,9789862166208.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013380009080/2013380009080b.jpg,"

在所有名聲響亮的科學方程式當中，馬克士威方程式可說是有史以來最具影響力、最實用的方程式，是我們每天都在使用的電子科技產品的基石。馬克士威方程式包含四道著名的方程式：電場的高斯定律、磁場的高斯定律、法拉第定律、以及安培－馬克士威定律。在這本《電磁學天堂祕笈》裡，每一道方程式都是單獨一章的主題，作者夫雷胥教授用簡單易懂的語言，仔細拆解方程式中每一個符號的物理意義，清晰描述各個方程式的積分形式與微分形式，並且提供解題的範例。你不需要讀過幾百頁的物理教科書或電磁學教科書，就能得到電磁學最主要的觀念。

"
費曼物理學講義II：電磁與物質(4)電磁場能量動量、折射與反射,https://www.kingstone.com.tw//basic/2023300037956?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,理查．費曼,天下文化  ,9789862164761.0,https://cdn.kingstone.com.tw/book/images/product/20233/2023300037956/2023300037956b.jpg,"

從化學反應到生命現象，從電力系統、電視廣播、到行動通訊科技，都必須透過電磁學來瞭解，就讓費曼帶領我們探究電磁學的世界。本書的內容囊括：■ 場能量與場動量：場能量守恆與場動量守恆不能分開考慮，因為在相對論中，它們是同一個四維向量方程式的不同面向。■ 晶體：眾多原子以某個特定圖樣，在空間中重複排列。■ 空腔共振器：高頻率下的共振電路，可由場在其中共振的空腔來替代。■ 緻密材料的折射：原子中的電荷除了受到入射波的驅動之外，還受到材料中所有其他原子的輻射波的影響。■ 表面反射：表面反射的振幅純然是一種「表面性質」，完完全全由表面的結構決定，不像折射率是由材料的性質所決定。《費曼物理學講義》共有三大卷，展現了最偉大的物理教師——費曼博士的獨到見解，以及縱覽物理學的非凡功力。第II卷的主題為電磁與物質，共有五冊，第4冊著重於電磁場能量動量、折射與反射等相關主題，例如：場能量與場動量、電磁質量、晶體、緻密材料的折射、表面反射。
                    
"
費曼物理學講義II：電磁與物質(5)磁性、彈性與流體,https://www.kingstone.com.tw//basic/2023300038038?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,理查．費曼,天下文化  ,9789862164778.0,https://cdn.kingstone.com.tw/book/images/product/20233/2023300038038/2023300038038b.jpg,"

從化學反應到生命現象，從電力系統、電視廣播、到行動通訊科技，都必須透過電磁學來瞭解，就讓費曼帶領我們探究電磁學的世界。本書的內容涵蓋：■ 順磁性與反磁性：非鐵磁材料的物質，都帶有這種微弱的磁性效應，強度只有鐵磁材料的千分之一至百萬分之一。■ 鐵磁性：對鐵磁材料而言，外加磁場所引發的磁矩非常巨大，這些磁矩所產生的磁場竟然遠遠大於外加磁場。■ 彈性學與彈性材料：提供廣義的彈性理論，及檢視彈性材料內部的一般特性。■ 水與濕水之流動：除了分析不具黏滯性的理想流體（乾水）的問題之外，並探討真實流體（濕水）的行為。■ 彎曲時空：愛因斯坦的重力理論認為，空間與時間必須合併起來構成時空，而此時空在巨大的質量附近是彎曲的。
                    
"
費曼物理學講義II電磁與物質(3)馬克士威方程,https://www.kingstone.com.tw//basic/2013300037643?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,理查．費曼,天下文化  ,9789862164662.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013300037643/2013300037643b.jpg,"

從化學反應到生命現象，從電力系統、電視廣播、到行動通訊科技，都必須透過電磁學來瞭解，就讓費曼帶領我們探究電磁學的世界。本書的內容涵蓋■ 馬克士威方程組：提供最完整且正確的理論，讓我們掌握隨時間任意變化的電磁場，並可求出馬克士威方程組在自由空間中及在有電流與電荷時的解。■ 交流電路：先從低頻率下的電路特性著手，進入技術應用性的主題。■ 空腔共振器：高頻率下的共振電路，可由場在其中共振的空腔來替代。■ 波導：電磁能量在高頻率時，如何在兩物體之間有效傳輸？這時候就需要用到波導。■ 相對論觀點下的電動力學：使用四維向量的語言，關於世界的各種方程都可化成簡單的形式，包括馬克士威方程。

"
費曼物理學講義II：電磁與物質(1)靜電與高斯定律,https://www.kingstone.com.tw//basic/2013300036431?zone=book&lid=book_class3_ecd&actid=book_class3_ecd,理查．費曼,天下文化  ,9789862162309.0,https://cdn.kingstone.com.tw/book/images/product/20133/2013300036431/2013300036431b.jpg,"

費曼講課，精采無比費曼是理論物理學家加上馬戲團的吆喝招徠員的一個不可思議的組合。各式各樣的肢體語言與聲效，能用的全給他用上啦！—《紐約時報》當上課鈴一響，費曼就準時開講。每一堂課都是仔細籌劃的一場戲……通常先有一段介紹，然後推演，接下來是高潮，最後是大結局。而他能精準掌握時間，最讓人驚嘆佩服，通常他都能在一小時完畢的那一剎那剛好講完，過早或超過一分鐘以上的狀況極為罕見……但最大的樂趣在於親眼目睹，原來一長串的點子如何推演出來，既清楚易懂又富有格調。—山德士（Matthew Sands），本書作者之一我記得，在我讀加州理工學院的那些年頭，從未有學生在正規課程上課時鼓掌，但我卻記得，在費曼講完課，學生們常會情不自禁的叫好，而且相當常見……—沙特斯懷特（Bill Satterthwaite）從化學反應到生命現象，從電力系統、電視廣播、到行動通訊科技，都必須透過電磁學來瞭解，就讓費曼帶領我們探究電磁學的世界。本書的內容包含：■ 向量場的微積分：不只是在電磁學非常重要，在各個物理領域中也很有用。■ 靜電學：是與時間沒有關係的電學，這裡面的問題比較簡單，然後，我們再來考慮更複雜的問題。■ 高斯定律的應用：高斯定律可以用來解一些具有特別對稱性質的靜電場，而且可以很快求出答案。■ 靜電能量：在靜電學中，能量守恆原理一樣有用，可以幫助我們發現一些有趣的事。■ 大氣的電學：雷雨是如何為地球充電的呢？為什麼閃電總是打在高的物體上？且讓電磁學為你解開其中的奧祕。
                    
"
