書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
飛航科技大解密：圖解受歡迎的大型客機與戰鬥機－－人人伽利略17,https://www.kingstone.com.tw//basic/2014000039180?zone=book&lid=book_class3_eed&actid=book_class3_eed,日本Newton Press,人人      ,9789864612253.0,https://cdn.kingstone.com.tw/book/images/product/20140/2014000039180/2014000039180b.jpg,"

★常據日本Amazon航空工學類TOP1★增錄人氣的大型客機與戰鬥機，精彩圖片一次掌握！★特別收錄日本航太開發現況，了解新世代火箭的發展與貢獻人們藉由飛機往來於不同地點，客機已是現在不可或缺的交通工具之一。然而這樣巨大的金屬團塊是如何飛在天空上的？各個構造又有什麼功能呢？本書透過圖解受歡迎的大型客機A380及波音787，介紹飛機在起飛、飛行直到降落間會碰到的種種問題以及各重點部位的功能，希望能帶領讀者進入飛機神祕的科技世界！另外也分別解說F-35B、F-22等新銳戰鬥機與新世代飛機，如果你也有以下疑問，務必翻開此書一讀！‧飛行的原理是什麼？為什麼燃料要存放在機翼中呢？‧飛機被雷打到會怎麼樣呢？在飛機上可以自由換座位嗎？‧戰鬥機是如何「隱藏」自己的？各款戰鬥機引以為傲的特色是什麼呢？而隨著航空科技蓬勃發展，我們也期待新世代飛機為生活增添便利性，本書收錄了未來備受矚目的航空發展，如太陽能飛機可達到環保減碳的目的，冀望未來能成為高空中的無線基地局；超音速客機若能克服音爆問題，便可用更快速度往返國際間，促進交流進步；若「空中計乘車」和無人機更加實用化，勢必會帶來革命新浪潮！人們飛上天空後，也接著前進太空世界，最後一個章節介紹了日本開發的航空器與新世代火箭歷程，藉由多張珍貴照片一窺火箭發射背後「只許成功，不許失敗！」的艱辛與細節。本書透過日本牛頓擅長的圖解，詳細講解飛機各個主要構造的功能，讓讀者可以輕鬆進入飛機的科技世界。紙張並特別選用高階雪銅，印刷時可保持色彩的飽和度，襯托出每張圖片的精彩！系列特色1.	本書系來自日本牛頓出版社的科普書系列，一貫以精美插圖、珍貴照片以及電腦模擬圖像，來解說科學知識，深入淺出、淺顯易懂。2.	以一書一主題的系統化，縱向深入閱讀，橫向觸類旁通，主題涵蓋天文地理、生物、數學、物理、化學、工學、歷史、醫學藥學九大類。3.	總以各方角度來闡明各類科學疑問，啟發讀者對科學的探究興趣。
                    
"
俯視藍色星球：一位NASA太空人的400公里高空攝影紀實,https://www.kingstone.com.tw//basic/2013220003346?zone=book&lid=book_class3_eed&actid=book_class3_eed,泰瑞．維爾茲,大石國際  ,9789578722477.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013220003346/2013220003346b.jpg,"

透過史上最極限的空中攝影，坐在太空前緣第一排，從400公里高空俯瞰地球！這不但是一本太空人在太空任務期間拍攝的攝影集，也是對太空梭與國際太空站的日常工作與生活的第一手報導。對於大多數沒有當過太空人的我們，這本書是唯一真正體驗太空生活的機會！●從太空中見到的日升月落、風雪、極光與人類活動，究竟是什麼樣子？ ●坐在太空梭之中，當固體火箭助推器（SRB）點燃、或是分離馬達啟動、或是主引擎熄火（MECO）的那一刻，是什麼感覺？●在國際太空站上要怎麼用推特和Instagram？●在無重力狀態下，要怎麼確保找得到自己的東西？要練習多久，才能準確從太空站的A點移動到B點？●國際太空站上是怎麼過節日的？他們都吃冷凍乾燥拿破崙派嗎？●在全然黑暗的太空中，地球的反光非常強，太空艙的窗戶又很厚──所以在太空中要怎麼拍照？●追極光十分迷人，那麼在2015年的日冕巨量噴發時剛好飛進極光裡面，又是何種啟發人心的體驗？●在太空站會比在地球上更容易看到行星嗎？還有其他無數的問題，你都能像實際當過太空人一樣，在這本書中獲得解答！★國立自然科學博物館館長 孫維新、中央大學天文所教授 陳文屏 感動推薦！透視繞地軌道上的日常生活從太空邊緣欣賞壯麗的地球一個在離地400公里高空、高速繞行地球超過200天，手上隨時拿著相機的太空人，有哪些故事要告訴我們？在這本精采絕倫的攝影集中，國際太空站指揮官、奮進號太空梭駕駛員，以及巴茲・艾德林最喜歡的年輕太空人泰瑞・維爾茲，分享了他在繞地軌道上拍攝的數十萬張照片（他是在太空中拍過最多照片的太空人）之中的精華作品，以及太空生活如何使他重新思考地球與生命的意義。熱愛攝影的國際太空站駐站指揮官泰瑞‧維爾茲，在200多天的太空任務中總共拍攝了30萬幅影像，本書精選其中兩百張驚人的地球與任務紀實照片。他以第一手的角度，平易近人的方式敘述國際太空站上的工作情形，從升空前的準備和發射過程、攜帶的物資、緊急狀況的處置到返航，讓讀者身歷其境感受太空人的日常，更重要的是從400公里高的地球上空所見到的地球的模樣，以及隨之而來的從宇宙的角度，對人類的未來所做的思考。
                    
"
星系．黑洞．外星人：充滿謎團的星系構造與演化,https://www.kingstone.com.tw//basic/2013230042120?zone=book&lid=book_class3_eed&actid=book_class3_eed,日本Newton Press,人人      ,9789864612413.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013230042120/2013230042120b.jpg,"


	★日本牛頓獨家授權精美圖解

	★用豐富圖解闡述星系的誕生與演化過程，了解我們銀河系的歷史及未來

	★一併解說暗能量、黑洞、戴森球、外星人探索計畫等有趣話題


	──星座過10萬年後會變成我們不認識的形狀？！

	──恐龍的滅絕可能跟新的暗能量有關？！

	──我們曾經接收到宇宙傳來的不明訊號？

	 

	我們所在的太陽系，為銀河系的一員，然而我們卻沒辦法從外面觀看全貌，因此僅能藉由長年來的觀測資訊，逐漸從中了解銀河系的螺旋臂、圓盤等構造，欣賞分布其中的許多美麗星系與星雲，而要談到星系的起源，就不得不提原初黑洞與暗能量等研究。

	 

	還有，這個宇宙有沒有地球外智慧生物（外星人）存在呢？事實上，科學家們正非常積極地搜尋外星人的蹤影。該如何搜尋外星人的蹤跡呢？外星文明存在的可能性有多大呢？能不能前往遙遠的宇宙旅行呢？《星系‧黑洞‧外星人：充滿謎團的星系構造與演化》授權自日本牛頓，運用長年累積的資料，彙整出一本講述星系全貌的全彩精美圖書，帶領讀者身歷其境，窺看宇宙的奧祕。

	　

系列特色

	 

	1. 本書系取得日本牛頓出版社的授權，以精美插圖、珍貴照片及電腦模擬圖像，深入淺出解說科學知識，淺顯易懂。

	2. 以一書一主題的系統化，縱向深入閱讀，橫向觸類旁通，主題涵蓋天文、數學、物理、化學、生命科學等領域。

	3. 以不同的角度提出各種科學疑問，啟發讀者對科學的探究興趣。


審訂推薦

	陶蕃麟 

	曾任台北市立天文台 組長、臺北市立天文科學教育館 組長

	現為台北市天文協會 監事、天文名詞 審議委員

	 

"
0負擔天文課：輕薄短小的109堂課，變身一日太空人,https://www.kingstone.com.tw//basic/2013200017295?zone=book&lid=book_class3_eed&actid=book_class3_eed,侯東政,清文華泉  ,9789865552459.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013200017295/2013200017295b.jpg,"


	熱愛天文，但對太空旅行的天價望而卻步？
	沒關係！沒錢當短期太空遊客，但你想必有錢買這本書！
	星系、星雲、恆星、行星、銀河系、太陽系、星座、觀星術、天文台……等等
	所有你想知道的天文知識，書裡全都有！

	☆☆☆☆☆☆☆☆☆☆☆☆

	★人類最長久的夥伴「月球」，其實也正在離開人們
	月球每年會以四公分的速度遠離地球。在46億年前，月球形成之初，月球與地球的距離為2.253萬公里，但現在兩者間平均距離為38.44萬公里。未來的某一天，一個月的時間概念將被改變：不再是30天或31天，而是47天。

	★「蟲洞」可以讓人瞬間移動？
	如果看過電影《星際效應》，想必對主角們穿過蟲洞，抵達太陽系外其他星球的一幕印象深刻。根據理論，這種讓物質瞬間轉移的方法確實是可行的，但至今卻仍未發現這種「橋梁」……

	★你許願的對象是流星，還是太空垃圾？
	醒醒！你所許願的「對象」，只是塵埃或碎塊，甚至可能是太空垃圾！這些物質被地球引力吸引落入大氣層時，因劇烈摩擦而燃燒，才形成了人類所見的美麗流星。

	★宇宙是無限的嗎？
	許多人認為宇宙沒有邊際，但奧伯斯悖論反駁了這個觀點：假如站在無邊的森林裡，不論往哪個方向看，都只能看到一根根樹幹，看不到任何間隙。
	同理，如果宇宙無限，那麼所有恆星發出的光都將抵達地球，並連成一片。既然實際上恆星彼此之間有黑暗間隙，那就說明宇宙是有限的，透過這些間隙，人類看到的是一堵包圍宇宙的黑暗圍牆……

	★地球人竟曾寄出一張唱片給外星人！
	宇宙中有其他生命嗎？為了向未知的、居住在宇宙中的其他生物打招呼，人類竟然曾發射一張可以保存十億年的鍍金銅質唱片到外太空，唱片中錄了九十分鐘的「地球之音」，這就是我們給外星人的見面禮……

	☆☆☆☆☆☆☆☆☆☆☆☆

	本書收錄了從古至今、從東方到西方的天文百科與天文奇談，
	若你熱愛探索未知，那對你而言絕對物超所值！

"
第一次登月阿波羅11號登月50週年,https://www.kingstone.com.tw//basic/2013260024264?zone=book&lid=book_class3_eed&actid=book_class3_eed,羅德．派爾,廣場出版  ,9789869864503.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013260024264/2013260024264b.jpg,"

「我們選擇在十年內登上月球以及完成其它夢想，並非它們輕而易舉，而正是因為它們困難重重……」──約翰‧甘迺迪，西元一九六二年九月在美國德州萊斯大學演講詞「我的一小步，是人類的一大步」”That，s one small step for man, one giant leap for mankind.——尼爾 · 阿姆斯壯 1969 年7月20日　地點：月球「太空人登陸月球，這不只是歷史的一步；這是進化史上的一步。」時報社論，西元1969年7月20日《第一次登月》書中有多幀迷人、以往從未公布的照片，以及許多珍貴難得的影像和檔案文件，故事引人入勝，生動敍述阿波羅11號的史上創舉，同時為慶祝它登月五十週年紀念共襄盛舉。人類登陸月球是歷史性且具指標意義的里程碑，《第一次登月》為我們揭露其幕後不為人知的真實樣貌，從美國與蘇聯間的太空競賽，講到阿波羅11號降落月球上的寧靜海，再講到重返地球及其後續發展，精彩絶倫。重要事件：1957年10月 4日  蘇聯發射人造衛星史波尼克1號升空1961年 4月12日  尤里‧加加林是全球第一位上太空的人1961年 6月 5日  艾倫‧雪帕德成為美國第一位上太空的人1962年2月20日  約翰‧葛倫成為全球第一位上地球軌道的人1963年6月16日  范倫蒂娜‧泰勒絲是全球第一位上太空的女性1965年3月18日  阿列克謝‧列昂諾夫是全球第一位進行太空漫步的人1965年6月3日  愛德華‧懷特是美國第一位進行太空漫步的人1967年1月27日  三位太空人死於阿波羅1號的火災1968年12月24日  阿波羅8號繞行月球
                    
"
星艦奇航記宇宙官方指南：《星艦》系列背後的真實科學,https://www.kingstone.com.tw//basic/2013240003722?zone=book&lid=book_class3_eed&actid=book_class3_eed,安德魯．法澤卡斯,大石國際  ,9789578722774.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013240003722/2013240003722b.jpg,"


加拿大太空總署顧問兼太空科學專欄作家與國家地理攜手合作
	亞馬遜4.7星／Goodreads 4.2星高度好評
	寫給每個星艦迷、科幻迷，和嚮往無垠星空與星際冒險的所有人
	首部結合《星艦》正史與太空科學的科普書，同時遨遊《星艦》與真實太空的雙重宇宙！

	★唯一一本將劇集情節與真實宇宙交互參照的《星艦》書籍，說明在《星艦奇航記》中出現過的恆星系統、系外行星、類星體、星雲、黑洞……等數十類天體的真實模樣。
	★了解《星艦》系列如何利用太空科學與天文物理學構築出一個充滿想像力的虛構宇宙。
	★教導讀者透過最簡單的方式尋找夜空中的矮星、超巨星等數十個明亮天體。
	★永遠的企業號艦長威廉‧薛特納撰寫序言。
	★收錄最受歡迎的《星艦》劇照、角色，與劇中出現的經典儀器裝置。

	本書首度帶領讀者一探龐大的《星艦奇航記》宇宙背後的真實科學。這個熱門科幻戲劇與電影系列作品以大量的科學為藍本，在《星艦》正史中，星際艦隊前往各種目的地時遇到的天體或事件，諸如多恆星系統、超新星爆炸、發射星雲、黑洞等，不僅在科學上真實存在，也是可以在夜空中觀測到的。天文教育工作者安德魯‧法澤卡斯在本書中帶你跟著星際艦隊一起出發，從《星艦》中的幾趟特定航程開始，說明背後的科學原理，並引導你進一步觀察、了解、比對真實宇宙和《星艦》宇宙之間的異同。

	《星艦奇航記宇宙官方指南》收錄了首任寇克艦長威廉‧薛特納撰寫的推薦序，數百幅精美全彩圖片、插畫以及NASA最新任務的真實影像，還有最受歡迎的《星艦》劇照、場景與人物，利用星艦的劇情片段或故事線作為具體的天文學教材，讓讀者踏上自己的發現之旅。從牛郎星到織女星、紅巨星到白矮星、太陽系到系外行星，書中造訪了數十個天體，並附有清晰明瞭的觀星說明，讓你輕鬆地在夜空中找出它們的位置。

	這趟旅程不需要曲速引擎，連望遠鏡都用不上；大部分的目的地都是肉眼就能見到的明亮天體。
	不管你是星艦迷，還是想要透過另一種方式認識宇宙的天文迷，這本融合了科學與虛構的精采天文書都能讓你對宇宙留下更深刻的印象，並重溫問世超過半世紀的《星艦》系列帶來的真實感動。

"
大氣輻射傳送原理,https://www.kingstone.com.tw//basic/2013280023148?zone=book&lid=book_class3_eed&actid=book_class3_eed,劉振榮,遠流      ,9789865659271.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013280023148/2013280023148b.jpg,"


	本書主要探討輻射在地球大氣系統中與大氣介質的交互作用，以及電磁的輻射傳送原理。除了輻射基本概念外，也應用基本輻射原理推導大氣中輻射的傳送方程，和在不同條件下輻射傳送方程的求解。書中除了探討輻射的基本概念，也介紹輻射吸收和散射的數學模式。亦納入漫射輻射及其在輻射傳送方程中的求解，包含薄層大氣近似、單次散射假設下的近似、雙流近似解，以及在散射守恆下的近似解和艾丁頓近似解。此外，以離散縱標法求取輻射傳送方程式之解亦為討論的內涵。最後則以不變性原理探討大氣的反射函數和透射函數。sssssssssssssssssssssssssssssssssssssss

"
外星人防禦計劃：地外文明探尋史話,https://www.kingstone.com.tw//basic/2013260024134?zone=book&lid=book_class3_eed&actid=book_class3_eed,汪詰,香港中和  ,9789888570348.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013260024134/2013260024134b.jpg,"


外星人來臨，地球準備好了嗎？

	 

	與地外文明接觸，我們會遇見可愛又熱愛和平的E.T.外星人，還是要準備好地球反擊戰？星球大戰之下，人類文明如何存續？

	 

	從羅兹威爾解剖外星人，還有無數人目睹的UFO出沒事件，作者梳理百多年來人類搜尋外星文明的種種時刻，以嚴謹的邏輯分析外星人存在的可能性，並為人類與外星文明的接觸，作好應對措施提案。

"
重返阿波羅：開創登月時代的50件關鍵文物,https://www.kingstone.com.tw//basic/2013260024004?zone=book&lid=book_class3_eed&actid=book_class3_eed,蒂索．繆爾－哈莫尼,大石國際  ,9789578722569.0,https://cdn.kingstone.com.tw/book/images/product/20132/2013260024004/2013260024004b.jpg,"

●今年適逢人類登月五十周年，帶你回到過去精彩且浪漫的登月時代！●挑選50件最具代表性的登月文物，告訴你不為人知的祕辛，編織出完整的登月時代！●重返NASA最輝煌時代的偉大冒險故事， 坐上阿波羅11號登月艙，探索無垠宇宙！本書由國家地理學會與史密森尼學會合作出版，以史密森尼航太博物館同名展廳Apollo to the Moon的展覽內容為本（該展廳連續展出了42年後，已於去年底為了擴建而關閉，預計2022年改成Destination Moon展廳重新出發），選取50件登月時代最具代表性的歷史文物，包括先鋒號衛星，史上第一部在太空拍下照片的Ansco相機，歐米茄登月表，當然還有阿波羅11號登月艙，另外還有文件、臂章、殘骸、塗鴉以及幕後人物的小介紹，以此編織出整個登月時代的故事。
                    
"
我在太空的340天,https://www.kingstone.com.tw//basic/2017850128219?zone=book&lid=book_class3_eed&actid=book_class3_eed,史考特．凱利,三采      ,9789576581557.0,https://cdn.kingstone.com.tw/book/images/product/20178/2017850128219/2017850128219b.jpg,"


一名沒沒無聞的鄉下窮小子，
	是如何一路過關斬將，成為地表最紅太空人，在太空中長駐將近一年，
	為人類移民太空計畫提供重大的發現，
	讓各大媒體搶拍他的紀錄片，
	連川普和歐巴馬都搶著跟他合照？


//榮獲亞馬遜2017年度百大好書
	《紐約時報》、《哈佛商業評論》讚不絕口//

	你是否對這條新聞有印象？
	2019年四月，美國太空總署（NASA）公告，一般人類基因中的端粒會隨年齡增長而遞減，
	而太空人史考特．凱利在太空的一年當中，基因中的端粒卻有明顯增長的現象。
	這項發現，為全人類的醫療發展和太空移民計畫提供了重大的線索。

	而這本書，正是史考特．凱利打破NASA記錄，在太空站上長居340天的太空日誌。
	你會在這份日誌中，看見人的生命力無從估量，可以從絕望中找尋希望，
	從無數的困境中突圍奮起，讓身邊所有人跌破眼鏡！！

	跟著史考特．凱利，
	一起回顧他傳奇的半生！！

本書特色

	笑中帶淚！
	非典型太空人
	人生逆轉勝的奮鬥日記　

	這不是NASA的科學探勘報告，
	而是一部有血有肉，有夢想、有歡笑、有淚水，
	象徵人類強大生存意志的太空人真實自傳。

	史考特．凱利（Scott Kelly）來自美國紐澤西州的貧窮問題家庭，
	他不是精英，也不是富二代，但他用自己的方式，
	當上了太空人，活出了理想的人生。

	學校成績總是墊底的他，
	是如何克服過動症，挺過了無數的試煉，
	最終成了NASA最紅的太空人？
	他又是如何從破碎的婚姻和親子關係中站起，
	守住他在地球上的溫暖大家庭？

	人在太空的一年，並非清幽寂寞，並非死氣沉沉。
	這裡有跨國的友情與義氣，有人性的美好，
	有各種令人噴飯的生活小確幸。

	正是在浩瀚無垠的太空裡，地球才更顯得美好、難得……
	且看這位真性情的太空人，在萬籟無聲的星空裡，
	對地球、對人類、對親情、對愛情、對生命，
	完成一連串動人的反思與反饋。

你知道嗎？
	太空生活的有趣小知識

	．什麼是「太空的味道」？（詳見→p.68）
	．待在太空不運動，身上的骨頭居然會快速退化消失？！（詳見→p.190）
	．人在太空中，該怎麼丟垃圾？（詳見→p.354）
	． 待在太空久了，你的身體會最想念什麼？（詳見→p.39）
	．升空前，為什麼要穿尿布？（詳見→P.241）

國際推薦

	NASA主持計劃內容，美國公共電視網PBS 與時代雜誌拍攝電影與電視劇《A Year in Space》，同步發行
	紐約時報、哈佛商業評論佳評如潮
	獲選亞馬遜2017年度百大好書

"
