書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
圖解生化學更新版,https://www.kingstone.com.tw//basic/2013990019349?zone=book&lid=book_class3_efi&actid=book_class3_efi,生田哲,易博士    ,9789864800629.0,https://cdn.kingstone.com.tw/book/images/product/20139/2013990019349/2013990019349b.jpg,"


	人體就像一個大型化學反應室，肉眼看不到的分子日復一日默默進行著忙碌的生化反應，以超效運作支應人體種種生存與活動的需求，交織成豐富的生命現象。
	生化學結合了生物學與化學兩大領域，從物質分子結構特性與化學反應機制等概念解開生命種種謎團，看看微觀世界裡發生了什麼事，才造成我們所知的生命現象。諸如親子如何以DNA傳承遺傳訊息、食物營養成分如何被人體吸收利用等等，都能以生化學得到更精細具體的解答。而生化知識亦示現了正確的營養保健之道，像適當補充鈣質以延緩骨質疏鬆症、每天攝取足夠水分才能維持身體正常機能等，都是現代人必知的生活常識。此外，一九七三年問世的基因重組技術使得生物科技得以發展，致力為人類解決改善如醫療、食品保健、美容、環保上的各種問題，其範圍之廣泛可見於將人體分泌量極少的荷爾蒙量產為藥品、司法上的DNA鑑定運用、開發出生物可分解高分子做為器皿材料等等方面；而生物技術的基底，就建立在生化學之上。
	本書從維持生命必須的身體機能運作為出發點，以平易近人的方式介紹三大營養素與維生素及礦物質在人體的消化吸收與功用、酵素在人體內的重要作用、遺傳物質DNA的機制原理……等內容，並跳脫乏味單調的原理說明而融合生活層面的解讀角度，例如為什麼吃多了甜食會發胖？適度日照有助防癌？鈣質流失是骨質疏鬆症也是動脈硬化的成因？輸血會引發心臟麻痺？操作基因無法同時達到防癌與長壽的效果？……等，將生化學基礎知識與切身相關的議題實際結合，自然而然地在趣味中達到學習之效。

	【健康、美麗、長壽的奧祕 就在人體的生化反應原理中】
	．魚油能融解沖洗掉血管中熔點高、易凝固的飽和脂肪酸，降低心臟病發生率
	．低GI的麵類不易使血糖值大幅上升，可避免因胰島素大量分泌使脂肪囤積
	．大豆、花生中的卵磷脂能代謝成神經傳導物質「乙醯膽鹼」，提升腦部功能
	．菠菜中的α-次亞麻油酸會代謝成促進腦神經細胞生長的DHA，讓頭腦聰明
	．辣椒可刺激交感神經提升代謝率，使體脂肪更容易燃燒，幫助瘦身

"
荷爾蒙：科學探險如何解密掌控我們身心的神祕物質,https://www.kingstone.com.tw//basic/2013990020598?zone=book&lid=book_class3_efi&actid=book_class3_efi,蘭蒂．胡特．艾普斯坦,行路出版  ,9789869804028.0,https://cdn.kingstone.com.tw/book/images/product/20139/2013990020598/2013990020598b.jpg,"

《科學新聞》雜誌（Science News）2018年度選書《富比世》（Forbes）雜誌2018年腦科學必讀選書暢銷書《基因：人類最親密的歷史》作者辛達塔．穆克吉盛讚*****荷爾蒙掌控了我們的行為、代謝、睡眠、性愛、情緒與免疫系統……，可以說是活著、會呼吸、有情緒的個體的生物化學。荷爾蒙的基礎科學是怎樣的？它們的發現有些什麼樣的精彩故事？*****我們是怎麼發現荷爾蒙的？這種人體自行生成的激素，又是如何影響我們的方方面面的？想像我們的身體是個強大的資訊運輸系統，有大量訊息需要傳遞。神經系統就好比傳統的電話交換線路，訊息來源通過這些線路才傳送到目的地。反觀荷爾蒙的運作，則猶如無線網路，在身體的一端製造出來，卻能控制遠端的標的，譬如大腦細胞釋放的荷爾蒙，只需要一丁點量，就可以啟動睪丸或卵巢反應。內分泌學直到十九世紀才問世，比起其他重大醫學發現晚了許多，當時醫生才開始探索分布在身體各部位、分泌化學物質的的腺體。一個世紀過去，這門晦澀不明的科學才漸漸躍升為受關注的專業，直到近七十年，科學家終於找到了測量荷爾蒙的方法，在這之後，亦發展出各式各樣荷爾蒙替代療法，它們改善了我們的生活，但仍然有進步的空間。荷爾蒙是相當複雜的人體系統，尚有許多未知之謎。除了述說荷爾蒙發現的故事，本書更將幫助你了解各種荷爾蒙的功能，以及它們彼此複雜的交互作用，你會發現，原來身體有這麼多方面與荷爾蒙息息相關！
                    
"
有關生物的那些事,https://www.kingstone.com.tw//basic/2013600027108?zone=book&lid=book_class3_efi&actid=book_class3_efi,張文碩 編著,培育文化  ,9789869617949.0,https://cdn.kingstone.com.tw/book/images/product/20136/2013600027108/2013600027108b.jpg,"


	科學家們不停在探索生物界的奧祕，
	不過，神奇的大自然還是存在許多未解之謎，
	我們至今仍無法完全理解這個多姿多彩的生物世界!

	只要你還抱有一顆好奇心，
	這個世界就永遠有驚喜等著你！

	哲學家費爾巴哈說過：
	「這些幫助人的東西，這些保護人的精靈，大抵就是動物。只有憑藉動物，人才能超乎動物之上；只有在動物的保護之下，人類文明的種子才能發芽滋長……動物是不可缺少的東西，必要的東西。人之所以為人，要依靠動物；而人的生命存在所依靠的東西，對於人類來說就是神。」

	每一種動物都有牠特有的生活方式，甚至有的動物的生活方式會讓你我大吃一驚。
	如果沒有各種各樣的動物活動，只有人類孤零零地生活在這個世界上，聽不到蟲鳴鳥叫，看不到動物嬉戲，那簡直太可怕……

	正因為有了牠們，這個世界才能充滿活力!

"
帶著生物學到食堂：招待吃貨們的科學餐：關於糖、脂肪、代謝疾病的流言與傳奇,https://www.kingstone.com.tw//basic/2014150430790?zone=book&lid=book_class3_efi&actid=book_class3_efi,王立銘,大寫出版  ,9789579689021.0,https://cdn.kingstone.com.tw/book/images/product/20141/2014150430790/2014150430790b.jpg,"


「中國大陸第12屆文津圖書獎作品」
華人知名科普自媒體「知識分子」策畫！
邀請你進入脂肪、糖與代謝疾病的歷史魔幻之夜！

  

歷經幾世紀的飢餓與匱乏讓人類成了「吃貨」，
而到了美食橫行、「不好吃不吃」的現代，
只好請職業生物學家來救救我們的身體！

 人類千百年的生活裡，科學家前仆後繼地為「吃貨」們釐清與「吃」有關的科學。
 人們也許研究著千奇百怪的減肥偏方，卻沒有人知道隱藏在硬科學背後的有趣故事。
 你知道討人厭的脂肪中其實會產生節制食欲的因子嗎？
 從今天開始，別只當個吃貨，當個有生物學修養的吃貨吧！

 在這個美食空前豐富的時代，飲食反而成了引發疾病的導火索。本書以脂肪、糖和膽固醇代謝研究中重大發現為脈絡，展示我們日常飲食健康與疾病的關係，以及我們常見的一些藥物如減肥藥、他汀、胰島素等藥物的前世今生。

 當真正瞭解本書中講述的生物學歷史和歷史背後的故事後，普通吃貨也可以說說生物科學史的不謠傳常識與知識。同時，本書也協助大眾如何瞭解與代謝、營養有關的疾病。最終，也可以了解人類在生物學領域的研究及重要學人／企業在這方面的重大貢獻。

 讀完這本「不是教你減肥、但讓你了解肥胖由何而來」的人類與吃的互動科學小史，你將會更了解以下文明人類在進食前應該擁有的常識：
 ※ 膽固醇到底是好的，還是壞的？它對人體有什麼作用？
 ※ 脂肪在身體中究竟如何運送、儲存？一切都是因為現代生活型態的關係，使我們不得不（過度）擁有它嗎？
 ※ 為什麼把兩隻老鼠的皮膚連接在一起，能理解脂肪對胃口的調節機制？
 ※ 為什麼千辛萬苦找到的瘦素基因，在萬眾期待下卻沒有解決人類肥胖的問題？
 ※ 還有……更多關於生物學研究與藥廠先驅的奮鬥與成果，他們的發明與發現如何讓我們與這副人類演化而來的身體更好地適存？

 這些事關美食界安危的硬科學與鮮歷史，這次終於變成人人能懂的有趣故事！

"
圖解實用食品微生物學,https://www.kingstone.com.tw//basic/2013690013845?zone=book&lid=book_class3_efi&actid=book_class3_efi,李明清、邵隆志、吳伯穗,五南      ,9789571190457.0,https://cdn.kingstone.com.tw/book/images/product/20136/2013690013845/2013690013845b.jpg,"


輕鬆理解理解食品微生物的發展與相關理論
以簡潔扼要的方式，清楚說明、重點整理
配合圖表輔助，加深學習記憶


	近年來隨著科學不斷進步，食品微生物學得到迅速的發展，也對食品加工產生實質的影響，當大家把注意力專注在尖端科技之際，其實基本的微生物對食品加工的影響，仍然扮演重要角色，微生物應用於食品加工，具有投資少、建設快、效益好、污染少的優點，因此值得食品加工業者花多一點力氣來關注，也值得一般消費者來了解，因為利用微生物來生產人類需要的產品，符合人類的一般認知，容易得到人們的信任。

"
世界第一簡單生物化學,https://www.kingstone.com.tw//basic/2013990012685?zone=book&lid=book_class3_efi&actid=book_class3_efi,武村政春,世茂      ,9789866097348.0,https://cdn.kingstone.com.tw/book/images/product/20139/2013990012685/2013990012685b.jpg,"

我們的身體究竟由哪些物質構成？細胞裡會產生哪些化學反應？要如何以化學概念說明生命？生物化學是一門以化學方法解析所有生命現象的學問。生物化學並沒有想像中困難，原來在我們的身體裡面，每天都上演著生物化學的戲碼！本書以生動有趣的漫畫，來解說生物化學。故事主軸藉由兩個大學生，為了減肥而想要知道細胞裡究竟發生了什麼事。看故事學知識，讀完一篇就能理解一個概念，引領您進入生物化學的殿堂。第1章 身體裡的化學反應第2章 光合作用和呼吸第3章 生活裡的生物化學第4章 (酉每)是化學反應中的關鍵物質第5章 核酸的生物化學和分子生物學漫畫 圖解 說明適合閱讀本書的人：．想要從基礎開始，認識生物化學。．聽過蛋白質合成、物質代謝、光合和呼吸作用、檸檬酸循環、電子傳遞鏈、Vmax和Km等名詞，卻想不起來其意義。．對生技產業有興趣，想知道核酸和DNA、生物化學的實驗方法。
                    
"
都是荷爾蒙惹的禍,https://www.kingstone.com.tw//basic/2013990009692?zone=book&lid=book_class3_efi&actid=book_class3_efi,薇薇安．派,商周出版  ,9789861249872.0,https://cdn.kingstone.com.tw/book/images/product/20139/2013990009692/2013990009692b.jpg,"

科普書年度大獎──2006年 艾凡提斯科學書獎（Aventis Prizes for Science Books） 決選 　　妳真的愛他嗎？妳確定討妳歡心的是他而不是荷爾蒙？避孕藥會讓妳肥胖？多生孩子可以讓妳免於罹患乳癌？經前症候群可有治療良方？男性也有更年期？讓男人們具有男性氣概的睪固酮，同時也是雄性禿的元凶？兩性關係失調、身材問題、情緒低潮，居然都跟荷爾蒙脫不了關係？你或許從不知道，僅僅幾組腺體所分泌的荷爾蒙，竟在各個環節、時時刻刻左右著你！且讓本書帶你一窺荷爾蒙的全貌，了解日夜影響你的荷爾蒙大軍！

"
輔酵素Q10：60兆細胞的能量之源,https://www.kingstone.com.tw//basic/2013990008770?zone=book&lid=book_class3_efi&actid=book_class3_efi,陳柏州,元氣齋    ,9789867596710.0,https://cdn.kingstone.com.tw/book/images/product/20139/2013990008770/2013990008770b.jpg,"

坊間多強調輔酵素Q10的美容用途，事實上，其主要作用在抗氧化、中和自由基，每天補充30毫克就能預防心臟病、牙周病，強化性功能等；抗氧化能力高達維生素E的40倍。 輔酵素又稱為「輔?」，只要少量就可以加速酵素在體內進行多種化學反應，默默扮演抗老、保健的推手；目前只在人體中發現Q10一種。 輔酵素Q10為內生性物質，也可以從天然食物中補充，成為六十兆細胞的能量來源之一；一般認為具有抗老、預防心臟病與牙周病，美化肌膚、緩解部分慢性病等效用，可以說是現階段最火紅的營養補充品。 由於抗氧化作用較強，建議兒童、孕婦及正在服用降血脂、抗凝血劑者暫時不要使用。 

"
醫護．生物化學,https://www.kingstone.com.tw//basic/2013610006810?zone=book&lid=book_class3_efi&actid=book_class3_efi,翟建富,五南      ,9789571122571.0,https://cdn.kingstone.com.tw/book/images/product/20136/2013610006810/2013610006810b.jpg,"

本書內容涵蓋了傳統生化(醣類、脂類、蛋白質、能量及代謝)；分子生物學以及現代生化學在臨床上的應用等。本書的另一特色是將理論與臨床應用結合在一起，讀後將有學以致用的效果。此外本書撰寫，文字望求簡潔，並輔以充份的圖解說明，以收事半功倍之效。緒論中各章節回顧了生化學的過去、現在與將來，並闡釋出現代生化學為臨床醫學發展的基礎，對初學者定有莫大的啟發作用。
                    
"
微戰爭2：鼠疫、天花、黃熱病,https://www.kingstone.com.tw//basic/2014150375817?zone=book&lid=book_class3_efi&actid=book_class3_efi,王哲,風格司    ,9789869162036.0,https://cdn.kingstone.com.tw/book/images/product/20141/2014150375817/2014150375817b.jpg,"


人類要生存，細菌、病毒也要生存，雙方不得不為了生存而戰。

	黑死病迫使歐洲人走出自己的天地。

	天花導致西方的羅馬帝國和東方的大漢帝國走向衰敗。

	天花也導致美洲大陸的古典文明被徹底的毀滅。

	黃熱病幾乎顛覆美國引以為自豪的民主體制。

	面對大瘟疫，醫生們能做的，一度只能和巫師一樣。

	 

黑死病迫使歐洲人走出自己的天地，來到了美洲大陸。

	歐洲被黑死病這場瘟疫折磨得千瘡百孔，瘟疫殺死的人數在二千五百萬到五千萬之間。黑死病並沒有只殺歐洲人，在歐洲流行期間和之後黑死病也在伊斯蘭世界流行，一樣殺死了大量人口。在中國歷時兩年的大疫，僅大都就掩埋了二十萬具屍體，如此具有毀滅性的疫病，在歷史上也決無僅有。

	 

天花導致西方的羅馬帝國和東方的大漢帝國消失。

天花也導致美洲大陸的古典文明被徹底的毀滅。

	天花經張騫開拓的絲綢之路傳入東方，天花由軍隊帶入內地，從此在中國扎根。之後，西方的羅馬帝國和東方的大漢帝國一起走向衰敗，兩個偉大的帝國消失了。天花對於美洲印第安人也是一個致命的打擊，百年間，土著居民只剩下十分之一。如果沒有天花，歐洲人是不可能征服阿茲特克和印加這兩大帝國的。

	 

黃熱病推動著美國歷史，讓美國離開了它原有的歷史軌道，走向一個新的方向。

	一直堅信民主萬能的傑弗遜和麥迪遜透過這場流行病意識到民主體制的缺陷，特別是在應對這種突如起來的特殊情況時的無能為力。他們所引以為自豪的民主體制竟然這麼脆弱，幾乎被一場流行病給顛覆了。

	 

	這是一部前所未有的視角講述細菌、病毒與人類世界之間關係的震撼之作。鼠疫、天花、黃熱病是人類歷史上致死率最高的傳染病，它們消滅了數以億計的人口。面對大瘟疫，醫生們能做的，一度只能和巫師一樣。經過一代代人類精英艱苦卓絕的努力，終於找到了對抗這些烈性轉染病的方法。鼠疫、天花、黃熱病似乎已經遠離人類世界、煙消雲散，但在未來的某一天，這些隱形殺手會不會又捲土重來？

	 

※這是一部前所未有的視角講述了在人類與細菌、病毒等微生物共存的漫長歷史中，與他們亦敵亦友、或和諧相處，或互相對抗的關係。尤其是人類面對一次次猛烈的大瘟疫、流行病中，所作出的不懈努力，所經歷的慘痛失敗。在這場漫長而沒有硝煙的戰役中，人類世界湧現了一代代超凡卓越的科學家們，在他們光輝的成績背後又有許多不為人知、令人動容的故事。

※在這本書裡，不但可以看到一部宏觀的人類與細菌、病毒世界的關係史，更可以看到在這部大歷史下，更為鮮活的細節。

"
