書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
多肉植物的完美養成攻略,https://www.kingstone.com.tw//basic/2014350197691?zone=book&lid=book_class3_ege&actid=book_class3_ege,鸖岡秀明、長田研、松岡修一,楓葉社文化,9789863702504.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350197691/2014350197691b.jpg,"


101款絕美品種✕８大多肉類型

掌握生長類型、給水、戶外環境三大要點

從基礎款開始，培育令你驕傲的大植株！

	 

	各位是否聽過「多肉女子」這個流行語呢？

	這可不是指熱愛肉類、無肉不歡的飲食偏好，也並非與「草食男」相對的肉食女的別稱，

	而是指非常熱愛「多肉植物」的女子！

	 

	近來在臉書、推特、IG等網路社群蔚為風潮的多肉植物，

	就連時下漫步街頭，也時常在咖啡館、手作坊、精品服飾店內，看到多肉牆或多肉迷你花園。

	這些葉瓣肥厚的植株，究竟具備什麼樣的魅力，能讓如此多人愛不釋手呢？

	 

	話說回來，「多肉植物」其實只是一個泛稱。

	除了圓滾滾、晶瑩透亮的十二卷屬，有如玫瑰綻放般的擬石蓮屬等常見類型外，

	也包含了一部分的蘆薈、仙人掌，甚至根莖部肥大的塊根類！

	・葉片或肥厚飽滿，或細如針刺，或覆滿如糖霜般的紋路

	・從葉盤中伸展細長的花莖，垂墜小小如吊鐘的花苞

	・進入秋季後葉色轉紅，斑紋也跟著披上一層朝霞

	多肉植物原產自雨量極少、溫差極大的苛刻環境，才得以進化出如此多變的外形。

	從中展露的強韌生命力，或許正是多肉植物別具療癒力的原因所在。

	 

	本書將以人氣品種為主軸，介紹101種多肉基本款與稀有款品種。

	除了基本的栽種方法與訣竅，還會傳授專家級的栽種技術，帶領你享受更多栽培樂趣！

	不論是初學者或有經驗的玩家，都能從中收穫豐富的栽培知識。

	 

	就讓這本栽培全書陪伴你，親身體驗大自然創造的天然藝術品，

	沉浸在多肉的療癒氛圍，培育不一樣的趣味生活。

	 

本書特色

	 

	◎不只培育教學，更是精美圖錄：收錄101款多肉品種，搭配簡易履歷，栽培難度、成長速度、原產地與特性一目瞭然。
	 

	◎栽培行事曆，全年例事視覺呈現：依生長季節分類，提示放置場所、遮陽、澆水和給肥等照顧要點，栽培不同品種更得心應手。
	 

	◎初學＆資深玩家都適用的繁殖教學：步驟解說「扦插法」、「葉插法」與「分株法」，以及繁殖的三大基本原則。

	 

"
請問植物醫生：植物病蟲害圖鑑與防治（2019年暢銷改版）,https://www.kingstone.com.tw//basic/2014350191859?zone=book&lid=book_class3_ege&actid=book_class3_ege,洪明毅,麥浩斯    ,9789864084852.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350191859/2014350191859b.jpg,"


本土最適用的病蟲害防治、診斷、檢索百科！
	2019暢銷改版─增訂「植物診療特輯」，
	收錄植物醫生搶救花木全過程！

◆近10年最新、最完整的本土病蟲害圖鑑
	居家園藝必備—植物病蟲害防治寶典！
	台灣環境完全適用，數百張高解析植物病徵圖片，方便索引對照！

◆台大植物醫學團隊—植物醫生執筆
	團隊具有豐富的花市駐診、教學諮詢經驗，學理知識及實務兼備！

◆花草異常怎麼辦？跟著圖鑑及病徵直覺診斷
	破洞？長斑？皺縮？是花葉、或根幹有異狀？跟著圖鑑就能快速找到原因。

◆70種最常見居家植物病蟲害，300張清晰病徵圖全蒐
	細緻圖文解說，幫助你解決與防治家中植物的各種奇怪情況！

◆植物診療特輯！植物醫生搶救花木全紀錄
	面對奄奄一息的庭園花木，進行綜合觀察，找出關鍵原因，植物就有機會恢復健康！

★〈我的植物怎麼了？跟著圖鑑及病徵索引，快速找到對策！〉
	‧葉子上面有斑點？
	‧植株到處都黏著奇怪的東西！
	‧葉片破的洞很大，常常只剩葉脈，有時還會捲起來！
	‧葉片有蜘蛛網，上面還有小蟲在爬！
	‧沒有發現病，也沒有看見蟲，我的植物還是長不好？

	當植物發生異常狀況，許多人苦惱的是找不到原因，就算發現了蟲害或病害，也不知如何解決！
	本書作者洪明毅為台大植物醫生，將多年來接受民眾諮詢的經驗，匯整出發問頻率最高、植物最常見的奇怪情形，在書中以容易查索的圖解，希望讓大家都能直覺對照病徵圖，找到植物衰弱的原因。是病害？蟲害？還是因栽培不良引起？找到問題後，就能採取正確又安全的防治對策，讓花草健康繁盛！

★〈如何減少植物生病？跟著防治5point，有效管理健康！〉
	‧選購→簡單幾招，買回健康植物！
	‧預防→平時這樣維護，病蟲害不易來！
	‧健檢→日常檢查自己來，及早發現病蟲害！
	‧鑑定→確認植物生病的原因與對策！
	‧防治→發生了沒關係，輕鬆趕走病蟲害！

	植物醫生分享如何選購健康的植物？一開始就能降低病害傳染。日常園藝工事如澆水、修剪該注意哪些事情，創造一個病蟲害不愛來的環境。在平時觀賞、整理植物時，也可以依循簡單的檢查步驟，及早發現植物異狀，並且提供適合居家使用的方法、調製安全無毒防治液。

"
超圖解！庭園造景施工大全,https://www.kingstone.com.tw//basic/2014350183236?zone=book&lid=book_class3_ege&actid=book_class3_ege,園藝屋、空庵,麥浩斯    ,9789864082520.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350183236/2014350183236b.jpg,"


	培養庭園造景專業的實務寶典，
	從規劃、設計、到施工，相關從業人員必備的一冊！
	實景解說施作工法，一看就懂、立即上手。
	---------------------------------------------------------------------------
	「庭園造景」是一門同時需要專業技術與美感表現的學問，從規劃設計、材質選擇、植栽配置、施工營造到維護管理，各層面的工法繁複而又有其變化性，需要按部就班才能依計畫完成優美又實用的庭園景觀。

	本書將庭園造景的施工程序與專業知識，利用大量圖解的方式作說明，即使初學者也容易吸收理解。雖然原書為日文書，但由於台灣和日本在造園景觀領域方面的交流密切，工法技術也能互通，再加上本書特地邀請「中華民國景觀工程商業同業公會全國聯合會 理事長—李碧峰先生」作內容審定，讓書中介紹的工法、專業名詞與術語更加符合台灣業界實務的作法與慣用稱呼。不論是景觀園藝界人士、相關科系的莘莘學子們，都值得一窺究竟，從中獲得技術與觀念的正解。

	※施工第一線人員必學！
	基礎整地作業泥作與混凝土澆灌作業砌磚鋪面工程草坪鋪植設置圍籬與綠籬
	打造木棧平台供水工程景觀水池工程，全面學習材料知識與施作工法。
	※庭園景觀設計師更要看！
	設計師雖然不用參與施工，但仍要了解每項工序，才能讓設計符合實務，後續營造工程師能接手順利施工。
	※自己DIY庭園也好用！
	備好工具材料，只要按圖索驥，就可以享受DIY的樂趣，做出夢想中的花園。 
	※提昇庭園美感素養！
	庭園的硬體設施完成之後，教你透過植栽配置，精確選配樹木、花壇草本花卉、綠籬植物，營造出庭園的自然風情。

	［本書特色］
	1.    7大庭園景觀案例賞析，觀摩各種庭園的風格特色。
	2.    150張手繪施工詳圖解說，一秒看懂工法作業流程。
	3.    600張現場施工實例圖片，依照步驟操作不會出錯。
	4.    25 項實例工法DIY技巧解析，培養專業實作技能。
	5.    收錄120種台灣庭園熱門植物圖鑑，可藉此認識與選配植物。

"
苔玉苔球養植專書,https://www.kingstone.com.tw//basic/2013780001530?zone=book&lid=book_class3_ege&actid=book_class3_ege,Green Scape,和平國際  ,9789863712862.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013780001530/2013780001530b.jpg,"


圓滾滾、綠油油的療癒小確幸

一顆圓潤苔球就可以讓室內氛圍煥然一新！

全彩圖解‧手把手教學‧植栽設計

植栽新手也能輕鬆製作，

打造充滿綠意的獨特家居風格！

	 

製作可愛苔球一點都不難！

	日本人氣植栽店家Green Scape以實作照片搭配簡單易懂的說明，拆解製作苔球與後續照顧的步驟，並提供許多施肥養護上的小訣竅，讓初學者只要一步一步跟著做，就能毫不費力地做出擁有個人風格的植栽苔球，讓室內空間煥然一新！

	 

與苔球一起生活，是件舒服又容易的事！

	想用植物裝飾室內空間，根本不用花大錢，以現有空間為主體，就可以製作大大小小，不同尺寸的苔球，即使空間狹小，也能找到自己喜歡的植物，打造綠色的紓壓角落！

	 

本書特色

	 

	‧詳列操作工具、介質土壤、苔蘚種類、裝飾配件、造型容器的選購與操作的小撇步，做足事前準備。

	 

	‧教你如何創作出擁有個人風格的獨特苔球植栽設計，打造專屬室內綠植風格。

	 

	‧收錄近30種適合製作成苔球盆栽的植物的基本資料與照顧、合植搭配重點，讓你可以在眾多尺寸、質地、形狀、顏色、季節特性的植物中快速做出選擇與合適搭配。

	 

	‧列出苔球植物的照顧養護訣竅，例如居家放置處、澆水方式、日照時間長短，以及修枝施肥等日常養護管理，讓苔球植栽常保健康，呈現最佳狀態。

"
多肉植物栽種聖經完全圖鑑版630：集結60年研究經驗，栽培年曆獨家收錄!教你從外觀辨識、種植技巧,https://www.kingstone.com.tw//basic/2014350198803?zone=book&lid=book_class3_ege&actid=book_class3_ege,向山幸(監修),蘋果屋    ,9789860619508.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350198803/2014350198803b.jpg,"


世界知名「多肉植物生產者先驅」傾注畢生心力！

用最簡單、最易懂、也最實用的知性圖鑑，

帶你認識630種令人著迷的仙人掌與多肉植物！

無論「純觀賞」還是「想栽培」，都能在本書中得到最具參考價值的指引！

	 

	你曾被多肉植物那胖嘟嘟的模樣、毛茸茸的手感給吸引住嗎？

	你明白「多肉」其實就是「多汁」的意思嗎？

	你知道世界上除了仙人掌，還有樣貌形形色色、品種成千上萬的多肉植物嗎？

	你曉得很耐熱的多肉植物，其實應該用「高山植物」的方式來栽培嗎？……

	 

◎專家帶路，教你先從「四大部位」一眼學會判斷「多肉」的分類，一次搞懂630種怎麼分別！

	一頭栽進多肉植物培育長達60年、具有豐富相關知識與經驗的「多肉專家」向山幸夫，

	在本書中首創以「外觀」區分，教你第一眼就先掌握「植物的多肉化部位」，

	再從「葉多肉」、「莖多肉」、「塊莖多肉」、「球根多肉」四大類別，

	逐步去認識分為26科、85屬、630種「好玩又好養」的精采多肉植物！

	 

◎由淺入深，逐步解析「基本培育」與「進階繁殖」技法，再用「栽培年曆」化繁為簡掌握重點！

	針對書中所介紹的630種多肉植物，除了以簡明的文字介紹品種特徵、適應環境、生長發育時期，

	並針對同「屬」性的多肉植物，還詳加繪製「栽培年曆」彙整栽種要領，

	從育苗到換盆，從修剪到分株，從給水到施肥，甚至還有「組合盆栽法」，由淺入深，完全教學！

	讓你一翻開這本圖鑑，就能沉浸在豐富美妙的多肉天地，並且成功打造屬於你自己的多肉世界！

	 

本書特色

	 

【特色1】結合經驗與技術！日本資深多肉專家出馬，分享1000張實境圖片與鑽研60年成果！

	高齡已經85歲的向山幸夫是日本有名的多肉栽培先驅，打從大學時代開立「二和園」專賣各種多肉植物，至今已達65年！由於有太多多肉植物愛好者向他請益，於是在出版社的邀請下，他投入本書的製作，將自己「種多肉、玩多肉」的豐富經驗與知識技巧，用最簡明的「圖鑑」方式傳達出來——從認識多肉植物的基本知識，欣賞多肉植物的觀察要領，到栽種多肉植物的選盆、用土、給水施肥、分株繁殖等，全書涵蓋上千張實境圖片，並且採用最淺白的文字進行解說描述，就是期望藉由本書的出現，能讓更多人願意親近多肉、認識多肉，進而樂在「有多肉為伴」的每一天！

	 

【特色2】學會觀賞與栽植！從「外型辨識」到「品種解析」，帶你掌握630種多肉植物的風貌！

	根據統計，全世界約有1萬5000種多肉植物，主要分布在熱帶及亞熱帶地區。由於型態千差萬別，有葉片是透明狀的、有莖上長刺毛的、有會開花的、有會變色的……，所以，本書根據「多肉化部位」(也就是貯水器官之所在)，帶你先從外觀學會分辨「葉片多肉」、「莖多肉」、「塊莖多肉」、「球根多肉」四大類植物，再教你進一步認識特質相近的各科屬多肉植物。此外，也正因為同屬性多肉的生長條件幾乎相同，所以，書中彙整出75張「生長年曆」，將生長期、放置地點、給水方式、施肥及除蟲等作業歸納於一張圖表當中，讓你不但可以系統化的了解630種多肉植物的特徵，還能一次掌握各科屬多肉植物的栽培要領——無論你想純觀賞，還是有興趣動手栽植，都能藉由本書獲得最實用、最好用的多肉知識！

	 

【特色3】延伸組合與應用！獨家傳授多肉盆栽的混植技法，利用簡單器具營造多元綠色風景！

	多肉植物之所以迷人，就是因為它的形貌多樣化，無論是葉片肥厚的、根筋粗大的、有毛有刺的、還是會開花的，每一種都充滿個性美，光是欣賞單品，就是一種享受。而本書在帶你認識630種多肉植物之外，還特別規劃了「組合盆栽」的單元，除了教你利用大型盆器來設計放入不同多肉植物的組合盆栽，也以隨手可得的空鐵罐、木盒、吊籃、禮物紙盒為例，示範不同風格的小型盆栽組合法——完成後的多肉組合盆栽，無論置放戶外陽台、窗台，還是當成室內空間的桌飾、掛飾，甚至用來當作送人的禮物，都清新可喜、雅致宜人，為日常生活帶來一抹療癒的綠色風景。

"
簡單上手的植物繁殖法扦插嫁接壓條,https://www.kingstone.com.tw//basic/2014350198483?zone=book&lid=book_class3_ege&actid=book_class3_ege,高柳良夫,三悅文化  ,9789869939263.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350198483/2014350198483b.jpg,"


落葉樹46種、常綠樹33種、果樹22種

觀葉植物＆盆花28種

山野草＆香草13種

	 

成功率高的樹木、觀葉植物、草花的繁殖方法

扦插・嫁接・壓條・分株・實生

	 

	全方面142種植物，樹木特性、結果時節、合適地域屬性、土壤酸鹼值程度、植栽特性……等等，諸多栽培管理細節，仔細分析合適育種方式，淺顯易懂的解說。

	 

	植物的培養除了仔細照顧養護，為使其開出美麗的花朵、結出豐碩的果實之外，繁殖更多的是一種樂趣。能從中感受到播種後發出嫩芽的喜悅，或是將朋友送的枝條扦插後發根、開花時的充實感。

	 

	植物繁殖有實生、扦插、嫁接、壓條、分株等各種方法。植物繁殖經常讓人認為過程複雜且技術困難，實際操作後其實並非如此。

	 

	全書皆有手繪圖解剖面圖、實際操作分解步驟圖片，各植木的特別專屬栽培月曆，更有綜合栽培季節大表，培育時節一目了然！

	 

──部分秘訣揭露──

	 

【能讓植物生長良好的庭園土壤】

	 適合由繁殖而來的苗株生長的庭園土壤，除了要含有充分的水分及空氣外，也要具備良好的排水性，讓根系能充分生長。因為根系不僅要吸收水分及養分，同時也會進行呼吸。土壤是否適合可根據以下依據來判斷：

	 

	①就算下雨也不會積水

	②表層土壤乾燥至呈現黃白色時，一旦澆水便會立刻吸收

	③就算持續晴天，表層土壤也不會龜裂

	 

	若庭園的土壤排水差，可混入蛭石、珍珠石等土壤改良材料，以及堆肥、腐葉土、泥炭土等有機質（腐殖質）充分耕耘攪拌。不過，腐殖質雖然經過發酵處理，但仍多少會繼續發酵而產生氣體，成為病蟲害發生的原因。整土耕耘應在定植前2週左右進行。

	 

【基肥和追肥】

	 在定植前所施用的肥料稱為基肥。在整個生長期當中，尤其能促進從春天開始的生長，因此建議施用能長期間發揮效果的緩效性有機肥料（含有多量氮及磷肥的油粕或雞糞等）或是混合肥料。有些不太喜愛肥料的植物，甚至只要基肥就能充分生長。

	 

	之後再根據植物生長狀況施用肥料即可。

	 

	想讓喜歡的花朵開出原本的美麗樣貌，讓喜愛的水果結出美味的果實，多繁殖一些分給同樣喜歡這些植物的朋友等，想必有各種理由。育種也是其中之一。

	 

	如果對於開出美麗的花朵，結出美味果實已經心滿意足時，不妨更進一步，踏入創造植物的世界吧。

	 

"
療癒園藝！餐桌的香草植栽全圖鑑（暢銷新裝版）：史上最強香草全書！161品種+125活用法大公開！,https://www.kingstone.com.tw//basic/2014340026741?zone=book&lid=book_class3_ege&actid=book_class3_ege,小川恭弘,蘋果屋    ,9789869933582.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014340026741/2014340026741b.jpg,"


在家自種香草，隨手現採鮮摘，直上餐桌，無毒最安心！

用綠色植栽妝點生活，讓草本香氣撫慰你心。

	 

台灣藥膳食療專家鄒瑋倫中醫師也公開推薦：

「本書是現代人追求生活小確幸、用綠色香草療癒身心最佳讀本！」

	 

☆好評不斷！暢銷新裝版 全新上市☆

	 

	為什麼這麼多人喜歡「香草」？

	因為居家環境有香草陪伴，不但具有「綠色視覺」療癒感，

	能為生活帶來大自然的「草本香氛」，

	而且，它還能拿來入菜、成為餐桌上的提味神隊友。

	尤其，現採的香草不僅天然、新鮮、安全，還更營養美味。

	所以，即便超市就可以買到現成的香草，

	但是從追求清新滋味的大廚，到崇尚自然的園藝生活家，

	都推薦透過「自種香草」，在煩擾的城市裡獲得清爽靜謐的能量！

	 

	本書由日本專攻植物的園藝專家親自傳授「種香草、玩香草、吃香草」的心得經驗，

	讓你一次認識「最適合在家栽培的香草植物」，

	還能輕鬆掌握「成功養好香草」的技法！

	從選苗種植、盆栽裝飾、採收保存，到料理食譜、舒壓方法……等等，

	無論是第一次種花種草的新手，還是熱衷園藝的愛好者，

	都能從本書認識「迷人的香草魅力」、獲取「成功栽培香草的技法」，

	打造出「療癒的香草世界」，堪稱「最好用香草圖鑑」！

	 

本書特色

	 

【特色1】史上最強的專業陣容──從撰文到攝影，都是長年鑽研香草的達人級高手！

	本書結合「NHK」電視台專屬園藝講師以及「角川學研」出版社編輯攝影團隊，大手筆投入本書的文稿撰寫、實景拍攝，以及專業的後製監修；從每一個文字到每一張圖片，都充分流露製作團隊對於「香草」的熱情與深度了解。只要翻開本書，就能感受到香草植物的美好！

	 

【特色2】收錄史上最多的香草植物──4大類別、161種植栽，一次認識香草的豐富多元！

	本書以「香草的生長時間與特性」分類介紹，讓你能輕鬆掌握一年生香草、多年生香草、木質類香草及果樹類香草的差別，並詳述各類香草的種苗挑選、澆水方式、土壤應用的巧，就算是第一次接觸的園藝初學者，也能成功種出自己喜歡的香草植栽！

	 

【特色3】最完整的香草療癒提案──從餐桌上的料理出發，延伸到居家生活的全面活用法！

	隨手一摘，香草就能入菜、泡茶、做點心！除此之外，自古被列為「藥用植物」的香草，還能做成美膚保養品、舒緩眼罩，也能拿來泡澡。此外，香草盆栽更是構成舒心風景的最佳選擇！只要跟著做，就能讓「視覺、嗅覺、味覺、觸覺」都沉浸在動人的香草植物中！

	 

"
在家也能種食蟲植物,https://www.kingstone.com.tw//basic/2014350196359?zone=book&lid=book_class3_ege&actid=book_class3_ege,小鴨王Duckking（陳英佐）,晨星      ,9789864439911.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350196359/2014350196359b.jpg,"

什麼！植物竟然也吃肉。形態奇特的食蟲植物大多自有一套特殊的機制吸引獵物上門，透過演化而來的捕蟲器捕捉獵物，再經由消化液消化與吸收轉化為生長時所需的養分，如此搞怪獨特的特性，讓食蟲植物成為了炙手可熱的人氣植栽。本書作者不藏私分享居家環境栽培食蟲植物的經驗與知識，教您如何讓它朝氣蓬勃，充滿活力。本書特色●詳介捕蠅草、豬籠草、毛氈苔、瓶子草等各種食蟲植物的原生環境以及種植過程中會遭遇哪些疑難雜症，深入淺出傳授栽培養護技巧。●依據單元內容附有QRCode連結，以讓讀者透過影片說明更加瞭解操作流程。
                    
"
花藝植物全圖鑑,https://www.kingstone.com.tw//basic/2019710044998?zone=book&lid=book_class3_ege&actid=book_class3_ege,MONCEAU FLEURS,晨星      ,9789864434770.0,https://cdn.kingstone.com.tw/book/images/product/20197/2019710044998/2019710044998b.jpg,"


 完整收錄421種花藝常見「花材」、「枝材」、「果材」、「葉材」，
 詳述各素材性質與特徵、插花技巧等，引領您認識花卉，打造「有花生活」。

  

本書特色

  

 ■收錄各式花材清晰實體照，並針對細部特徵作特寫及說明，幫助您熟識琳瑯滿目的各種花材。
 ■以目錄形式詳介最受歡迎切花的高人氣品種和最新品種，讓您有系統的了解其花型、花色與開花方式。
 ■從花器選擇、插花技巧與花材組合等面相，實例講解該切花的設計運用技巧。
 ■提示花卉、果實、葉子的補水保鮮祕訣，延長切花觀賞期。
 ■自花朵形狀、顏色、香味等意象，以及宗教、歷史意義、文化差異等，網羅自古流傳的「花語」。

"
室內觀葉植物精選特集,https://www.kingstone.com.tw//basic/2014350187494?zone=book&lid=book_class3_ege&actid=book_class3_ege,TRANSHIP,噴泉文化館,9789869585538.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350187494/2014350187494b.jpg,"

超過50種室內觀葉植物詳細介紹（品種名、學名、原生地、日照、澆水量……）表列詳載各類室內植物的栽培重點、資訊初次栽培也不易失敗！更提供了絕佳的擺設範例，讓室內綠意展現最迷人的優雅姿態，搭配居家風格不ＮＧ！挑選・擺飾・栽培，一次到位！§嚴選人氣室內植物圖鑑50+藤‧蕨・榕‧常綠木・多肉……被稱為「室內植物」的植物，多半都是原生在熱帶與亞熱帶地區的觀葉植物，只要在良好的溫度與濕度的管理下，就能強健生長，且容易栽培。美麗、洋溢著生命力的葉色，成為室內空間中的焦點。讓我們就像挑選家具、布製品般，將綠化植物當作是室內設計的一部分來擺飾。本書特選適合大眾栽培的易栽品種，植株的大小、形體也非常適合一般起居空間，初學者可容易上手；已經懂得栽培樂趣的人，也能進一步體會裝飾的樂趣。透過植物的裝飾，為生活帶來更豐富的綠意，相信在這樣的日子裡，為您帶來無窮的樂趣，輕鬆營造出明亮且溫潤的空間，當看到新芽冒出、花朵綻放，小小綠意日益生長的姿態，使每一天早晨都能感到植物所感染的正面能量與無比的幸福！「室內植物是否會生病？會不會長蟲？」相信您也多有疑慮，其實無論是在熱帶或溫帶、在叢林或沙漠，植物原本是生存在大自然中的。當植物生病時，請先思考陽光是否充足，通風是否良好，澆水是否適量，濕度是否適度。植物的狀態改變時，會發出警訊，長時間下來便會漸漸枯萎。若因為過於忙碌而沒有注意到植物所發出的訊息時，這可能表示您的生活缺乏了閒暇餘裕。與綠色植物共度的生活，可以時常提醒我們「用心過日子」。無論是想要開始栽培室內植物的初學者，或是想增添更多植物種類的進階者，本書為了所有植物的愛好者，嚴選出多種人氣的品種，從基礎開始解說各個品種的栽培與擺飾方法。真心期望本書可以成為您栽培室內綠意時的參考，享受充滿綠意的健康生活！
                    
"
