書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
土壤的基礎知識【超圖解】,https://www.kingstone.com.tw//basic/2014340018968?zone=book&lid=book_class3_egf&actid=book_class3_egf,藤原俊六郎,晨星      ,9789864432332.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014340018968/2014340018968b.jpg,"


豐富的圖示，讓你輕鬆了解土壤的基礎知識

  

 看似平凡無奇的土壤，
 背後卻蘊藏著無限生機。

  

 本書將告訴你：
 ▲土壤如何分類？
 ▲土壤在各環境中如何循環？
 ▲土壤構成如何影響作物？
 ▲土壤中有那些生物呢？
 ▲土壤中的成份有何功能？
 ▲各類型農耕地的土壤有何不同？如何管理？
 ▲人為或環境因素可能造成土壤哪些變化？會產生什麼問題以及有何因應之道？
 ▲如何診斷與維持土壤的狀態？

  

 看完本書，你將對土壤有煥然一新的認識！

  

本書特色 

  

 1、 農學專家教導土壤的自然循環、調查診斷和耕地管理。
 2、 圖說豐富，農業新手入門的必讀書。
 3、 除了理論知識，對於在農業現場實作者亦有助益。

"
穿著PRADA的農婦,https://www.kingstone.com.tw//basic/2014310019896?zone=book&lid=book_class3_egf&actid=book_class3_egf,汪怡嘉 Sophia Wang,城邦印書館,9789865514693.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014310019896/2014310019896b.jpg,"


一位景觀設計師的香港務農生活，
	九年跋山涉水、除草耕田，
	與動植物為友的田間紀事！


在農場工作最有趣的是——
	親身參與一顆小小種子的萌芽，
	到長成果實的奇妙過程。
	令人讚嘆生命力的堅強與韌性！
	收成後還能品嘗食物的原味，
	每一口都是造物主的恩賜，由衷珍惜！

在農場工作最開心的是——
	經常邂逅許多美麗的動植物。
	無論活躍的狗兒、小鳥，
	抑或姿態沉穩的樹木、竹林。
	牠們都是最可愛的朋友，
	無須言語，彼此總能心領神會！

在農場工作最有意義的是——
	善用每株植物的果實、果皮與葉子，
	就能讓農產品更多元，也可減少廢棄物；
	亦可透過各類農耕體驗、生態教育活動，
	學習與環境互動、製作各式手作農產品，
	從中體驗香港昔日的農村生活，寓教於樂。

	投入農業帶來嶄新的體驗，
	也帶來一切學習的開端！
	必須具備不怕跌跤的信念，
	同時懷抱跌倒再站起來的勇氣，
	努力實踐永續農業的理想！

本書特色

	一、以幽默文字搭配精彩圖片，多元呈現農場工作的甘苦生活。
	二、書中適時搭配手繪圖，希望帶來更多閱讀上的驚喜與樂趣。

"
豐壤之地：四步農法的如實滋味,https://www.kingstone.com.tw//basic/2014300033710?zone=book&lid=book_class3_egf&actid=book_class3_egf,翁豪杉,柏樂      ,9789869962193.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014300033710/2014300033710b.jpg,"


～一本獻給農夫的心靈之書～
	每方土地都有其獨特面向，認識它、了解它、與之合作，必得豐壤。


不噴藥‧不施肥‧不除草‧不翻土
	信任大自然能自給自足
	把做主的權利還給土地

	你聞過菜根香嗎？
	你知道什麼是蔬果的「真味道」嗎？
	你聽說過果實的氣味會反映土壤的養分嗎？

	中年轉職做農夫，翁豪杉嘗試過慣行農法與有機農法，最後受日本自然農法之父福岡正信啟發，創造了「四步農法」。

	做農路上一路摸索向前，從一開始不斷的試行錯誤，到走上自己專屬的道途，翁豪杉深刻體悟了一件事：「土地，真的不需要人工介入做太多事情！」如果我們相信，大自然的生態能自給自足，那麼，就應該把一切做主的權利，還給大自然，還給土地。

	四步農法堅持四「不」原則：不噴藥、不施肥、不除草、不翻土。翁豪杉認為，只有使用對土地好的農法，做農才會開心，農夫開心了，種出來的作物自然好吃。他施行四步農法近二十年，成功種出每到產季就供不應求的美味紅龍果、「打遍天下無敵手」可以生吃的甘甜玉米，甚至還打破薑、山藥等作物不可連作的魔咒。

	四步農法絕非放任土地自生自滅，而是用心傾聽土地的需求，不強迫大自然按照人類的方式運行，對田裡的生物一視同仁，師法自然，重建循環生態系──土地好，農作物就會長得好！這就是「四步農法」創造美味奇蹟的祕密。

	本書不只記錄翁豪杉創建四步農法的心路歷程，更無私分享他在花蓮耕耘近二十年來的實作經驗與心得。

◇四步農法的施行步驟與重點提示。
◇從農路上不孤單！四步農法學員心得分享。
◇不藏私公開紅龍果、薑、高麗菜、印加果等作物實作方法。

"
圖解病蟲害的基礎,https://www.kingstone.com.tw//basic/2014330006609?zone=book&lid=book_class3_egf&actid=book_class3_egf,有江力,五南      ,9789577631183.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014330006609/2014330006609b.jpg,"

本書介紹植物病蟲害、植物和病原及蟲害之間的抗爭、保護植物不受病蟲害攻擊的化學農藥、生物防除方法和其他相關技術，還收錄了日本民間所使用的傳統方法。本書運用大量照片及圖表搭配文字解說，內容豐富充實，閱讀明瞭易懂，希望提供相關領域甚至是非農學專業的學生作為參考用書，同時亦期能培養主動學習的精神，並嘗試以科學方法來分析及思考。
                    
"
無肥料健康栽培農法：師法自然！共享植物生生不息的成長奧祕。從新手到專家，給希望吃得安心的所有人,https://www.kingstone.com.tw//basic/2014340020749?zone=book&lid=book_class3_egf&actid=book_class3_egf,岡本順孝,瑞昇文化  ,9789864012459.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014340020749/2014340020749b.jpg,"


坐擁許多栽培指南書想依樣畫葫蘆，卻還是一直種不起來嗎？
那是因為還沒領悟自然界的真理！

	▶植物為什麼會成長？看看蓊鬱的森林、看看路邊那些行道樹，為什麼沒有肥料就能成長？
	▶在自然界中，只要種子落於此處，隔年也會理所當然地在相同的地方發芽……那為何田地就會發生連作障礙？
	▶蟲子到底都在做些什麼？身為作物的天敵難道就沒有其他用處了嗎？那你可小看了這群自然界的栽培小幫手。

	諸多問題乍看難解，其實都有跡可循。不論是土中礦物質的平衡，還是蟲子間的相互關係（食物鏈），只要虛心向自然導師學習就能領會其中的奧妙，遇到任何問題都有辦法靈活解決！

	您還在看所謂的「栽培指南」嗎？覺得只要按部就班地照書上所寫的步驟操作，就能萬無一失種出健壯的作物？實際運用起來並沒有想像中順利吧！就算讀了寫有紅蘿蔔播種方式的書，而學到了紅蘿蔔的播種方法，一旦對象換成了義大利香芹的種子，便會無所適從──到頭來只能繼續閱讀更多相關書籍。

	畦的高度幾公分？作物之間的間距幾公分？播種深度和播種幾顆？是時候該捨棄這些瑣碎的細節了！看看作物結果的方式、種子的構造，就算不看書也可以了解。
	觀察田間，再動動腦推敲植物得以健壯成長的箇中道理，並從失敗中學習，相信才思敏捷的各位無肥料栽培家一定能研究出一套專屬於自己的農法。

本書特色

	★ 以一知萬，了解自然界的知識並加以運用在栽培作物上
	★ 並非死板的步驟書！順應植物的天性及喜好，種什麼都不會失敗
	★ 活用雜草和昆蟲的力量，無農藥也不擔心作物被啃光
	★ 使用植物性肥料（天然成分）來提供作物養分，遠離化學肥料

"
跟著圖解這樣做 有機堆肥不失敗！,https://www.kingstone.com.tw//basic/2014340012966?zone=book&lid=book_class3_egf&actid=book_class3_egf,學研出版社,瑞昇文化  ,9789865749378.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014340012966/2014340012966b.jpg,"


無臭‧環保‧省錢
 有機栽培～美味的安心蔬菜！
 健康土壤～就從製造良質堆肥開始吧！
  

 仿效山野裡的土壤，以堆肥將田地土壤轉化為有生命的土壤。

 看看大自然裡的山野，明明沒人施肥，卻年年自然而然地生出草地、樹木發出新芽、花朵也都能開花結果，這完全是因為自然界長年累月形成的肥沃土壤。

 因為在當中有許多種類的微生物活躍著，靠它們分解枯草、落葉、大小動物的骨骸等，醞釀培育新生命所需要的養分。微生物讓自然生命週期持續不斷、生生不息。想要種植有機蔬菜，就必須讓田裡的土壤近似於山野的土壤，盡量依循自然法則來種植蔬菜。

 本書要介紹的就是能讓田裡的土壤，透過多種微生物的活動而活化的推手─「堆肥」。

 所謂「堆肥」是收集落葉、雜草、廚餘等周遭的有機物質，透過人為的方式打造成較適合微生物活動的環境後，再經過分解、熟成的技術，將原需要長時間自然形成的肥沃土壤，透過人力的方式以半年〜1年的短時間完成。當然，分解的功臣還是土壤中各種類型的微生物。

 本書非常適合給想要在家庭菜園施行有機、無農藥的蔬菜種植法，以及想要種植有機、無農藥蔬菜的讀者。書中介紹能安心使用在田裡的堆肥製作法，以及如何正確使用堆肥的方法。

"
果樹栽培不敗的秘訣,https://www.kingstone.com.tw//basic/2014350118207?zone=book&lid=book_class3_egf&actid=book_class3_egf,小林幹夫,大坤書局  ,9789575386610.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350118207/2014350118207b.jpg,0
自己種菜吃，簡單生活的第一步：當個小農也不錯！,https://www.kingstone.com.tw//basic/2014350166758?zone=book&lid=book_class3_egf&actid=book_class3_egf,金子由紀子,遠足文化  ,9789865787455.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350166758/2014350166758b.jpg,"


 只要在生活中加入一點點「 小農 」的元素，
 那顆每天忙忙碌碌且散漫不已的心
 就能增添些許幸福感，
 情緒穩定，不再浮躁……

為什麼要當「小農」？
 ◎想嚐試「小農」生活
 當上「小農」，每天的生活會快樂不少。你會感受到季節的交替，看到在這之前看不到的事物，跟家人或朋友的相處變得有趣，料理時可用的寶貝也變多了
 ◎新鮮的蔬菜比較美味！
 越新鮮的蔬菜越美味，話說得白一點就是，剛採的蔬菜最好吃！這跟土地、生命有非常密切的關係；想要變得有元氣，最好住在有土地的地方 。

當個「小農」超幸福！
 ◎好好吃喔！夏季的美味蔬菜
 還沒吃以前，若把採收的茄子或番茄裝在竹籃擺在餐桌前的櫃子上，老公都會一派認真地碎念著:「感覺好富足喔～～」果真如此，而且很漂亮，還能吃呢！
 ◎自己種的自己吃
 像這些蔬菜，可以的話盡量自己種，魚肉類只跟值得信賴的店家買一些些，再加上鮮少調味的食物，不就能不用花很多錢，還可以擁有安全的飲食生活 ……。
 當個「小農」也很辛苦
 ◎誤判時機
 結果幾天後下大雨，或因有事無法下田採收，等有空過來時，這些葉菜類已經大到長出老梗，柔軟的葉子也變得好硬……。
 ◎一次採收太多蔬菜
 務農最大的喜悅應該是「收穫」。但收穫有時卻是「麻煩的開始」。因為只要收成茄子或大白菜，數量就會堆積如山，雖想分送給周遭的親友，但送太多對別人反而造成困擾。

「小農」的生活樂趣多
 ◎保存食物的簡單方法——「醃漬」
 可以的話盡量趁鮮吃完，真的要醃漬保存，最好採取幾種不同的保存方式。再者，要送蔬菜給親友時，也不要一次送太多，適量嚐鮮是最佳原則 。
 ◎摘採可以食用的野菜
 初春時長出的野草嫩葉大致都能食用。不管是裹粉炸成天婦羅的野芹或款冬，或沾味噌食用的山蒜，小小的一盤，洋溢著春天的風味。

「小農」的生活很簡單
 ◎只要自己會做就好
 我自己種出青紫蘇，不是用買的！這件事讓我體會到「自己的生活不是用買的 ，而是要自己創造」的樂趣。自己動手做是件快樂的事，也能豐富日常的生活。
 ◎食物可以成就我？
 我每次看到田裡的蔬菜都會想——若把它吃下肚，它就會變成我吧？果真如此那些種植蔬菜的土壤、澆灌的雨水、揮灑的陽光，看起來全部都跟我有關呢！

本書特色：
 「我的簡單生活，不是從室內裝潢或收納，而是從『飲食』開始……。」
 「只要在每天的生活中加點『小農』的元素，或許你也能擁有豐富、簡單且開心的生活。」
 《不購物的習慣》《無負擔的生活》等暢銷書的作者親自實踐，非常適合現今世代的慢活生活。

"
新編臺灣雜糧作物 第一冊 雜糧作物的特性,https://www.kingstone.com.tw//basic/2014310018554?zone=book&lid=book_class3_egf&actid=book_class3_egf,國內相關領域27位專家學者,豐年社    ,9789869979009.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014310018554/2014310018554b.jpg,"


	糧食是以促進人類的健康與活力為目的，提供人體營養與能量的主要來源。雜糧屬於廣義的糧食，其產銷、供應一向為各國關注的課題。國內隨著經濟發展，食米消費量降低，政府在1978 年開始推動稻田轉作，在轉作過程中，對於玉米、大豆、高粱這三種需求大宗的雜糧實施保價收購，以獎勵生產；其他地區性雜糧，如小米、薏苡、落花生、紅豆、綠豆、胡麻以及食用甘藷等，則納入稻田轉作獎勵的種類。政府雖然在政策上鼓勵雜糧生產，但國內雜糧栽培面積卻呈現大幅減少現象，對此，有需要加以探討、分析，提出因應對策。

	 

	在2008 年國際穀物價格暴漲，全球糧食供需吃緊情況下，國內進口的玉米、大豆、小麥、高粱及大麥等五項大宗雜糧的數量超過800 萬公噸，但當時國內補助休耕面積（兩個期作合計）卻超過20 萬公頃，引起各界呼籲政府檢討休耕政策，將休耕田轉作進口替代作物，以提高農地利用與糧食自給率。因此，政府於2009年起開始規劃休耕田種植進口替代作物或地區性特產，自2013 年起農地休耕面積開始減少，雜糧種植面積回升，但進度未如預期，有待檢討強化。

	 

	臺灣一向以出口導向作為經濟發展策略主軸，而積極尋求加入區域經濟整合或雙邊經貿合作，則是政府既定的施政方針。但在此政策之下，國內農產品受到進口農產品極大的壓力。我國屬小農經營，生產成本偏高，在競爭力居於劣勢的情況下，面臨經貿自由化，國內如何調整農業結構，強化國產品的競爭力？這是一個嚴肅的議題。長遠來看，臺灣有生產雜糧的條件，但具體該如何發展，則有賴各界共同思考規劃，提出推動方針、政策及作法。

	 

	本書將就國內雜糧產業自1945年至2015 年的70 年發展期間，從國內雜糧政策調整與轉型的變化過程以及國內大宗雜糧進口情形加以分析檢討、提出建議，並詳細介紹21種國內雜糧作物之重要特性與加工利用方式，增進國人對雜糧的了解。

	 

	未來全球人口預計在2050 年將超過98 億，糧食安全受到各國關注，2015年米蘭世界博覽會就以「涵養大地 生命能量」為主題，展出各地農產品及飲食文化，促使世人重視糧食安全、營養均衡、食農教育、生態環境與飲食文化；並發表米蘭憲章，捍衛食物權，呼籲全球重視糧食議題。

	 

	雜糧屬廣義的糧食作物，全球生產種類繁多，供食用、飼料用及加工等多元化用途，為提供熱能的重要來源。雜糧含有多種維生素以及鎂、鉀、磷等礦物質，可促進新陳代謝，豐富的纖維質可延緩醣類吸收，協助改善心血管疾病風險，為生活上不可或缺的農產品，雜糧產銷已不容國內忽視。

	 

	國內雜糧生產具有提高糧食安全與糧食自給率、降低食物里程、強化農田利用、安定農村並維護傳統飲食文化等多種功能性，因此政府應重視雜糧產業發展，研擬長期的發展政策，強化科技的研發與產品機能性的開發，提供國內雜糧產業契機與永續經營的條件。

	 

本書特色

	 

	‧集合國內14位農業領域專家學者組成編輯委員會，選定臺灣重要的21種雜糧作物，進行深入的介紹與分析。

	 

	‧除探討21作物品種特質外，還詳加介紹作物播種方式、病蟲害防治等實用知識，並闡述加工用途，讓讀者全方位了解雜糧作物之特性與實用性。

	 

	‧有別於學術性書籍艱深又難以理解的書寫方式，本書具參考性、教育性、知識性及實用性，提供對此議題有興趣之國人一個了解雜糧的新知識管道。

	 

"
新編臺灣雜糧作物 第二冊 雜糧作物的機能性成分與加工利用,https://www.kingstone.com.tw//basic/2014310018684?zone=book&lid=book_class3_egf&actid=book_class3_egf,國內相關領域17位專家學者,豐年社    ,9789869979016.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014310018684/2014310018684b.jpg,"


	雜糧的定義相當廣泛，即指主食外的糧食、雜食或相關作物，自過去至今之時空環境、產業組成、市場結構或消費者需求等層面變化，雜糧之利用早已跨足生質燃料、生醫產品及化工材料等領域，是人類生活中重要的資源。

	 

	雜糧作物的相關產品大致可區分為直接食用產品或是半成品，因雜糧食物可提供人體碳水化合物、蛋白質及脂質等基本營養素，因此屬於基本、普遍且安全之產品，在傳統食品加工時也有許多形態、顏色、外觀、口感等多樣化之特性。傳統加工食品，諸如豆腐、豆漿、沙拉油、花生油、麻油、地瓜粉、蜜豆餡、芋圓、冬粉或花生糖，均是目前市場廣大且民生必需之品項。隨著時代更迭，精緻加工食品或休閒食品紛紛出現，而特定的雜糧被應用在固有的養生藥膳中，如薏仁之於四神湯，還有來自西方的洋芋片、早餐穀片以及各式各樣的堅果食品，可見雜糧長年來廣受食品業者歡迎，深植消費者心中，具有廣大的市場。

	 

	在保健食品方面，雜糧作物亦屬常用之素材。榖類作物長久以來就被用於製作保健發酵品，如各種飲用酵素或健康醋，且因其中含有諸如膳食纖維、菊糖等成分，被認為是重要的益生源（prebiotics），或稱為益菌生、益生質，因此腸道內益生菌就可正常生長，藉此促進腸道健康。當下的保健產品市場中，許多產品如發酵乳、優酪乳、乳酸菌粉等，均使用該種素材做為基底。

	 

	除此之外，為因應養生保健的風潮，許多廠商結合雜糧與中草藥，利用各種農藝、加工或物理化學方式發展出不同的產品，將特定的機能性成分加以萃取、純化，配合粉劑、膠囊錠狀食品、飲品等形態，藉配方設計將之導入保健食品製造，如目前的芝麻錠、紅豆水、薏仁水、啤酒酵母或γ—胺基丁酸（γ-aminobutyric acid，GABA）等。

	 

	中醫的理論具醫食同源的概念，很多雜糧在《本草綱目》（李，1596）中均被提及，如甘藷「味甘性平，又補虛乏，益氣力，健脾胃，強腎陰，有補脾胃，養心神，消瘡腫之功效。」、薏苡仁「陽明藥也，能健脾益胃。虛則補其母，故肺痿、肺癰用之。筋骨之病，以治陽明為本，故拘攣筋急、風痹者用之。土能勝水除濕，故泄瀉、水腫用之。」或是花生「悅脾和胃，潤肺化痰、滋養補氣、清咽止癢」，均是東方醫學食補觀念的精華所在。本書即以此為本，綜整雜糧作物中具有的生理活性成分，加以系統性地論述各種雜糧對於人體之益處。

	 

本書特色

	 

	‧集合國內14位農業領域專家學者組成編輯委員會，選定臺灣重要的21種雜糧作物，進行深入的介紹與分析。

	 

	‧以第一冊21種雜糧作物為基礎，進一步精選出13種雜糧，加以分析其組成分與機能成分以及加工利用方式，與保健機能產品之研發等。

	 

	‧有別於學術性書籍艱深又難以理解的書寫方式，本書具參考性、教育性、知識性及實用性，提供對此議題有興趣之國人一個了解雜糧的新知識管道。

	 

"
島耕作農業論,https://www.kingstone.com.tw//basic/2014300029355?zone=book&lid=book_class3_egf&actid=book_class3_egf,弘兼憲史,左岸文化  ,9789865727864.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014300029355/2014300029355b.jpg,"

《島耕作》系列作家弘兼憲史探討農業的深刻作品2013年，島耕作終於從社長升為會長了，《Morning》週刊熱門連載漫畫《會長島耕作》當中的一個主題就是「農業」。漫畫家弘兼憲史曾經在市民農園種菜，長期對國內外農業採訪、觀察和研究。他發現日本的農業盡是稀奇古怪的事，農業從業人口已萎縮到總人口的六分之一，前途堪慮。然而，他卻樂觀地提出「農業才是日本的發展活路」的看法，他認為日本的農業應該可發展獲利的模式。對弘兼憲史來說，農業充滿了創造力，是一件很棒的工作，但他在農業採訪時一直有個疑問。他曾經待過松下電器等電機製造廠，它們都是投入大筆資本興建工廠，嚴格品管並大量製造成品，然後外銷全世界，所有創造日本經濟奇蹟的製造業都是採用這種模式。為什麼農業做不到？於是，他寫了《島耕作農業論》。他首先敘述戰後在美軍司令部下令日本進行農地改革，對日後農業發展所產生的影響。繼而觀察大分縣的植物工廠、高效率的荷蘭農業。荷蘭最耀眼的產學合一「食谷」，就如同美國的「矽谷」，以瓦罕寧恩大學為中心，匯集了1500間食品、農業等企業和研究所，來自世界各地的專家一起在這裡共事，這是世界的發展趨勢。日本失敗的農業政策該如何轉變？他對稻米、補助金、農協等議題提出討論和建議，還有關於日本酒「獺祭」與「近大黑鮪魚」最新的農漁業介紹。最後他分析了「攻擊型農業」的現在與未來，認為日本的農業應該朝向「大規模的農業」與「小而強的農業」共存的方向邁進。台灣的農業與日本有許多相似的地方。半個世紀來日本的農業持續在錯誤的道路上邁進，台灣也亦步亦趨，本書非常值得台灣借鏡。讓我們與島耕作一同翻開這本令人期待的農業入門書，以輕鬆的心情與島耕作一起了解日本農業的現況和未來。
                    
"
木材物理學：強度性質篇,https://www.kingstone.com.tw//basic/2014300028693?zone=book&lid=book_class3_egf&actid=book_class3_egf,王松永,新學林    ,9789862958605.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014300028693/2014300028693b.jpg,"

木材之利用，一般區分為「物理加工利用」與「化學加工利用」兩大類。木材物理學係研討木材及木質材料之物理、強度等基本性質的科學。它是木材物理加工利用的基礎，許多現象及問題的解析均有賴於它。木材物理學為林學及林產利用學中之基礎科目，亦為大專林學及林產利用學之必修課程。編著者在國立臺灣大學森林環境暨資源學系執教與研究多年，茲就多年來在課堂教學與研究心得及經驗著述本書，此次增訂收錄國內外已發表之木材物理的研究成果，分成「物理性質篇」、「強度性質篇」等二冊共三十四章進行敘述。內容涵蓋木材之比重、水分、吸濕性、收縮膨脹性、濕潤性、對熱、電及微波性質、吸音、隔音性、樂器等音響性質、浸透性等木材物理性質；木材之靜彈性、動彈性、內部摩擦、立木及木材之非破壞性評估、粘彈性、引張、壓縮、彎曲、剪斷、硬度、扭轉、劈裂、磨損、摩擦、木材及木質材料之容許應力、老化、劣化、放射線之抵抗性、育林技術及木材性質等。如本書能對於從事有關林學、林產利用學及木構造建築等之研究者、業者與同學有所裨益，則感幸甚矣。
                    
"
