書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
台灣原生植物全圖鑑第七卷：苦苣苔科：忍冬科,https://www.kingstone.com.tw//basic/2013750012245?zone=book&lid=book_class3_egz&actid=book_class3_egz,鐘詩文,貓頭鷹    ,9789862623589.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013750012245/2013750012245b.jpg,"


	1896年台灣初次發表植物誌以來，120年首度以全中文寫作，全彩攝影紀錄，物種清單最新的完整植物誌！

	 

	▓ 本套圖鑑以八大卷收錄台灣4,739種原生植物資料，共15,000張以上清晰照片、生態圖及詳細圖說，依照最新的APG IV植物分類系統設計分冊。

	▓《台灣原生植物全圖鑑第七卷：苦巨苔科──忍冬科》自唇形目的苦巨苔科至川續斷目的忍冬科為止，包含所有原生及歸化種，共收錄26科711種植物。

	 

	對台灣植物分類的系統性研究，最早可以追溯到愛爾蘭植物學家韓爾禮（Augustine Henry）這位研究者。1892至1895年間，他以大清皇家海關稅務司醫官的身分，在當時仍是中國國土的台灣各地進行踏查和採集。馬關條約簽訂一年後（1896），他整理採集的成果與西方學者歷來的台灣植物標本，在東京發表了《福爾摩沙植物名錄》（A List of Plants from Formosa），收錄了1,347種植物，是為台灣有史以來的第一本植物誌。從這個時間點起，長達整整120年的時間，台灣經歷了數次歷史更迭，而各時代的植物學家們仍然一脈相承地追尋一套完整的植物紀錄。

	　

	在台灣，截至2016年為止，最權威的植物分類出版品為《台灣植物誌》（Flora of Taiwan），是自1960年代起，由政府與美國、日本、荷蘭、澳洲、新加坡與中國總共近百位學者合作完成。收錄物種一版4,220、二版4,339種；最普及的刊物則是行政院農委會發行的《台灣維管束植物簡誌》，共收錄約3,000種植物。其中《台灣植物誌》基本上全由英文寫成，圖片全為手繪；《台灣維管束植物簡誌》所收錄的物種略少，且內文與照片分開，參照時較為不便。因此，本書的作者群以20年的時間與無限的努力，踏遍台灣本土、外島所有自然環境，以詳實的照相記錄完整展示台灣植物誌中所有植物的樣貌。

	 

	本套圖鑑也是全國首次採用2016年4月最新發表、導入分子生物學的APG IV分類法，物種與分冊以精準的物種演化順序為依據，而非傳統以植物形態為主的恩格勒分類法，重新界定了植物之間的系譜的親緣關係。並採用大量的高解析度照片，完整呈現4,739種植物的特徵與生態環境。

"
醉人植物博覽會,https://www.kingstone.com.tw//basic/2013760006654?zone=book&lid=book_class3_egz&actid=book_class3_egz,艾米．史都華,臺灣商務  ,9789570529968.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013760006654/2013760006654b.jpg,"


書寫花草果樹製酒的豐富知識及源流歷史
 體驗絕品佳釀的醇酒風華
 品酒人士的最佳百科 × 饋贈愛酒友人的首選禮物

  

 清酒是用米釀造而成的嗎？
 龍舌蘭酒跟仙人掌有關係嗎？
 波本威士忌跟蘇格蘭威士忌的差別是什麼？

  

 酒在人類的飲食文化裡占有極為重要的篇章，但每口佳釀得到完美演繹的機會卻微乎其微，關鍵在於大部分的人都輕忽了製酒的原料──植物。

  

 《紐約時報》暢銷作家艾米．史都華混合了生物、化學、歷史、語源學和調酒學，以淺顯易懂的文字及豐富插圖，幫助我們瞭解花、草、果、樹、蕈菇等各種製酒植物的產區及特性，讓你在調酒、品酒時精準掌握每種酒的獨特風味，成為真正懂酒的品醇客。

  

本書特色

  

 ★《紐約時報》暢銷作家艾米．史都華繼《邪惡植物博覽會》後又一力作
 ★亞馬遜網路書店分類排行榜第一名、讀者四顆半星評價。
 ★2013年3月亞馬遜網路書店當月選書。
 ★2014年國際烹飪專業協會（IACP）評審選書。
 ★2014年北加州書籍獎。
 ★入圍2014年Annual Spirited Awards「最佳新雞尾酒 / 調酒書」最後決選名單。
 ★收錄超過50種調酒酒譜。
 ★附有上百幅植物插畫。

"
邪惡植物博覽會 （二版）,https://www.kingstone.com.tw//basic/2013760005992?zone=book&lid=book_class3_egz&actid=book_class3_egz,艾米．史都華,臺灣商務  ,9789570528367.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013760005992/2013760005992b.jpg,"


★ 《紐約時報》暢銷書
 ★ 獲2010年美國園藝協會圖書獎
 ★ 獲亞馬遜2009年百大好書「最佳園藝書」第一名
 ★ 入選《華盛頓郵報》及美國國家公共廣播電台2009年最佳園藝書

 注意！本書將揭露邪惡植物的齷齪行徑
 警告！隨處可見的植物會讓你命喪黃泉
 植物界，有超乎你我想像的危機伺伏

 樹木會落下毒匕首、亮晶晶的紅種子能停止心跳、灌木會造成無法忍受的痛楚、藤蔓帶著劇毒、葉子能引發戰爭。在植物界裡，有超乎想像的邪惡伺伏。

 納薩尼爾．霍桑在他1844年發表的故事《拉帕其尼的女兒》中，敘述一名老醫生在圍起的神祕園子裡，栽培了有毒植物。在他的灌木、藤蔓面前，老人的舉止有如「在猛獸、致命的蛇或惡靈這類惡毒勢力之間走動的人；只要他放任它們片刻，它們便會帶來恐怖的死亡」。故事主角是年輕的喬凡尼，他從窗戶窺看，擔憂地「發現整理花園雖然是最簡單、無害的粗活，老人卻帶著這種不安的氣息」。

 無害？這是喬凡尼窗下茂盛的植物在他眼中的印象，我們對自家花園和野外遇到的植物，也是這樣的印象；我們總抱著天真的信任。人行道上棄置的咖啡，我們不會撿來喝，但健行的時候，發現像為了滿足我們口腹之慾而出現的陌生漿果，我們卻會拿來吃。朋友給的樹皮和葉子雖然無法辨識，我們卻覺得自然的東西都無害，而拿來煮藥茶。抱嬰兒回家時，我們急忙在插座上加裝安全罩，卻無視於廚房裡的室內盆栽和前門的灌木—更無視於每年被插座電到的人只有三千九百個，卻有六萬八千八百四十七人植物中毒。

 歐烏頭漂亮的藍色花朵帶有劇毒，能讓人窒息而死；洪堡鼠李的漿果會造成緩慢但致命的麻痺。本書裡有些植物，素負臭名。有種雜草害死了林肯總統的母親。有種灌木差點讓美國最著名的景觀設計師失明。有種花朵球根讓路易士與克拉克探險隊的成員生病。哥倫比亞和玻利維亞一種刺激性的小灌木「古柯」為全球的毒品戰爭推波助瀾。而古希臘人則將嚏根草用於世上最早期的化學戰。

 你可以經年做園藝，不用為歐烏頭這類植物所苦；健行無數哩，不遇上洪堡鼠李的灌木。然而，你早晚會看到植物界的黑暗面。到時候，你最好有備無患。


─前言〈嚴正警告〉

"
水草生活家,https://www.kingstone.com.tw//basic/2013730007742?zone=book&lid=book_class3_egz&actid=book_class3_egz,徐志雄,布克文化  ,4717702079819.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013730007742/2013730007742b.jpg,"

水草不再是水族箱裡的配角！不需要太多空間，不需要擔心照顧的問題，就像是最不麻煩的寵物。跟著本書，一起來做個有品味的水草生活家吧！水草讓你更有品味即使沒有「綠手指」，也可以和大自然做好朋友，即使沒有大空間，也可以擁有高品味的視覺與生活享受。水草生活家教你如何利用水草，找到改變心情的好點子。水草讓你好吃好喝蓮子、蓮藕，你一定吃過；還有四神湯裡的芡實，用的是芡的果實；至於插花常用的香蒲，只要撕開葉片，裡面的嫩筍可以用來料理；而尖瓣花的莖嚐起來就跟空心菜沒有兩樣。還有大葉田香，它的香氣跟八角很像，可以用來調味，水草生活家教你如何利用水草入菜，做出好吃好喝的水草味！水草讓你成為生活大師即便是新手上路，也能輕輕鬆鬆擁有滿室的綠意盎然。水草生活家精選33種最受歡迎、容易栽植照料的水草，詳列其特色、繁殖與照料方法，即使是初學者，也能在最短時間內掌握栽種技巧，成為水草生活大師。水草在觀賞價值與實用價值上不比香草遜色，但目前市場上尚未有人開發此領域，因此潛力無窮。
                    
"
邪惡植物博覽會,https://www.kingstone.com.tw//basic/2013760004360?zone=book&lid=book_class3_egz&actid=book_class3_egz,艾米．史都華,臺灣商務  ,9789570526028.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013760004360/2013760004360b.jpg,"

注意！本書將揭露邪惡植物的齷齪行徑警告！隨處可見的植物會讓你命喪黃泉植物界，有超乎你我想像的危機伺伏你看過樹木會落下毒匕首嗎？你知道亮晶晶的紅種子能停止心跳、灌木會造成無法忍受的痛楚，還有常見的藤蔓其實帶著劇毒嗎？你有聽過葉子能引發戰爭嗎？暢銷書《花朵機密》（Flower Confidential）的作者艾米．史都華將詳實呈現大地之母最毛骨悚然的創造，介紹逾兩百多種會讓人喪命、傷殘、中毒或惹人嫌惡的植物。栩栩如生的植物插圖以及蝕刻畫為可能潛入你週遭的壞東西留下可怕的畫像。這本令人不寒而慄的植物書，不僅引用了歷史、醫藥、科學和傳說，同時兼具娛樂、教育與警示效果。提醒你，不要拿不熟悉的植物做實驗，也不要輕忽植物的力量。在花園做事要戴手套；在小徑上吞下漿果或把植物的根丟進鍋裡之前，請三思。如果家有幼兒，要教他們別把植物放進嘴裡。有寵物的話，請除去牠們環境中的有毒植物，千萬不要無視於廚房裡的盆栽和前門的灌木。你早晚會看到植物界的黑暗面。到時候，你最好有備無患。 得獎訊息《紐約時報》暢銷書獲2010年美國園藝協會圖書獎獲Amazon.com 2009年百大好書「最佳園藝書」第一名入選《華盛頓郵報》及美國國家公共廣播電台2009年最佳園藝書
                    
"
植物的異色世界,https://www.kingstone.com.tw//basic/2023700011556?zone=book&lid=book_class3_egz&actid=book_class3_egz,沃夫岡．史督匹,大石國際  ,9789868692701.0,https://cdn.kingstone.com.tw/book/images/product/20237/2023700011556/2023700011556b.jpg,"

窺探植物繁衍的情與色科學與藝術的完美結合 呈現植物最私密的綺麗生活一位藝術家與兩位科學家結合彼此專長，透過掃描式電子顯微鏡介紹植物生活中那些巧妙隱藏卻非常關鍵的部分，用一幅幅充滿美感與表現力的影像，邀請讀者更進一步接觸自然世界中尚未被看見的奇蹟。你知道我們可能在根本不明就裡的狀況下，就興味盎然地欣賞了植物最最私密的某些風流韻事嗎？原來植物也有多采多姿的性生活，也得精打細算、也會勾心鬥角！《植物的異色世界》是一部史無前例、突破尺度的作品。利用掃描式電子顯微鏡，加上藝術家的巧手，引領我們從超近距離窺探植物的繁殖行為、揭露自然世界最讓人意想不到的美麗與奇特構造。無論從科學、藝術或設計的角度，這本書都能讓讀者驚豔不已，讚嘆這場知識與視覺的雙重饗宴。本書所有圖像均攝於已有將近250年歷史的英國皇家邱植物園，這裡也是國際頂尖的植物學研究中心。作者史督匹、哈里是邱植物園的植物學家，與顯微攝影藝術家凱斯勒以絕妙的圖像及專業知識，和讀者們分享他們所熱愛的植物世界。本書特色特色一 顯微世界下的奇異視野，看見平凡中的不平凡！ 本書將植物的花粉、種子、果實這些生活中習以為常的植物部位，透過掃描式顯微鏡將細微末節放大，引領讀者進入另一個迷人的小宇宙。我們將讚嘆大自然的完美傑作，這些肉眼下不起眼的小東西其實是美感與功能性兼具的藝術品！特色二 藝術與科學跨界合作，呈現無與倫比的美麗！本書由同系列的三本書（花粉、種子、果實）集結而成，探索植物私密生活中的科學、自然史與藝術之美。書中一幅幅令人讚嘆的影像，就是藝術家的巧手在探索新科技提供的潛能，藉由改變單調的掃描式電子顯微鏡影像色彩，藝術家為這些科學影像注入鮮豔的色彩生命力，喚起撼人心弦的超現實感。特色三 窺視植物私密性生活賞心悅目的花朵其實是生殖器官？為味蕾帶來享受的果實其實充滿心機？到底植物的性生活是如何進行？本書鉅細靡遺敘述那些悄然發生在人類生活周遭、其實囂張進行的植物終身大事，它們費盡心機、巧妙設計只為將更好的下一代傳播出去！
                    
"
養花要防癌、避毒,https://www.kingstone.com.tw//basic/2013760003288?zone=book&lid=book_class3_egz&actid=book_class3_egz,張謨瑞,元氣齋    ,9789866664342.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013760003288/2013760003288b.jpg,"

中國預防醫學科學院不久前發表一項最新的研究報告，認為我們經常作為盆栽花卉與觀賞用的五十二種植物可能促癌，其中二十多種則易提高致癌機率，有些雖然未達促癌程度，但具有毒性，仍必須特別小心。　　我們一向強調養生保健以增強免疫力、防癌抗癌，而蒔花養草為其中之一。現代人由於生活空間不足，或為了美化工作環境，多將盆栽的花草樹木放在室內，如今竟可能致癌，實在令人驚訝、擔心。　　本書列出所有已公布可能有害的種類，並提供兩全齊美之道。賞心悅目之前，您不能不知哪些植物花草有害健康。

"
四季野菜採集與料理,https://www.kingstone.com.tw//basic/2013700010161?zone=book&lid=book_class3_egz&actid=book_class3_egz,畔上能力,大坤書局  ,9789575387105.0,https://cdn.kingstone.com.tw/book/images/product/20137/2013700010161/2013700010161b.jpg,"

受到場所和時期限制的野菜，可說是讓我們重新認識自古流傳之飲食文化的寶貴歷史資料。
                    
"
蕈菇樂園,https://www.kingstone.com.tw//basic/2014350130315?zone=book&lid=book_class3_egz&actid=book_class3_egz,吹春俊光,瑞昇文化  ,9789575266318.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014350130315/2014350130315b.jpg,"

歡迎來到蕈菇樂園！現在，讓我們開始來享受探索之樂吧！ 哇！這是你所認識的蕈菇嗎？有五彩繽紛的蕈菇，有從果實中冒出的蕈菇，也有從動物排洩物或堆肥中生長的蕈菇，更多的是成群生長在樹林裡的蕈菇……這些大自然的禮物，若您夠細心，將可以在茂密的森林裡見到各種風貌、多樣姿態的蕈菇。 為了讓我們和蕈菇有美麗的第一印象，本書特別企劃了詳實記載來說明蕈菇種類，包括說明蕈菇的生長期、孕育蕈菇的地帶、毒性與否、外表特徵等，一旦瞭解蕈菇豐富的種類後，下次當我們拜訪森林時，會更加期待與蕈菇快樂的相遇而不再感到陌生，並且能夠大方和森林打聲招呼！這也就是為何我們稱此書為──「蕈菇樂園」。 根據古籍事典的記載，中國人是最早食用蕈菇的民族。蕈菇出現在地球上的年代大約自一至二億年前，以其有機分解的功能負責將落葉、枯木及屍骸等轉化為大地養分，擔任著類似「森林守護者」一般的職責。而因其身為食物鏈最底層工作人員的「菌類」世襲，讓我們甚至可以說蕈菇在全球「環境保育」的貢獻上，是遠勝過任何一種其他生物的。 蕈菇在經過上億年來的繁鉅演化之後，已自成一綱目體系，本書秉著認識、推廣及探索的角度，以詳盡的圖文資訊，介紹各式各樣奇形怪狀的蕈菇種類。有世界上最大，長超過一公尺，重達一百公斤以上，在日本被稱為「門神」的「巨大口蘑」，也有以「寄生」為生存方式，在蜻蜓、甲蟲和蠶蛹上分布及滋長的各式「冬蟲夏草」。在蕈菇於世界上呈現的多種面貌中，其美味、具有療效與有毒的區別，本書皆以一目瞭然的分類及圖片進行說明，讓讀者對蕈菇能有更全面而深入的理解與概念。 另外，由於蕈菇是食用價值非常高的食材，本書也提供了「蕈菇入菜」的美味義大利麵示範。蕈菇富含鐵、鉀及維生素Ｂ群，又含有特殊的濃郁香氣，在很多的菜餚中，都具有畫龍點睛的效果。 本書特色 一、感性的入門簡介：在各章節的起頭皆附錄一小段感性動人的簡介，以娓娓述說的文筆破題，讓讀者能迅速進入狀況，體會「蕈菇」世界的奇妙。 二、詳盡的資訊提供：每項品種的「蕈菇」皆有清晰的圖例及中英文學名對照，並以生動易懂的文字描繪其特性，可謂圖文並茂。 三、實體大小的圖片：除極少數具特殊規格的品種，全書圖片以實體尺寸呈現，讓讀者再也不會因為壓縮或放大的比例而有了錯誤的認識。 

"
台灣蔬果生活曆,https://www.kingstone.com.tw//basic/2014810003777?zone=book&lid=book_class3_egz&actid=book_class3_egz,陳煥堂,天下文化  ,9789864176830.0,https://cdn.kingstone.com.tw/book/images/product/20148/2014810003777/2014810003777b.jpg,"

色彩鮮豔垂涎欲滴的蔬果，哪一種最當令、最好吃？ 台灣尋常又獨特的81種四季蔬果， 依春夏秋冬不同節令一一登場， 喚醒的是古早的、鄉土的、清晰的台灣味覺記憶， 還有怎麼吃最順天應人， 更有關健康、疼惜土地的倫理觀。 ．新聞局中小學優良課外讀物 ．兒童文學學會「好書大家讀」推薦好書 當令蔬果季節登場：內容依春夏秋冬不同節令，介紹台灣獨特、常見的81種蔬菜水果。開春之際，短期作物剛要播種，多年生的植物也才復甦，就食用果菜而言，春天是個青黃不接的時期。早春時節，就數農曆的正月蔥和二月韭，以及新收的蒜頭好吃；入夏之後，是各種瓜果和豆筴的成熟期。夏天缺葉菜，即使是全年可收的蕃薯葉、龍鬚菜、川七、空心菜、莧菜，Ａ菜等等，都因為暑氣太重而略帶苦味；金色的秋天裡，有麻竹筍和二次收成的箭竹筍可吃，南部的菱角、皇帝豆、蓮藕，和中部坡地的山藥、芋頭，拿來燉排骨，各有細緻的清香，吃起來餘韻悠長，那是秋的氣息。入冬之後，是愛吃青菜者的黃金時段，冬天吃各色蔬菜，特別感到身在寶島的幸福……。透過一年中輪番上陣的蔬果，味覺似乎回復到古早時候，對季節性作物引頸期待、全心品嚐。 編輯在校對本書文稿時，不時發出讚歎，說是每一篇都叫人齒頰生津、口水直吞嚥。這真是前所未有的經驗，平平常常的蔬果，在作者筆下，竟揮灑出古早的、鄉土的、清晰的味覺記憶。看著看著，形色出現了，味道上揚了，濃濃的台灣味與兒時記憶全來了。 藉由蔬菜水果，台灣四季的轉換，一入口便心知肚明；台灣人講究食蔬啖果，怎麼吃最順天應人，除了有關健康，還有關疼惜土地的倫理。這本書，讀來輕輕鬆鬆，很多歡笑，很多親切，很多知識，很實用，很台灣。
                    
"
