書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
動物溝通：一本可以解答你99%疑惑的溝通大全,https://www.kingstone.com.tw//basic/2014890045933?zone=book&lid=book_class3_eha&actid=book_class3_eha,黃孟寅、彭渤程,四塊玉文創,9789578587618.0,https://cdn.kingstone.com.tw/book/images/product/20148/2014890045933/2014890045933b.jpg,"


狗狗開心時會搖尾巴
	貓咪生氣時會發出氣音威嚇對方
	大家或多或少對自己家的毛小孩都有一些了解
	但是除了這些基本的情緒反應外
	是否也想更了解毛小孩心裡的想法呢？
	和動物溝通是人類與生俱來的能力
	透過101種練習法
	從淨化思緒到接收訊息
	教你喚醒沉睡於潛意識的本能
	學會如何與動物溝通

	◆動物溝通專業介紹：
	從動物溝通的起源、發展、如何在世界各地流傳、每個地區不同的課程進行方式，到動物溝通的系統及價位說明，用專業動物溝通師的角度，為讀者做詳細介紹。

	◆101種練習法全公開：
	提供101種動物溝通的練習法，教大家如何靜下心來創造自己的停止點，放鬆與安定身心，釋放並淨化情緒，最後迎接你所接收到的資訊並記錄一切。

	◆加碼5招加速法：
	除了一般的練習與進行流程範例的介紹之外，本書更為讀者帶來5招偷吃步加速練習法，從自由書寫、積極想像、直覺問答到牌卡輔助與空椅法，讓你快速學習如何與動物溝通。

"
動物靈氣療癒,https://www.kingstone.com.tw//basic/2014370174757?zone=book&lid=book_class3_eha&actid=book_class3_eha,伊莉莎白．富爾頓、凱瑟琳,楓樹林    ,9789579501842.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014370174757/2014370174757b.jpg,"


～溫和、直覺、安全且強大的能量療法～

讓愛護動物的人們得以無條件的愛、理解及療癒，

回饋對我們付出許多的動物

★動物靈氣師、動物溝通師、動物花精師——布貓花園療癒莊園／布媽 推薦專序

	 

	靈氣是少數對所有生物皆無害的療法，

	傳統應用於人類身上，但它具備諸多效益，

	不論植物或動物——都能發揮其療癒特質。

	 

	靈氣治療溫和、無痛、無侵入性且無壓力，

	對動物及治療者都十分安全，適用於影響動物的所有問題。

	即使治療師並不了解病因，

	靈氣也會自動傳送至最需要治療的部分。

	能在「身體」、「心理」、「情緒」及「靈性層面」給予動物適切的療癒，

	並運用在「隔空」、「遠距」、「團體治療」等各種情境。

	 

	★靈氣效力強大，總能直指健康問題的根源，但對接收者及施作者皆安全無害。

	★在療程中，動物保有高度主控權，包括要接受多少靈氣以及在何種情況下接受。

	★靈氣療癒能與各種療法相互配合，深化與施作者的關係，也能強化治療師的直覺力。

	★進行靈氣療癒，能在更深的層次上與動物個案進行溝通，療癒人類與動物間的連結。

	★幾次療程後，動物需要放鬆及療癒時，會主動尋求靈氣的協助。

	 

	無論您是能量醫學領域的新手，抑或經驗豐富的從業人員，

	還是致力於為動物夥伴的健康奉獻的動物愛好者，

	《動物靈氣療癒》接能拓展您對於治癒與健康新的視野。

	 

	書中列舉出【貓狗】、【兔子】、【老鼠】、【鳥類】、【馬】等各種動物的靈氣施作方式，

	以及【年長動物】、【臨終動物】、【野生動物】的療癒技巧，

	透過本書，您會更深入地認識且感受靈氣治癒的力量，

	加深您與生命中所遇見動物間的連結。

	 

本書特色

	 

	◎列舉出「貓狗、兔子、老鼠、鳥類、馬」等各種動物的靈氣施作方式，以及【年長動物】、【臨終動物】、【野生動物】的療癒技巧。
	 

	◎在「身體」、「心理」、「情緒」及「靈性層面」給予動物適切的療癒，並運用在「隔空」、「遠距」、「團體治療」、「收容所」等各種情境。
	 

	◎整理出「靈氣療癒動物的守則」，以及療癒師親身經歷，也列出從動物老師身上學到靈氣的最佳運用策略。

"
寵物終老前，還能為心愛的牠做什麼 末期寵物的心情安寧照護指南,https://www.kingstone.com.tw//basic/2014370174047?zone=book&lid=book_class3_eha&actid=book_class3_eha,張婉柔,麥浩斯    ,9789864086061.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014370174047/2014370174047b.jpg,"


	心情安寧、照顧者的自我照顧、離世溝通，
	獸醫師＋動物溝通師的跨領域支持最前線。


	◆專文推薦
	獸醫師、智遇動物醫院院長 蔡文智
	諮商心理師、心理叢書作家 蘇絢慧
	大悲學苑社區安寧靈性關懷教師 德嘉法師
	繪本畫家、灰灰友善動物協會負責人 李瑾倫
	暢銷書作家 柚子甜
	正向思維藝術 犬隻行為師 許朝訓

	◆掛名推薦
	汎亞動物醫院院長 張詠舜獸醫師
	長青動物醫院院長 林長青獸醫師
	極光動物醫院 蔡仙瑩獸醫師
	愛達司動物醫院院長 陳稚文獸醫師
	品澤動物醫院院長 蔣若涵（蔣安怡）獸醫師
	享家寵物到府善終服務創辦人 李明翰獸醫師
	馬偕紀念醫院 周昕韻諮商心理師
	法拉狗訓練工作室 Ming 
	流浪動物花園協會創辦人 Rose
	癒光之境身心靈中心創辦人  丁宥允
	演員 林辰唏

	 //

	當「動物溝通」遇上「安寧」，稱為「心情安寧照護」，
	為傷心的人與動物，銜接起從生到死之間那段難以談論與碰觸的道路，
	把失落的重新安放，把破碎的溫柔黏貼。

	寵物進入我們的生命裡，成為孩子、夥伴、最親密的朋友。
	猶如兩個背包客，在探索、歷險的旅途中於列車上相遇，
	共乘期間一起欣賞窗外美好的風景，分享彼此的生命經歷。

	不知不覺中，歲月靜悄悄就過去了，
	身為飼主，我們多半是那個送行的人。
	無論與寵物同行的路有多長，驪歌總是會有響起的那一天。

	然而，「善終」不是死時那一刻才發生，
	是一場從「末期確診」開始，就該進行的，溫柔的告別。

	台灣首位具有獸醫師背景的溝通師張婉柔，
	以醫學背景出發，綜合多年諮詢案例、臨床經驗與安寧領域的知識，
	依循末期病人的生理變化、心理靈性需求，
	擬定身心靈的整體性照護。

	即使沒有進行動物溝通，
	也能從本書個案中理解牠們面對死亡的態度、真正在意的是什麼。
	進一步照顧到牠的心，進行更細緻的陪伴與準備。

	為因愛而生的痛找出口，讓悲傷被承接，使悲傷的人開始懂得溫柔對待自己。
	於死亡能從容以對，於生命能化作感謝，成為滋養寵物與自己的養分。

	在踏上靈魂下一個階段前，
	替孩子們帶上充滿愛與祝福的行囊，
	當再見的那一刻到來，達到生死兩相安的圓滿善終。

	讓牠們安心回到光跟愛中。
	在那裡無病、無痛，只有寧靜，沒有痛苦。

"
動物溝通卡：逐張牌義解說與牌陣推薦，一本完善的使用說明書（盒裝）,https://www.kingstone.com.tw//basic/2012920511397?zone=book&lid=book_class3_eha&actid=book_class3_eha,黃孟寅、彭渤程,四塊玉文創,9789578587656.0,https://cdn.kingstone.com.tw/book/images/product/20129/2012920511397/2012920511397b.jpg,"


動物溝通卡
	初學者的輔助工具
	動溝師的最佳利器
	透過牌卡指引
	學會動物溝通的訣竅
	提升溝通準確度
	心理派動物溝通教材專利認證
	新手也能輕鬆上手

	◆詳細牌義說明，用法具體明確
	逐張說明44張牌卡涵義，讓你熟悉每張牌卡特色。使用方法配上圖解，淺顯易懂。另外也提供飼養上的小提醒，給飼主具體建議。

	◆未曾學過卡牌，也能輕鬆上手
	未學過塔羅的初學者，可以透過手冊簡易上手，進行動物溝通；學過或精通塔羅的使用者，則可結合任何塔羅系統，變換運用。

	◆附上實用牌陣，強化溝通準確度！
	利用牌陣獲取更多資訊，學會進一步的溝通運用，幫助你了解問題的狀況與推估未來發展的可能性。

"
和動物說話的男人：《所羅門王的指環》作者的狗貓行為觀察學【動物行為學之父、諾貝爾獎得主科普經典，逝世30週年紀念版】,https://www.kingstone.com.tw//basic/2013830017153?zone=book&lid=book_class3_eha&actid=book_class3_eha,康拉德・勞倫茲,木馬文化  ,9789863595687.0,https://cdn.kingstone.com.tw/book/images/product/20138/2013830017153/2013830017153b.jpg,"


 被譽為「能和動物說話的男人」——諾貝爾獎得主不朽科普經典

 動物流露出的每個意願都是「善意的」，
 而這種「善意」其實是人類早已失去的樂園。

 當代動物行為學世界權威、諾貝爾獎得主康拉德・勞倫茲繼《所羅門王的指環》後最膾炙讀者、溫暖人心之作。勞倫茲以從小飼養貓狗親身經驗，及其日後從事動物行為科學研究，進而解開人和貓狗間親密的情感之謎。

 「沒有一種動物的生活方式，能像狗一樣改變得那麼徹底；
 相反地，沒有一種動物像貓一樣，
 和人類相處達數千年之久卻毫無改變。」

 ＊動物會因戰爭而感到悲傷？
 ＊狗會阻止主人過量飲酒？
 ＊從小與狗相處能提升人際關係？
 ＊不要光看狗貓的外貌，要像情人一樣個性合才行？
 ＊貓和狗能擁有真正的友誼？
 ＊常和快樂的狗貓相處，也能讓自己快樂？

 「很多喜歡狗的人不喜歡貓，喜歡貓的人又可能討厭狗。不過我想，如果能用心細膩地看待、認識牠們各自的優點，同時撰寫這兩種動物，反而是理解貓和狗，以及人類的愛的一種絕佳嘗試。」——康拉德・勞倫茲

 當代唯一描寫貓狗行為學經典之作！
 德文原著譯為多國版本，全球暢銷不輟！
 紀念作者逝世三十週年，經典重譯！

本書特色

 ●當代動物行為學權威、諾貝爾生醫獎得主花費一生觀察狗貓行為的不朽科普經典，逝世三十週年經典重譯。
 ●作者說：「有狗一定比沒狗好」、「有貓一定比沒貓好」，如果你沒養動物，這本書會讓你極想收編貓狗回家；如果你已經養了，這本書會讓你更愛牠們。
 ●不得不說，這本書會不自覺令人想起聖修伯里筆下小王子對狐狸的豢養，以及對玫瑰的愛。

"
怎麼會這麼萌？動物寶寶寫真書,https://www.kingstone.com.tw//basic/2013800035569?zone=book&lid=book_class3_eha&actid=book_class3_eha,張東君,貓頭鷹    ,9789862622186.0,https://cdn.kingstone.com.tw/book/images/product/20138/2013800035569/2013800035569b.jpg,"


 臺北市立動物園百年紀念專輯第三彈──
 萌指數破表的動物寶寶們，獨家寫真大公開！

 看過大貓熊寶寶「圓仔」不稀奇，你知道動物園還有多少可愛明星動物嗎？

 其實，在永遠處於戰國時代的臺北市立動物園裡，新的「萌主」可是隨時都會崛起的。例如無尾熊寶寶「Joey」、臺灣黑熊寶寶「黑糖」、國王企鵝寶寶「黑麻糬」、馬來貘寶寶「貘樹」，還有最近人氣度爆高的水獺兄弟「大金」、「小金」等，都是紅極一時的新一代「萌主」接班人。

 不過你知道嗎？有些動物寶寶和爸媽是同一個模子刻出來的，有些則是長大十八變。本書收錄了30種超Q動物寶寶，除了他們圓滾滾、毛茸茸的超萌照片，還有許多難得一見的動物溫馨親子照。此外，本書還紀載了所有動物的科別、身長等必備知識，再搭配科普作家「青蛙巫婆」張東君特地為本書所撰寫，每位動物寶寶在臺北市立動物園的獨家小故事，令你透過可愛沒有極限的寶寶們，輕鬆認識動物的樣貌。

 當然，我們也收錄了大貓熊、無尾熊、馬來貘、國王企鵝等可愛到令人心都融化的動物，超療癒的萌系能量絕對能溫暖你的心。

"
動物的存在與虛無，以及牠們如何溝通的科學藝術：鳥會說方言、魚會打摩斯密碼、大象會說韓文、鯨魚愛K歌,https://www.kingstone.com.tw//basic/2013830018785?zone=book&lid=book_class3_eha&actid=book_class3_eha,伊娃．邁爾,野人文化  ,9789863843856.0,https://cdn.kingstone.com.tw/book/images/product/20138/2013830018785/2013830018785b.jpg,"


如果動物會說話，我們應該讓牠們進立法院嗎？
	科學╳哲學╳語言學


	野性的呼喚
	v.s
	笛卡兒、維根斯坦、海德格、梅洛龐蒂……
	以動物和語言的哲學思想史，解答以下問題：
	究竟什麼是語言？
	何時可以將溝通稱為語言？
	若動物也有語言（思想），牠們在政治上是否也有話語權？

★榮獲荷蘭文壇最重要獎項Halewijn Award大獎最佳圖書
	★Trouw日報評選年度最佳哲學書

	◎大象會說韓文，原因只是太無聊而自學成材？
	◎鳥語也有分國家，住在邊境的鳥兒甚至會雙語！？
	◎鯨魚每季會唱不同系列的歌曲，經過牠的鯨魚還可能順道把曲調學走，最後變「流行曲」！？

▎大猩猩與蜘蛛的共同點，其實比人類與大猩猩的共同點還要少。——德希達 ▎

	古埃及人除了「人類」之外，沒有描述「動物」的集合名詞，牛就是牛，馬就是馬，鳥就是鳥，魚就是魚，牠們毫不相似，當然不能以一個集合名詞指稱牠們。那麼，是何時起，人類理所當然地將所有的飛禽走獸劃進「動物」這個分類，與人類徹底區別開來呢？

▎動物不會說話，因此動物不會思考。因此動物不存在。——笛卡兒 ▎

	人類以思想劃分人類與其他動物。這不只是物種的劃分，還是位階的劃分。自笛卡兒說出著名的「我思故我在」以後，人類便理所當然地用「思想」、「語言」來做為高等的證明。這樣的想法自啟蒙時期已影響人類對動物的看法上千年，然而，越來越多科學研究顯示，大多數動物有自己的「文法」，牠們發出的響聲並非單純的身體本能或警戒功能，鸚鵡與小狗會開玩笑，烏鴉與大象會哀悼，鯨群會創作流行歌曲……這些都是非生存必要的本能，而是經過思考後的行動。

▎如果一隻獅子會說話，我們也無法聽懂牠說什麼。——維根斯坦 ▎

	人們經常開玩笑說動物無法投票。然而近年來的科學研究顯示，動物有語言，當然也有政治，也有社群。牠們會投票，會互相討論某幾個選項，再集體提出最佳方案：當歐洲馬鹿群中有超過62％成年鹿站起來時，牠們就開始移動；在狒狒群中，由占主導地位的公狒狒和母狒狒做決策，但其他狒狒也影響這些決定，所有的行動都會被列入考量……水牛、蜜蜂、鴿子、螞蟻都有各自的群體決策方法，也有自己的政治體系。

▎語言對我們如何存在於世界上極為重要，那些沒有語言的不可能死亡，只會簡單地消失……因為動物不能理解什麼是死亡，牠們不會死，只是消失。——海德格 ▎

	在理解到動物語言與動物思想的繁複程度後，我們或許不得不承認，人類與動物的界線(或鴻溝)，似乎只在於我們不懂牠們的語言。那麼，我們便不得不思考一個嚴肅的問題：我們會因為不懂某一人類族群的語言而任意殘殺、處置他們嗎？若是不會，為何我們可以如此對待動物呢？

	本書以哲學、語言學、社會學、政治學探討動物的語言與行為，或許可以藉此釐清我們與動物的距離並沒有想像中的遙遠。

"
寵物照護百科：貓狗醫療保健聖典,https://www.kingstone.com.tw//basic/2014370168848?zone=book&lid=book_class3_eha&actid=book_class3_eha,蓋瑞．黎克特,一中心    ,9789579517782.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014370168848/2014370168848b.jpg,"


史上最強大毛小孩養護指南
	美國獸醫醫療基金會選出「最受喜愛的獸醫師」
	蓋瑞．瑞克特（Gary Richter, M.S., D.V.M.）最新力作
	心愛寵物照著本書養，健健康康伴你一生！


你所需要的寵物照護知識都在這本書裡

	我們愛我們的毛小孩，盡全力想給牠們最好的照護，卻因為知識不足，讓我們以為的「好」反而對動物造成傷害。例如為求方便只餵寵物吃乾飼料，又沒有補充充足的飲水，讓牠們身陷營養不均衡及慢性脫水的險境；又或者是寵物身體不適，我們一味請獸醫師減輕痛苦，卻疏忽造成疾病的真正原因。

	身為整全療法獸醫師及科學家，美籍獸醫師蓋瑞．黎克特（Gary Richter）嘗試從一個宏觀的角度看待寵物照護及醫療。他在書中疾呼：營養才是寵物健康的基礎！有了均衡完整的營養，許多毛小孩的疾病就可以不藥而癒。他在書中不但詳細說明免疫系統在動物體內的運作過程，還介紹如何運用適當食物與營養補充品強化免疫力。同時教導飼主如何自行調理寵物膳食，為毛小孩的健康打下扎實根基。

	最難能可貴的是，接受正統獸醫教育訓練的黎克特並沒有一般西醫那種「無法容忍其他療法」的偏見，他採用整合式醫療照護服務（integrative health care），巧妙結合常規西式醫療及其他輔替療法，諸如中醫、各地方的傳統療法、整脊、順勢療法與能量療法，為寵物打造全面性更有效的醫療照護。書中所推薦的每種療法都有科學研究根據，以及他個人多年的執業成功經驗。

	他在書中整理出每一種療法的特點，提出對於寵物常見疾病的特定整合作法，包括過敏、皮膚問題、結石、糖尿病、腎臟病、腸胃炎、心臟病及癌症。藉由本書，你不但知道如何以整合式醫療來大幅提升動物的生命長度及品質，還能從根本做起。

本書特色：

	‧突破性整合醫療照護觀念
	巧妙結合常規西式醫療、傳統中醫、整脊、順勢療法（homeopathy，又稱同類療法）、能量療法以及其他數種整全（holistic）療法，在醫療照護初期就給予病患多種療法的有效組合，能大幅提升動物的生命長度及品質，也比單一醫療方式更有效地預防及治療疾病，這就是整合式醫療的奇蹟能力。

‧寵物均衡膳食指導
	營養是健康的關鍵，許多疾病都是身體多年來處在不良狀態下累積的結果，寵物所吃的食物種類與數量完全取決於飼主。如果我們能夠重視寵物的日常飲食，就能幫助牠們好好修復身體，維持健康。請別讓你的寵物生病了，才去重新調整牠們的營養。

‧毛小孩常見疾病及整合療法介紹
	包括擾人的過敏與皮膚問題、老化及遺傳引起的退化性關節疾病及關節炎、小小的結石到磨人的慢性腸胃病、糖尿病，以及各種臟器問題，如胰臟、肝膽、腎臟疾病，以及影響內分泌的甲狀腺疾病、腎上腺疾病、自體免疫疾病，還有棘手的心臟疾病、癌症，書中不但詳述病因並有完整的治療介紹。

‧50道原創寵物食譜
	由寵物營養學專家蘇珊．勞騰博士（Dr. Susan Lauten）精心調製的50道犬貓食譜，幫助寵物擁有平衡的優質營養。此外，書中還針對犬貓的不同疾病設計特殊調養膳食。

‧最實用的寵物新手指南
	從如何選擇一隻與自己最速配的寵物，到尋找投緣的獸醫師，教飼主如何為寵物選擇正確的疫苗及常規手術，還有琳瑯滿目的寵物營養補充品推薦，關於飼養寵物的相關知（常）識都囊括在這本寵物照護百科全書裡。

"
獸醫超日常：犰狳、鬃狼，有時還有綠鬣蜥，《侏羅紀世界：殞落國度》特聘獸醫顧問的跨洲診療紀實,https://www.kingstone.com.tw//basic/2014370167216?zone=book&lid=book_class3_eha&actid=book_class3_eha,強納森．克蘭斯頓,麥田      ,9789863446576.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014370167216/2014370167216b.jpg,"


高危險、長工時、低時薪，是獸醫不足為外人道的日常。
而獸醫的「超」日常，則是親手診療百種動物，甚至與珍奇物種來個親密接觸。

 《侏儸紀世界：殞落國度》獸醫顧問對動物最深情的告白！

從六歲起，他就認定自己的天職是獸醫
申請大學時，卻被全英國的獸醫學院拒於門外
當他終於穿上醫師袍，走入診間和農場
被動物病患與牠們的主人整得七葷八素，甚至遠渡南非
為野生動物保育貢獻心力──
他知道，這就是他夢寐以求的生活！

從家畜、同伴動物到瀕危物種，從英國鄉間跨足非洲草原，這是一名以獸醫為天職的男人，與二十種動物，最難以忘懷的相遇。

 強納森‧克蘭斯頓打從六歲便很清楚，動物在自己的生命中有多麼不可或缺。而獸醫則是他的天職，直到成年，這份初心都未曾改變。即使申請入學時多次被拒，他仍鍥而不捨，在十三次閉門羹之後，終於如願進入獸醫學院，並於五年後取得獸醫資格。直到現在，他的生活仍被動物所圍繞，這也是他的人生意義之所在；有動物之處，便是人間樂園。

 身為一名鄉間獸醫，克蘭斯頓診治過的動物可謂不尋常──一般寵物自不待言，他也醫治過牛羊家畜，然而他參與的還不只這些，也包括遠赴南非，為野生動物進行捕捉遷移、臨床治療。也是在畢業之後，他才面對現實：原來，關於治療動物，五年的獸醫課程根本只是起點而已！

★ 對一名準獸醫而言，下列哪項技能可於學院課程中習得？
‧ 為蜜袋鼯結紮。
‧ 幫全身覆滿鱗甲的犰狳植晶片。
‧ 替沒了心跳的長頸鹿施行心肺復甦術。
‧ 懷孕的母牛因子宮捻轉而難產，在不剖腹的前提下為母牛接生。

獸醫是十分具有挑戰性的行業，其辛苦程度不下於人醫，但面對語言不通的動物、充滿期待的飼主，乃至於各種危險的突發狀況，獸醫往往更需要隨機應變的性格、細膩非凡的觀察力，以及極高的抗壓性。

而獸醫也絕不僅僅只是處理動物的問題，更要處理「人」的問題。唯有全心擁抱「溝通」之道，理解動物的天性與需要，才能真正領略人與動物之間那份美好強大的牽絆。為動物工作，能讓最傲慢的人都學會謙卑，而為野生動物工作更是如此。在本書中，強納森‧克蘭斯頓以一名摯愛動物之人所能擁有的最大熱情，帶領讀者走進他的診療室，乃至於一般人難以涉足的野生動物保育區，讓我們一窺獸醫這個職業可能面臨的挑戰，以及自然界物種有多麼神奇奧妙，震撼人心。貫穿全書的，是他對獸醫這門專業，以及對整個動物界的關懷。對於喜愛吉米．哈利《大地之歌》、杜瑞爾《希臘三部曲》，勞倫茲《所羅門王的指環》的讀者，本書將喚回他們內心最深沉的感動。

 「一想到我所選擇的職業穩居自殺率排行榜前幾名，而且與大眾認知相反，按照工時換算，獸醫界的普遍薪資其實低於法定基本工資，我就不禁覺得幻滅。我全身上下傷痕累累，有咬傷、踢傷、抓傷、刺傷、割傷、縫傷、踩傷、壓傷、踏傷和撞傷；我受過各種體液的洗禮，有血液、膿液、尿液、糞液、羊水、瘤胃內容物、肛門腺分泌物和分解潰爛的組織；我曾不小心跳進飼料坑、兩次把車開進大水溝、跌到池塘裡，甚至染上牛結核病，胸腔積水兩公升，必須住院治療，後續還花了整整一年才康復。

……所以，如果人生重來一次，我的心意會有一絲一毫的改變嗎？答案是堅定果決的：『不會。』」──強納森‧克蘭斯頓

◎本書特色

 ☆ 曾文宣（泛科學、《國語日報》專欄作家╱台師大生態演化組碩士）◎審訂

 ☆ 作者強納森‧克蘭斯頓為電影《侏儸紀公園》系列作《侏儸紀世界：殞落國度》獸醫顧問，從未見過恐龍的他，因為接觸過不下百種動物，擁有極為豐富的診療經驗，故受邀為該部電影中的恐龍場景擔任指導，負責解答片中關於恐龍的各種問題。本書乃是他執業十年以來首次生涯回顧，記錄了他精彩絕倫的獸醫人生中與二十種動物的交手經驗，時而荒謬爆笑，時而驚險萬分，有些段落更讓人忍不住熱淚盈眶。

 ☆ 本書介紹二十種動物，包括犰狳、長頸鹿、天鵝、雪豹、山羊、大象、雞、鬃狼、荷斯登牛、犀牛、驢、貂、大貓熊、豬、綠鬣蜥、鱷魚、袋鼠、斑馬、蜜袋鼯、牛羚。每章章末並收錄該動物的相關知識，從學名、俗名、保育、分布地區、棲地特性、飲食習慣、孕期或孵化期、組織構造、趣味軼事等，不一而足。

  

"
我跟地球掰掰了：超有事滅絕動物圖鑑,https://www.kingstone.com.tw//basic/2013850008414?zone=book&lid=book_class3_eha&actid=book_class3_eha,丸山貴史,遠流      ,9789573285403.0,https://cdn.kingstone.com.tw/book/images/product/20138/2013850008414/2013850008414b.jpg,"


60種滅絕動物心酸酸無奈告白，
10種差點掰掰動物真心警告，
揭開生物演化大祕密。
  
 ●日本狂銷45萬冊
 ●Amazon書店科學榜No. 1

 自地球誕生以來，99.9％的生物種類都已經滅絕了，包括榮登孩子人氣王的霸王龍、象徵和平的旅鴿、最受歡迎動畫主角的長毛象……，但這些生物當初為什麼會滅絕，原來真相是：
  
 1.因為太大意，所以滅絕了；
 2.因為演化太過頭，所以滅絕了；
 3.因為太笨拙，所以滅絕了；
 4.因為運氣不好，所以滅絕了。
  
 到目前為止，地球發生過好幾次大滅絕，每次都讓地球上的成員產生非常大的改變，彷彿經歷一場大規模的大風吹遊戲，只要地球有了空位，無論陸地、海洋、天空，也跟著相應出現各種不同的其他物種。

 想知道史特拉海牛為什麼因為太有情義而滅絕？誰是造成小笠原朱雀滅絕的凶手？袋狼究竟幫誰揹了什麼黑鍋而喪命？難道美麗也有錯，藍馬羚竟因此而滅絕？歐洲野馬不過是談個戀愛就遭誅九族？為什麼骨鬆害得大角鹿滅絕？笑鴞萬萬沒到愛笑也會被趕盡殺絕？70種飽受滅絕苦難的動物現身說法，幽默道出牠們如何在有生之年力抗環境、對付強敵。驀然驚覺，迫使牠們告別地球或差點說掰掰的背後凶手竟是……

 隨書附贈「滅絕全紀錄」別冊，帶你一窺動物老祖先的生命歷程，優遊生物繁盛的黃金年代！

"
