書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
圖解汽車原理與構造：超過500張全彩解剖插圖，專有名詞中英對照，一舉透視汽車組成奧義！,https://www.kingstone.com.tw//basic/2014470118507?zone=book&lid=book_class3_eij&actid=book_class3_eij,張金柱編,楓葉社文化,9789863701958.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470118507/2014470118507b.jpg,"


～全彩圖解汽車構造，中英對照便於自學～
超過500張解剖圖，詳細解構汽車內部零件、作動過程，
汽車內裝系統、驅動原理一目瞭然！

	本書以圖解的方式系統地介紹汽車的結構與原理，
	全書主要內容由五部分組成，
	．第一部分主要介紹汽車的總體結構；
	．第二部分描述汽車發動機，包括曲柄連杆機構、配氣機構、燃料供給系統、冷卻系統、潤滑系統和電動汽車等；
	．第三部分詳細介紹汽車的底盤，包括離合器、手動變速器、自動變速器、懸架、轉向系統和制動系統等；
	．第四部分介紹汽車車身；
	．第五部分介紹汽車電器，包括啟動系統、充電系統、點火系統、汽車空調和安全氣囊。

	除傳統汽車結構外，還增加了許多汽車新結構和新技術等，
	如混合動力汽車、燃料電池汽車、CVT變速器、雙離合器變速器等內容。
	可作為掌握汽車技術的自學讀本，
	即使無任何基礎也同樣適用。
	書中所有專業術語採用中英兩種語言相互對照，
	並與插圖相對應，方便學習與查閱。

	本書內容系統全面，插圖直觀精美，
	可作為學習汽車技術的參考書、工具書，
	適合汽車專業的師生、汽車技術人員、汽車維修人員以及汽車愛好者使用。

本書特色

	◎以彩色簡圖、原理圖、解剖圖、分解圖等形式詳細介紹汽車組成系統、總成和零部件，使複雜的汽車結構、原理一目瞭然。
	◎按照汽車結構特點分5部分編寫，從主體、引擎、底盤、車身到相關配備，循序漸進地認識汽車機械原理。
	◎中英專業術語相對應，由大安高工資深教師黃國淵審校，內容精確，便於對汽車有興趣者自學。

"
終極鐵道百科：史上最完整的火車與鐵道大圖鑑,https://www.kingstone.com.tw//basic/2025570113859?zone=book&lid=book_class3_eij&actid=book_class3_eij,DK出版社編輯群,大石國際  ,9789869980975.0,https://cdn.kingstone.com.tw/book/images/product/20255/2025570113859/2025570113859b.jpg,"


˙鐵道迷必備的火車百科全書，從全球第一台蒸汽機車到今天的高速鐵路，橫跨近200年的鐵道與鐵道機車發展史
	˙【精美的火車圖鑑】：收錄400多種經典火車精美照片，搭配完整資料：型號設計、構造解析、服役時間、時速馬力
	˙【經典的火車鐵道】：野鴨號、火箭號、皇宮列車、東方快車、西伯利亞鐵路、歐洲之星等精選火車檔案與經典鐵道旅程
	˙專有名詞審閱人：世界遺產鐵道組織理事（Director of WATTRAIN) 古庭維

	從最早的蒸汽機車到柴油引擎，再到今日的高速子彈列車，《終極鐵道百科》詳細記錄了鐵道的歷史與角色。你可以走過每個時代，認識當代最重要的火車，瀏覽代表性列車的細部，了解這些傳奇火車的構造，例如東方快車、仙后號、野鴨號、標槍號……等等。你將能以全球性的眼光看鐵道，探索世界最壯麗的鐵路，從南非到西伯利亞，包括大吉嶺喜馬拉雅鐵路以及日本東海道新幹線。書中也收錄重要人物的故事，包括關鍵發明家、推動鐵路旅遊的設計師與工程師，以及他們面對的挑戰與鐵路建設時的文化背景。只要你是鐵道迷，《終極鐵道百科》就是你必不可少的絕佳收藏。

"
新幹線全車種完全圖鑑,https://www.kingstone.com.tw//basic/2015570099413?zone=book&lid=book_class3_eij&actid=book_class3_eij,,人人      ,9789864611959.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015570099413/2015570099413b.jpg,"


 日本新幹線的完整收錄。還有許多你從沒見過的新幹線試作樣車！

 本書網羅日本新幹線現役、退役列車，就連一般無法得見的樣車、檢測列車都一一附上彩圖以及說明。以多張照片比對列車之間的烤漆外觀、座椅配置等各型號之間的差異，讓讀者一目了然。同時也細數各車系的開發歷史，並提供車廂特色、塗裝LOGO特寫、內裝設計、行駛路線…等相關情報。

 全書收羅日本國鐵時代的新幹線直到最新的N700S列車圖片，詳盡解說從開發到試作樣車的過程。除了現在最新的鐵道資訊外，書中尚收錄許多已廢棄的列車照片，還有新幹線路線完成前後的珍貴歷史照片，幫助讀者了解新幹線的前世今生，也從中一窺日本鐵道職人的精神。

 全書不只日本國內的新幹線列車，甚至還收錄銷售至海外的台灣高鐵700T型列車。堪稱鐵道迷必備的新幹線圖鑑專書。

"
汽車的構造與機械原理【暢銷修訂版】：汽車玩家該懂，新手更應該知道的機械原理,https://www.kingstone.com.tw//basic/2014470120128?zone=book&lid=book_class3_eij&actid=book_class3_eij,青山元男,晨星      ,9789865529116.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470120128/2014470120128b.jpg,"


汽車知識的最佳入門書 ! 零基礎也能輕鬆上手 !


	◆為什麼車輪轉動，汽車就會行進？
	◆二輪驅動和四輪驅動有什麼不同呢？
	◆為什麼左右車輪會以不同的轉速過彎？
	◆確保車輪能安全著地的懸吊系統有哪些？
	◆為什麼車輪一旦停止轉動，煞車就會失效？
	◆為什麼休旅車在過彎時容易出現車身搖晃的現像？

	本書以汽車引擎的機械原理為主軸，並從WHY與HOW開始圖文解說汽車各大部位的基本機械原理，引擎啟動、油門加速、方向盤掌控、煞車系統……幫助愛車的你更懂車。

本書特色

	◎簡單易懂，一篇一知識，幫助不懂車的新手也能快速理解汽車的行進原理和機械構造。
	◎循序漸進地圖文式解說汽車行進原理和機械構造，幫助駕車者開車好放心，遇到故障不擔心。
	◎不僅是汽車新手或老手皆必備的汽車基本知識書，也是汽車維修相關人員的最佳保養維修參考書。

"
地勤機密：飛航安全始於地面，透視航空產業祕辛,https://www.kingstone.com.tw//basic/2015570094333?zone=book&lid=book_class3_eij&actid=book_class3_eij,華明琇,行路出版  ,9789869634878.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015570094333/2015570094333b.jpg,"

第一本揭密航空地勤實況的著作跟航空公司打交道不可不知的事飛機能在空中安全的飛行，將旅客平安送達目的地，除了機師純熟的技術之外，在背後默默工作的各項專業地勤人員更是功不可沒。航空地勤是種複合性，或說綜合性的專業，它橫跨了交通、旅遊、服務、電子、機械，甚至是基礎理化、氣象等專業知識，這些都是地勤人員的日常工作範圍。當地勤人員將這些點點滴滴的雜務都一一妥善完成之後，空服人員才能夠安心愉快地為旅客奉上餐點。旅客「訂票開票→到機場check in →行李託運→入關安檢→逛免稅商店→登機→吃飛機餐→落地出關→提領行李」，這整個流程背後到底是如何運作，以確保乘客能平安、舒適地抵達目的地？現在就由這位經驗豐富的資深地勤人員，揭開許多旅客不知道卻又與自身權益息息相關的地勤內幕。❖為何沒在規定時間登機會真的上不了飛機？❖明明很早就來訂位了，為何想要的座位都沒得選了？❖同樣艙位的機票為何會有這麼多不同價錢與限制？❖飛機延誤這筆帳真該算在航空公司頭上？❖不能託運也不能隨身攜帶的行李是哪些？❖「手提行李」的件數怎麼認定？❖行李託運的重量限制怎麼彈性運用？❖為何行李會遺失或晚到？❖地勤人員如何為飛安把關、防範恐怖分子登機？❖機場跑道的品質為何也是確保飛安的重要一環？❖各國核發簽證的真正目的？❖沒有成年人陪同的兒童如何搭飛機？❖除了一般飛機餐，還有哪些「特別餐」可以選擇？❖懷孕滿幾週必須醫生開立適航證明才能上飛機？……
                    
"
噴射客機的製造與技術（修訂版）,https://www.kingstone.com.tw//basic/2014470121040?zone=book&lid=book_class3_eij&actid=book_class3_eij,青木謙知,晨星      ,9789865529901.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470121040/2014470121040b.jpg,"


	我們在旅行或商務時，時常都會搭乘飛機，但是你知道飛機是由什麼樣的公司生產的嗎？

	要製造一架如此龐大的飛機需要用到非常多尖端技術與零件，這些複雜的零件來自世界各地的許多不同公司，每種系統設備及機體元件都有各專業製造商，最後再運往波音及空中巴士工廠進行組裝。

	飛機組裝工廠號稱「沒有柱子的世界中，最大的建築物」，在噴射客機的製造現場，您可以看到像一座足球場面積那麼大的工廠大門！每一架飛機的製作除了要考量使用者需求及經濟效益，其尺寸、重量也與維修、機場的適性息息相關。更不能忽略的是在導入新技術的同時，最優先考量的就是確保及提高安全性！

	飛機是結合多方面專業技術與科技的成果，
	本書就要帶你來看飛機系統設備及製造零件製程全解析！
	◎ 空中巴士和波音客機的製造方式有什麼差別？
	◎ 一個月最多可以製造多少架飛機？
	◎ 這麼長的主翼和機體如何製造、如何運送？
	◎ 「試飛」是要試哪個部分呢？
	◎ 噴射客機引擎的進化與種類
	◎ 噴射客機的壽命是幾年？
	◎ 製造噴射機的工廠有多大？

本書特色

	1、噴射客機製作流程大公開，帶你一窺製造現場的技術細節與浩大工程。
	2、精美圖片解析，還有許多作者親自取材拍攝的照片，一目了然，具臨場感，以容易理解的方式傳達給讀者。

"
機艙機密：空中旅行大百科,https://www.kingstone.com.tw//basic/2014470118217?zone=book&lid=book_class3_eij&actid=book_class3_eij,派翠克．史密斯,行路出版  ,9789869634885.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470118217/2014470118217b.jpg,"

亞馬遜網路書店暢銷經典，航空從業人員與空中旅人必備書籍。關於飛機、航空及與搭機旅行，你想知道的一切，都在這一本！——中華民航飛行員協會審定——如今我們可說已經能自由飛行了——除了航空技術已十分發達、飛航的安全紀錄十分卓越，而且飛機票價便宜得驚人。然而現代人雖然習慣搭機前往各處旅遊，卻對飛抵目的地前的空中航程，乃至於提供服務的航空公司，充滿了疑慮與不信任。商業航空向來是不良資訊的溫床，充斥著各種無根據的說法、謬論以及陰謀論，就連知識和經驗俱佳的飛行員，也未必全完通曉內情。本書作者派翠克．史密斯為線上雜誌《沙龍》著名的「請教機師」（Ask the Pilot）空中旅行系列撰稿十餘年，上過數百個廣播與電視節目，回答了無數來自各領域的人對於航空業與空中旅行的疑問。這本書除了整理了大眾最想了解的事情，經驗老道且博學的作者還漫談了航空業歷史上的重要事件、內情與影響，並以專業機師身份提供見解，廣獲好評。▍如果你是空中旅人，很可能疑懼過這些事情——・起飛後沒多久我們就因「尾流擾動」而被猛力甩來甩去。那是什麼？有多危險？・要是飛機上的引擎全部失效，飛機能不能滑行降落？・我們曾盤旋一個小時才著陸。飛機都儲存多少燃油來應付這種情況？航空公司會不會為了省錢而偷吃步？・飛機被鳥撞上有多危險？冰雪會對飛機造成多大危害？・搭到比較舊的型號需要擔心嗎？・常聽說機艙的空氣不僅骯髒，而且充滿細菌。真的嗎？・聽說駕駛會降低空氣中的氧氣含量，好讓乘客規矩聽話？！・飛行途中，要是有誰想打開某扇門，他們辦得到嗎？別傻了……・聽說寵物都放在機艙底部沒有暖氣、沒有加壓的地方……・共用班號是啥？乘客要特別注意什麼嗎？・有些航線明明很短，為何航空公司動用大型客機？・飛行途中與其他飛機「空中接近」很危險吧？・過去免費，如今航空公司開始收費的項目有哪些？▍如果你有志投身商業航空，或許想知道這些事——・機長、副機長、機師、副機師的差別在哪裡？・如何才能成為航空公司機師呢？・要通過哪些考驗與試煉，才能達到航空公司的條件？・由誰來評鑑機師，予以加薪或升遷？評鑑依據是什麼？・以前大家都說機師薪水非常高，現在還是這樣嗎？・航空業內部文化會不會讓女機師較難生存？・業內人員可以享有什麼樣的旅遊福利？・聽說商務客機基本上已可全自動駕駛，真的嗎？機師是不是快要失業了？▍倘若你對航空史上知名事件深感好奇，這本書有——・空中犯罪活動鼎盛期的幾起事件。・史上最悲慘的十起空難。・史上最慘烈空難：特內里費島空難的恐怖與荒謬。・九一一恐怖攻擊當日作者的遭遇。・九一一事件後，飛航法規與機場規定有什麼變化？哪些合理？哪些荒謬？▍要是你好奇一些飛航方面的科學——・機翼尾端翹起的小翅膀作用是什麼？・波音飛機跟空中巴士的品質有差嗎？・噴射發動機到底是怎麼運作的？・頻繁飛行跟環境保護，這兩者能否兼顧？ ・飛機輪胎一定承受很大的壓力。爆胎是不是很常見呢？・手機與可攜式電子設備真的會威脅飛航安全嗎？▍你可能還對以下事情有興趣。本書作者超會聊——・假如搭飛機真的很安全，航空公司怎麼不公告周知呢？・天空變得這麼擁擠，飛機相撞的危機有多大？還有，地面相撞意外呢？・幾乎每一樁著名墜機事故都有幾個陰謀論，挑幾則出來澄清流傳已久的疑點吧。・全球各家航空公司的商標演變與塗裝風格。・美國國內航空公司的服務標準，對比全球信譽頂尖的航空公司服務內容。・航空業的競爭這麼激烈，有沒有給消費者帶來什麼好處呢？▍連《蘋果橘子經濟學》作者之一杜柏納都「希望能把作者摺起來放入行李箱」，更多精彩內容可參見目錄引文的提示。
                    
"
想知道的100個飛機問題,https://www.kingstone.com.tw//basic/2015570077855?zone=book&lid=book_class3_eij&actid=book_class3_eij,秋本俊二,晨星      ,9789864432325.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015570077855/2015570077855b.jpg,"


你一定好奇過的100個飛機問題大解答！


 初次搭乘飛機時，是否多少都有點不安呢？
 「它是怎麼能飛上天？」
 「它是怎麼轉彎的？」
 「要是遇到雷擊怎麼辦？」
 本書特別精選了100個你一定有過的飛機問題。
 當您理解了答案，必能更加享受飛行的樂趣！

 作者著有《波音787完整解說》、《空中巴士A380完整解說》、《飛機如何飛上天》。
 身為資深航空記者的他，將以豐富而生動的內容，為讀者一一解惑。
 無論你是飛機愛好者，還是喜好搭機的旅客，都絕對不能錯過本書！

本書特色

 1.﹝專業解說﹞資深航空記者以親身經驗詳細解說！
 2.﹝彩色印刷﹞讓精美的飛機照片映入眼簾！
 3.﹝圖解說明﹞對開版面，一頁文字搭配一頁插圖解說，清楚又易懂！

"
客機大百科,https://www.kingstone.com.tw//basic/2014470110501?zone=book&lid=book_class3_eij&actid=book_class3_eij,Ikaros Publication CO.- LTD.,人人      ,9789865903794.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470110501/2014470110501b.jpg,"

在人類歷史中，航空器的出現，完美地達成人們長程快速移動的夢想，周遊全球各地已經是尋常的旅遊樣態。這些能搭載旅客、貨物長途飛行的飛機，本身即是尖端航太科技的具體成果。以現今最受人囑目的空中巴士A380客機為例，舒適寬敞的機艙最多能搭載800名旅客，在13000公尺的高度，以每小時945公里的速度飛行15,700公里到達目的地。然而這些性能表現只是現代航空科技的一小部分，更令人讚嘆的是支撐安全航行的陸基及星基助導航設施，構築成複雜但安全的空中航行網路。總之，以本書《旅客機大百科》作為航空知識入門書是絕對不會令你入寶山而空手回的。深入淺出的全面性民用航空科技介紹是本書最大的特色，尤其是配上大量的圖片及說明，各型客機的特色展現無遺。饒富趣味的各項機內設施介紹，絕對可以滿足各位讀者的求知慾，書內特別針對諸如A380、787等最新型客機做出第一手的解說，加上許多搭機旅客看不到的機內細部介紹，也是坊間類似書籍所無法比擬的。相信在看過本書之後，將為各位旅途中搭乘航空公司班機的過程增添更多樂趣。
                    
"
柴油引擎修護,https://www.kingstone.com.tw//basic/2014470107648?zone=book&lid=book_class3_eij&actid=book_class3_eij,林永憲,國家      ,9789573613305.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014470107648/2014470107648b.jpg,"

柴油引擎在運轉效率與穩定度等方面，較汽油引擎具有更好的性能，因此自問世以來，即頗受重工業之青睞。本書由「迪塞爾」（Diesel）的定義談起，詳細介紹柴油引擎的優點、原理以及相關應用，並搭配相關組件剖面圖，讓您按圖索驥、參照比附，徹底瞭解柴油引擎的架構、修護及故障排除方法。除了可作為技職院校汽車修護科之教材外，亦適合相關從業人員自修、參考之用。
                    
"
