書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
好研究如何設計：用量化邏輯作質化研究,https://www.kingstone.com.tw//basic/2015010010411?zone=book&lid=book_class3_hab&actid=book_class3_hab,群學,群學      ,9789866525636.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010010411/2015010010411b.jpg,"


超越量化與質化之爭
尋找「好研究」的共同原理
近二十年來最重要的社會科學方法論經典 
哈佛三大重量級學者思辨結晶

◎哈佛、哥倫比亞、華盛頓、普林斯頓等大學「方法論課程」指定教材

	在社會科學中，普遍存在兩種截然不同甚至對立的方法論典範：量化研究和質化研究。儘管壁壘分明，但社會科學家一直希望為兩者尋找共通準則。這種嘗試從來沒有間斷，本書是諸多嘗試中，最具影響力的一部作品。

	這本由哈佛大學三大學者合著的經典，反駁了質化學者對於量化研究的種種偏見，對質化研究諸多「不科學」之處提出犀利批評，並期盼質化學者運用量化分析的嚴整邏輯，讓研究變得「更科學」。

	這種觀點在社會科學界引起極大震撼，激起方法論的大論戰，自出版二十多年來與之論辯的文章與專書不斷，至今對於捍衛質化方法的研究者來說，依然構成重大挑戰。

	「好研究」的共同特色
	◎ 選擇對現實世界重要的問題來研究
	◎ 選用可證偽的理論
	◎ 有根據地選擇個案：避免只選擇符合理論假設的個案
	◎ 以描述推論與解釋為目的
	◎ 公開研究過程：研究者會清楚報告他們收集和分析資料的方法
	◎ 報告不確定性：社會科學處理的是高度複雜的社會現象，研究者的推論出自於不完整的資料與測量，很難完美無缺，因此必須報告結論的不確定性有多少

本書特色

	涵蓋研究設計的每個步驟
	從提出問題、尋找理論、選取個案和觀測值、檢驗理論與資料的正確性、發現因果關係、最後到報告結論，涉及方法論所有面向

	詳細討論方法論的重要概念
	包括描述推論、因果推論、可觀察意涵、單位同質性、選擇性偏誤、平均因果效應、測量誤差、內生性

	清楚的實例說明，拆解經典著作的研究設計
	包括《使民主運轉起來》（Robert Putnam）、《抵制保護主義》（Helen Milner）、Stalinist Political Economy（Nina Halpern）、The State and Poverty in India（Atul Kohli）、Hegemony and Culture（David Laitin）

	理論與實際操作兼具
	本書處於抽象的哲學爭論與研究者實作技術之間的中間地帶，關注所有社會科學研究背後潛藏的基本邏輯。

	適用領域
	政治學、公共行政、社會學、人類學、歷史學、經濟學和心理學等其他學科，以及法律證據、教育研究和臨床論證等非學科型研究領域。

	適用課程
	質化研究、研究方法、社會科學方法論、研究設計、比較研究、國際關係研究、因果推論

"
質性資料分析：如何透視質性資料,https://www.kingstone.com.tw//basic/2015010006926?zone=book&lid=book_class3_hab&actid=book_class3_hab,王國川,五南      ,9789571139906.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010006926/2015010006926b.jpg,"

本書的目的在傳授議題內容分析的技巧。議題內容分析是一種質性資料分析的技巧，可以協助讀者學習如何感受議題、發展編碼、設計抽樣、建立信效度、資料分析，以及意義闡釋等。本書共分八章，第一章介紹議題內容分析以及如何感受議題，第二章描述發展編碼的步驟及其方式，第三章討論抽樣設計的相關議題，第四、第五章提供議題內容分析的實作範例，第六章介紹計分、計量及分群，第七章討論判斷的一致性，最後第八章提出研究者個人及專業上可能面對的困難及挑戰。這本書是從事社會及行為科學不可或缺的重要參考書籍，特別是心理學、社會心理學、社會學、文化人類學、管理、組織行為、社會工作、護理、牙醫、醫學、法律，以及教育等。
                    
"
質性研究：從開始到完成,https://www.kingstone.com.tw//basic/2015010009712?zone=book&lid=book_class3_hab&actid=book_class3_hab,Robert K. Yin，PhD 勞勃．殷,五南      ,9789571176116.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010009712/2015010009712b.jpg,"


 這本生動靈活運用做中學模式的實用參考書，給質性研究的全方位實際操作，帶來前所未見的清新氣象。橫跨廣泛學門的經典名著與當代最新作品，靈巧平衡方法論基礎原理與實施步驟，幫助讀者飽覽各種質性研究取徑與研究主題的寬廣視野。讀者可以根據自己研究背景、領域、興趣，有效率參考選用最貼近實際需求的研究啟動、文獻探討、研究設計、資料蒐集、分析（包含詮釋與結論的多種實作和寫作模式）、報告撰寫等階段的實作指南。質性研究的勝任能力、技藝、訣竅，還有田野研究的選項、質性資料分析的五段式循環（包括使用或不使用電腦軟體的分析模式與步驟），研究庫的編纂（配合各主題的大量專欄已發表的研究作品範例，提供各階段實際問題參考解決或仿傚之用），乃至於如何融入研究者的「宣稱自我」和「反思自我」。

"
質性研究：設計與施作指南,https://www.kingstone.com.tw//basic/2015000008282?zone=book&lid=book_class3_hab&actid=book_class3_hab,Sharan B. Merriam,五南      ,9789571161860.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015000008282/2015000008282b.jpg,"

　　本書為一本實用的質性研究指南，作者以簡單明瞭的方式引導讀者操作質性研究，協助應用領域的實踐者和研究生進行研究。除了介紹常見的質性研究類型，輔以相關實踐領域的案例，也詳細地探討質性資料之處理、分析與報告撰寫的細節和步驟。
                    
"
統計數字：是事實，還是謊言？,https://www.kingstone.com.tw//basic/2015400054995?zone=book&lid=book_class3_hab&actid=book_class3_hab,喬．貝斯特,商周出版  ,9789866662096.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015400054995/2015400054995b.jpg,"

數字確實會說話，但它更會說謊。當數字說謊時，你分辨得出來嗎？ 死於槍口下的兒童數目每年以倍數的速度增加？厭食症每年奪走十五萬名年輕女性的生命？白種男性只佔新勞動力的六分之一？令人怵目驚心的統計數字形塑我們對社會議題的思考。但這些數字多半是錯的。本書教你如何看出有問題的統計數字，並以批判的方式來思考它們。對於任何看或讀新聞的人，以及任何仰賴統計數字來理解社會問題的人，還有大學學生，這本書都不可不讀。 貝斯特從各種在媒體上備受關注的社會議題切入，包括墮胎、網路色情、遊民、百萬人遊行、青少年自殺等，藉由來自《紐約時報》、《華盛頓郵報》及其他主要媒體的例子，他為我們揭開了統計數字的使用、誤用與濫用的祕辛。 貝斯特鉅細靡遺地向我們解釋了壞統計數字出現、散播並形塑政策辯論的原因與方式，也告訴我們看穿壞統計數字、批判思考「統計戰爭」的具體方法。你並不需要高深的數學知識才能讀懂這本書，因為裡面談的，全都是最基本、最易懂的統計，例如百分比、平均值、比例。 這本平易近人的書告訴我們，除了天真地全盤接受統計數字或犬儒地認為它們毫無意義外，我們還有另一種選擇：面對著在社會科學以及我們飽受媒體轟炸的生活裡氾濫的統計數字，我們可以當個聰明、批判、具權的閱聽者。 

"
圖解文化研究（更新版）,https://www.kingstone.com.tw//basic/2015410269792?zone=book&lid=book_class3_hab&actid=book_class3_hab,陳瀅巧,易博士    ,9789864800445.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410269792/2015410269792b.jpg,"


	文化研究是在做什麼呢？
	簡單來說，文化就是潛藏在我們日常生活中被我們習以為常的小事情，例如拿筷子吃飯等，而文化研究就是將文化視為社會的症狀或徵兆，對其提出質疑，發掘現象，並注意現象背後的成因、影響以至權力關係和操作等問題，還原文化社會的真實面目並加以反省的一門學科。
	本書以簡明清晰的概念、深入淺出的圖解，將這門匯聚了新興觀點的學科有系統而完整地介紹給讀者：從主要研究議題，諸如意識型態、知識與權力的關係、媒體研究，到文化研究理論如何詮釋社會文化現象等，涵蓋了馬克思主義、精神分析學派、結構與後結構主義、女性主義與酷兒論述、後殖民主義，直至當代多位思想巨擘間的辯論，和讀者一同領略文化研究「異言堂」中種種極具批判威力的論述，更加了解我們所處的世界。

"
質性研究：設計與施作指南,https://www.kingstone.com.tw//basic/2015010011883?zone=book&lid=book_class3_hab&actid=book_class3_hab,Sharan B.,五南      ,9789571195308.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010011883/2015010011883b.jpg,"


	全新修訂的質性研究（英文第四版）一書，提供研究者、教師及學生清楚理解、設計、開展與發表的質性研究工作步驟。本書內容充滿務實的建議與可行的方向，以建立扎實的質性研究理論與應用的基礎；設計與應用有效的質性研究；順利地溝通研究發現與清楚的發表；以及發現與掌握資料來源、資料分析工具及不同的研究型態。

	本書沒有純粹以專業術語來撰寫，因此對於進行質性研究的新手或是經驗老到的研究人員都具有參考價值，作者同時提供論文或申請專案計畫的範例參考。

"
多層次模型（HLM）及重複測量：使用STaTa,https://www.kingstone.com.tw//basic/2015120010103?zone=book&lid=book_class3_hab&actid=book_class3_hab,張紹勳,五南      ,9789571195063.0,https://cdn.kingstone.com.tw/book/images/product/20151/2015120010103/2015120010103b.jpg,"


	•全方位解析多層次模型（HLM），彌補單層次迴歸的不足，讓您能抽絲剝繭地學習。
	•本書提供多層次模型範例資料檔、統計程式操作方式，並強調統計軟體報表解釋，使讀者更加瞭解其中奧妙。
	•深度理解功能龐大的STaTa系統，其便利性遠超過R、MLWin、Mplus、SPSS、SAS等軟體。
	•本書適合用於社會科學、生物醫學、財經研究等實用工具書，並能廣泛應用到管理、教育、人管、醫藥健康等領域。
	•隨書附贈資料檔光碟。

	STaTa是地表最強統計軟體，適合學生、學者與實務人員！

	科學是一門累積而成的學問，統計又是科學的實證基礎，當今科技電腦的統計計算能力日新月異，純粹概念性的理論過於靜態，解釋實際問題以及應用能力有限。多層次模型(HLM)進而興起，成為當代組織與管理領域的重要研究典範之一！STaTa這套功能龐大的統計軟體也因而產生，本書提供範例資料庫與統計程式操作方式，有助於瞭解多層次迴歸分析主要模型的操作程序，內文結合「理論、方法、統計」，讓您能更有深度的理解什麼是多層次模型以及STaTa。

"
多層次模式與縱貫資料分析：Mplus 8 解析應用,https://www.kingstone.com.tw//basic/2015010011593?zone=book&lid=book_class3_hab&actid=book_class3_hab,邱皓政,五南      ,9789571193045.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010011593/2015010011593b.jpg,"


	人類社會的各類組織由個體組成，隨著時間遞延而產生各種行動，因此社會科學研究無法逃脫「空間」與「時間」兩個基本元素。本書基於此一體認，利用多層次模式（MLM）來處理社會科學研究當中的空間與時間嵌套結構，並進一步導入結構方程模式（SEM）來分析多層次與縱貫資料，不僅兼顧兩大社會科學新興典範，也首度採用Mplus 8來進行範例分析，使讀者不僅能懂能做，擁有躋身國際學術舞臺的量化工具。

	本書作者長年投入量化方法專書寫作，擅長範例分析，筆風平實易懂，體例結構分明，導入高階觀念時循序漸進，講求實作經驗與實例基礎。全書分成五篇十五章，第一篇導論，第二篇從迴歸到多層次模式，第三篇縱貫性多層次模式，第四篇縱貫性結構方程模式，第五篇中介與調節，完整涵蓋以迴歸為基礎的高階方法技術，各章皆有Mplus範例解析，附錄提供完整Mplus 8介紹，是入門高階統計模式的必備用書。

"
統計學：基於R的應用,https://www.kingstone.com.tw//basic/2015120009084?zone=book&lid=book_class3_hab&actid=book_class3_hab,賈俊平,五南      ,9789571187969.0,https://cdn.kingstone.com.tw/book/images/product/20151/2015120009084/2015120009084b.jpg,"


	統計學是一門資料分析的學科，被廣泛應用於生產、生活和科學研究的各個領域。在電腦和網際網路普及的今天，統計軟體的使用，不僅促進了統計科學的發展，也使統計學習發生了革命性的變化。當我們把計算交給電腦「秒殺」的時候，就能有更多的時間去理解統計方法的原理，就會發現統計學習和應用並不困難。

	R語言是一款統計計算語言，它有許多優點，包括：
	1.比起大多數的統計軟體，R是免費的。
	2.更新速度快，包含很多最新方法，使用上更靈活。
	3.提供豐富的資料分析技術，功能十分強大。
	4.多樣化的繪圖功能，有助於對資料進行視覺化分析。

	由於R的強大功能及使用上的靈活性，在實際工作及科學研究上，已逐漸成為資料分析的主流。

本書特色

	•注重統計思維和方法應用。
	強調對統計思維的理解和方法應用，並以實際案例引出學習內容及目標。

	•使用R完成計算和分析。
	本書所有例題皆以R完成計算及分析，以便讀者瞭解R語言的功能和特點。

	•注重統計方法之間的邏輯。
	以圖解方式展示各章內容，方便讀者清楚掌握統計方法間的融會貫通。

"
