書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
家事法庭裡的春天,https://www.kingstone.com.tw//basic/2015840117212?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,彭南元,啟示      ,9789860639070.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840117212/2015840117212b.jpg,"


	本書為彭南元法官引領、協同調解委員、諮商心理師，彙整在家事法庭服務多年的指標案例，主要目的在於彰顯法院的助人角色與功能，以專業協助當事人看到關係裡的困境與需要，進而提升正向思惟與解決紛爭的能力，從而回歸正常生活，迎向人生的春天。

	同時，藉由本書作者群在家事法庭的各種努力與分享，期能拋磚引玉，讓家事法庭的審理理念與方式能多元化，並更切合等待法律救濟的國民與家庭。

	這本書敘述了二十五個在家事法庭的訟爭案例。第一部以離婚議題為主，第二部則探討親權改訂、家暴、財產繼承等議題。每個案例主要包含四個部分：

第一部分「案情概述」：由負責該案的調解委員撰述，詳細介紹案情緣由、衝突原因，以及背後的家庭動力；

第二部分「專業觀點和策略」：調解委員針對該案的核心議題，詳述調解或諮詢觀點與策略；

第三部分「心理諮詢觀點」：由諮商心理師鍾瑞麗撰述，分析當事人的情緒、心理與行為上的盲點和謬誤，提供具體而有效的建議，同時傳授寶貴的心理素養；

第四部分「法官觀點」：由承審法官彭南元撰述，依據法律見解和化解家事紛爭的理念與模式，陳述辦案理念、審理經過和成效分享。
	法院保障國民能依法救濟的權利；然而，法院若僅以法律觀點論斷事件，而不進一步提供化解紛爭的方法和資源，不僅無法根本解決家庭紛爭，反會引發許多意想不到的後遺症。諸如：
	──夫妻經法院裁判離婚後，未成年子女無法與不同住的父母維持正常的親子關係；
	──被害人雖經法院核發保護令，然人身安全不僅未獲得保障，反而被加害人傷害；
	──年老的父母雖經法院裁判監護人，卻因此失去其他子女孝養的機會；

	本書希望拋磚引玉，呈現每個案例中的當事人，如何面對困難、奮力掙扎，以及在法官與調解委員的協助下，突破重圍、找到解決方法，進而能與家人和解或達成協議。深切期望家事法庭的工作者、當事人，有更寬廣的視野和解決問題的能力來面對家庭紛爭。

	本書最重要的期許與祝福：讓紛爭的家庭得以安樂，每位家庭成員都有能力追求幸福的人生，讓生活更有價值與意義。

"
What The法：法律誰說了算？若你是法官，你會怎麼判？,https://www.kingstone.com.tw//basic/2015800125783?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,公共電視、法律白話文運動,時報文化  ,9789571385297.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800125783/2015800125783b.jpg,"


你曾覺得法官做出的判決，總是違背民意嗎？

你是否納悶，法律究竟是保障好人還是壞人？

	 

★小混混搶劫又性騷擾我女友，正當防衛殺死人，難道不行嗎？

	情侶在山上看夜景遇到流氓行搶，行搶同時又心懷不軌又伸出鹹豬手騷擾，男友為了要保護女友，向前阻擋，成功壓制小混混。以為危機解除的他，卻一不小心「掐死」了小混混。法官竟然判男生「過失致死」，這還有天理嗎？

	 

★兇手一定就是他啊，為什麼還要無罪推定？

	明明所有線索都超明顯，不用柯南也不用毛利小五郎，燒腦劇看多一點就可以輕鬆指認出兇手的案件，最後法官卻說「證據不足」，根據「無罪推定」原則，一定判定嫌犯「無罪」！？

	 

★學生請假補考的分數被打七折，學生不服向學校提告像話嗎？

	學生段考當天因媽媽車禍住院，向學校請假再擇日補考。學校依校規規定，補考的分數要打七折，學生不服竟向學校提告，還想申請大法官解釋，這樣像話嗎？這樣以後老師要怎麼教小孩？

	 

★WHAT THE法？法律到底是誰說了算？(°ロ°) !

	由最敢討論社會議題的公共電視「青春發言人」與法學界青年組成的專業法普媒體社群──「法律白話文運動」，帶領大家從爭議的議題思考法律問題，並從法律概念反思議題，讓你在這個媒體與資訊爆炸的時代，培養出獨立思考的能力！
	 

獲獎紀錄

	 

公共電視「青春發言人」獲獎紀錄｜

	◆2020 Input Film Festival-多平台類獎

	◆德國慕尼黑兒少影展(2020 Prix Jeunesse International) -11-15 Years Non-Fiction

	◆107年度國人自製兒童暨少年優質電視節目推薦年度特別獎-兒少發聲獎

	◆107年度下半年適齡兒童電視節目標章評選-13歲以上

	◆107年度國人自製兒童暨少年優質電視節目推薦-五顆星推薦 入選

	 

法律白話文運動獲獎紀錄｜

	◆《法客電台》榮獲2020卓越新聞獎‧廣播及新聞（音頻）Podcast新聞節目類
	 

"
靈魂不歸法律管︰給現代公民的第一堂法律思辨課,https://www.kingstone.com.tw//basic/2015800107413?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,黃榮堅,商周出版  ,9789864772902.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800107413/2015800107413b.jpg,"


 法律對人在內心究竟選擇自己要做天使或做魔鬼，天生無能為力。
 靈魂可能背叛法律，也可能超越法律，
 在一樣的法律概念底下，
 是人心中的善念或惡念決定了法律意義的質與量。
 ——黃榮堅


 當法律淪為以口說形式取代心靈的真實感覺和冷靜的思考，
 當公平正義的概念變成擴大對立的口號，
 不懂得思考，別說你知道法律是什麼
 全民共讀法律、建構獨立思維的必備書

 「法律系最讓人景仰的人格」「不上他的課會後悔一輩子」
 開課三十年屹立不搖　人氣爆棚　學生零負評感動推薦
 臺大法律系教授黃榮堅　暢談獨到的法學人生經驗
 ----------------------------------------------------------------------------------------------------
 今日社會裡的每個人或多或少都是一個法律人，一個好的法律人要知道人的一百種不一樣的快樂跟一百種不一樣的痛苦，這些快樂與痛苦就是法律學理上每一個原則背後的故事。
 黃榮堅教授以數十年的研究經驗，敘述法律規範與自由之心的關係。書中先從法律觀點說明法律的基本作用、法律的理想與現實，以及認識法律的方法。接著跳脫法律說法，從帶著理想色彩的整體生命意會說出對法律及其現實文化的思想與疑慮，並呈現法律在人一旦失去靈魂時可能陷入的困境。最後則提出，只有透過一顆具存在意義、能夠自由思考的人心，法律才可能呈現宜人風貌。
 本書讓法律人重新認識自我的原始圖像，也讓非法律人探索規範世界的意義，除鋪陳作者幾十年來看待法律的心情轉折，亦帶有一種「遠離法律看法律」的意思。

 -------------------------------------------------------------------------------------
 ◎好的法學教師，讓人學會解題；優秀的法學教授，讓人渴望創造改變；頂級的法學者，讓人換一種角度看世界。黃榮堅教授，正是難得的頂級法學者之一。而這樣的法學者，願意寫一本通俗讀物，將是台灣公共討論深化的契機。我至今記得，初學法律時，在台大舊法學院圖書部翻閱《刑罰的極限》一書序文，內心的感動與震撼。我相信本書不僅適合所有非法律人閱讀，更值得內心有所迷惘的法律人細細品味。
 ──苗博雅，《阿苗帶風向》主持人
 ◎本書談的是法律、法哲學等嚴肅命題，但為文如行雲流水，予人自然開朗，洗鍊通達的感覺。文中涉及較抽象的法律概念時，亦每能舉重若輕，就近取譬，不經意間穿插自己有趣的人生小體驗，或各國古今文哲著作小故事，讓人在莞爾中豁然開朗。
 ──高瑞錚，福田法律事務所負責人、福田文教基金會董事長
 ◎不需要懂法律也看得懂的好書！
 ──徐自強，司改會工作人員，徐自強案當事人
 ◎大師出手的經典法普著作。作者以其敏銳觀察力與深邃的人文法律素養，用素樸卻富魔力的語言，配上令人或揪心或莞爾的案例，深入淺出，刺激你進行一次次的正義的思辨，認識「人生有多難，法律就有多難」的法律世界。
 ──許宗力，國立臺灣大學法律系兼任教授
 ◎這本書讀完之後，我一直問自己：如果我在開始當法官之前就讀過它，如果我早一點讀過它，這一條法官的路我會不會走得比較不坎坷一點？我會不會有更多的勇氣、更堅定的念頭去面對過往圈內的光怪陸離？我會不會早一點開始進行實務圈不鼓勵的獨立思考？我能不能早一些擺脫年輕的銳氣和氣盛？會不會讓我冤枉被告的可能性低一點？
 ──陳欽賢，台南地方法院法官
 ◎艱深法律知識透過作者堅實學術素養轉譯為公眾可以理解的啟發性內容，是值得最高度推薦的法律知識普及性專書。
 ──陳東升，台灣大學社會學系教授
 ◎這本書好像是在談法律，其實是在說人生。
 ──張娟芬，作家
 ◎從人民的生活常識出發，帶領讀者進入法律與正義的思辨殿堂。
 ──黃國昌，立法委員

"
律政浮雲：台華裔美籍大律師跨國鉅案祕辛,https://www.kingstone.com.tw//basic/2015800125653?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,陶龍生,聯合文學  ,9789863233695.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800125653/2015800125653b.jpg,"


真人真事，第一手法庭實錄

看資深律師如何打贏跨國訴訟

	 

	一宗飛機爆炸案讓兩百多人慘死，案情撲朔迷離，調查費時十多年，意外發現這起事件牽動國家元首的政治利益，律師如何為受害家屬討回公道？

	 

	美國長年的種族衝突到近期的BLM(Black Lives Matter)運動，法律又肩負了什麼社會責任？

	 

	複雜的高科技訴訟案件，怎樣在美國法院中取勝？

	 

	國際賭場走在違法邊緣，如何為台美兩方解疑？

	 

	年輕時的陶龍生就讀哈佛大學法學院，身為少數華裔學生的他，何以能得到美籍教授的讚賞，成為國際知名大律師？

	 

	陶龍生的父親陶希聖，是蔣介石的文膽，這是否影響了他看待法政問題？

	 

	本書以作者的法律專業背景，從多年執業經驗及對美國社會和法治的觀察中發掘故事。描繪事件的前因後果、訴訟策略和法庭審判的起伏過程。

"
破天荒的國際宗教人權影子報告：台灣如何落實聯合國宗教人權保障,https://www.kingstone.com.tw//basic/2012010000879?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,釋淨耀、李永然,永然文化  ,9789574854905.0,https://cdn.kingstone.com.tw/book/images/product/20120/2012010000879/2012010000879b.jpg,"


	因司法院大法官會議釋字第573號解釋，宣告《監督寺廟條例》第8條、第2條第1項違憲，導致宗教團體管理缺乏法制化，而宗教相關法規也遲遲未能訂定，政府與宗教團體一直未能取得共識。政府依《公民與政治權利國際公約及經濟社會文化權利公約》第6條提出第三次「國家人權報告」，宗教團體及民間團體也分別對此提出「平行報告」（或稱：影子報告），提出建言，為宗教法制化及落實兩公約的宗教人權而努力。本書邀集宗教界人士、專家、律師、學者，共同探討此樁國內宗教人權發展之大事，與讀者一起見證我國宗教人權發展的這段歷史！

"
法律人的第一本書,https://www.kingstone.com.tw//basic/2015820049120?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,楊智傑、錢世傑,五南      ,9789571179841.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015820049120/2015820049120b.jpg,"


大家都該念點法律

法律本來就不難懂

	 

	只是那些法律系教授虛張聲勢

	把法律搞的高深莫測

	用詰屈聱牙的法律用語讓非法律人望之生畏

	 

	法律系學生對法律的定位、功能有錯誤認知

	誤以為法律至高無上

	也誤以為法律學只是甲說乙說

	 

	當你踏入法律的門階時

	永遠別忘了你當初所抱持的理想與堅持

	永遠不要以為年紀輕輕考上國家考試後

	自己就是「萬獸之王」，而無人能比

	 

記得當你擁有愈多的權力時

你的肩膀就必須承擔更多的責任

"
明日世界的律師（暢銷增訂版）,https://www.kingstone.com.tw//basic/2015860061540?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,理查．薩斯金,商周出版  ,9786267012062.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015860061540/2015860061540b.jpg,"


這本書是寫給有企圖心的年輕法律人
以及有志於新型態的法律業務及法律事務所的律師
明日世界的律師，主要戰場不在法庭，在市場！
	 -----------------------------------------------------------------------------------------------------
	當法律人思考著未來時，不論他們想的是法律事務所抑或法學院，都應該為將來可能出現而非曾經如何的法律市場，做好準備。

	所有法律人都不得不承認，法律的世界正邁入轉型期。「錢少事多」的挑戰、市場自由化、資訊科技的進展衝擊著既有的法律服務。本書自2013初版以來，即引領法律市場的話題，在最新版本中，作者重新檢視整體環境，包括各種大趨勢與可能結果，針對法律市場的重要改變「線上法院與線上爭端解決」做更深入的剖析，同時鼓勵開放性的思辨，以期改善法律體制。
	未來的法律世界將與過去大相逕庭。法律機構與律師正面臨關鍵抉擇，而且在可見幾十年內的改變，將比過去兩百年所經歷的變動還要劇烈。對於法律市場，大家都有著深切的憂慮，諸如擔心公共法律基金的刪減，可能會降低「司法接近權」（access to justice）；法學院提供的學生名額似乎大於法律市場的工作機會；以及不符成本的法庭訴訟。
	對於這些憂慮以及其他許多缺失，本書提出了不一樣的補救之道。舉例而言：大多數的律師都支持微幅刪減法律扶助金，作者理查‧薩斯金則認為我們應該開發與推動法律指引的替代方式，尤其是透過網路提供法律服務；當評論家批評法學院過度招生，薩斯金看到的是一整套令人興奮的新工作正等待著未來的律師，只要法律學子與年輕律師能夠做好準備；當法官與訴訟律師努力在控制訴訟成本，薩斯金強調引進虛擬審訊以及網上爭端解決的機制。
	透過本書，我們將看到提供法律服務的全新方式。英國權威律師理查‧薩斯金，首先將說明法律產業為什麼會改變，以及如何改變；接著描繪未來的法律市場樣貌；最後特別針對新進的法律人，提出不同的訓練方式，以及潛在的工作機會。
	 

	◎薩斯金以可信、具啟發性且認真的方式預測法律事業的未來，沒人比他更有資格寫出當前和未來法律執業持續的科技和經濟變革。
	――廖柏嘉勳爵Lord Neuberger，英國最高法院院長
	◎對於需要樂觀、希望和洞見的一群年輕人， 薩斯金提供了扼要可讀且激勵人心的指引，讓年輕律師知道如何思考自己的未來。
	――大衛‧威金斯David Wilkins，哈佛法學院教授
	◎多年來，薩斯金德不斷挑戰律師界，要求我們重塑執業之途。現在，薩斯金在本書中，以最清晰的圖像，呈現他心中那個現在未及但將來可踐的未來。
	――休斯‧韋瑞爾Hugh Verrier，偉凱律師事務所主席White & Case
	◎這本精練的書對於不遠未來的法律服務提出令人信服的簡介，也為明日的律師提供有價值的資訊。
	――柯曼‧甘蒂Colman Candy，愛爾蘭時報Irish Times
	◎薩斯金是法律市場最好的分析師和預測者，如果你是法律事業的領導者或管理者，或者你只是很在乎自己的事業，那麼本書你必讀。
	――保羅‧里佩Paul Lippe, 美國律師公會雜誌ABA Journal
	◎這是每一位有意走入法律相關事業者的必讀之書。兼具洞察之力以及刺激與挑戰之思的薩斯金，顯然看到了驅動改變的不可抵擋之勢。
	――大衛．歐古德David Allgood，加拿大皇家銀行執行副總經理兼法務長
	◎薩斯金以洞察力獨具的方式，成功地清楚表達了迫近法律專業眼前的巨大改變。他替未來的律師掌握到挑戰與機會，並以我此生僅見最易讀有趣的方式闡述。所有對法律相關行業有興趣的人，都應將此書列為必讀之列。
	――奈維爾．艾森柏格Neville Eisenberg，英國博問律師事務所（Berwin Leighton Paisner LLP）執行合夥人

	 

"
CRISPR可能沒有極限，但必須有界線：從倫理、法律及社會角度看基因編輯嬰兒事件,https://www.kingstone.com.tw//basic/2011950008808?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,董威廷、范建得,元華文創  ,9789577112057.0,https://cdn.kingstone.com.tw/book/images/product/20119/2011950008808/2011950008808b.jpg,"


	CRISPR是迄今人類發現最有效、便利的DNA基因編輯技術，提升了人類對特定基因的掌握能力，然而，與此同時造成的後果亦隨之而生……。

	發生在2018年的基因編輯嬰兒事件，無非成為21世紀最具爭議性的生物醫學課題，當我們有能力去治療一項疾病時，在當今的生物倫理共識下，我們是否有義務去執行這項有可能改變全人類基因的實驗？在各國的法律制度下，我們是否有權利去操作個體的基因，又或者僅是形式的枷鎖，禁錮著每位不幸嬰兒的福祉？ 

本書特色

	以2018年基因編輯嬰兒事件為出發點，審視英美中三國基因編輯生物法律架構。
	包含新興基因編輯的簡介，以及對基因相關法律的比較法研究。

"
勞保實務教戰100%（2021最新版）,https://www.kingstone.com.tw//basic/2015560056891?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,鄭正一,永然文化  ,9789574854929.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015560056891/2015560056891b.jpg,"


	勞工保險條例、各項給付標準與請領手續複雜多端，常使得勞工在難以理解的情況下，無法獲得應有的保障，勞工保險的社會救濟功能從而大打折扣。本書作者教授勞工保險業務經驗豐富，以上課精闢的內容為基礎，將勞工保險法律規定分成六章，依序為：導論、勞工保險概論、勞工保險給付、職業災害勞工保護法、就業保險法，並蒐集大量實例深入解說，以淺顯文字配合完整的圖表、證明書、申請書、行政函釋，幫助讀者突破法條深奧的外殼，實地運用，爭取自身權益。

"
促進民間參與公共建設法釋論：高鐵BOT 案浴火重生紀實,https://www.kingstone.com.tw//basic/2014400151505?zone=book&lid=book_class3_hfa&actid=book_class3_hfa,陳建宇、林雪花,黎明文化  ,9789869919807.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014400151505/2014400151505b.jpg,"


	PPP（Public Private Partnerships）是一種公私部門合夥的治理模式，在西方先進國家行之有年，不乏成功案例。近年來，我們政府財政日益困窘，亟需引進民間資本投資，透過BOT、ROT、OT、PFI等「合夥關係」模式，提高各項基礎建設效率和水準。

	本書有三項重要的意義，一為完整、有系統的詳細介紹各項法律，例如《獎勵民間參與交通建設條例》及《促進民間參與公共建設法》等，使讀者能清楚瞭解法條之精髓；二為如前所述，台灣高鐵是台灣BOT案最重要的里程碑，本書鉅細靡遺詳敘台灣高鐵從規劃、招商、興建及營運的各個環節，是國內對於台灣高鐵之來龍去脈，最詳細剖析的文章之一，無論企業欲參與政府BOT工程標案或學者從事學術論文之引用，均為重要之參據；三為比較英法海峽隧道的財改，英國政府為持續推動PPP案，提出PFI（Private Finance Initiative）之民間參與方式，為使計畫財務可行，政府依計畫財務狀況給予適當財務協助。

	本書的問世可以協助政府官員以及民間業者，更有能力與信心來執行PPP專案。

"
