書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
民法債編各論（中）,https://www.kingstone.com.tw//basic/2015800122997?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,劉春堂,新學林    ,4717385757417.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800122997/2015800122997b.jpg,"

我國民法債編第二章「各種之債」，其所規範者，實質上係各種契約之債，可謂係抽象契約或法律行為之具體化，屬於契約法各論，本書即以此為論述對象。由於民法債編各種之債，不僅條文多，內容錯綜複雜，且為理論及適用之經緯，在在與吾人之實際生活有密切關聯。故本書在敘述上，除介紹一般理論外，主要在闡釋法條文義及基本概念，區別並比較各種契約之特性及適用範圍，說明其體系位置及法律效果，此外，亦引用較多之判例或解釋，以促進理論與實務的交流。
                    
"
民法債編各論（上）,https://www.kingstone.com.tw//basic/2015800113612?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,劉春堂,新學林    ,4717385757042.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800113612/2015800113612b.jpg,"

我國民法債編第二章「各種之債」，其所規範者，實質上係各種契約之債，可謂係抽象契約或法律行為之具體化，屬於契約法各論，本書即以此為論述對象。由於民法債編各種之債，不僅條文多，內容錯綜複雜，且為理論及適用之經緯，在在與吾人之實際生活有密切關聯。故本書在敘述上，除介紹一般理論外，主要在闡釋法條文義及基本概念，區別並比較各種契約之特性及適用範圍，說明其體系位置及法律效果，此外，亦引用較多之判例或解釋，以促進理論與實務的交流。
                    
"
民事證據法,https://www.kingstone.com.tw//basic/2015800126865?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,姜世明,新學林    ,9789865260378.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800126865/2015800126865b.jpg,"

本書係民事證據法之體系書，除深蘊學理之外，併具實用性。其內容包括舉證責任論、證據調查論及證據評價論，體系完整，架構清楚。書中除對舉證責任分配理論提出新體系圖之外，對規範理論及舉證責任減輕亦提出新的觀察。在證據調查論中，於基本原理、人證訊問學、鑑定及在外國之證據調查等均提出具建設性之說明。至於證據評價中對證明度與間接證明有深入之解說。書中看法，破舊立新，探幽索隱，應足供讀者理論研究及實務操作參考之用。
                    
"
住宅租賃法律彙編,https://www.kingstone.com.tw//basic/2015840115508?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,柯貴勝,大展      ,9789863463085.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840115508/2015840115508b.jpg,"

本書適用房地產、地政、土地管理、不動產經營之大專院校學生及從業人員使用，也可使一般房東、房客明確了解租賃雙方的權利義務，避免租屋糾紛。
                    
"
財富繼承實務詳解：人生最重要的理財課【增訂版】,https://www.kingstone.com.tw//basic/2015840113474?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,蘇家宏,夢想製造  ,9789868979765.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840113474/2015840113474b.jpg,"


	財富繼承實務詳解

	人生最重要的理財課【增訂版】

	每個人的生命長度幾乎是無法掌握的
	該如何開始？要如何處理？ 是理財課 也是智慧課

	超過30個疑問一一詳解
	財富繼承專家－蘇家宏律師，帶領恩典法律事務所律師團隊
	深入講解剖析，用案例說明，輕鬆易懂

	 

本書特色

	 

	 

	【概念】
	無論是父母與子女抑或丈夫與妻子之間
	如何處理自己的資產到預立遺囑是很難開口討論的話題
	而每個人的生命跡護士無法掌握的

	如何開始？有哪些方法？該怎麼做？

	如何與家人討論？可以不要繼承債務嗎？

	【實用】
	許多人可能因為看到電視上報導兄弟爭產
	或者是生活中有了變化，而動了財產重分配的念頭
	但因為話題敏感常常無法與親人或朋友討論而產生誤解
	本篇就實用的角度、一般人常見的迷思與疑惑
	並就實務上常見的案例，一一回覆

	 

	【族群】
	你是單身？結婚或者離婚？準備生小孩嗎？有長輩要扶養嗎？
	四大族群 （★單身★頂客★三明治★單親）

	不同生活型態，不同財產繼承分配
	舉例說名每一種族群的情況，以及繼承內容有何不同與需注意的地方

	【解惑】

	除了常見的誤解之外，特別整理實務上經常遇到的疑問
	例如：代位繼承、已分配並過戶的房子是否可以反悔、收養的子女可否繼承、遺產稅等問題
	以問答及案例方式輔助說明

"
民事訴訟法（上冊）（2版）,https://www.kingstone.com.tw//basic/2015800118822?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,陳啟垂,新學林    ,9789865407278.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800118822/2015800118822b.jpg,"


	本書乃作者長年以來從事民事訴訟法教學所累積的教材編輯而成，除大量引入德國民事訴訟法規定的原型之外，並配合我國特有的修法歷程與學說實務見解發展，於爭議點適時表達見解，能讓讀者掌握民事訴訟法的重要內容及其應有的原貌，具有高度實用價值。

	本書分為上冊及下冊，上冊共分六章，除第一章就民事訴訟制度為緒論外，第二章及第三章分別就法院（組織與管轄）及當事人為基礎介紹；第四章到六章則分別介紹民訴法的立法主義與訴訟行為、訴訟客體以及第一審程序。

	本書上冊除各章分類外，全書節次並予以連續，共計四十七節次，旨在體系式地介紹民事訴訟法的重要內容，讓讀者盡量理解其應有的原貌，掌握基礎理論，俾使我國民訴法制得以踏實地踐履革新。

"
包租代管法制與實務—租賃市場發展及管理條例釋義,https://www.kingstone.com.tw//basic/2015800117450?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,陳冠甫,新學林    ,9789862959886.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015800117450/2015800117450b.jpg,"

本書是國內第一本針對租賃專法加以論述的專業性書籍。作者藉由本書對租賃專法的導覽，針對租賃專法的法規立法歷程檢討後提出研究，釐清了租賃關係基本的問題，並深入地探討相關法律議題：諸如對租賃專法整體性評論、租賃住宅服務業的業務責任、租賃住宅契約定性、租賃服務業資訊提供義務、押租金返還以及房屋租金管制等等議題，皆有更全面及深入的探討。
                    
"
地上權開發策略與法律實務,https://www.kingstone.com.tw//basic/2015840100351?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,李永然,永然文化  ,9789574853762.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840100351/2015840100351b.jpg,"


	地價飆漲，國民所得與不動產價格的差距日益懸殊；不動產所有權的取得亦復困難重重，使「地上權」的開發案逐漸受到重視。近年來，政府積極促進民間參與公共 建設，以設定地上權方式釋出土地，一方面減輕政府財政負擔，另方面也為民間業者帶來商機；但由於社會大眾對地上權制度仍感陌生，在判斷是否投入地上權商品 的交易或投資時，常顯得猶豫不決。

	本書集結不動產全方位的法律、地政、稅務、估價專家，逐章解析「地上權」開發與實務運用上的箇中要領，冀望一掃投資商與消費者心中的疑慮！

"
親屬法：理論與實務(18版),https://www.kingstone.com.tw//basic/2015840109309?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,高鳳仙,五南      ,9789571192925.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840109309/2015840109309b.jpg,"


	本書係作者從事親屬法之學術研究、案件審判、學校教學、修法運動之成果。依親屬法之章節分章論述，依序為親屬法之意義與沿革、親屬、婚姻、父母子女、監護、扶養、家及親屬會議。

	全書理論與實務並重。除對親屬法之歷史修正均有詳實記載，掌握最新之立法趨勢及修法動向，且於相關章節析論親屬法之相關法規，例如民事訴訟法、家事事件法、非訟事件法、家庭暴力防治法、兒童及少年福利與權益保障法、人工生殖法、公務人員退休資遣撫卹法等，使親屬編及其相關法規之整體規範情形與具體案件之分別適用情況清晰易辨，方便讀者深入了解規範之精神與實際運用。

"
契約書之擬定與範例（2021最新版）,https://www.kingstone.com.tw//basic/2015840118264?zone=book&lid=book_class3_hfh&actid=book_class3_hfh,李永然,永然文化  ,9789574854950.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015840118264/2015840118264b.jpg,"


	民眾在買賣、互易、交互計算、贈與、租賃、和解、保證時，就等於有了契約行為，每一種契約都有其特點，有其法律規定，訂定時應注意的重點也不同，稍有不慎如同簽下賣身契，常造成莫大損失，況且經濟社會許多商業行為是在商家提供單向的定型化契約下完成，消費者的權益受到剝削常見，故具有相關的法律意識及擬訂一保障自我權益的契約，一般人都應具備的。

	本書對民眾日常生活中常用的契約書加以整理分類為：買賣、國際貿易、互易、租賃、借貸、贈與、借名與信託、委任、承攬、公寓大廈、合作、勞動、和解、保證、婚姻等契約書，共數十種契約範例及其法律重點，供民眾於實務運用時參考。

"
