書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
未燒書,https://www.kingstone.com.tw//basic/2016280101816?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,楊渡,聯經      ,9789570857849.0,https://cdn.kingstone.com.tw/book/images/product/20162/2016280101816/2016280101816b.jpg,"


「每個人的心中
	都有一本無法放下的
	未燒書」


	三十年前，一個台灣記者，一個見證者，站在六四現場；
	三十年後，詩人楊渡，一夜一夜，重回到天安門廣場，
	徘徊思索，尋找字句，試圖重現時代的餘燼……

	歷史需要時間。唯有歲月，能沉浸出歷史的醇酒。唯有歲月，能提煉出人性的深度。愈是寫到最後，我愈是明白，我所有的記錄，不是為了表白事件的真相，不是為了記錄當時的社會面貌，而是探討更深層的人性；探尋更幽微而脆弱的人心。北京是我的絕望，卻也是我的救贖。──楊渡

	三十年來，楊渡從一個記者，流浪採訪了大半個中國，再回到報館成為主筆，留下了一本世紀末的追尋之書；也曾在海外，探訪流亡的作家、記者、知識分子，更多是在大陸結識了各地經歷過那一場劫難的朋友。

	然而未曾遺忘的是，終有一天，回來好好寫，寫下這一段記憶。1999年，十年之際，楊渡寫了這故事的開頭，終究寫不下去。2009年秋，重走過北京街道：前門大街、同仁醫院、天壇醫院……，二十年，所有一切都改變了。高樓大廈，市招遍掛，廣告街景，美妝藥鋪，街貌完全不是當年模樣。天壇醫院已建了新的樓群，小街被新的樓景取代。「二十年後，你在哪裡？」楊渡在天壇街頭自問。

	2019年6月4日，楊渡為報社專欄寫了一則簡短的場景：描述三十年前撤退的那個早晨，在槍口的包圍下，搖著白布的學生逐一去檢視破爛的帳篷，找出最後的學生，哭著唱國際歌，相扶相持離開廣場。直到那時，他才真正明白自己的角色：一個台灣記者，一個見證者，站在那個現場，站在大歷史的長河中，是的，不屬於任何一邊，只是一個局外人，不需要有人情的包袱，更沒有政治的背負。只是做一個安靜的記憶者。

	而親歷過那世界注目的青春，滋養了良善人心的結合。記者遇上醫師，廣場上的共同經歷，成了他們愛的暗號和密語。楊渡為這歷史長流裡燃起的決絕戀情下了注腳：

	我們再次緊緊相擁，有如走過了千山萬水，走過烽火連天，才終於相遇；有如在這個亂世裡，人生只能有這一次的相遇。彷彿此生，只要愛這一次，什麼都不管，死了就死了吧。那是近於一起赴死的愛戀。

"
反抗的共同體：2019香港反送中運動,https://www.kingstone.com.tw//basic/2015410299713?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,馬嶽,左岸文化  ,9789869865685.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410299713/2015410299713b.jpg,"


多年來我們都在找一些獨有的東西來定義香港，這個夏天我們找到了。

	 

	二〇一九年，香港人以一個夏天推進了一個時代。香港人團結起來守護瀕危的我城，用自己的方法把香港放在世界的版圖上，運動發展到某階段香港人有一種自豪感，覺得香港人真是了不起，重新定義了香港在世界上的重要性，不是舊獅子山精神那種「自力更生」、「東方之珠」、「經濟城市」，而是新獅子山精神的「拆一掛十」，以強大的勇氣和韌性，在專制的銳實力最前線，頑抗。

	二〇一九年夏天的運動，從來就是個身份運動。「反送中」始終是在強調香港和內地（中國）的最大不同：人權和法治的保障，以及免於恐懼的自由。不同的群體在沒有大台但面對強大暴力的情况下，各自戮力去想自己可以為香港做什麼。這種身份認同，不能由某個政權強加，未必有偉大的藍圖，卻是由在其中的香港人一點一點實踐出來的。

	  《反抗的共同體》詳述從雨傘運動到反送中運動的源起、過程與影響，擴及政權的因應、國際之間的角力（包括台灣），最終試圖逼近反抗運動如何形塑這一代香港人的身份認同，進而長出一個命運共同體。

	 

名人推薦

	吳介民，中研院社會所研究員，《尋租中國》作者、《吊燈裡的巨蟒》主編
	何明修，台大社會系教授，《為什麼要佔領街頭？》作者
	張鐵志，Verse雜誌總編輯，《燃燒的年代》作者

"
群眾運動聖經（2018新版）,https://www.kingstone.com.tw//basic/2015410276233?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,賀佛爾,立緒      ,9789863601227.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410276233/2015410276233b.jpg,"


 要說本書是探討群眾之書，還不如說它是一本探討人性之書。例如：「無私者的虛榮心是無邊無際的」、「愈作不好一般事情的人，就愈膽大妄為」。

 本書於1951年出版即被譽為是社會科學領域的經典之作，書中充滿冷雋機智一針見血的譬喻，風格猶如十六世紀散文家蒙田。至今，其名言佳句仍不斷被引用、輯錄。在初版的短期內即行銷五十萬冊以上，被譯成十餘種語言，是當時許多大學政治系必讀之書。

 賀佛爾的一生也十分傳奇，他終身從事碼頭工人搬運工作，直至退休。七歲失明，十五歲復明，父母早逝，靠自學成就學問，1964年成為加州柏克萊大學政治科學高級研究員。但他仍喜歡碼頭搬運工作，他的許多思惟，都是在那個環境中獲得啟發。

 賀佛爾對群眾運動的思考，大都是從生活中觀察而來，他與柏克萊那些大學生們的接觸，使他了解「今天願意創造歷史的只有那些年輕人」。1964年柏克萊校園學生爭取言論自由，學生喊出：「我們不要研究歷史，我們要創造歷史」。

 賀佛爾的創見在本書中比比皆是，再舉一例證之，他說：每一個群眾運動在某一種意義下都是一場移民，追隨者會覺得他們正向一片應許之地邁進。那些在一個群眾運動初起時會急急投入的人，往往也是樂於得到移民機會的人。

 對於本書，賀佛爾如此說明：「在這個時代，我們大部份人都必須對『The True Believer」（忠實信徒）』的動機和心理有一些認識。因為我們的時代雖是無神的時代，卻不是無信仰的時代。這些『忠實信徒』無處不在，他們昂首闊步、列隊前進，要透過勸說和激烈手段，按他們的形象捏塑世界。不管我們是打算加入他們還是反對他們，都應該盡所能多了解他們的特質與潛勢。」

本書特色

 ．群眾運動思想大師賀佛爾（Eric Hoffer）代表作，社會科學領域經典書籍。
 ．賀佛爾經由自身參與街頭運動的經驗，及深入底層社會的生活中觀察，針對群眾運動心理學的獨到創見。
 ．風行半個多世紀，對理解今日世界的處境仍貼切適用，無論打算加入或反對群眾運動，本書都是了解其特質與潛勢的絕佳參考讀物。

"
黑暗中的希望：政治總是讓我們失望，持續行動才能創見未來,https://www.kingstone.com.tw//basic/2015700139354?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,雷貝嘉．索爾尼,行人文化  ,9789869546263.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015700139354/2015700139354b.jpg,"


作者是美國當代最著名振聾發聵之聲的其中一人、最富創思與洞見、言辭最便給之文化批判家之一
本書影響美國社運分子十多年，好評推出第三版
亞馬遜4.4顆星好評；衛報、紐約客、約翰‧伯格(John Berger)推薦

	關於起身推動改變，甘地曾說過：
	「起初，他們忽視你。接著，他們嘲笑你。然後，他們打你。然後你贏了。」

	社會運動從來不是件容易的事，有多少人們在其中熱血澎湃、哀傷心死。但面對看似暗無天日的未來，其實有許多令人能鼓起勇氣的光芒，藏在少被述說的成功案例當中。這些案例之所以被忽視，有的是因為地處偏遠、有的是跨越的時間幅度太長，更有的當下看起來失敗了，但啟發了後人勇敢站出來採取行動，進而推動翻天覆地、擴及全球的改變。

	細數這些案例，雷貝嘉‧索爾尼發現它們背後所訴說的「希望」就是未來改變的契機。索爾尼足夠老成智慧，不會把希望當成是美好未來的承諾，而是附帶轉變可能性的複雜未來。正因未來不能預知，所以更有許多行動空間。不認定自己人微言輕、也不輕易死心絕望，持續採取行動就是人們能推倒柏林圍牆、能占領華爾街、也能串聯包括南極在內的七大洲一起抗議全球化的原因。

	索爾尼廣讀環保、文化、政治等多方面歷史，加上汲取數十年親身參與社運的歷練，寫出鼓舞人心的《黑暗中的希望》，最初於2004年出版，隨即對美國社運圈深具影響力，如今增補前言與後記的2016年新版終於翻譯引介進入台灣，在人們已經逐漸了解權利要靠自己上街捍衛的現今，想必能帶來許多借鏡。

"
人民的力量,https://www.kingstone.com.tw//basic/2015730111788?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,黃煌雄策劃,玉山社    ,9789867375872.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730111788/2015730111788b.jpg,"


陳定南人生最後的一篇訪問稿

  

 最新出版的新書《人民的力量》（黃煌雄先生策劃∕玉山社出版），詳實記錄了陳定南先生如何投入政界為民服務的從政過程。並於日後創造了著名的「宜蘭經驗」及獲得法務部「陳青天」的美譽。此書更珍貴的收錄了他人生最後的一篇訪問稿，細說了他參政的動機及心路歷程。讓我們透過本書共同懷念這位政壇清流。

  

一探八o年代黨外運動的源起! 
重現台灣民主聖地的永恆精神!

  

 二十五年前， 
 人民的力量讓宜蘭縣成為民主的聖地， 
 二十五年後， 
 黨外的無私奉獻精神如今何在？ 
 本書試圖喚醒蘭陽平原那場關鍵選戰的歷史記憶， 
 見證台灣民主政治運動史上最關鍵的一頁。

  

 黨外精神是受傷的人民經過歷史沈澱，所表現出的一種低沈的、深厚的、焚而不燬的集體現象，是特定歷史條件下所形成的特定歷史集體意識。1981年，宜蘭黨外縣長候選人陳定南，就是在這種集體意識之下，成功改變了國民黨三十年在宜蘭縣長專賣的政治局面，開啟宜蘭縣黨外二十四年綠色執政的序幕，也成功打破國民黨長期以來在台灣無法被打敗的政治神話，更讓宜蘭成為台灣民主的聖地、黨外精神的表率。

  

 如今，就在當初參與形塑創造黨外精神內涵的工作者與支持者處於最低潮時期，本書希望藉由喚醒當年蘭陽平原那場關鍵選戰的歷史記憶，記錄台灣民主運動史上最關鍵的一頁，更期許這樣的人民力量與無私奉獻的精神，能發揮「麥子不死」的精神，繼續在台灣的民主發展歷程上扮演決定性的角色。

"
本刊文責一律由總編輯鄭南榕負責：《自由時代》雜誌編輯室報告文選,https://www.kingstone.com.tw//basic/2020780069026?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,鄭南榕,逗點文創社,9789869817073.0,https://cdn.kingstone.com.tw/book/images/product/20207/2020780069026/2020780069026b.jpg,"


本刊文責一律由總編輯鄭南榕負責
	目錄頁數不詳具作者姓名

	總聽別人說Nylon，這一次，換他親口對你說！
	★精選鄭南榕《自由時代》週刊編輯室報告33篇！
	★加收鄭南榕名言哲思集、《自由時代》週刊改名歷程！

	■編輯部選文挑選準則：
	一、呼應現代政治情勢之觀點。
	二、體現鄭南榕對於身而為人的尊嚴之信念。
	三、傳遞鄭南榕對於自由、人權、民主思想體系的切片。

	鄭南榕：「我們要的是徹頭徹尾、不折不扣的自由。」

	身為出版人，鄭南榕將文字化作武器，用以抵禦極權政府對於人民自由的侵擾。
	身為創作者，鄭南榕將文字化作棲身之所，讓受迫害者在字裡行間得以喘息。
	身為革命者，鄭南榕將文字化作星火，以身為柴，點燃熊熊烈焰，照亮下一個世代的光明未來。

	由革命出版人鄭南榕所創辦的《自由時代》雜誌，第一期於一九八四年三月十二日發行，最後一期於一九八九年十一月十一日出刊，歷經鄭南榕殉道仍持續出版，五年八個月的時間裡，出版共計三〇二期，不僅創下臺灣出版史上遭國民黨政權查禁次數最多的紀錄，也成為臺灣社會萌發本土意識的深刻推力。
	在他殉道三十年之際，香港、印尼、西巴布亞、伊拉克、厄瓜多等地陸續點燃抗爭之火， 而臺灣也無法置身事外，用多少犧牲換來的自由，正面臨前所未見的侵擾與破壞。回頭閱讀鄭南榕的文章，試圖理解一名出版人如何以自身專業點燃革命的烈火，再回頭觀看自己，如何捍衛深愛的一切，完成當年鄭南榕未竟之理念。

本書特色

	1.為新世代編選的「革命出版人鄭南榕」理念入門書。
	2.為仍在奮鬥的鄭南榕戰友們精心準備的，緬懷Nylon所思所想的文選。
	3.全書由榮獲金曲獎肯定的設計師小子一手包辦：從封面到內文，融合當代美學語言，以摩登仿古的手法，突顯《自由時代》至今仍前衛的視覺精神。

"
少年世界【全套2冊不分售】,https://www.kingstone.com.tw//basic/2015000041586?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,陳正茂,秀威出版  ,9789863267584.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015000041586/2015000041586b.jpg,"

《少年世界》月刊創刊於一九二○年一月一日，終刊於同年十二月，共一卷十二期。《少年世界》月刊是少年中國學會，繼發行《少年中國》月刊後，另一影響深遠的刊物。《少年中國》月刊因體例的限制，僅側重理論性的探討，只刊登有關於哲學、文學、純粹科學的文章。而《少年世界》月刊，則是富本土化與通俗化的一個社會運動刊物，注重實際調查、敘述事實和應用科學，其內容闢有〈學生世界〉、〈教育世界〉、〈兒童世界〉、〈婦女世界〉、〈學術世界〉、〈勞動世界〉、〈學校調查〉、〈工廠調查〉、〈地方調查〉、〈森林調查〉、〈農村生活〉、〈華僑消息〉、〈社會批評〉、〈世界大勢〉、〈讀書錄〉、〈出版界〉、〈遊記〉、〈雜錄〉等欄。《少年世界》月刊發行的時間，是中國的「五四運動」前後，是一個新政治孕育的時期，同時也是一個大變動的時期，可說是中國新舊社會嬗遞中，思想最分歧、衝突最為劇烈尖銳的時代，在外來各種思潮的猛烈衝擊下，傳統的一切文化制度逐漸解體，取而代之的是經由文學革命所帶來的一連串改革運動。《少年世界》，更是「五四運動」時代的主要刊物之一，影響相當深遠。
                    
"
自由六月：2019年香港「反送中」與自由運動的開端,https://www.kingstone.com.tw//basic/2015410285778?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,22 Hongkongers,新銳文創  ,9789578924697.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410285778/2015410285778b.jpg,"


	700萬的香港市民中，近200萬人站上街頭，震撼世界！
	這一刻，他們為何挺身而出？

	2019年，香港特區政府無視反對意見，宣布將於6月12日繞過法案委員會，直接提交《逃犯條例修訂草案》至香港立法會大會進行二讀。該草案允許香港特區政府向中國大陸、澳門和臺灣等司法管轄區移交嫌疑人及進行法律協助。港府計畫逕送二讀的公告一出，社會譁然，反對者自發性進行為期數週的「反送中」運動（又稱「反修例」，Anti-Extradition Bill Protests）。

	直至7月9日，香港特首林鄭月娥在民怨沸騰下宣告《逃犯條例修訂草案》「已壽終正寢」（""the bill is dead""）；然而抗爭者認為「五大訴求」（不檢控示威者、取消暴動定性、追究警隊濫權、撤回送中惡法、林鄭月娥下台）未獲回應，香港民眾透過公民力量變化運動形式，持續進行長達數個月的大規模抗議。

	*運動後期，漸漸有聲音認為要治本，應把訴求中的林鄭下台更訂為「立即實行雙普選」。然而也有聲音認為應該追究林鄭的失誤，維持訴求字句。

	認識這場舉世注目的公民運動須知幾個關鍵：《逃犯條例修訂草案》為何引發香港社會如此巨大的疑慮與不安？草案修訂的社會背景為何？港府推動草案的程序是否合乎法制？香港政治界固有的「建制派」、「泛民」與「本土派」在運動中立場為何？向來被視為極重視商業發展、立場紛歧的廣大香港民眾如何迅速串聯？歷經數個月來警方的催淚彈洗禮，仍能大規模示威，民氣不墜？抗爭者中的「和理非」與「勇武派」在運動如何互動？港人所追求的「自由」，與「民主」或「法制」存在什麼樣的關係？

	撰寫本書的22位青年作者分布於香港各界，親身參與並見證了運動。書中從2014年「雨傘革命」後的香港寫起，詳細爬梳「反送中」運動的來龍去脈，試圖回答上述問題，並蒐集了來自前線的近百張照片，呈現2019年6/9、6/12、6/16、7/1大遊行及示威現場。

	然而，探討一個「仍在進行中」的運動是不容易的。
	本書於七、八月間寫成，截至付梓前，終究只能結束於一篇〈無法作結的結語〉；不過對於香港來說，這卻正是新一波自由運動的「開端」。

	「自由運動不必以血淚延續。當政府願意開誠佈公與市民對話的那一天，自由運動就會轉以對話的方式繼續。這才是我們認識的香港。」

	*本書版稅將全數捐至「612人道支援基金」，基金的支援對象包括所有反送中運動中受傷、被捕、很可能被捕或相關人士。
	*基於安全考量，書中照片的人物面貌經過模糊處理。

"
走著瞧：一個走在鄉間小路的中國人,https://www.kingstone.com.tw//basic/2015410285358?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,寇延丁,主流出版  ,9789869665360.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410285358/2015410285358b.jpg,"


	因為聲援2014年香港占領中環運動，中國公益行動者寇延丁女士，遭受128天秘密關押審訊，囚室凌遲，劫後餘生的她，近三年旅居台灣宜蘭，以徒步行腳方式，「走台灣路，看民主之所在；讀台灣人，探民主之所來」。

	她說，台灣最吸引人的，是這片土地的多元包容；最有價值的，是社運文化，但也看到這種價值被覆蓋、被忽略，於是書寫出這部對台灣社運的「冒犯」之作。

	因緣際會，她在島嶼最南端的恆春，參與保護百年竹塹，也從觀察者變成行動者。本書以百年竹塹抗拆事件為主軸，中間穿插「內埔龍泉村農地抗爭案」、以及「後灣陸蟹保護案」，對於台灣社運組織的各立山頭、分門別派，多所不解。她認為，責任面前，人生而不平等，長期積累能量、掌握話語權的社運組織，更是生而不平等，應該為社會公理正義擔負更多責任。

	這本書寫給社運界的人看，寫給遭受官商欺凌、壓迫的人看，也寫給所有愛台灣的人看，因為，沒有人是局外人。

"
八百壯士紀實－那485天，我們一起埋鍋造飯的日子,https://www.kingstone.com.tw//basic/2015410285518?zone=book&lid=book_class3_hgh&actid=book_class3_hgh,楊建平,宇河文化  ,9789864563142.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410285518/2015410285518b.jpg,"


	485天的抗爭，485天的堅持和團結！

	民進黨政府於2016年5月開始執政後，對軍公教進行溯及既往及違反信賴保護原則之「年金改革」，因而引發中華民國社會運動史上首次退休軍公教人員走上街頭的全面抗爭。

	退伍軍人們基於「護憲維權」理念，以「捍衛中華民國、恪遵憲政體制；堅持不溯既往、維護軍人尊嚴」為宗旨，並效法八年抗戰初期松滬會戰中，八百壯士死守四行倉庫的奮戰精神，成立「八百壯士捍衛權益指揮部」，自民國106 年2 月21 日起在立法院大門口搭設帳棚，進行全面、長期的抗爭。

	在這485天埋鍋造飯過程中，「八百壯士」發揮犧牲、團結、負責的精神，展現革命軍人刻苦耐勞、堅持到底的決心與毅力，而後轉型為社團法人「中華民國八百壯士捍衛中華協會」後，繼續承擔責任，為三軍退休袍澤爭取權利。本書忠實紀錄了這一年多來的抗爭歷程，以理性論述和圖文並茂方式呈現在讀者的眼前，為中華民國史上首次軍公教警消退休人員走上街頭抗爭，留下珍貴的歷史紀錄。

	本書亦期許在面對國際和兩岸情勢上，能夠理性務實的客觀審視；在年金改革的路上，可以有妥善雙贏的結果，臺灣的發展若能夠不分黨派、不分民族、不分行業彼此團結一心，社會才能和諧，中華民國才能夠真正達到和平！

"
