書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
艱難的抉擇：台灣對安全與美好生活的追求,https://www.kingstone.com.tw//basic/2015730233787?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,卜睿哲,天下文化  ,9789865252021.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233787/2015730233787b.jpg,"


國家安全與經濟發展，台灣如何兩全？

	美國在台協會前理事主席卜睿哲在《艱難的抉擇》探討了台灣面臨的廣泛問題與政策選擇，並就台灣可以如何幫助自己，以及美國應該如何協助台灣，提供實際的建議。對台灣來說，最艱難的政策取捨，就是如何一邊處理兩岸關係，一邊維持經濟繁榮與競爭力，讓這座美麗島上的人民，繼續過著美好的生活。

	 

	台灣是1980年代全球第三波民主化的典型代表，也是華人社會中第一個在和平的狀態下逐步實現民主制度的國家。但是，今日的台灣面臨著許多內部問題與外在危機：社會的高齡化以及由此產生的世代衝突；中國長期威脅要以類似於香港的方式來統一這座美麗島，加劇了島內的本土化問題。

	 

	台灣在國家安全上，嚴重依賴美國，但它必須利用自己的資源來應對北京所施加的壓力。台灣如何應對自身所面臨的內部與外部挑戰，以及美國和其他大國如何施以援手，將決定台灣是否能夠堅持自己的立場去面對中國所給予的壓力。

"
被迫一戰，台灣準備好了嗎？台海戰爭的政治分析,https://www.kingstone.com.tw//basic/2015730233817?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,范疇,八旗文化  ,9789860763287.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233817/2015730233817b.jpg,"


當台海成為撼動世界的「阿基米德支點」，台海戰爭一觸即發！
	所有的國家都在關注它的動向，
	只有一個國家例外，仍抱著看戲心態而不覺事態嚴重……
	那就是——台灣！

	台灣社會必修的一門課！——直視戰爭、討論戰爭
	台灣人，你沒有拒戰、避戰的權利！


	台海，早已被中共清楚定義為「戰場」，當美國、日本，乃至世界各國都在關注台海動向，甚至《經濟學人》用「得台灣者得天下」的封面文章警告全球政經界的菁英時，只有台灣（台海的主角）仍抱著鴕鳥和看戲心態，大部分民眾繼續過著與世無爭的「小確幸」生活，殊不知台海早已戰雲密布。

█台灣就是戲中人，不能再當輕佻的看客！

	究竟何種原因導致台灣人的「鴕鳥心態」？范疇的答案是台灣內部面臨三大錯誤認知，從而導致對戰爭毫無準備，一步步掉入戰爭漩渦：

	（一）政治方面：多數人不只看不清國際政局趨勢，更關鍵的是跳不出統獨二分法的謬誤，更忘記或無視中共早已透過在台灣的「第五縱隊」，無聲地發動總體統戰！

	（二）心理方面：多數人認為台海戰爭是假議題，不相信戰爭會真的發生——共機繞台只不過是為了刷存在感。退一步講，就算真的爆發戰爭，美日也會出兵相助——這種心理造成人民普遍對戰爭過於樂觀。

	（三）軍事方面：多數人認為打仗是軍人的天職而與平民無關，完全忽略「民防」的重要性。然而台灣人民缺乏「血性」，整個社會「尚武風氣」不足，也導致台灣的懼戰心態。

█台灣社會當下對台海戰情的若干錯誤判斷和心理誤區

	（一）把「中共」當成一個整體，不知其派系鬥爭對作戰決定之影響何在。

	（二）中了中共大外宣之毒，忽視了中國經濟之脆弱性；戰爭靠財力，中國經濟的內在問題和中共發動戰爭之間的關係是什麼？台灣人很少考慮。

	（三）低估了極權的任性，台灣人看過最極權的不過是蔣介石；蔣介石比起毛澤東柔和一百倍，習近平的極權任性可能更超過毛澤東。中共越走向極權，對戰爭一事的理性判斷就越無效，任性啟戰的可能性就越高。

	（四）台灣人還不理解，中共最廉價的戰勝是挑起台灣內亂；內亂靠分裂，當前中共統戰的精髓在於傳播「美國不可靠、台灣不堪一擊」。

	（五）中共會以飽和式飛彈攻擊拿下台灣——這是對戰爭歷史不熟悉所致的恐懼；即使如美國，對伊拉克、南斯拉夫的飽和式轟炸也收效甚微；台灣民眾不明戰理而以訛傳訛，乃中共心戰的天賜禮物，也是台灣國內第五縱隊、白區黨的最佳切入點。

	（六）習慣以「台灣本位」看台海戰情，忘了以世界大局看台海戰情；以台灣本位看國際事態，低估了西方人對中共本質的無知；任何國家都是以自己國家的利益為出發點，西方世界對中共本質的徹底了解還有一段距離，台灣不能因小成而自嗨（完整道理請見本書有關「台灣學」的部分）。

	（七）二分法辯論：將戰情簡化為美國（日本）會參戰或不會參戰；這種二分法帶來台灣社會判斷力的喪失。

	（八）混淆有限戰爭、登陸戰爭。二者在軍事上是兩回事，所牽涉到的戰力、戰略、戰術以及政治後果完全不同。

	（九）台海寬一百公里，是英吉利海峽的四倍，台灣可被擊敗，但難以占領，台灣長期低估了中共製造台灣內亂的能力以及已經存在的部署（台灣內部第五縱隊、帶路黨是關鍵），因此對民防、心防、資安的政策比起遙遠的澳洲還不如。

█正視戰爭、討論戰爭，是台灣社會必修的一門課！

	台灣人不是好戰分子或瘋子，沒有人喜歡戰爭，可是台灣位處「世界火藥庫」──台海的中心位置，已成為二十一世紀兵家必爭之地。在此情況下，正視戰爭、討論戰爭，並且積極備戰，才是台灣社會必修的一門課，唯有如此才能未雨綢繆，確保自己的民主體制和生活方式。

	本書不是一本軍事分析著作，而是對「台海戰爭的認知框架」和「台海戰爭的政治環境」加以分析的書。范疇特別提出政治備戰和思想備戰，針對當下國家認同分歧的台灣，如何防止第五縱隊的內部接應，而提出自己的警告。范疇也分析了軍事及社會備戰，例如在軍防方面，如何強化軍隊士氣和忠誠度、增加女兵比例；在民防方面，則可以廣設靶場、提升全民皆兵意識等。

█「我們有能力抵抗嗎？」

	「被迫一戰」是人類歷史上多次出現的沉重議題，台灣必須鼓起勇氣直接面對，並在政治、軍事和社會心理方面做好充足準備。范疇最後以瑞士的一篇著名演講——「我們有能力抵抗嗎？」——激勵台灣社會。

	「我們到底有沒有能力抵抗？作為一個瑞士人，更甚者，作為一個士兵，根本不該問出如此自輕的問題。」

	「這個問題所展示的，是對己身力量的認知不足，是對我們的武器認知不足，也是對我們的國土認知不足，因為我們國內高山環繞，給予我們無可比擬的天險以捍衛我們的家園。只有一個堅決抵抗、並且也知道如何抵抗的人，才會贏得敬重。

"
習近平“兩觀三論治國論,https://www.kingstone.com.tw//basic/2015740061530?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,姜愛林,昌明文化  ,9789864963744.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015740061530/2015740061530b.jpg,"

《習近平“兩觀三論＂治國論──習近平治國理政之“兩觀三論＂研究》（簡稱《習近平“兩觀三論＂治國論》）是一部專門研究習近平關於治國理政的理論創新與實踐探索的政治哲學著作。習近平“兩觀三論＂是習近平治國理政的重要理論創新。“兩觀三論＂是指習近平在長期從事黨政領導活動過程中圍遠治國理政這一鮮明主題形成創立的關於“群眾觀＂、“穩定觀＂、“四有論＂、“三觀論＂和“落實論＂等方面內容的系統化理論化的一種概括統稱。
                    
"
天魔弄世（台海戰爭警世小說）,https://www.kingstone.com.tw//basic/2015400105253?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,江海,漢世紀數位,9781647841027.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015400105253/2015400105253b.jpg,"

台海戰爭爆發，誰是贏家？這是現代化武器的殺戮戰這是一場不應發生的戰爭這是一場沒有贏家的戰爭台海局勢緊張，武力統一台灣的造勢行動逐步昇級，國際評論列台海地區為最可能發生戰爭的地區！現在是2021年初夏，真正的戰火未打響，筆作以阻止和防止這場戰爭發生的觀念，用〈天魔弄世〉這樣虛幻的書名寫成這本書，書中把“武統”分作四方面的戰略與政策： 1.跨海攻台。 2.經濟封鎖。 3.組織島民眾推翻政府。 4.改變政策和平統一。本書將那些血雨腥風的軍事與政治鬥爭演繹成小説故事，希望當權者有所啟發，普通人民有所知情。“武統”從字面的解譯就是以武力去收拾對方，但其實，武統就是內戰。在導彈和各種新式遠程，精準武器的發展中，雙方都一定會同樣受到軍事和政治經濟上的打擊的，戰雲再起，一定不是金門砲戰的翻版，重量級大規模的殺傷，和破壞性武器會延伸到雙方踪深地帶，軍士集結戰術，用在今日的台海戰爭上有些不合時宜了。本書是以説故事的方式呈現讀者，如書中的幻影戰術，好像在中外的戰爭史中都未出現過，可能嗎？！有趣嗎？！實用嗎？！在某種特別的環境下是有可行的。比方，把他的場地縮小一點，用在警匪的對抗上就一定有效，幻影戰術在書中交戰雙方都用過，先用他的取不到勝利，後用它的反而成功得勝，這是兵法上，天時地利條件的知識性，和讀書的趣味性的提昇。本書言論，純屬作者原創，不代表本出版社立場。
                    
"
兩岸恩怨如何了？（國際版）,https://www.kingstone.com.tw//basic/2015000048950?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,呂秀蓮,漢世紀數位,9781647840952.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015000048950/2015000048950b.jpg,"

本書分過去、現在與大未來三階段探討台灣與中美的關係。作者注重「歷史盲點」的釐清，緊抓美中台當前的困境和危機，更是以為下一代擘繪願景的心情在鋪陳統獨之外的新路，以及親美友中的可能。書中的論述涵括古今中外，寰宇四海的物換星移。◆本書既掀開台灣歷史的黑盒子，更為下一代擘繪未來。呂秀蓮解析大小兩個三角關係的糾葛，更提出「雙兩岸關係」的戰略，開創統獨之外新出路。◆大兩岸關係：台日韓與美加等民主國家共組「民主太平洋國協」。◆小兩岸關係：希望中國接受「一個中華」取代一個「中國」，和平共存，謀求兩岸「統合」而非「統一」。本書回顧過去，更前瞻未來；疼惜台灣，但放眼國際。作者是用歷史的悲憫，去回顧歷史的錯誤和惋惜，更用未來的願景，去擘繪下一代的幸福。本書言論，純屬作者原創，不代表本出版社立場。
                    
"
兩岸終極博弈1945－2025：風蕭水寒 恩仇了了,https://www.kingstone.com.tw//basic/2015730233527?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,歐陽聖恩,獵海人    ,9789869952378.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233527/2015730233527b.jpg,"


－－一本兩岸恩仇錄的書！
	本書是作者繼《再見白手套》之後又一部深層論述歷史與政治的著作。


	75年來兩岸從法統之爭轉型為統獨之爭。大陸從血洗台灣演變為和平統一／一國兩制；台灣則從一國良制、一國兩區／兩府、不獨不統不武維持現狀、一邊一國，最後喝下聯美反中謀獨的政治嗎啡，奔向戰爭懸崖。前半世紀兩岸雙方創造模糊的和平，在後四分之一世紀裡敗壞殆盡。

	國際局勢詭譎無情，沒有永久的敵人與盟友。美國對日本祭出核武，現在卻成為麻吉；日本屠殺台胞50萬人（日治時代台灣總人口約255萬），現在台人卻媚日親日加上助日代表，桃園龍潭有懸掛日本國旗、豎立大日本帝國招牌的建築物。中華民國戰後遭盟國出賣被逼退出聯合國，美國無情和台灣斷交卻綁在身邊成為美中博弈棋子，殘酷的歷史不堪回首。

	今年5月英國《經濟學人》週刊稱「台灣是地球上最危險地區，美國已無法阻止大陸通過武力解決台灣問題」。因此，兩岸若對「一中」的死結無解，中共發動武統絕不手軟，猶如古龍名著《流星蝴蝶劍》的名言：「高手相爭，只有第一擊才是真正可以致命的一擊」，首戰即終戰並非戲言。

	台灣有沒有明天？作者認為從共機、戰艦頻繁且日趨逼近台灣，顯示武統已經啟動，只是倒數計時還沒開始。信者恆信，不信者恆不信，當由讀者判斷！

本書特色

	★作者曾任職於調查局、台北市政府與海基會及其他民間單位，本書以其專業政治及新聞背景，挖掘那些國與國之間的辛辣角力鬥爭！

	★台灣小國命運受人擺布，最終決戰將至，本書嘗試指點一條自處之道！

達人推薦

	｜前交通部長、高雄市副市長．葉匡時
	｜前文化部政務次長．陳永豐
	｜尖端科技軍事雜誌社長．畢中和

"
兩岸恩怨如何了？,https://www.kingstone.com.tw//basic/2015730233237?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,呂秀蓮,呂秀蓮    ,9789574386390.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233237/2015730233237b.jpg,"


	本書分過去、現在與未來三部曲：

	寫過去時，我注重歷史盲點的釐清；

	寫現在時，我緊盯當前的困境和危機；

	至於未來，我是以為下一代擘繪願景的心情在鋪陳統獨之外的新路，以及親美友中，和平中立的「雙兩岸」大未來。

	 

	這本書如有幸讓您翻閱，請您用開放的心情，擱置既有的成見，重新認識歷史，清理盲點，更用海闊天空的新視野，思考台灣的嶄新前途。

	 

	我是用歷史的悲憫去回顧歷史的機緣和謬誤，更用未來的願景去擘繪下一代的幸福。書中論述古今中外，寰宇四海的物換星移，既疼惜台灣，更放眼國際；既緬懷悲情，但輕拭仇恨。因為：

	 

	我們與其徘徊在歷史悲情，不如走出孤獨，睦鄰而且善世；

	我們不只經營台灣，也要經營世界！

	 

"
中日關係的光和影（海外增訂版）,https://www.kingstone.com.tw//basic/2016430006183?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,王泰平,香港中和  ,9789888694419.0,https://cdn.kingstone.com.tw/book/images/product/20164/2016430006183/2016430006183b.jpg,"


	本書作者從上世紀60年代末起，先後作為記者、外交官和中日兩國共同事業的中方代表六度日本常駐。他根據自己的親歷、觀察和感悟，旁徵博引，用通俗而清新的語言、翔實而權威的史料，從政治、軍事、經濟、文化、社會層面，概述中國政府的對日政策、日本在中國外交棋盤上的位置；評說戰後70多年來中日政治關係演變，深挖其時代大背景和深層的原因；披露了1972年實現中日關係正常化、1978年締結《中日和平友好條約》時交涉和談判的內幕；闡述了指導和規範中日關係的「四個政治文件」、「四項原則共識」的內涵及其歷史和現實意義；指出現時中日關係的階段性、特徵和發展趨勢；還客觀地勾畫了日本興衰榮辱史，評論了日本的外交哲學、日本對華政策的演變和特徵。讓我們正確的認識當今的日本和中日關係。
	 

本書特色

	 

	‧前駐日總領事，以親身經歷剖析中日關係的起伏跌宕；

	‧拆解中國政府的對日政策，還原兩日關係發展的階段性特徵和趨劫；

	‧深入探討日本的外交哲學，還原日本對華政策的演變與特徵；

	‧引用翔實而權威的史料，評說戰後70多年中日關係的複雜與糾纏。

	 

"
台灣謀略：刺激2020，再認識中國大陸，探索台灣未來路,https://www.kingstone.com.tw//basic/2015730231943?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,李勝峰,時報文化  ,9789571384085.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730231943/2015730231943b.jpg,"


當民進黨成功掀起反共反中、抗統促獨的浪潮，台灣的下一步該如何走？

而美國川普為了救選情操弄台灣以抗中，被捲入的台灣該如何自處？

許多台灣人民堅信中國大陸不會武統台灣，這是一廂情願的想像嗎？

	 

在這個刺激的2020年，台灣要面對更多的考驗和危機──

統獨問題，大陸對台越發強硬的戰略以及中、美、台之間交錯矛盾的關係。

台灣的前途在何方？

	 

	在台灣，不缺乏攻擊、否定中國的資訊，也不缺乏誇大中國對台灣的惡意，更充斥著國際會力挺台灣，美軍會為台灣千里馳援的想像。二、三十歲的年輕族群中尤其有這些聲音。

	 

	在台灣，有關台獨的問題，談論許多，卻缺少討論統一的氛圍；沒有平衡的統獨論證，豈有保台、利台的正確取捨之道？

	 

	統獨問題不能只辯論、講道理，更要以現實、意願來討論台灣最好的出路。

	俗話說：知己知彼，百戰不殆。台灣需要精準認識大陸，正確掌握資訊，才能做出正確的選擇。

	 

	只要台灣因應得宜，成功發展的大陸會是利台的資產，是台灣發展的機運，更是台灣人創業、就業發展的舞台。

	 

	本書就是基於這份信心，種下了一顆種子，意圖激活台灣人的中華民族基因。

	以務實角度及台灣的立場與觀點，重新認識中國大陸，討論中、美、台間的矛盾，探討如何重建兩岸的新關係，摸索台灣未來的出路。

	 

專文推薦

	 

	知名專欄作家　公孫策

	資深媒體人　徐宗懋

	前旺報社長　黃清龍

"
民主觀察 ： 2018－2019回顧,https://www.kingstone.com.tw//basic/2015730229292?zone=book&lid=book_class3_hgi&actid=book_class3_hgi,邱俊榮、羅承宗,致出版    ,9789868976597.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015730229292/2015730229292b.jpg,"

本書不只是從人民的角度觀察民主，更重要的是由青年人體會民主，本書作者都是青壯年，因此可說是青年觀看民主。出版之後，則是願與青年分享，每一個世代都扮演著民主傳承接棒的角色，而青壯年的觀察心得，更可以得到多數青年人的共鳴。
                    
"
