書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
美國狙擊手,https://www.kingstone.com.tw//basic/2017580001592?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,克里斯．凱爾、史考特．麥坤,高寶      ,9789863611042.0,https://cdn.kingstone.com.tw/book/images/product/20175/2017580001592/2017580001592b.jpg,"


他是美國海豹部隊的狙擊手
2,100碼 （1,920米）外，可以一槍神準擊斃敵人
十年間，射殺了166名敵人
克里斯•凱爾被譽為美國「最致命的神射手」


由布萊德利庫柏主演、克林伊斯威特執導的同名電影，將於2015年1月中旬於台灣上映！

《紐約時報》暢銷書排行榜第一名

 克里斯．凱爾是美國德克薩斯州奧德薩人，美軍海豹部隊狙擊手，四次前往伊拉克參戰，期間他共射殺160名敵人，有美國「最致命的神射手」稱號。凱爾最著名的戰績是在二○○八年從2,100碼（1,920米）遠距離外，以狙擊步槍用一發子彈擊斃敵人。可就是這麼一位傳奇的人物，卻在二○一三年二月二日，在射擊場被槍殺身亡。

 凱爾獲選進入美國海軍海豹部隊，成為了最優秀的神槍手。做爲狙擊手，第一次扣動扳機奪取別人生命時，克里斯•凱爾面對的是一名企圖用手榴彈襲擊美國海軍陸戰隊的女人。

 首次開槍時，凱爾有些猶豫。但在接下來的四個服役期中，凱爾學會了如何阻止猶豫，立即射擊。一九九九年至二○○九年，克里斯•凱爾共成功狙擊兩百五十五人，其中美國五角大廈承認的有一六六人，但這不妨礙凱爾成爲美國歷史上狙殺敵人最多的狙擊手。

 在費盧傑的一次戰鬥中，海軍陸戰隊面對上千的武裝分子，陷入艱苦的巷戰，在這次戰役中，凱爾一個人就狙殺了四十人。

 二○○八年，凱爾到薩德爾城外執行任務，他看到2,100碼（約合1,920米）外一個武裝分子正扛著火箭發射器靠近一支美軍車隊，凱爾立刻扣下扳機，準確地擊斃武裝分子。

 服役期間，他曾被射中兩次，但凱爾都挺了過來，並被隊友譽爲不死的神槍手。

 伊拉克叛亂勢力稱他「撒旦」，曾經懸賞兩萬美元，要他的人頭。而對於取敵人首級的心情，凱爾曾表示「我不把那些人當人，不去想他是否有家庭。我只想著要同袍安全」。

 二○一三年二月二日，他在德州靶場參與慈善活動，與另一名朋友一同遭人射殺，行凶者動機不明。兇手為愛迪•魯斯（Eddie Ray Routh），也曾是美軍士兵，參與過伊拉克戰爭，退伍後長期失業，患有創傷後壓力症候群。

 在凱爾的自傳上市後，布萊德利庫柏就嗅覺靈敏地買下了這本書的電影版權。庫柏除了會主演本片外，更以製片人的身分參與其中，特別邀到金獎導演克林伊斯威特執導，。兩人的合作，是否能挑戰下一座的小金人，相當令人期待！電影「爛番茄」網站，截至目前為止，已有近萬名使用者投票，其中99%對這部電影有興趣，期待值為 4.4 / 5顆星。

"
飛行員的故事第3輯,https://www.kingstone.com.tw//basic/2017830037647?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王立楨,旗林文化  ,9789866655586.0,https://cdn.kingstone.com.tw/book/images/product/20178/2017830037647/2017830037647b.jpg,"

當年，台灣正當風雨飄搖之際，每位堅守崗位的空軍健兒們，都是用他們生命來保國衛民而無怨無悔。每一位飛行員都有著令人震憾、驚險的故事，他們，都是可欽可敬的英雄。作者王立楨先生以精采的文筆，傳神的為您訴說飛行員的故事。
                    
"
我們必須去：駕駛艙視角的飛行故事,https://www.kingstone.com.tw//basic/2017830167399?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王立楨,遠流      ,9789573289272.0,https://cdn.kingstone.com.tw/book/images/product/20178/2017830167399/2017830167399b.jpg,"


似乎冥冥中有一股力量在推動著我

將這些偉大的飛行故事記載下來

讓英雄不被遺忘

	 

	本書作者王立楨是當今華人世界經驗最豐富、著作最權威的航太故事作家。身為航太工程師，他以嚴謹的態度持續蒐集空軍的歷史與飛行故事，被空軍飛行員推崇為「我們空軍的活字典」。

	 

	為了撰寫本書，他再度親自訪問許多當事飛行員、家屬、同僚，前往事件現場探訪當年場景，或與知情的目擊人士對談。

	 

	透過他的記載，原本可能消失的事蹟，終於能得到歷史的見證；原本無法解釋的命運，終於獲得今人理解。

	 

	★美國的拉斯維加斯曾因為一位我國戰鬥機飛行員不顧自己安危的英勇舉動，免於一場燃燒彈在市中心爆炸的巨大浩劫！

	 

	★一次墜機導致6人為國殉職，但當天竟有7具棺材送抵基地，多出的一具，到底是為誰預備？

	 

	★一位出任務就沒有回來的缺席新郎，他留下的未婚妻卻在幾年後捲入一樁厄運，成為當年台美關係的焦點……

	 

	★ 四位飛行員在海峽第一線攔截、牽制共機的時候，於自己油量緊急偏低之際，竟然發現敵機倍增……

	 

	本書都是當事人親口講述的傳奇史蹟，透過作者親切易懂的文字、完全正確的飛行術語及名詞加以呈現。這是真正的「駕駛艙視角的飛行故事」，彷彿就像發生在眼前。

	 

內行專業推薦！

	 

	Max ╱ ROCBOSS 創辦人
	王永賢 ╱《編隊飛行》作者、美國空軍年度炸射競賽總冠軍
	李文玉 ╱ 民航飛行員，曾任空軍駐美、日副武官，軍情處國際情報組長
	林君儒 ╱ 民航飛行員，前路克基地21中隊常駐領隊
	吳尚融 ╱ 中國百年陸軍軍服系列作品作者
	星期天配音是對的 ╱ 網路影片創作者
	施孝瑋 ╱ 軍情與航空網站主編；孝瑋談軍事節目主講人
	高立川 ╱ 空巴A350機長
	馬西屏 ╱ 康寧大學副校長、暢銷作家
	陳國銘 ╱ 全球防衛雜誌採訪主任
	傅鏡平 ╱ 航史會創辦人
	熊楚才 ╱ 波音 777 機長
	熊厚基 ╱ 空軍司令
	顏際隆 ╱ 著名航空攝影師

	 

	★中華民國空軍珍貴的歷史片段，對於國軍有興趣的朋友千萬不能錯過。——Max╱ROCBOSS創辦人

	                            

	★一部可歌可泣的中華民國空軍故事。——吳尚融╱中國百年陸軍軍服系列作品作者

	 

	★書中敘述的故事既驚險又真實，請準備一條手帕，因為你會緊張到手心冒汗。——星期天配音是對的╱網路影片創作者

	 

	★若說對中華民國空軍飛行員故事的熟稔，若王立楨先生堪稱第二，恐怕無人敢稱第一了。——施孝瑋╱軍情與航空網站主編；孝瑋談軍事節目主講人

	 

"
遨遊天際：虎尾的天空,https://www.kingstone.com.tw//basic/2015980026832?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,霍鵬程,大輿      ,9789863861836.0,https://cdn.kingstone.com.tw/book/images/product/20159/2015980026832/2015980026832b.jpg,"


	本書主題描述1950～1958年中華民國空軍在虎尾機場擔任初級飛行訓練的教官、機械、通信人員生命故事，回顧1936～1945年他們曾在大陸投考中央航校，在日機轟炸下學開飛機，畢業後與日本航空隊在中國天空作戰 ; 同時期日海軍在虎尾街附近興建飛行場，1944年更擴建為特攻隊員飛行訓練基地。

	作者霍鵬程選自其博論調查文獻，以四年的時間走訪曾在虎尾擔任飛行人員第一、二代家屬，經由謝蜀芬文字編輯、霍榮齡版面設計、中原造像以黑、灰複色印刷歷史圖像，2019年6月交付印刷，讓那段艱難的空軍教戰史實得以重現。

"
江南案槍手董桂森：我們是為了國家？！,https://www.kingstone.com.tw//basic/2017830163681?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,梁東屏,時報文化  ,9789571384696.0,https://cdn.kingstone.com.tw/book/images/product/20178/2017830163681/2017830163681b.jpg,"


江南案至今未解的疑團

揭密，「江南案」！

是政治謀殺，還是一場鬧劇？

是為了國家，還是有人弄權下令密裁！

第一本&第一手江南案槍手的自白

	 

「江南案」是一場情治機關的爭鬥，還是一連串巧合？

「江南案」是誰下的命令？竹聯幫為何牽涉其間？

	 

重建江南案犯罪現場、釐清事件的始末★

★揭開竹聯幫在江南案扮演的角色與主使者的迷團★

第一本解密「江南案」竹聯幫董桂森的槍手歲月★

	 

一本書引來殺機，一件海外命案，卻改變與促使台灣民主政治的發展？！

	 

	《蔣經國傳》的作者江南（劉宜良）在美國舊金山自宅車庫，遭台灣竹聯幫分子董桂森、吳敦開三槍刺殺……。
	 

	台灣在一九八四年十一月十二日發動「一清專案」，先後逮捕了陳啟禮與吳敦之後，作為「江南案」涉案人之一的董桂森潛逃出境。

	 

	董桂森事後在一九八六年八月間所發表的「董桂森自述」中說道，「我當時對『江南』唯一的認識，就是他是『漢奸』，我自己曾經做過十年的軍人，自然願意替國家去做這件事」。事實上，董桂森於一九八九年間因「江南案」在美國加州聖馬刁紅木城高等法院庭訊中，曾經透過律師在庭上宣讀一份「我的聲明」，指出「這不是個人的行為，也不是幫派的行為，而是政府的行為……」。

	 

	董桂森被美國聯邦法庭依「一級謀殺罪」判處有期徒刑二十七年。於一九九一年二月間在美國賓州路易斯堡監獄內遇刺，當時各種傳言都有，甚至包括了國民黨政府派人入獄刺殺等匪夷所思的情節。

	 

	「江南」遺孀崔蓉芝早在一九八六年就進入紐約市大都會拘留中心跟殺手董桂森見了面，並誠心接受了董桂森的道歉。
	 

	情報局負責交代陳啟禮赴美刺殺「江南」任務的前第三處副處長陳虎門，也首次透露原先的計畫是要陳啟禮找美國當地的人下手……。
	 

	這本書試圖從各個角度去探討有關「江南案」的一些包括究竟原因為何以及是誰主使者的迷團，也首度揭露了一些原先不為人所知的細節。

	 

	一場情治機關主導的刺殺行動，打亂了蔣經國的接班布局，宣示蔣家後人將不會接班，對之後台灣的局勢造成巨變。本書作者還原現場，抽絲剝繭，解密「江南案」！

	 

"
荒島祖國戀：留越國軍奮鬥別記,https://www.kingstone.com.tw//basic/2018630186238?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,劉元章,典藏文創  ,9789869641357.0,https://cdn.kingstone.com.tw/book/images/product/20186/2018630186238/2018630186238b.jpg,"


	一道歡笑的浪沖進了白皙的海灘，如今的富國島儼然已是世界級的觀光勝地。
	但在1949年國共內戰之時，這裡卻曾是流離顛沛到越南異域三萬多軍民的「中繼所」，
	至今仍有誰還記得，那原本是座「讓人等不到黎明」的荒島？
	至今仍有誰還記得，黃杰將軍所帶領那支如同幽靈般、未納入編制的「富臺部隊」在島上經歷的風雨血淚？
	新聞人出身的劉元章，在他敏銳的眼光之下，
	將七十年前，困於異國荒島三萬多人的苦難，
	用最真摯樸實的筆和彷似照耀著史實的相機鏡頭，
	記錄並傳達給如今正活在自由世界的我們。

"
激流勇進：黃埔軍校第六期生研究（上冊）,https://www.kingstone.com.tw//basic/2015960009688?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,陳予歡,獵海人    ,9789869622738.0,https://cdn.kingstone.com.tw/book/images/product/20159/2015960009688/2015960009688b.jpg,"

▎黃埔軍校前六期生作為跨越兩個世紀的歷史名人，是體現「黃埔精神」與「民族精神」的菁英集團！ ▎他們英勇鐫刻國共兩黨過往的軍事史冊，更勢將成為中華民族現代軍事史的永久豐碑。創立於1924年6月16日的廣州黃埔軍校，至今已歷九十四年，它在過往歷史的風采與軼事，通過歷史資料展現和親歷者回憶，逐漸為世人所瞭解和認識，在現代中國軍事歷史留下了深深的印記。黃埔軍校作為現代中國著名軍校，以其稱譽世界長存中國之軍事魅力，引發了廣大讀者與熱心史事的無盡話題。黃埔軍校曾經北伐抗戰風采奪目的真實面孔，這個回顧與再現非同小可，勢必成為國家記憶與傳頌。過往歷史的黃埔軍校是什麼？它的歷史與現實意義就在於：它是大革命時期領導先驅與進步的同義詞，是國民革命與北伐成功的搖籃，是兩支先後為執政黨武裝力量的發源地，是那個年代的軍人魂、民族魂的精神體現。真實的史料可以告誡後人，面對外來侵略時，黃埔軍校師生曾是中華民族和國家意義的武裝力量及軍事棟梁，他們曾為中華民族及其國家興盛乃至救亡圖存生死攸關而「前仆後繼」、「拋頭顱灑熱血」，他們曾是中華民族與國家軍事成長歷程的先驅者、開拓者和奠基者！要認清他們曾在辛亥革命、國民革命、北伐戰爭、抗日戰爭及其軍事、政治、外交、社會諸多方面留存各自不同的軌跡、印痕與風采。黃埔軍校史跡其實還是一個規模宏大的學術富礦，在過去三十多年當中，筆者始終追尋著黃埔軍校歷期生的步伐與身影，回顧與記載他們行將遠去的背影與故事，藉檔案史料、圖書資訊、同學錄冊、職官年表、軍隊序列、傳主親歷、家屬來函及其相關背景史料基礎上，相繼推出黃埔軍校第一期至五期生研究專書，繼而順理成章推出第六期生研究，是黃埔軍校專題研究乃至學術史的又一部重磅力作。 本書特色延續《滄海橫流：黃埔五期風雲錄》，第六期生影響大、人數多，部分學員後亦成為國共兩黨著名人物，在現代軍事歷史上留下不尋常之作用與影響。第六期生相較前五期在數量、品質方面有其獨到之處，蔚為當時代中國抗戰軍人之魂，時至今日仍舊值得記述與弘揚。
                    
"
激流勇進：黃埔軍校第六期生研究（（下冊）,https://www.kingstone.com.tw//basic/2015960009718?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,陳予歡,獵海人    ,9789869622776.0,https://cdn.kingstone.com.tw/book/images/product/20159/2015960009718/2015960009718b.jpg,"

▎黃埔軍校前六期生作為跨越兩個世紀的歷史名人，是體現「黃埔精神」與「民族精神」的菁英集團！▎他們英勇鐫刻國共兩黨過往的軍事史冊，更勢將成為中華民族現代軍事史的永久豐碑。創立於1924年6月16日的廣州黃埔軍校，至今已歷九十四年，它在過往歷史的風采與軼事，通過歷史資料展現和親歷者回憶，逐漸為世人所瞭解和認識，在現代中國軍事歷史留下了深深的印記。黃埔軍校作為現代中國著名軍校，以其稱譽世界長存中國之軍事魅力，引發了廣大讀者與熱心史事的無盡話題。黃埔軍校曾經北伐抗戰風采奪目的真實面孔，這個回顧與再現非同小可，勢必成為國家記憶與傳頌。過往歷史的黃埔軍校是什麼？它的歷史與現實意義就在於：它是大革命時期領導先驅與進步的同義詞，是國民革命與北伐成功的搖籃，是兩支先後為執政黨武裝力量的發源地，是那個年代的軍人魂、民族魂的精神體現。真實的史料可以告誡後人，面對外來侵略時，黃埔軍校師生曾是中華民族和國家意義的武裝力量及軍事棟梁，他們曾為中華民族及其國家興盛乃至救亡圖存生死攸關而「前仆後繼」、「拋頭顱灑熱血」，他們曾是中華民族與國家軍事成長歷程的先驅者、開拓者和奠基者！要認清他們曾在辛亥革命、國民革命、北伐戰爭、抗日戰爭及其軍事、政治、外交、社會諸多方面留存各自不同的軌跡、印痕與風采。黃埔軍校史跡其實還是一個規模宏大的學術富礦，在過去三十多年當中，筆者始終追尋著黃埔軍校歷期生的步伐與身影，回顧與記載他們行將遠去的背影與故事，藉檔案史料、圖書資訊、同學錄冊、職官年表、軍隊序列、傳主親歷、家屬來函及其相關背景史料基礎上，相繼推出黃埔軍校第一期至五期生研究專書，繼而順理成章推出第六期生研究，是黃埔軍校專題研究乃至學術史的又一部重磅力作。 本書特色延續《滄海橫流：黃埔五期風雲錄》，第六期生影響大、人數多，部分學員後亦成為國共兩黨著名人物，在現代軍事歷史上留下不尋常之作用與影響。第六期生相較前五期在數量、品質方面有其獨到之處，蔚為當時代中國抗戰軍人之魂，時至今日仍舊值得記述與弘揚。
                    
"
灰飛的存在：二戰德軍200萬外籍兵團,https://www.kingstone.com.tw//basic/2015900039881?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王佐榮,蒼璧出版  ,9789869510196.0,https://cdn.kingstone.com.tw/book/images/product/20159/2015900039881/2015900039881b.jpg,"


聽都沒聽過的德軍部隊！
德軍歷史最後一塊拼圖！
獨步全球的揭密寫真檔案！

 二戰德軍當中有一支200萬人的外籍志願軍，他們來自40多個不同的國家橫跨歐亞非三洲，為自己的理想與信念無悔加入戰鬥。這些部隊在戰後被勝利者的歷史所湮滅，志願軍遭到流放與屠殺；戰勝國不願承認這支部隊的存在、戰敗國笑罵由人只能封存相關資料。在歷史的洪流中，他們只是「灰飛的存在」。本書收錄368張稀有「德國外籍志願軍」照片，以滿版寫真的方式依照國家個別呈現，並且敘述各國外籍部隊志願主因與戰鬥簡歷，為他們「曾經存在的身影」留下獨一無二的影像紀錄。

"
動盪的青春：希特勒青年團寫真,https://www.kingstone.com.tw//basic/2017120015973?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王佐榮,蒼璧出版  ,9789869427616.0,https://cdn.kingstone.com.tw/book/images/product/20171/2017120015973/2017120015973b.jpg,"


	在長久英美的價值觀之下，對於創建於1922年起到1936年時志願參加人數高達500萬以上的「希特勒青年團」（Hitlerjugend），總是充滿負面論述。事實上，該青少年男女組織是當時世界各國主政者艷羨、競相模仿的對象，甚至當該團於1938年造訪日本時還造成萬人空巷局面。在片段的歷史與戰勝國史觀下，大多當今讀者對「希特勒青年團」缺乏時代背景的通盤瞭解。本書的特點在於用「臺灣」、「現代」的觀點，配合250幅A4大型寫真，重新還原當時社會背景之下的真相，同時探究該青少年團體其後組成戰鬥部隊的經緯。歷史是讓我們通往未來的道路，唯有深入瞭解方能真正避免悲劇再度發生。

"
