書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
反脆弱：脆弱的反義詞不是堅強，是反脆弱,https://www.kingstone.com.tw//basic/2011730207674?zone=book&lid=book_class3_hke&actid=book_class3_hke,納西姆．尼可拉斯．塔雷伯,大塊      ,9789862134467.0,https://cdn.kingstone.com.tw/book/images/product/20117/2011730207674/2011730207674b.jpg,"

殺不死我的，使我更強大。既然黑天鵝事件無法避免，那就想辦法從中獲取最大利益《黑天鵝效應》作者最新鉅作每一件事情都會從波動得到利益或承受損失。脆弱是指因為波動和不確定而承受損失。反脆弱則是讓自己避免這些損失，甚至因此獲利。尼采名言：「殺不死我的，使我更強大」。就像人的骨頭承受壓力和緊張會變得更加堅強，謠言或暴亂會在有人試圖鎮壓它們時變本加厲，生命中的許多事物也會受益於壓力、混亂、波動和動盪。《黑天鵝效應》作者塔雷伯找到所謂「反脆弱」的那類事物，不只受益於混沌，我們也需要適時出現的壓力與危機，才能維持生存與繁榮。《黑天鵝效應》告訴我們，非常不可能發生和無法預測的事件，存在於世界上幾乎每一種事物之中。《反脆弱》一書更力陳不確定是件好事，甚至有其必要，並且建議我們以反脆弱的方式建立各種事物。反脆弱超越堅韌或強固：堅韌至多只能夠抵抗震撼和維持原狀；反脆弱則會變得愈來愈好。此外，反脆弱可以免於預測誤差，並且受到保護，不受不利事件的影響。為什麼這個世界上最穩定的國家其實沒有政府？為什麼債務對你不好，以及為什麼我們一般說的「效率」根本缺乏效率？ 為什麼政府的反應和社會政策保護強者，卻傷害弱者？為什麼你甚至在還沒就職之前，就應該寫好辭職信？鐵達尼號的沉沒為何拯救了更多生命？這本書大談試誤法、人生的大小決定、政治、都市計畫、戰爭、個人理財、經濟體系和醫療系統……風格獨樹一幟。《反脆弱》是生活在不確定世界中的藍圖，也是面對隨時可能出現的黑天鵝事件時的終極自保守則。
                    
"
思考整理學：最多東大生、京大生讀過的一本書！,https://www.kingstone.com.tw//basic/2011760347227?zone=book&lid=book_class3_hke&actid=book_class3_hke,外山滋比古,究竟      ,9789861373300.0,https://cdn.kingstone.com.tw/book/images/product/20117/2011760347227/2011760347227b.jpg,"


★打造超強思考力必讀經典！

日本知識巨擘、文學博士與修辭學專家暢銷＋長銷大作！

比喻雋永、文筆流暢，影響許多世代，使人思維清晰、創意豐滿！

	 

	「如果能早點看到這本書，該有多好……」我忍不住這樣想。——澤屋書店松本大介

	 

	當書店裡盡羅列著學習法、時間管理術等講求效率的指南書籍，我覺得作者所主張的「遺忘的技術」最耀眼。——東大學生

	 

	出版逾35年，熱銷超過258萬冊！歷屆東大＆京大學生強力支持！

	2008年至2020年銷售紀錄：東大 7度、京大8度＋最近3年連續——稱霸銷售榜No.1

	 

★創造性思考的第一本書

什麼樣的書，經過了35年仍不褪色，反而更加耀眼？

什麼樣的書，讓日本頂尖大學生人手一本，並且深受啟發？

一位大學教授、知識的巨擘，傾注熱誠、貢獻給世人的最佳思考整理學

	 

	你的腦子是雜亂無章的知識倉庫，還是生產力豐沛的創作發電廠？

	你能有效運用自己的知識和記憶嗎？你的思考習慣夠進化嗎？

	本書作者運用各種巧妙的比喻和實際方法，告訴你思考到底是怎麼一回事，以及如何養成創意思考的好習慣。

	熟讀本書，將使你不管在校園學習或職場競爭上都得心應手，一生受用。

	 

>>>如何進行創造性思考？

	．延長早餐前的時間．從四面八方獲取靈感，再與素材混合．讓點子沉睡熟成，靜待發酵

	．等待熟成，就是有意識的利用潛意識．透過知識的編輯，進行二次性創造．多看多聽多問，善用偶然力

	 

>>>如何整理思考？

	．將資訊抽象化，提高知識的品質．利用筆記、卡片做整理．利用「積讀法」，鎖定主題集中一次閱讀

	．思考時，有任何想法都先寫下來．一旦開始寫就不要停下來．記下來的點子，讓它沉睡一段時間再回頭看

	．朗讀筆記的內容．將筆記內容重新整理在「超筆記本」上．將不必要的資訊遺忘

	 

>>>如何鍛鍊獨立思考？

	．時常和不同背景的人交流．多讚美自己和他人．從生活的現實中建立思考的基礎

	．探索未知，積極閱讀「看不懂」的書

	 

	※本書為改版書，之前曾以《這樣思考，人生就不一樣》為名出版。

"
洞見：像社會學家一樣批判思考，美國思辨教育的共同必修課，用以檢驗各種主張與立論依據的能力,https://www.kingstone.com.tw//basic/2015400105123?zone=book&lid=book_class3_hke&actid=book_class3_hke,喬．貝斯特,麥田      ,9786263100565.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015400105123/2015400105123b.jpg,"


『批判思考既不是一種目標，也不是一種成就，
	而是一種技巧，需要練習，並且在有意而為與反省之下應用。』
	這是一本能讓所有人都有所獲得的書——
	從社會學導論課的學生、乃至於經驗豐富的學者與政策制定者都是如此

	 
林文蘭（清華大學社會學研究所、人社院學士班合聘副教授）
戴伯芬（輔大社會系教授）
焦糖哥哥／陳嘉行────讚譽推薦！！
	 
	▶▶批判思考的關鍵是「評量證據」，而非用來批評異議者。
	我們通常假定我們對這個世界的理解是正確、正常又合情合理，批判思考最困難的，就是找出自己視為真實的預設，並且檢視其中到底有沒有問題；最重要的批判思考，就是要用在我們同意的立場上。本書作者、社會學家喬．貝斯特把批判思考定義為評估各種主張的方法，我們不預設自己已經知道什麼是真的，而是藉著評估證據，去考慮我們的預設可能為假的可能性。

	有別於書市常見多講邏輯論證、哲學家的批判思考指南，作者提供另一套理解社會、提出問題與分析問題的方法，以精簡扼要的章節，說明社會學家如何評估論證及其支持證據，並且分析社會學領域中要進行批判思考，可能會碰到的各種實際問題（像是不同方法論的爭議、不同陣營的派閥偏見，甚至整個社會學領域的預設立場等），對於社會科學領域的學生、以及對批判思考有興趣的一般大眾多有裨益。

	進步來自願意仔細思考，質疑別人告訴你的事，對於被大家接受的智慧保持懷疑態度。經由練習與內化，這套扎實的技巧亦將幫助我們在日常選擇中做出正確的決策。
	 
	★清華大學社會學研究所、人社院學士班合聘副教授  林文蘭：
	本書引導你如何在日常生活中保持「與常識斷裂」、練習「質疑的精神」、找尋「論證的過程」，鍛鍊「思考的力量」。透過日常實作，進行社會學式的批判思考，可以解構迷思，跳脫同溫層，更深刻地提出問題、分析癥結、理解社會。

	★輔大社會系教授  戴伯芬：
	社會學主張批判性思考，這本書對批判社會學進行批判思考，解構社會學價值的結構限制。本書拋開聱牙詰屈的理論，深入淺出，突破以訛傳訛的常識或同溫層意識形態的偏執。在資訊如疫情蔓延的年代，批判性思考如同快篩劑，過濾信息真偽，有助於決策與創新。

	★焦糖哥哥／陳嘉行：
	我們很常聽到一些人把「批判思考」掛在嘴邊，不論是用來讚美自己或是貶低不同意見的人，「批判思考」成了人擁有智慧與美德的特徵。但怎樣的意見與立場才符合批判思考的標準？本書作者喬．貝斯特是位社會學家，他用社會學的方法告訴大家「批判思考與證據有關」。

	這意謂你要發表任何意見表明立場時，你得先檢驗自己手上的證據品質，是否能支撐住自己的推論。如果證據本身有問題甚至是錯誤的，那你再怎麼會推論，看起來多合邏輯，甚至外加華麗詞彙包裝，得出來的答案也是錯誤的。

	這本書有別於相關領域的哲學思考、媒體識讀的書，而是以社會學的研究方法，讓未接觸過社會學研究訓練的人，能透過書中的例子分析學會簡單的社會學思考工具。

	這能幫助我們應對媒體報導與日常人際交流中，誰的意見較符合真相與科學，而哪些立場我們得保持距離。譬如我們最常聽到的一句話「我沒有政治立場，但我認為……」，作者會告訴你：「你認同的事情就是你的立場了，不論正確與否。」

"
邏輯力：邏輯思考的入門書（修訂版）,https://www.kingstone.com.tw//basic/2011500013009?zone=book&lid=book_class3_hke&actid=book_class3_hke,麥肯納利,久石      ,9789869052597.0,https://cdn.kingstone.com.tw/book/images/product/20115/2011500013009/2011500013009b.jpg,"


 人人必須具備邏輯力
 說話、寫作、談判、演講、溝通及問題解決的必備技能
 學點邏輯，讓自己不再「理盲」
 入選香港中文大學40本英文必讀經典
 誠品年度英文推薦書及暢銷書
 哈佛大學校內書店強推好書

  

 邏輯，不論被視為一門科學、一種藝術或一項技巧，又或三位一體，都是人類思考、分析、辯證和溝通等四種能力的基礎。事實上，邏輯適用於人類智慧的每個層面。在這本精簡俐落的工具書中，麥肯納利教授將為讀者揭示邏輯思考為日常生活帶來的各種益處。本書的撰寫對象為邏輯思考的初學者，並與史壯及懷特（Strunk and White）合著的《寫作要素》（The Elements of Style）並列經典之作，提供許多簡明易懂又價值非凡的建議。

  

 麥肯納利教授認為，邏輯思考這門學問會對我們的生活持續發揮深刻的影響。讀者如果想要掌握邏輯思考，就必須從正確的推論開始，並完全領會邏輯思考和邏輯表達（logical expression）之間的緊密關係，認識論證的基本術語，更必須熟悉非邏輯思考的各種陷阱。因此麥肯納利教授將本書設計為一連串的簡短章節，前後互相連貫，強化讀者對這本入門書的理解，建立清晰且有效的推論。

  

 本書的核心價值就是建立論證，包含如何架構論證及闡述論證，如何分辨邏輯語言與其他學術性質的論述，以及如何具體表現邏輯的各種要素。麥肯納利教授精心整理出「前提」（premise） 和「結論」（conclusion） 兩者之間微妙且錯綜複雜的關係，清楚區別「事實陳述」（statement of facts）與「評價陳述」（statement of value），檢視主要型態的論述法則，從「三段論證」（syllogistic argument） 到「條件論證」（conditional argument），並深入探討各種論證的基本原則和實際應用。此外，他還用敏銳的觀察角度剖析非邏輯思考，幫助讀者辨認並避免常見的邏輯謬誤。

  

 本書中，麥肯納利教授運用精準的分析、簡易的範例和清晰的洞察力來探索邏輯學的精髓。不論讀者是教師、學生、想加強職場技巧的專業人士，或想追求精英思想及語言的社會大眾，這本工具書是幫助你學習推論的無價之寶。

"
隨機騙局：潛藏在生活與市場中的機率陷阱,https://www.kingstone.com.tw//basic/2015630553770?zone=book&lid=book_class3_hke&actid=book_class3_hke,納西姆．尼可拉斯．塔雷伯,大塊      ,9789862135327.0,https://cdn.kingstone.com.tw/book/images/product/20156/2015630553770/2015630553770b.jpg,"


 在機率的觀念下，賺大錢的人可能只是運氣好的傻瓜，而賠錢卻也只是運氣不好罷了。現實生活中的成功與失敗，運氣其實常常被低估。這本書要談的就是運氣，更 準確地說，在個人生活或是職場生涯裡，我們對運氣懷有什麼樣的認知。本書的背景，正是最引人注目的論壇。在那裡──也就是市場，也包括日常生活──運氣常 被人誤認為是真正的技能……為什麼有些人那麼有錢，卻不是那麼聰明？世事可能瞬息萬變，為什麼只有牙醫是值得考慮的一個好職業？為什麼只要足夠數量的猴子 坐在打字機前，遲早就會出現一位大文豪？為什麼統計學家統計了老半天，卻總是料不準接下來會發生什麼事？當你因為隔壁的千萬富翁太多而備受打擊時，有沒想 過只是自己選錯居住的地點？為什麼股票交易買賣其實比煎蛋還容易？又為什麼專家及新聞記者多如過江之鯽，卻沒一個可以信得過？是什麼樣的世界，讓人們寧可 靠運氣，也不要靠能力？賭徒的迷信有沒有道理？為什麼爛計程車司機的破英語讓人大賺了一筆？倒底是贏家通吃，還是輸家通賠？為什麼微軟的比爾．蓋茲並不是 他那一行中的佼佼者（但請勿告訴他這個事實）……《隨機騙局》的文風玩世不恭，有悖傳統，從多個學門探索我們生活中最不被理解的力量之一，令人大開眼界。 本書係《黑天鵝效應》作者的成名之作，與《黑天鵝效應》及《反脆弱》並稱為解決風險與隨機問題的《不確定》三部曲，更是其中最淺顯易懂的首部曲。

"
思考練習題：美國名校都在用的動腦題庫，突破我們的想像同溫層,https://www.kingstone.com.tw//basic/2011760320299?zone=book&lid=book_class3_hke&actid=book_class3_hke,瑪瑞琳．伯恩斯,大田      ,9789861795621.0,https://cdn.kingstone.com.tw/book/images/product/20117/2011760320299/2011760320299b.jpg,"


數十年不敗的經典之書‧跳脫框架的啟發之寶
 榮獲亞馬遜網路書店五顆星最高評價

 來！現在試著回答以下的問題：(記住！先不要急著看答案)
 你現在穿的襪子是什麼顏色？
 穿衣服時你先穿右邊還是左邊？
 雙臂抱胸時，左手在上還是右手在上？
 自由女神是哪一隻手高舉火把？

 對！你從來沒想過這些問題的答案。現在再試著想像以下的情境：
 想像一下花生的滋味；
 想像一下汽油的味道；
 想像一下盪鞦韆時盪高高的感覺；
 想像一下書本掉落地面的聲音……
 學著解決問題，並不代表要更具邏輯性，而是要學著用不同的方式去思考。

 如果你想要成為問題解決高手，就必須避免先入為主的困境；
 腦袋記住所有細節，不見得很厲害，但觀察入微才可以好好培養專注力。
 這本輕薄小書，集合了循序漸進的思考練習題，幫助你打破框架，擺脫自我侷限，
 利用幽默的笑話哏，有趣的猜謎遊戲，讓你打結的腦袋一下子豁然得到從來沒想過的解答。

 編輯提供閱讀本書的練習步驟：
 第一步→鬆開僵化的頭腦
 第二步→拋棄先入為主的觀念
 第三步→試著磨練你的感覺
 第四步→記住本書的訣竅

本書特色

 ★激發思考潛能，不論大人或小孩，上班族或家庭主婦。
 ★最適合親子共讀，一起闖關，互相找答案。
 ★活潑的題庫，學習解決問題的能力。
 ★團體活動最佳遊戲參考書。
 ★取代刻版教學，每個家庭書架上五顆星常備書。

"
不對稱陷阱：當別人的風險變成你的風險，如何解決隱藏在生活中的不對等困境,https://www.kingstone.com.tw//basic/2015410274819?zone=book&lid=book_class3_hke&actid=book_class3_hke,納西姆．尼可拉斯．塔雷伯,大塊      ,9789862139271.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015410274819/2015410274819b.jpg,"


《紐約時報》亞馬遜非文學類 No. 1 暢銷書
	解決風險、不透明、隨機問題的「不確定系列」第五部曲
	繼《黑天鵝效應》《反脆弱》，塔雷伯最大膽、顛覆之作
	 

面對不確定世界，空口說白話的人太多
	在混亂與隨機的世局裡
	揭穿日常生活隱藏的不對稱
	擁抱風險，互利共贏

	 

	「切膚之痛」（Skin in the Game）說的是，別管人們說什麼，只看他們做什麼，冒多大風險。
	　
	塔雷伯在這本迄今最挑釁、最務實的著作中，用詞尖刻、犀利、直言不諱，拆穿沒有切膚之痛的人──例如：政客、政府官僚、銀行家、分析師、企業高管、學究等的把戲，這些人從來不必為所採取的行動造成的後果，付出代價。風險承擔的不對稱，會導致失衡，將可能引發系統性崩壞。更重要的是，不該以犧牲他人來取得反脆弱。

	書裡引用的例子，從漢摩拉比到塞內加，巨人安泰俄斯到川普，羅伯特．魯賓到湯瑪斯．皮凱提，塔雷伯以此闡述，勇於承擔風險，對等互惠，才是真有「切膚之痛」這一概念，它是風險管理的骨幹，與我們生活或工作的各層面息息相關。本書重新定義，我們如何了解這個世界、專業上的成功、對公平和公正的社會有所貢獻、察覺胡說八道和影響別人，是什麼意思；以及如何使社會強固、甚至對黑天鵝事件免疫。

	塔雷伯的文筆一向平易近人又不彈老調，精彩剖析生活裡隱藏的種種不對稱，在本書中直擊那些帶頭鼓吹軍事干預、從事金融投資，以及宣揚宗教信仰的人；挑戰長久以來占據主導地位的價值觀，以及我們對於世界的既定理解，還有風險與報酬、政治與宗教、財務與個人責任的根本信念：

	談到社會公義時，重點放在對稱和風險分攤上；倫理規則不是放諸四海皆準；提防（某個人支領薪酬去尋找的）複雜解決方案；你有多相信某件事情，只表現在你願意為它冒什麼風險上；這個世界不是靠共識運轉，而是由頑固的少數，將他們的品味和倫理道德強加在別人身上。

	每個人都該具備的風險意識：任何事情，要玩真的，不能沒有切膚之痛。
	避免別人轉嫁風險，玩你的命，如果對方沒有切膚之痛，欠缺利益攸關，不擔風險，就別讓他做決定、掌握權力與影響力。

本書特色

	●在充滿不確定性的世界裡，幫助你怎麼面對風險，做出最佳決策。

	●現代社會是個複雜系統，本書教你用「切膚之痛」的眼光看世界、看人、看自己，把工作和生活處理得有為有守，自利利人。

	●塔雷伯的作品富於哲學思辨，學識和寫作水準都出類拔萃，觀看世界的眼光十分獨到，讓喜愛閱讀他作品的人，享受智力上交鋒的快感。

"
黑天鵝效應,https://www.kingstone.com.tw//basic/2010280003439?zone=book&lid=book_class3_hke&actid=book_class3_hke,納西姆．尼可拉斯．塔雷伯,大塊      ,9789862132616.0,https://cdn.kingstone.com.tw/book/images/product/20102/2010280003439/2010280003439b.jpg,"

亞馬遜、《經濟學人》、《彭博商業週刊》、《金融時報》年度推薦好書亞馬遜非文學類銷售冠軍《紐約時報》、《華爾街日報》排行榜長銷暢銷書The Black Swan所謂黑天鵝，是指看似極不可能發生的事件，它具三大特性：不可預測性；衝擊力強大；以及，一旦發生之後，我們會編造出某種解釋，使它看起來不如實際上那麼隨機，而且更易於預測。Google的驚人成就就是一個黑天鵝事件；九一一也是。作者認為黑天鵝潛藏在幾乎每一件事的背後——從宗教之興起，到我們個人生活中的大小事件。為什麼要等到事情發生之後，我們才認得出黑天鵝現象呢？部分的答案是，在應該注意普遍現象時，人們長久以來卻習慣注意特定事件。我們習慣注意已經知道的事情，卻一而再再而三忽略我們所不知道的事情。因此，我們無法真正地評估機會；我們很容易將事情簡化、予以敘述、分類；而且我們不夠開放，沒能珍視那些能夠想像「不可能事物」的人。多年來，作者一直在研究我們是怎樣欺騙自己，以為自己知道的比實際上知道的還多。我們總是只看到無足輕重的事情，而大的事件卻繼續在你我的驚嘆聲中出現，並形塑著這個世界。本書試圖解釋我們對於「我們所不知道的事物」所知道的一切。作者提出簡單得令人吃驚的技巧，協助讀者面對黑天鵝現象，並從這些意外的大事件獲益。優雅、驚豔，且應用廣泛，《黑天鵝效應》猛力衝擊了文化業、社交圈和知識界，成為琅琅上口、被廣為引用的概念和詞彙。作者在擴充新版中新增五萬餘字，提出違反直覺卻實用的作法，能提高社會和我們自己對黑天鵝事件的免疫力，得以在極端世界中生存。《黑天鵝效應》已改變了許多人的世界觀，生活在黑天鵝事件層出不窮的世界，每個人都該讀這本書。
                    
"
神邏輯：不講道理的人總能講出一番道理，你如何對付這一本正經的胡說八道？更該學學神邏輯回懟脫困,https://www.kingstone.com.tw//basic/2011500015263?zone=book&lid=book_class3_hke&actid=book_class3_hke,楊牧之,任性出版  ,9789860617474.0,https://cdn.kingstone.com.tw/book/images/product/20115/2011500015263/2011500015263b.jpg,"


◎「人如果不是你撞的，你為什麼要救她？肯定就是你。」
◎「全班那麼多人，他不打別人，就只打你？一定是你先招惹了他。」
◎「你知不知道你遲到1分鐘，全班40個人，等於浪費了大家一節課的時間！」
◎「她會跟那個又禿又矮的男人一起，一定是愛他的錢！」

	這些出現在生活中的神邏輯對話，你一定很熟悉。

	「神邏輯」是什麼？
	就是近乎狡辯但又在情理之中，讓人瞠目結舌，無言以對。

	說白了，就是沒道理卻又講得一番道理，是在一本正經的胡說八道，
	看似無害其實在帶風向。
	在現實生活中，每個人都會被人用神邏輯「懟」你。

	遇到這群人，我們該如何應對與回擊？
	很簡單，跟他們一樣，一本正經的胡說八道。
	當然，偶爾也得用神邏輯「堵」住對方的歪理。

	作者楊牧之是邏輯學和社會心理學著名學者，
	書中他以常發生在我們身邊、隨處可見的邏輯謬誤為例，
	解析這些被廣泛傳播奉為真理，似是而非的觀念到底是什麼神邏輯，
	我們又該怎麼突破盲點，回懟脫困。

◎總以為對方別有居心之典型陰謀論

	「如果這件事跟你沒有關係，你為何要幫她？」
	「她一定是為了錢，才跟那個又禿又矮的男人在一起。」

	目的論、陰謀論者，多以消極、陰暗的思想曲解別人的論點，
	甚至憑空創造別人的觀點，
	所以聽到這種話時先想想：這是事實還是個人評論？

◎你問理由，他卻給你藉口

	「聽說你上次的比賽得了第二？」
	「嗯，要不是那天我拉肚子，第一肯定是我的。」

	這種人對自身能力十分驕傲卻又害怕失敗，常會給自己找藉口。
	你問他任何事情，他都會透過貶低別人來宣揚自我。
	小心，不要被他們的貶抑影響你的自信。因為他們是故意的。

◎不檢討自己，反而先指點別人

	「你賺這麼多，居然才捐這麼一點！」
	「你這麼有錢，連5萬元都不肯借我！」

	這種有錢就該借、沒捐就沒愛心的評論，就是關聯謬誤中的「罪惡關聯」，
	他會避免跟你正面討論，反而從負面印象詆毀你。
	最常見於各種用來討伐明星或公眾人物的論壇，
	小心，不要被這種人穿了小鞋、帶了風向。

	不講道理的人為何怎麽說都有理？
	該怎麼見招拆招，和這群不講道理的人講理？
	你得學學神邏輯回懟脫困。

各界推薦

	職來直往Miss莫莉
	創新管理實戰研究中心執行長／劉恭甫

"
圖解悖論大百科：鍛練邏輯思考的50則悖論－－人人伽利略15,https://www.kingstone.com.tw//basic/2011500014921?zone=book&lid=book_class3_hke&actid=book_class3_hke,日本Newton Press,人人      ,9789864612222.0,https://cdn.kingstone.com.tw/book/images/product/20115/2011500014921/2011500014921b.jpg,"


★50則廣泛領域的弔詭悖論讓你燒腦燒不停！
	列舉知名悖論如電車難題、雙生子悖論、費米悖論、時空悖論等等，帶領讀者一探究竟！
	★日本牛頓獨家授權，以精美圖解幫助理解，適合當作休閒讀物培養邏輯思考的能力。


	電車直走會撞到5個人，那調換方向改撞到2個人這樣合理嗎？
	飛毛腿阿基里斯為什麼跑不贏烏龜？
	雖然是雙胞胎，但哥哥卻比弟弟還要小4歲？

	我們能穿梭時光隧道，回到過去改變歷史嗎？
	竟然可以證明出「2=1」？

	這些看似以正確為前提，卻導出矛盾結論的問題，稱之為「悖論」，本書列舉50則悖論範圍涉及經濟、哲學、物理、數學、宇宙等等，形式也各不相同，深富趣味性，有許多悖論至今仍然沒有正確解答，讓科學家們傷透了腦筋。讀者可以藉此培養邏輯思考的能力，動動腦，讓自己沉浸在思辯的樂趣！

透過多數決可能選出最差的結果？！
	我們在做選擇時，有可能會碰到不論選擇哪一種，都合乎邏輯的情形。比如攸關民主的投票制度，朋友們採多數決票選出最想吃的餐點，經順序的不同，也有可能選出原本最不想吃的餐點，這是怎麼回事呢？或是明明想節省家庭支出，節儉為什麼可能會導致家庭財務更加惡化呢？或是涉及功利主義的電車難題，若不想撞上5個人，改撞到2個人，這樣有合乎倫理嗎？最好的選擇到底是什麼呢？都很值得我們深思。

	還有因為定義不清楚而衍伸出的悖論，或因指涉到自己而產生混亂的自我指涉性悖論等等。本書內容豐富種類又多元，搭配圖解的方式，更加容易領會，讀者可以一起來挑戰！

本書特色

	1‧本書系來自日本牛頓出版社的科普書系列，一貫以精美插圖、珍貴照片以及電腦模擬圖像，來解說科學知識，深入淺出、淺顯易懂。
	2‧以一書一主題的系統化，縱向深入閱讀，橫向觸類旁通，主題涵蓋天文地理、生物、數學、物理、化學、工學、歷史、醫學藥學九大類。
	3‧總以各方角度來闡明各類科學疑問，啟發讀者對科學的探究興趣。

"
