書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
中醫醫理與道家易經,https://www.kingstone.com.tw//basic/2011210268072?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,南懷瑾,南懷瑾文化,9789869613736.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210268072/2011210268072b.jpg,"

◎古代名醫多從道家的學問中求證解道，再經一段時間的實證才得以豐富醫道。◎本書深入探討中醫學理，並以實例解說中醫藥的應用與人們的養生修養。◎兼從易經卦象與曆法，延伸探討氣候的變遷與人類身體的應對之道。中國道家、易學與醫理的研究，是中國文化之寶藏，南懷瑾老師集合中醫、西醫及科學等合併研究，一方面將中國固有的、偉大的應用哲學加以闡揚，另一方面也是對人類的一種貢獻。本書為南懷瑾先生應台灣光華針灸醫院朱院長之請，所作的講課記錄。第一講發表於1972年1月的《人文世界月刊》，連續每月發表一講。南師所講內容，主要是與中醫藥方面的人士，探討諸多值得思考與發展的問題。在一共十四講的內容中，除了學理探討分析外，對於中醫藥的實際應用，以及養生修養方面，亦多有發揮和實例解說，內容極為豐富。「宇宙在手，萬化由心」，南師又積極提出，如能「把握人人自有的活子時，及奇經八脉的道理，研究出一套新的針灸法則，可能是對人類真正重要及有意義的貢獻。」更進一步，如能再與唯識學中的「意識」研究配合，對判斷病情和治療則能更上一層樓的突破了。本書內容，除了學理探討分析外，對於中醫藥的實際應用，以及養生修養方面，亦多有發揮和實例解說，內容極為豐富。本書也是對易學、道家及醫理方面的報告，能以有限的資料掀起各界研究的興趣，共同作有系統的研究與實驗。（代理經銷：白象文化）更多精彩內容請見http://www.pressstore.com.tw/freereading/9789869613736.pdf
                    
"
傅佩榮易經課：占卜、解卦、指引人生、趨吉避凶,https://www.kingstone.com.tw//basic/2012920513261?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,傅佩榮,天下文化  ,9789864797950.0,https://cdn.kingstone.com.tw/book/images/product/20129/2012920513261/2012920513261b.jpg,"


（原書名：不可思議的易經占卜）

 國學大師傅佩榮最完整、最深入淺出的《易經》課，
 培養你自行占卜解卦的能力，
 讓你看懂天道的啟示，解人間一切提問。

 傅佩榮國學官方頻道：https://reurl.cc/mEZgl

 《易經》為群經之首，助古代帝王治世；
 時至今日，《易經》猶如古人留下的心靈父母，為我們指點迷津，
 讓我們了解吉時不可得意忘形，凶時不必灰心喪志，
 因為下一步就是轉變的契機。

 最簡單、最方便、最快速的《易經》占卜法，
 人人都能學會，終身受用、化解盲點，助你尋思人生抉擇。

 ∥書中包含∥
 ‧《易經》64卦、384爻完整卦象、卦辭與爻辭
 ‧分由時運、財運、家宅、健康四方面詳細解析
 ‧101則占卦案例，詳述64卦的啟示
 ‧隨書附上《易經》籌策占卦教學QR Code

 《易經》每一卦每一爻，都是善意的提醒。
 傅佩榮教授以潛心的研究與自身的經驗，帶領你進入《易經》博奧的世界，
 領悟天道無吉凶、否極總會泰來，自然日日是好日。

 ∥本書三大部分∥
 《易經》入門：為初學者所做的扼要介紹，即使是從未接觸過《易經》的朋友，也很容易由此掌握門徑。

 《易經》占卦解卦：介紹籌策與數字兩種占法的同時，也說明占卦的正確心態與基本觀念。

 解卦手冊與解卦實例、啟示：解卦並無定法，還需讀者培養自行解卦的能力，因為占問者本身才是最好的解卦者，因為他了解所有相關的細節，知道卦爻辭有何具體的指涉。傅佩榮教授列出101則案例，都是近幾年占卦的驗證。這一部分還包含64卦各卦的啟示，幫助讀者對於《易經》文本得到更完整也更深刻的認識。

"
反復：易經新寫,https://www.kingstone.com.tw//basic/2015380132218?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,岑朗天,花千樹    ,9789888484805.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380132218/2015380132218b.jpg,"

易經可用於占卜，也可用於思考、說理、協助建立人生觀和世界觀。本書著重易理，積極主張以易占的結果檢證、鎖定及豐富易學之理解。易理是人類理性其中一種展現方式，而《周易》僅是易理其中一種最流行也是保留得較完整的系統。然而，由於長期受儒家詮釋主導，加上舊有的卦辭和爻辭令現代人應用倍感困難，乃主張建立可名為《反復》的系統，以新的操作振興玄思。《反復》系統高舉復卦這個象徵存在的範疇或概念，彰示了它面向本體論的方向，故取名本體論易學。本書為《反復：本體論易學之建立》之翼書，特點是用現代和理性語言重新詮釋及演練六十四卦、強調每一卦的內在結構、卦與卦之間的對反與矛盾關係，並盡量尋找每一卦的哲學涵意。
                    
"
從易經解金剛經,https://www.kingstone.com.tw//basic/2011210286502?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,劉君祖,大塊      ,9789865549237.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210286502/2011210286502b.jpg,"


	金剛經》是大乘佛教重要經典之一，也是出家或在家佛教徒經常持誦與抄寫的佛經。它是釋迦牟尼在世時與須菩提等弟子的對話，傳入中土之後，以鳩摩羅什的譯本最為通行，整部經五千多字，通篇討論的是空性智慧，因為漢譯佛典都是飽學之士，文句不但美而且別具深意。

	 

	劉君祖學易四十餘年，擅長將深奧難解的易理，結合時事和生活化的實例佐證，近年更以易經為根柢，遍及群經和佛經。劉君祖以易參佛、佛易參證的講經計畫，最先講的就是金剛經，因為它不繞遠路，直指本心，還可以消業力。很多人認為《金剛經》是佛經第一經，《易經》則是華夏第一經，兩個第一的經典如何對話？這也是本書最特別的地方。劉君祖還借用易占，用天算，從中得到很大的啟發。有趣的是，曾有學生占卦問《金剛經》說甚麼？《易經》給的答案是〈震卦〉第四爻，爻變是〈復卦〉，只用「震遂泥」三個字，就涵蓋了金剛經的主旨，就是「剝極而復」，就是將層層假象通通都給剝光，自然就會明白了。而劉君祖在講經計畫之前，誠心以易占問各經的主旨，《金剛經》是復卦初爻，爻辭：「不遠復，無祇悔，元吉。」妙的是伏羲老祖還能因材施教，給的答案既簡單又直接，就是〈復卦〉第一爻。顯然老師智慧比較高，不必講遂泥，省卻了中間的過程。或許有讀者會問：若是大家同時占卦呢﹖劉君祖說《易經》都能回答的井井有條，寂然不動，感而遂通，真是不可思議。

	 

	《金剛經》有別於其他佛教經典的地方是，既沒神通，也不放光，更沒有大到匪夷所思的佛像出現，不僅融入平實自然的生活，還要我們既不著有也不著空。《金剛經》掃除一切執著，隨說隨掃，了無罣礙。須菩提也代替大家提出許多重要的問題，像「布施功德」，「應云何住」和「應無所住」的差別等等。

	 

	上經離相，下經離念。《金剛經》的上半段很多否定句，一切皆無，一切皆空。進入下半段，師生之間的問答，則是正面的肯定，一切皆是，一切皆有，最後都不執著，把所有的見地都掃乾淨。《金剛經》的般若智慧之所以難懂、難行、難修，是因為它超越世俗凡情太多，「法尚應捨，何況非法」。不要我們產生執著罣礙依賴的心，空有兩不住，此岸就是彼岸。

	 

	劉君祖雖是理工背景，但有一代鴻儒毓鋆老師的薰陶，象、數、理三全，在當代是特別難得的。他講解深奧的《易經》和《金剛經》，十分生活化，深入淺出易懂，而且具足了現代嚴密的邏輯思考與先進的科學知識，對於現代知識菁英更具有四兩撥千斤的說服力。

"
易經繫傳別講（下）,https://www.kingstone.com.tw//basic/2011210281552?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,南懷瑾,老古      ,9789866059346.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210281552/2011210281552b.jpg,"

南懷瑾先生繼「易經雜說」後另一部有關易經的講述是「易經繫傳別講」。繫傳是孔子研究易經的心得報告，也是學易的門徑。本書為南懷瑾先生於一九八四年一系列講座的記錄，南懷瑾先生的《易經雜說》使讀者瞭解《易經》全貌，本書則是進一步整理《繫傳》講錄內容，不但對易經有更精闢的講述，也是孔孟思想、儒家學說的探源。從自然的道理，說到人文的精神，人生的道理，修行的道理……無論入世出世均為不可亟得的摩尼寶典。
                    
"
傅佩榮周易哲學十五講,https://www.kingstone.com.tw//basic/2011210276725?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,傅佩榮,立緒      ,9789863601456.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210276725/2011210276725b.jpg,"

．《易經》的三個世界：瞭解過去的世界，現在的世界，並彰顯未來的世界。．經典閱讀：涵蓋「天道、地道、人道」的生命哲學，認識易經占卦，洞察格局、時機與位置，更可提升德行、智慧及能力。．台大哲學系熱門課程：傅佩榮精心解讀「易經入門——哲理及占卦」。專為零基礎初學者所講，由淺而深，循序漸進，並加入新的看法。易經入門——哲理及占卦用一句話描寫《易經》的精神，就是「觀察天之道，以安排人之道」。中國哲學的特色之一是「以生命為中心的宇宙觀」，從《易經》首開其端，由伏羲氏畫八卦開始，距離現在約五、六千年。《易經》位列十三經之首，乃是因為在時代上最古老。很多人以為《易經》是算命、迷信的書，其實是誤解。《易經》透過觀察自然界運作的規則與模式，創建了一套獨特的符號與思維邏輯來建構一個體系，由八個基本卦構成主體的六十四卦象，這些卦象不僅可以顯示目前的格局，還包含未來的發展，只要用正確的方法占卦，自然就得到某個卦與爻，可以回應人的疑惑，幫助人類安排生活，目的是讓人活得平安快樂，藉以培養德行，提升能力，領悟智慧。此外，學習《易經》要兼顧義理與象數。義理是儒家孔孟的思想重點：人性向善，真誠使人行善的力量由內而發。義理在六十四卦的〈彖傳〉、〈象傳〉，直接說明做人處事的原則、正確的做法，也談論吉與凶。而〈繫辭傳〉作為《易經》哲理的部分，是儒家思想的代表作之一，也是後代研究《易經》的材料。作者傅佩榮教授研習《易經》二十年，對義理的掌握深刻而透澈，於象數之應用更擁有豐富經驗。本書即為傅教授於台大哲學系所開設「周易哲學」之課程內容整理輯成，專門為零基礎的學生所講授，從《易經》的文本釋義、哲學思想，乃至籌策占卦的方法均有詳解，由淺而深，循序漸進，頗利於初學者。學習《易經》就像多了一位長輩，或是有智慧的朋友。《易經》占卦沒有忽略人的理性的作用，而是幫助我們洞察格局、時機與「位置」，更可提升自己的德行、智慧及能力。
                    
"
讀懂易經,https://www.kingstone.com.tw//basic/2011210287974?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,嚴定暹,好優文化  ,9789869966368.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210287974/2011210287974b.jpg,"


	★華人世界第一位把《易經》活用在現實生活中的女性學者。
	從易經的觀點和角度來破解萬物現象，指導後人如何在無常萬變的紅塵人世了解自己的處境、心境，掌握時機的變與不變，體察人情而後能應對萬事萬物，創造圓滿人生！
	 
	★易經不只是占卜卦象，更是聰明生活的利器！
	 
	★我們平日朗朗上口的用語：｢鐵齒｣｢不三不四｣｢三陽開泰｣｢物極必反｣這些現代用語，其實正是出自於易經。現代人若能重新認識易經，就更懂得如何在生活與事業之中趨吉避凶，擁有順遂人生！
	 
	本書為嚴定暹教授執筆，不僅闡釋學理，深入生活，以「易學入門」，為現代人在紅塵之中找到應變力。

本書特色

	【百家開講】系列
	以現代觀點重新詮釋傳統智慧

"
易經雜說：易經哲學之研究,https://www.kingstone.com.tw//basic/2011210282474?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,南懷瑾,老古      ,9789866059377.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210282474/2011210282474b.jpg,"

《易經》為五經之首，是儒、道乃至諸子百家學術思想共同的來源，也是中華文化的根本思想。《易經》又名《周易》，是最古老的一部占筮書，同時也是一部凝結著遠古先民睿智卓識的哲學著作。它以象徵陽的「一」（又稱「陽爻」）和象徵陰的「一一」（又稱「陰爻」）為基本符號，以八卦（每一卦由三爻組成）及由八卦中任意兩卦交相疊合而成的六十四卦（每一卦由六爻組成）為基本圖形，通過對這些卦象的解釋，闡述了事物和現象生成變化的法則。《易經雜說》是著名學者南懷瑾先生有關《易經》的講記。其中，前部分主要介紹了《易經》的一般知識，以及與之相關的一些問題。後部分著重解釋了六十四卦（始「乾卦」，終「未濟卦」），而以對「乾卦」的解說為最詳。內容包括：卦名、卦辭、爻辭，以及解釋它們的《彖辭》、《象辭》、《文言》等，具有深入淺出、通俗易曉的特點。南師懷瑾先生精通易理，社會大眾往往有稱讚其為「當今易學大師」者，然其講解易經課程，卻是深入淺出，平易近人，幾乎把高深的易理說得人人都懂，還有他異於古今學者獨特的妙悟勝解，說是綜羅百家精要亦可，說是成一家之言亦可。本書為其隨心所講的講記，整編而成，相信必大有助於初學易者及深研易者之啟發。
                    
"
圖解易經{新版},https://www.kingstone.com.tw//basic/2011210276145?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,祖行,華威      ,9789579075275.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210276145/2011210276145b.jpg,"


一本終於可以輕鬆讀懂的《易經》


	《易經》為《四書五經》之首；《道德經》裡有八十八句經文來自《易經》，中醫的祖師爺《黃帝內經》，滿書都是陰陽、五行、八卦、太極……孔子說：「加我數年，五十以學易，可以無大過矣。」這顯然是孔子對《易經》沒有過早重視的感慨，但作為「群經之首，大道之源」，《易經》卻由此形成了獨特的易學研究體系，由易學為主體的中國學術史，也由此逐漸成為展現中國思想史發展的主體脈絡與中國哲學的理論根基。

	《易經》的思想講究陰陽相濟、剛柔有應，提倡自強不息、厚德載物。《繫辭》中說：「一陰一陽之謂道。」天地間一切事物的變化無不因時因地或成陽剛，或成為陰柔，而這一陽剛陰柔的變化法則，正是宇宙的法則，人生的法則，也就是天理和人道。

	《易經》所要闡明的天道、地道、人道的變化法則，也正是宇宙萬物應遵循陽剛陰柔無窮變化的法則，變易而不易，複雜而簡易，在變化中生成發展，於反覆中保持和諧與統一。這一剛健中正，無窮無盡，生生不息的生命力，正是宇宙精神的所在，也是人生立身處世的原則。人能以宇宙的自然法則來確立自己行為的規範，面對各種複雜情況而知變，應變，適變，就能自強不息，為人類社會帶來發展。

	‧《易經》的卦象是如何演變而來的？六十四個卦象右各有什麼意思？
	‧《易經》對中國文化影響深遠，它被運用在哪些地方呢？
	‧對於重要的決定，我總是感覺到徬徨，那麼我該如何運用《易經》占筮？
	‧這世界上任何事情為何都可以運用《易經》理論解釋？

本書特色

	輕鬆讀懂易經卦象含意，指引人生方向的最佳嚮導
	遵循宇宙人生法則，用《易經》智慧完美自己的人生
	解讀中國文化最精深的《易經》哲學思想
	一本讀懂經學之首
	不能不懂的老祖宗智慧

‧方便實用：
	中國第一本占筮之書，從古至今都是人們食、衣、住、行等各方面的行為指南，為人們趨吉避凶、指引方向。

‧淺顯易懂：
	將難以理解的易經哲學理論及卜辭以白話方式解說，並告訴你《易經》現代生活中的運用與價值，在讀懂《易經》的過程中，能夠一看就懂。

‧圖文、表格呈現：
	600幅精美手繪插圖、將複雜概念系統簡化的表格與樹狀圖，讓你一看就懂、印象深刻，輕鬆為自己占筮每一個重要的決定。

"
傅佩榮的易經入門課（增訂新版）,https://www.kingstone.com.tw//basic/2011210251241?zone=book&lid=book_class3_hlb&actid=book_class3_hlb,傅佩榮,九歌      ,9789864501236.0,https://cdn.kingstone.com.tw/book/images/product/20112/2011210251241/2011210251241b.jpg,"


 我曾以三句話描述《易經》：一，不學一定不會；二，學了不一定會；三，學會終身受用。《易經》是我們的文化之源，其中富含人生智慧。簡單說來，就是「觀察天地變化的規律，用以指導合宜的人生」。 ──傅佩榮

 以哲學見長的傅佩榮教授，擅長從經典中提出新解，並活用於人生處世之上，從《論語》、《孟子》、老子和莊子等，甚至是難以讀懂的天人之書《易經》，他也能將其轉化重新詮釋，以淺顯的文字道破其中的奧祕，進而運用於生活之中。

 他以淺顯的筆法，深入淺出，解說《易經》的由來、形成背景與閱讀《易經》所需的基本知識，並闡述如何應用六十四卦的智慧，詳細說明《易經》的內涵與處世應用的重點，傅佩榮教授帶領我們學習古老的智慧，進入《易經》世界的大門。

 許多現代人的生存法則隱藏在《易經》之中，「訟卦」提醒我們小心爭訟；「否卦」要學會居安思危；「頤卦」不僅僅是代表大快朵頤，更暗示我們要謹言慎行。不論是感情問題、家庭難題、生活困頓，都能在《易經》六十四卦中找到相對應的卦義，透過傅佩榮教授的解說，並將其運用於生活之中，展現《易經》與現代人與時共進的不凡意義。

本書特色

 ★本書原名為《傅佩榮與青少年讀易經》，以哲學見長的傅佩榮教授，用最淺顯易懂的方式解說，從《易經》的背景、由來到六十四卦卦意解說，與《易經》如何運用於生活之中，帶領讀者了解《易經》蘊含智慧，也是研究《易經》的最佳入門書。

"
