書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
這是一本高考行政法解題書（7版）,https://www.kingstone.com.tw//basic/2015216778672?zone=book&lid=book_class3_icd&actid=book_class3_icd,周凌,讀享數位  ,9789574642250.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216778672/2015216778672b.jpg,"

筆者延續《行政法題型破解》的成功經驗，瞭解到當初把該書類型設定於律師司法官的讀者，對於要準備高考三四等、司法特考三四等、警察特考及地方特考的讀者，使用上都有所顧慮及畏懼，所以在此除了特別蒐集司法三四等（不含司律法研所）以外，還納入地方特考、警察特考及高考三四等考題，讓準備上開類別國家考試的讀者，能透過此書的反覆練習，增加對於行政法解題的信心。而如果使用完本書仍想多看看一些較為深入的考題，歡迎讀者多加參考筆者《行政法題型破解》一書！我們的目的只有一個，就是幫助大家快速上榜！
                    
"
國營事業「搶分系列」【會計審計法規】（全新圖說編寫．大量模考演練！）,https://www.kingstone.com.tw//basic/2015212225804?zone=book&lid=book_class3_icd&actid=book_class3_icd,全道豐,大華傳真  ,9789574792146.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015212225804/2015212225804b.jpg,"

※ 本書架構與特色說明 ※【基礎概念說明】透過簡易且精準的論述說明，幫助讀者快速掌握「預算」、「決算」、「會計」及「審計」等四大制度的基礎概念立論。也是進入各法規研習前不可或缺的起手式！【法規體系與核心考點】本書於各章法規說明前，特別設計各該法規之體系圖表。藉由該表的內容，讀者可輕鬆了解各法之體系架構，以及掌握該法的核心命題要點，有助提升法規研習的效率。【內容精要】本書一掃坊間枯燥、呆板的法條排列編寫方式，利用大量的圖表設計，協助讀者能自信地穿梭悠遊於艱澀的法條文字論述中。在有限的備考期間，強化法規的研習力，深化法條的記憶力！【應考實力進階】針對重要的會審法規制度，本書特別研擬「應考實力進階」的內容，予以進一步的廣泛說明。希望透過紮實的延伸學習，強化讀者的應試實力，無懼命題上的突襲！【考點直擊】透過專有名詞、法規制度的詳細說明，可讓讀者釐清法條文字可能出現理解上的盲點，突破法規研習上的障礙。而這些說明甚至亦可能成為命題的焦點！【全真模考試題演練】本書利用歷年國家考是有關會審法規的命題，特別設計六回、每回50題、合計300題之全真模考試題，提供讀者在複習階段自我演練以及檢視學習成效的機會。【最新相關考題觀摩與解析】精選最近期相關國家考試試題，搭配精準完善的解析，將使讀者於衝刺階段，輕鬆掌握命題趨勢，及時補強學習上的盲點與缺漏，大幅提升應考之即戰力！
                    
"
2021高考、地方三等[一般行政][專業科目]套書,https://www.kingstone.com.tw//basic/2015216831001?zone=book&lid=book_class3_icd&actid=book_class3_icd,三民補習班名師群,三民輔考  ,4711100551403.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216831001/2015216831001b.jpg,"

★高考、地方三等[一般行政][專業科目]套書，內含「公共政策＋公共管理（概要）＋行政學＋行政法（概要）＋政治學＋民法總則與刑法總則」！★套書附贈《法學知識搶分小法典》，方便考生將所有零碎時間化為涓涓入袋的分數！【適用對象】這套《高考、地方三等[一般行政][專業科目]套書》，適用於報考公務人員高等考試三級考試（高考三級）及地方政府公務人員特種考試（地方特考）三等考試一般行政類科的考生。機會是留給準備好的人，想要一圓公務人員夢，三民輔考絕對是你不可錯過的最佳選擇，別再遲疑了，快入手這套專業科目套書吧！【考試資訊及報考利多】◎高普考：高普考是我國規模最大、缺額最多的公務人員考試之一，薪資待遇優渥，高考三級起薪約4.7萬元，年終獎金上看1.5個月，每年穩定調薪，更有多項公務人員福利。工作環境穩定沒有裁員問題，考試類科多元，任何背景皆可報考，絕對是有志報考公職考試的入門好選擇！◎地方特考：地方特考分為三等、四等、五等考試，三等考試起薪約為4.7萬元，與高普考同為規模最大、最具指標性的國家考試。地方特考由各直轄市及各縣市政府開缺，採集中報名、分區報名、分區錄取的方式，錄取後分發到各直轄市及縣市政府部門，為家鄉親友服務，工作起來也更順心。分發到離家近的單位，可以省下大量通勤時間，多出來的時間可以多陪伴家人，享有公務員優渥待遇之餘，還能兼顧家庭！【一般行政類科簡介】一般行政類科工作範圍廣泛，從中央到地方各級單位都有人力需求，每年缺額量多穩定。其工作簡單易上手，且考試科目無特殊專業背景要求，懷抱公務員夢想、喜歡行政庶務的考生，可以優先選擇此類科報名。一般行政的工作內容，由於是針對普通行政事務而開設，因此工作涵蓋很廣，多以例行性事務為主，像是文書處理、事務管理、物料採購、出納、打字等，不會牽涉到太多的專業技能。也因此，考上一般行政類科公務員，將來遇缺所能申請分發的單位，廣度也居各類科之冠，最有機會調回住家附近，因此是多數公職考生的第一選擇！※應試正確資訊請以考試簡章為準※【套書有什麼】◎《公共政策》2020/12◎《公共管理（概要）》2020/08◎《行政學》2020/09◎《行政法（概要）》2021/03◎《政治學》2020/09◎《民法總則與刑法總則》2021/02◎ 贈：《法學知識搶分小法典》2020/09※套書出版日期為上架日，實際出版日以各單書為準※
                    
"
2021〔教育行政〕高普考/地方三等_課文版套書：關鍵考題一網打盡，經名師詳解，必能掌握命題趨勢！（適用高考三級/地方三等）,https://www.kingstone.com.tw//basic/2015216835559?zone=book&lid=book_class3_icd&actid=book_class3_icd,名師作者群,千華      ,9789865202750.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216835559/2015216835559b.jpg,"


【套書內容】
	《行政法》
	《教育行政學》
	《教育心理學》
	《教育哲學》
	《教育測驗與統計》

【各冊內容】

《行政法》

	本書特色：
	◎系統整理重點，快速理解行政法要義
	◎法規QR code，即時查詢事半功倍
	◎最新試題彙編，熟悉考試命題趨勢

	本書各章課文系統化整理，務求以最簡潔的文字使考生理解行政法要義，並標示各章之重要度，考生可依據重要程度安排讀書進度，考前再針對最重要的章節多加複習，掌握命題關鍵！

	隨附法規QR Code，針對各法規設置QR Code區塊提供讀者掃描，立即連結至全國法規資料庫檢視法規頁面，不怕錯過法規更新！聰明查詢，事半功倍！

	逐條歸納式精選題庫，收錄行政法相關重要法規，再從歷屆試題中精選以該條文為題幹的題目作為題庫，逐條演練，建立完整概念，面對題目自能清楚看出答題關鍵！

《教育行政學》

	◎一本書主義，一本就夠！
	作者以自身專業以及從事教育數十年的經驗，並鑽研各大學教育系所的研究所考題，精編「最新教育系所與期刊教育議題100出題軌跡」掌握最新命題趨勢，各大專院校教授常擔任國家考試的命題委員，且各研究所同型考題往往較國考早一、二年出題，研究所考題可說是準備國考趨勢的重要參考。只要掌握本書，就能掌握考題趨勢。

	◎精準命中，帶你一同見證奇蹟的時刻！
	本書經由千華名師統整、分析近年考點，進一步加強必考範圍，成就了本書驚人的高命中率，只要讀熟這本書，考題都逃不過你的五指山，從107年地方特考三等、108年高考的命中統計表，可見名師掌握考題趨勢的用心！高達百分百的命中率，讓你上榜不再遙不可及！！還在苦苦從茫茫學海中找尋出題線索嗎?選用本書，帶你一同見證奇蹟的時刻！

《教育心理學》

	◎考題分析廣泛完備，精準命中率可謂奇蹟！
	本書不僅在各章分析出題頻率、難易程度外，千華所延聘的名師更以自身專業以及從事教育的經驗角度，鑽研各大學教育系所（政大、師大、交彰師大、高師大、北教大等）的研究所考題，從中精心挑選重點中的重點，編錄於此書中，從近年（107、108年)的高普、地特試題的命中統計表，便可知道所言不假！高達百分百的命中率，在考試範圍涵蓋大量學術理論、學科學派、重要人物、名詞解釋等，這些無邊無際的教育心理學的領域中，可謂奇蹟！還在苦苦從茫茫學海中找尋出題線索嗎?選用本書，讓考題命中成為你的命中注定！

《教育哲學》

	◎彙整近年試題‧掌握考情趨勢
	藉由系統化的課文來建立概念以外，重要的是實戰經驗，也就是答題技巧都熟練。因為，只有清楚的概念是不夠的，有鑒於此，本書各章皆編有「考題集錦」，彙整近年相關考題讓你了解考題的多元性。另外還有「答題範例」，每個範例皆清楚寫出解題所需的概念，可以讓你在研讀課文後，有充分印證章節內容所學概念的機會，透過範例題目的練習，可以落實概念的應用與深化，且每題範例均有作者親自解析的詳解，讓你能夠及時了解答題技巧的關鍵差異，同時也省去了自己上網搜尋標準答案的時間。

《教育測驗與統計》

	◎凸顯關鍵字詞，立即掌握考試重點
	◎作者精心編寫，奪取高分首選用書
	◎各類試題集錦，解析透澈無所遺漏

	教育測驗與統計可說是國家考試類科最困難的科目，主要因為此科包含「教育測驗」與「教育統計」兩部分，內容繁雜且偏重概念之理解與計算，相較於單純記憶性的科目，在準備上需花費更多時間和心力，尤其教育統計假設考驗、抽樣分配、積差相關、迴歸分析、卡方考驗與變異數分析等章節，每年必有計算題出現。本書內容兼具廣度與深度，完整包含考試範圍之重心，讓讀者可以從容不迫地循序漸進學習。

套書特色

	★彙整近年試題‧掌握考情趨勢
	★最新試題彙編，熟悉考試命題趨勢
	★各類試題集錦，解析透澈無所遺漏

"
會計學（高考、三四等特考、稅務特考、升等考、地方特考、身障特考考試適用）,https://www.kingstone.com.tw//basic/2015216644762?zone=book&lid=book_class3_icd&actid=book_class3_icd,郝強．蔡家龍,志光教育科,9789865144517.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216644762/2015216644762b.jpg,"

◆本書乃以中級會計學為主要架構，專門針對考試需要而著作，掌握章節重點及命題焦點，強化應考能力。◆擷取各章之要點精華，以助考生於最短時間內，明確地瞭解出題方向，而每小節之後皆附有例題，以促進考生瞭解及加強記憶。◆每章節之後均附有練習題，以供考生自我檢測；並附有詳解，以節省考生自我蒐尋答案之時間。
                    
"
高分公共政策POINT歷屆主題申論題庫（高考、二三等特考、研究所、升等考考考試適用）,https://www.kingstone.com.tw//basic/2015215554000?zone=book&lid=book_class3_icd&actid=book_class3_icd,沈平,志光教育科,9789864971602.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015215554000/2015215554000b.jpg,"

☆命題聚焦考題架構，掌握重要題型本書精心彙整歷屆考試的重要題型，聚焦重要考題逐一詳解，以最新、最完整的考試內容，給讀者撰寫申論題的最佳範例。☆設計解題關鍵放大鏡，要領一點通精心企畫『解題關鍵放大鏡』，快速瞭解類似題型作答要領，一竅通百，掌握撰寫方向與重點，夯實讀者應試能力。☆蒐錄公共政策必考名詞，非讀不可作者以簡單精要的內容，闡釋歷屆常考之名詞解釋，，背讀簡單容易，助讀者高效得高分。本書特色培養看題目馬上擬答三段式寫作能力，高分公共政策不是夢想！◆命題焦點考題架構，精準掌握重要題型精心彙整歷屆考試重要題型，聚焦國考及研究所的重要考題逐一詳解，以最新最完整的考試內容，呈現撰寫申論題的最佳範例。◆設計解題關鍵放大鏡，寫答要領一點通考題提供解題關鍵放大鏡，俾使瞭解類似題型作答要領，掌握撰寫方向與重點，學習融會貫通，擁有輕鬆應試能力。◆蒐錄公策必考名詞，非讀不可第二單元涵蓋歷屆常考之名詞解釋，作者以簡單精要的內容闡釋，背讀可快速容易，短時間拿下高分非夢事。
                    
"
公共政策秒速記憶（高考‧三等特考考試適用）,https://www.kingstone.com.tw//basic/2015216809826?zone=book&lid=book_class3_icd&actid=book_class3_icd,程明,志光教育科,9789865146856.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216809826/2015216809826b.jpg,"

解放 你的記憶力。高考‧地方特考專屬的，考前高效記憶書★醍醐灌頂集結名師畢生功力，告訴您必考命題焦點、精要解釋名詞，瞬間醍醐灌頂！★勝卷在握嚴選精粹試題，答題範例淺顯易懂，秒速刻劃深層記憶，抓住關鍵字解題技巧，勝”卷”在握。★綱舉目張三段論法─破題、申論、結論，搭配獨創名家名言，綱舉目張、一目了然，轉瞬抓住閱卷委員目光，批出標準分以上。★名師話重點老師現”聲”說法，考前強化考試重點複習與奪分要領。
                    
"
電路學（高考、三等特考、鐵路特考、國民營考試 考試適用）,https://www.kingstone.com.tw//basic/2015216809536?zone=book&lid=book_class3_icd&actid=book_class3_icd,鄭奇,志光教育科,9789865146917.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216809536/2015216809536b.jpg,"

電路學科目在公職考試或國營事業考試中， 相對於其它專業科目，是比較繁雜且艱難的一門學科，往往是同學能否上榜的關鍵。電路學考題型式主要有關念題和計算題兩類，建議同學準備方法如下：觀念題多想，要求穩定度。計算題多算，要求速度。本書爲同學提供兩種解題原則，說明如下: 1.觀念分析 : 各種應用電路分析方法是電路學的精華， 其中包含許多的工程數學和電路設計概念，但往往一般課本的敘述太鬆散及龐雜，不易熟記。本書特別將重要的觀念以深入淺出的方式，不同角度的切入，去探討這些觀念及現象，以求得最合理最簡單的解釋。 2.公式分析：電路學有許多解題方法，同樣的電路可以用時域或頻域分析求解，如何找出最適當的解題方法是最重要的關鍵。因此題型的歸納整理及公式熟記，才可能快速且穩定求得答案。
                    
"
知識圖解：行政學申論題庫－實戰出擊（高考‧地特三等‧升等考‧三等考試適用）,https://www.kingstone.com.tw//basic/2015216717268?zone=book&lid=book_class3_icd&actid=book_class3_icd,郭雋,志光教育科,9789865145613.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216717268/2015216717268b.jpg,"

☆申論答題，經驗傳授做好考試時間與作答空間管理，同時綱舉目張書寫答題，獲取高分，手到擒來。☆策略地圖，精確導引每章皆附策略地圖，搭配逐題「審題考點」，引領你超速度掌握試題方向及關鍵核心。本書特色◆針對各種公務人員考試、研究所入學考試之命題方向編著，策略性選題，內容深入淺出，快速學習。◆以「起、承、轉、合」方式撰寫答題內容，提綱挈領、建立架構，使閱卷者「一目瞭然」，簡單贏取高分。
                    
"
行政學秒速記憶（高考‧三等特考考試適用）,https://www.kingstone.com.tw//basic/2015216497931?zone=book&lid=book_class3_icd&actid=book_class3_icd,陳真,志光教育科,9789865142988.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216497931/2015216497931b.jpg,"

解放 你的記憶力。高普考‧地方特考專屬的，考前高效記憶書★老師叮嚀名師用畢生功力一次醍醐灌頂，考前叮嚀，告訴您在考場上不能忘記的細節！★善用關鍵歸納命題重點，善用關鍵字掌握考題精髓！★快速記憶考前重要試題範例，刻劃零秒記憶，透過反覆背誦，瞬間將試題完全記憶內化！★名師話重點影音話重點，讓老師現”聲”說法，申論命題新趨勢、申論題格式要領、考前命題焦點，一一為你講解。
                    
"
