書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
POINT～國際關係解題書（附加影音）（外交特考三、四等 、高普考、研究所考試適用 ）,https://www.kingstone.com.tw//basic/2015216800878?zone=book&lid=book_class3_ich&actid=book_class3_ich,韓青,志光教育科,9789865146610.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216800878/2015216800878b.jpg,"

1.考點完整打擊：破解推陳出新、飆破天際的國關考點讓你不須再苦思國關新興理論的解題架構～2.考題溫故知新：考題收錄經典之學院派題型，也同時與國關最新時事同步連線，有5G的選擇就不需再用撥接！3.考生視角出發：這是本考生視角出發的解題書，書中OS伴隨各位備考的午夜夢迴，讓研讀國關也能是個享受•••。（考生OS:errrrr，自以為！）
                    
"
國土安全與國境執法（含概要）滿分題庫寶典,https://www.kingstone.com.tw//basic/2015213430771?zone=book&lid=book_class3_ich&actid=book_class3_ich,廖震,鼎文書局  ,4717535910112.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015213430771/2015213430771b.jpg,"

內容精要◎區分申論題型及測驗題型之設計，可使各等別考生各取所需；如能搭配本公司所出版「國土安全與國境執法（含概要）講義」（T5Y15）一併研讀、練習，自可大幅提升上榜實力。互動服務◎本社官網特別為使用本書的讀者設置線上討論區，提供讀者問題答覆、最新考試資訊、書籍內容增補、最新法規動態等服務。◎竭誠歡迎您的使用，讓我們有為您服務的機會！
                    
"
三等外交領事人員：歷屆綜合題庫&解析（考試適用）,https://www.kingstone.com.tw//basic/2015216868236?zone=book&lid=book_class3_ich&actid=book_class3_ich,金庸、林芸澧、顏台大、程瑋,志光教育科,9789865147587.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216868236/2015216868236b.jpg,"

一、精心蒐集，一網打盡：完整收錄三等外交領事人員考試106～108年試題，輕薄好上手。二、答題關鍵，撥雲見日：作者群精心分析，撰寫各科準備技巧與落點分析，掌握考試有方向。三、名師精解，勝券在握：歷屆試題針對難題部分，附有精闢解析以供考生參考，攻略易如反掌
                    
"
移民政策含移民人權精修,https://www.kingstone.com.tw//basic/2015214505249?zone=book&lid=book_class3_ich&actid=book_class3_ich,王裕德,大東海文化,9789862831274.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214505249/2015214505249b.jpg,"

本書由大東海名師王裕德老師親自編授，將令人感到目不暇給的多元化移民政策系統化統整，除了「命題焦點」與「重點整理」給您最新最多元的的考題趨勢之外，再搭配上「最新相關人權時事及社論評析」可與日常生活接軌，更能加深您對於各國各項政策與法條的印象；讓您在考試時能夠靈活運用各種專業法規與考題之間的適切性，助您能更快順利通過考試的難關。
                    
"
2021 移民政策與法規 ：名師編寫.輕鬆駕馭移民法規 [十二版]（高普考、地方特考、各類特考）,https://www.kingstone.com.tw//basic/2015770020354?zone=book&lid=book_class3_ich&actid=book_class3_ich,張瀚騰,千華      ,9789865202187.0,https://cdn.kingstone.com.tw/book/images/product/20157/2015770020354/2015770020354b.jpg,"

移民政策與法規考什麼？移民政策與法規其考試的內容範圍包括了國民入出國、外國人民以及大陸地區人民之入出境等相關規定。以考試方向來說，大抵不超出前述之範圍，準備之方式，仍是以相關之移民法規為主，並不用準備太多移民理論之內容。因此在未來的考試中仍應依照此方向為主。本書之編寫目的在於能在最短的時間內，完全貫通移民政策與法規該科。希望可讓你成為運用法律的高手，而非背誦法條的法匠。畢竟考上公職之後，所必須面對的是千變萬化的入出國與移民之問題，單單背誦法條是不足以面對考試，以及未來的工作壓力。透過研讀本書，希冀能夠將移民法規相關規定，融會貫通，內化為自己的一部分，在考場上得利，並在未來的工作崗位上，發揮所長。本書特色如下：◎相關法律彙編‧最新條文歸納統整因考科是以法規內容為重點，但法規內容十分繁瑣，不易記憶，因此需要一本系統化的參考書籍來幫助記憶。本書即是以系統化的整理、搭配圖表記憶，化繁為簡，讓你有效率的理解與記憶。◎法規QR code‧查詢事半功倍除了系統化的整理法條，書中更將完整的法條以QR CODE的方式呈現，讓你不僅可在閒暇之餘用手機來複習法規外，更可隨時掌握法條的更新情況，省去上網搜尋整理法條的時間。◎各章出題率分析‧規劃進度‧效率複習  讀書考試的必勝關鍵在於掌握重點，如何在有限時間獲取最大的效益是所有考試的決勝關鍵！因此本書將重要、常考的章節標示A、B、C三種程度，可以依照程度的不同來規劃研讀複習的時間，讓你贏在關鍵點！◎ 掌握近年試題命題趨勢所有的大型考試，除了平日的認真準備，關切移民法規的相關新聞或議題之外，練習歷屆試題也是十分重要的，唯有練習歷屆考題才能清楚的掌握考試脈絡，有助於自己在考場上能臨危不亂，增加得分的機會。★國考應試對策我國規範國民、外國人等入出國之主要法規，「入出國及移民法」於96年底大幅翻修，用以因應我國在面臨國民入出國所衍生的問題，以及外國人在臺所涉及居留、入出境等事務，同時也增列了相關移民規定，重點修法部份當然為考試出題的最好題材。此外，佔本科考試有相當比例的「臺灣地區與大陸地區人民關係條例」（簡稱兩岸關係條例），此部份也不可輕忽。然因近二年香港政治局勢有大幅變化，基於對香港居民之人道關懷，香港居民來臺居留成為重要議題，因此有關香港居民如何來臺定居等相關規定亦應注意。為各位考生介紹本書章節：1. 本書分為五篇：一、移民政策概論；二、入出國及移民法；三、臺灣地區與大陸地區人民關係條例；四、移民法規相關法令彙編；五、近年試題及解析。2. 第一篇在說明我國近年移民政策現況，以及當前與未來可能面對的問題，屬於理論政策面，可使讀者在尚未進入第二篇與第三篇法規釋義前，能夠通盤的了解我國的移民政策現況。3. 第二篇與第三篇，其主要內容為移民法規重點整理，本書與坊間僅臚列法條之參考用書不同，採逐條釋義的方式，並採系統化整理，以便於讀者融會貫通，並輔以重要行政釋示函令、重要問題研討等，期盼能夠使讀者在研讀法規時，也能夠明白實務上法規之運用方式。4. 第四篇與第五篇：第四篇為移民法規相關法令彙編，用意在節省讀者時間，免卻查翻法條的困擾。第五篇則包含近年試題之詳細解析，鑑往知來，讓你考場得利。
                    
"
移民特考2021試題大補帖【移民行政類】普通+專業（109年試題）,https://www.kingstone.com.tw//basic/2015216822016?zone=book&lid=book_class3_ich&actid=book_class3_ich,百官網公職師資群,大碩教育  ,9789863459712.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216822016/2015216822016b.jpg,"

【試題大補帖系列熱賣中！】 不容錯過的上榜必備好書在這裡！精選109年移民特考普通+專業科目試題，讓你省去到處尋找考古題的煩惱！  每道題目提供完整解析，迅速掌握出題方向，測驗、複習一把罩本書專為【移民特考】考生出版的解題書，完整收錄移民特考(三、四等)【移民行政類】普通+專業科目109年試題含解析。本書收錄科目包含：國文、法學知識、英文、國境執法(概要)、刑事法(概要)、移民政策(概要)、國土安全(概要)、行政法(概要)、入出國及移民法規(概要)、外國文（英文兼試移民專業英文）本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.普通+專業科目一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
外交特考2021試題大補帖【外交領事人員】（普通+專業）（107~109年試題）,https://www.kingstone.com.tw//basic/2015216805118?zone=book&lid=book_class3_ich&actid=book_class3_ich,百官網公職師資群,大碩教育  ,9789863459439.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216805118/2015216805118b.jpg,"


【試題大補帖系列熱賣中！】
	不容錯過的上榜必備好書在這裡！
	精選多年度外交特考歷屆試題，讓你省去到處尋找考古題的煩惱！
	試題按照年度排列，迅速掌握出題方向
	每道題目提供完整解析，測驗、複習一把罩


	本書專為【外交特考】考生出版的解題書，完整收錄外交特考(三等)【外交領事人員】普通+專業科目107~109年共三年試題解析。

	本書收錄科目包含：國文、綜合法政知識、外國文、國際傳播、國際關係、近代外交史、國際法、國際經濟

本書特色

	1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。
	2.多年度試題一次收錄，輕鬆練習歷屆試題。
	3.一題搭配一詳解，演練有錯立即修正，加深印象。
	 

"
2021 移民法學知識與英文（包括中華民國憲法、法學緒論、英文）法規精要統整.全面提升答題能力[六版],https://www.kingstone.com.tw//basic/2015216746497?zone=book&lid=book_class3_ich&actid=book_class3_ich,龍宜辰、許願、劉似蓉,千華      ,9789865201654.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216746497/2015216746497b.jpg,"

★本書將中華民國憲法、法學緒論、英文這三科之精要重點全部收錄，並將近年移民特考、司法特考、調查局特考全部加以詳解。還加碼收錄兩岸關係考前重點整理，給你滿滿的即戰力。1.中華民國憲法→精選釋字條文‧了解法規最新變動本書完全針對困難之處，以測驗式試題奪取高分為目的編寫，全方位彙整歷年國家考試試題，藉由科學化的分章分類歸納整理，配合法規條文與大法官解釋增修，將試題及解答予以必要的調整，難題並附以解析或法規索引，「從做中學，以戰養戰」，不僅能了解近年考試趨勢、更能明白出題考點所在，與答題策略分析，可說是一魚多吃，獲致最佳效益！另外收錄最新國家考試題目，自行測驗實力，並附詳細解析熟悉考情，實地演練，戰力倍增！2.法學緒論→法規精要統整‧全面提升答題能力近期主要法規修正必考焦點：此部份將各相關重要法條最新增修的部份，分別做了說明，以清楚目前最正確、最新的條文。3.英文→題題有詳細解析和翻譯‧帶你一起戰勝難題本書以英文重要字首、字尾、字根表解來加強字彙的理解，文法、句型架構方面則以分析的方式理解句子的結構。按其章節、重點提示加以溫習、研讀，另外應多做考古題練習，以模擬練習的形式練習，更能掌握命題方向。4.兩岸關係考前重點整理→考前衝刺必備依據考選部公務人員特種考試：法務部調查局調查人員考試、國家安全局國家安全情報人員考試，普通科目「綜合法政知識」命題大綱中，有關兩岸關係命題之範圍包括：臺灣地區與大陸地區人民關係條例暨施行細則、我國現階段大陸政策、現階段大陸對臺政策（含涉臺人士及組織）以及兩岸發展歷程之重要紀事等。兩岸關係向來是中共與臺灣互動過程中，極為核心、也極為敏感脆弱的一環。關鍵在於北京高舉「一個中國」的政策下，臺灣的國際活動空間相當有限，與其他國家的互動也變得既尷尬又很敏感，僅能依賴北京片面的善意，儘管臺灣內部統獨意識逐漸趨向以臺灣主體性為主流意見，但在中共持續揚言武力犯臺，疫情衝擊中國經濟與美中貿易戰壓力下，更增添了許多不可預測的變數。環顧當前的兩岸與國際關係，臚列考試重點，供考生參考或進一步學習。高分要訣中華民國憲法中華民國憲法一科，於國家考試中，所涵蓋範圍之廣為各科之冠，該如何有效率的準備，除熟讀憲法相關資料外，大量的運用本書所提供的練習題，便可輕鬆的取得高分。憲法之準備方式，必須先掌握三個主要部分，憲法本文、憲法增修條文以及重要之大法官釋憲，尤其必須熟記憲法本文與憲法增修條文。再來則是與憲法相關之法規，例如公職人員選舉罷免法、總統副總統選舉罷免法、地方制度法以及國家賠償法等。分析往年的題目類型，除一般之記憶題外，往往也會出現靈活的應用題（以實例方式），以測驗對憲法了解之程度。所以只有藉由大量的練習題目，明白題型與思考方式，才可以快速的加強憲法實力。法學緒論法學緒論乃法律科學初步且扼要之說明，其為法學入門的學科。一般大學法律系及部分社會科學學系一年級均開設此學科，為學生日後的法學教育提供基礎。但是由於早期內容極具深度的法緒教材，在法令快速變更之後，錯誤過多；此外，學生欲掌握法緒內容，深入淺出，極其不易；而不同教師對法緒學門的教學目標及應涵蓋內容的見解，亦不盡相同。隨著社會變遷快速，新科技及新課題不斷在社會各層面困擾法律的形成與執行，法律教育本身也面臨不斷擴增新課程及原有課程內容持續加重的困境，亦使總括法律所有範疇之法學緒論科目，益加繁雜及難以掌握。法學緒論之主要目的，在於培養基本之法學概念，進而使其對於國內之各重要法規有初步之認識。本書以一般教科書之重點整理之方式，詳述各章之重要內容，且各章開頭，皆有對於本章之重要關鍵提示，協助掌握各章之重點內容，進而以淺顯易懂之文辭敘述，並於各章節之最後，設有牛刀小試之試題選編，以試題演練之方式，測驗對於該章節之認識是否妥適。最後，在各章後，有滿分習題演練，建立理論與實際演練並重之經驗。英文英文的學習應從聽開始，學英文是沒有範圍的，從食、衣、住、行、育、樂，到新聞、商業、觀光等都是學習取材，除了必備的專業英文知識，一般的英文用語也都應該要學習。坊間有許多英文雜誌、書籍，皆附有課文朗讀CD，可載入MP3或智慧型手機的音檔播放程式，反覆聆聽會有更佳效果，無形中記住了英語用字語法，也可漸漸讓自己的英語發音更接近外國人士的腔調。聽完英文打開課本把聽過的、認為是重點的部分劃記，再次對照課文內容和語音，並做跟讀找出先前一直聽不懂的部分或特殊單字念法，再做仔細的複習。對於易混淆相似字，就要特別注意其單字拼法。以日常生活的用句模擬英文如何表達，例如自問自答模式，逼自己的腦袋要想英文是怎麼表達，日常簡訊、留言也可嘗試多利用英文，讓腦、手、眼心、耳都能有複習英文的環境中，這樣才不會忘得太快。工欲善其事，必先利其器，英漢辭典是必備的，漢英辭典也免不了，要知道中文用英文如何表達時，就可查查漢英辭典；若是要更精進英文能力，就可再準備英英辭典。若嫌字辭典太笨重，可在手機上下載字典網站，在零碎時間內翻翻看看，有時也會無意中多背幾個單字。
                    
"
2021國文（作文、公文與測驗）：有效提升答題效率〔七版〕（移民行政考試）,https://www.kingstone.com.tw//basic/2015216718500?zone=book&lid=book_class3_ich&actid=book_class3_ich,駱英、歐恩,千華      ,9789865201524.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216718500/2015216718500b.jpg,"

◎綜合寫作引導與名言佳句，帶你突破寫作盲點！◎突破公文關鍵與精選範例，掌握高分上榜技巧！◎經典古文與主題分類測驗，有效提升答題效率！本書編輯方針，主要著眼於三大部分：(一)作文。(二)公文。(三)測驗。本書第一部分為作文，先分析作文關鍵，並搭配名言佳句，提供作文時可運用的素材，短時間內便可輕鬆掌握作文高分技巧。並搭配「作文批閱範例」，收錄實戰作文，作者逐段批閱評語，呈現作文題目的「審題觀」。第二部分為公文，詳細解說各種類公文的基本規定，並提供範本對照。另外收錄歷年相關公文範例，按部就班練習，以增加撰寫公文之經驗。第三部分為測驗，收錄歷代經典古文，逐段詳盡翻譯。在經典閱讀之後，有眾多分類測驗題，分別納編於適合的類別，對於經典古文的練習具有高效率的複習、釐清與加強效果。書末則收錄最新109年度考題，供閱畢本書後做練習，以了解考題趨勢。
                    
"
2020年〔移民法規高分秘訣〕入出國及移民法規（含概要）〔移民行政特考〕,https://www.kingstone.com.tw//basic/2015216484078?zone=book&lid=book_class3_ich&actid=book_class3_ich,張瀚騰,千華      ,9789864879670.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216484078/2015216484078b.jpg,"

本書之編寫目的在於使考生能在最短的時間內，完全貫通入出國及移民法規。希望可使考生成為運用法律的高手，而非背誦法條的法匠。畢竟考上公職之後，所必須面對的是千變萬化的入出國與移民之問題，單單背誦法條是不足以面對考試，以及未來的工作壓力。透過研讀本書，希冀讀者能夠將移民法規相關規定，融會貫通，內化為自己的一部分，在考場上得利，並在未來的工作崗位上，發揮所長。【本書特色】◎最新法規QR code隨即掃瞄，查詢事半功倍。◎章後選擇、申論題演練，加深章前問題意識。◎重要考點粗體標記，輕鬆掌握命題方向。◎歷年試題詳盡解說，考取高分一點也不難。
                    
"
