書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
期貨商業務員高分速成（期貨法規+期貨理論與實務）（一本速成考照收錄最新試題100%詳解）,https://www.kingstone.com.tw//basic/2015217004626?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,王必勝,三民輔考  ,9786267007525.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015217004626/2015217004626b.jpg,"

★ 對應證基會公告之命題範圍彙編，聚焦一本考照★ 期貨證照2考科精實速成：期貨交易法規、期貨交易理論與實務★ 全書1093道試題淬鍊，109~110年最新試題名師解題★ 短期準備金融證照，零基礎也能讀懂考取【本書適用】》這本《期貨商業務員高分速成》適用於期貨商業務員資格測驗。【金融證照書系特色】本社力求化繁為簡，為幫助考生追求短期速成考取證照，不消磨讀者大把心力及準備考試的黃金時間，「三民輔考」推出這本專為應考期貨商業務員資格測驗用的二合一產品《期貨商業務員高分速成》。本書將「期貨交易法規、期貨交易理論與實務」二科濃縮成一本精華教材。考科重點內容採系統化編排，明確告知考生考科重點；並由三民補習班名師依最新期貨相關法規編修，完整涵蓋期貨商業務員測驗考試範圍，考生只要熟讀本書，即是取得期貨證照的最佳捷徑！【證照簡介】期貨業務員主要是代理及協助客戶下單業務，首重的是即時金融資訊的收集。包含國際貨幣及金融商品的行情與走勢，與國際間的重大財經消息等，均得隨時掌握，以提供給客戶做參考，做為理財投資的決策依據。政府政策規定，惟有取得證照的合格人員才能從事相關工作。因此，有志進入證券期貨業者，應先行取得資格證照，才能開啟逐夢大門，成就人生規劃。》報考資格：高中職以上畢業或普考及格。》測驗科目：期貨交易法規、期貨交易理論與實務。》合格標準：2科總分合計達140分為合格，惟其中任何1科分數不得低於60分。》筆試時間：每年4、8、12月（實際時間仍以每季公告之時程表為準）。【本書編撰重點】(1) 對應考試單位公告「期貨交易法規」、「期貨交易理論與實務」測驗內容，彙編成書。(2) 金融專業名師審訂，專業內容，精細解題，零金融基礎也能讀得懂。(3) 力求幫助考生記憶完整法規法條，透徹理解實務觀念，速成考照。(4) 核心概念編排、表格呈現期貨相關法規定義、分類及目的，利於考生記憶。(5) 各章「補充說明」闡釋期貨交易專有名詞及相關觀念。(6) 重點內容雙色印刷，舒適閱讀；必背重點關鍵字劃記，省時省力。(7) 詳述期貨理論及實務概念分析，涉及計算內容附有難題計算歷程，精實考生計算實力。(8) 名師獵題近600道牛刀小試、精選試題隨章演練，隨時檢視答題實力。(9) 收錄最新試題500題，金融專業老師逐題親解109~110年測驗試題，掌握出題脈絡。若考生還未考取金融證照共同科目(金融市場常識與職業道德測驗)的考生，可參考三民輔考出版的《金融市場常識與職業道德搶分題庫》，本書完整對應最新官方題庫（109.07.01），一本解決「金融市場常識」與「職業道德」1119最新題答。【三民輔考金融證照上榜實據】國際金融證照特許財務分析師(CFA)：蕭○莉國際金融證照特許財務分析師(CFA)：周冠伶國際金融證照特許財務分析師(CFA)：張○麟國際金融證照特許財務分析師(CFA)：謝○定
                    
"
期貨信託法規105年最新版,https://www.kingstone.com.tw//basic/2015213030957?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,高朝樑,東展      ,9789579235570.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015213030957/2015213030957b.jpg,"

98年度新修訂權威版－資料最新，附近年試題暨全真模擬試題解析期貨信託基金銷售人員資格測驗
                    
"
期貨商業務員資格測驗,https://www.kingstone.com.tw//basic/2015213604370?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,李植,考用      ,9789862654620.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015213604370/2015213604370b.jpg,"

本書針對目前考試型態，精心設計，特殊編排，期能輔助有志報考期貨商業務員證照的朋友，在有限的準備期間內，達到最有效率的學習效果。主軸部分更針對兩項應考科目做系統化的歸納整理，以期考生們能在從容不迫的心態下按步就班，以循序漸進的方式安心準備。期貨交易法規：首先，提供「法律基本用語釋義」，讓對法律條文較陌生的考生們能迅速進入狀況。其次，內容編排以母法為主軸，將母法切割成多項主題，並將相關子法納入各主題中，藉由母法與子法的結合，讓考友們對期貨相關法規能夠融會貫通、徹底了解。期貨交易理論與實務：採「觀念記憶題」與「數學演算題」拆開分項整理方式：「觀念記憶題」依單元分類，每一單元於各重點提要後，納入相關考古題演練，讓考生們提前接觸考題，測試學習效果與適應出題型態。「數學演算題」依內容分成各種類型，每一題型皆整理出好記易懂的相關公式，考古題並附詳細解析，讓考生們能加快審題速度，並能有效率的技巧解題。

"
期貨商業務員高分速成,https://www.kingstone.com.tw//basic/2015216391628?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,王必勝審訂,三民輔考  ,4710139136278.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216391628/2015216391628b.jpg,"

【本書適用】這本《期貨商業務員高分速成》適用於期貨商業務員資格測驗。【期貨商業務員資格測驗簡介】期貨業務員主要是代理及協助客戶下單業務，首重的是即時金融資訊的收集。包含國際貨幣及金融商品的行情與走勢，與國際間的重大財經消息等，均得隨時掌握，以提供給客戶做參考，做為理財投資的決策依據。政府政策規定，惟有取得證照的合格人員才能從事相關工作。因此，有志進入證券期貨業者，應先行取得資格證照，方能開啟逐夢大門，成就人生規劃。．報考資格高中職以上畢業或普考及格。．測驗科目期貨交易法規：選擇題50題，考試時間60分鐘。期貨交易理論與實務：選擇題50題，考試時間90分鐘。．合格標準本項測驗以2科總分合計達140分為合格，惟其中任何1科分數不得低於60分。．筆試時間每年3、6、9、12月。【本書特色】一、 期貨法規+理論與實務，二大部分，一書搞定！期貨相關法規繁多，修法頻仍，本書由三民輔考名師彙整最新法規編修而成，完整涵蓋期貨商業務員測驗考試範圍，考生只要熟讀此書，即是取得證照的最佳捷徑！二、 雙色印刷、關鍵字重點標示、大量圖表統整歸納！本書將龐雜的內容化為生動的雙色圖表編排，配以專業的重點歸納整理，和關鍵字醒目標示，在密密麻麻的文字間直接抓出考試要點，助您以最快最有效率的方式，完成備考功夫！三、 近600道模擬測驗，牛刀小試+精選試題，實力隨時檢視！在適當的段落處皆有與內容相應之「牛刀小試」；而各章節最末則附有「精選試題」，讓考生在研讀完內容後進行模擬測驗，一方面熟悉題型與出題方向，提高掌握考試重點的機率，另一方面，則找出自己未讀通透之處，即刻補強，隨時保持最佳戰力。四、 收錄108年試題與詳盡解析，考情脈絡一把抓！本書收錄108年考題：期貨交易法規題題解析，期貨交易理論與實務則由作者親選難題解析，幫助考生掌握命題脈絡。在編排上採「題目、答案、解析」分開排版的方式，使考生一邊做題目驗收學習成果，一邊模擬考試實況，增加臨場感，待正式上場時，臨機應變不慌張，難題迎刃而解！詳細考情歡迎參閱三民輔考網站：http://www.3people.com.tw/※正確考試資訊以簡章為準※
                    
"
107期貨交易法規(學習指南與題庫1)-期貨商業務員資格測驗,https://www.kingstone.com.tw//basic/2015215574084?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,證基會,證期會    ,9789869602150.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015215574084/2015215574084b.jpg,"

107期貨交易法規(學習指南與題庫1)-期貨商業務員資格測驗
                    
"
107期貨交易理論與實務(學習指南與題庫2)-期貨商業務員資格測驗,https://www.kingstone.com.tw//basic/2015215574114?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,證基會,證期會    ,9789869602167.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015215574114/2015215574114b.jpg,"

107期貨交易理論與實務(學習指南與題庫2)-期貨商業務員資格測驗
                    
"
期貨商業務員(1書+13DVD衝刺組合)(三民補習班最新教材)【超解析】,https://www.kingstone.com.tw//basic/2015215334404?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,葉輔錩,三民輔考  ,4712933096796.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015215334404/2015215334404b.jpg,"

★名師解析，效果加倍、命中考題★★名師精闢詳解，100%聚焦考點！★期貨交易法規+期貨交易理論與實務=超效學習，證照一次搞定！一對一教學，事半功倍超效率！DVD掌控進度，學習大加分！【金融證照20年專業名師】葉輔錩具多年教學經驗，曾任大專院校專任教師及補習班金融證照專任講師。【產品特色】本影音課程光碟使用三民補習班上課教材，不限學習次數，進度任您掌控，坐在電腦前即能享有一對一的教學，有如名師在家開課！適合無法配合上課時間或地點的同學，不用上補習班也能高分錄取！本課程包含書面教材及多媒體光碟教材，讀得多不如讀得準，您可彈性運用學習進度，隨時反覆學習，完整吸收、效率倍增！【產品內容】內含：1.DVD課程光碟13片(共計8堂課，每堂課約3小時)：期貨交易法規、期貨交易理論與實務、金融市場常識與職業道德。2.《期貨商業務員20天速成》一本※觀看期限：無觀看期限※觀看方式：內容採DVD光碟錄製方式，可重複、無限次數觀看。
                    
"
期貨分析師：期貨法規與自律規範【歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015214947025?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,黃卓盛,宏典文化  ,9789865926793.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214947025/2015214947025b.jpg,"

★本版新增104年四屆期貨分析師考試試題－100%題題詳解！★期貨分析師過關考生分享：準備期貨分析師考試，身邊一定要有一本「考古題」，考古題最好附有詳解，這樣準備起來會更得心應手……。本書完整收錄100-104年度「期貨分析師考試－期貨法規與自律規範」歷屆試題。總計5年20回考試共760題，並由合格分析師與會計師聯合製作詳盡解析，題題解析到位，助考生更快速聚焦命題重點！由於投入金融行業與持有各種金融證照的人越來越多，競爭越來越激烈。各位金融從業人員若想在眾多競爭對手中脫穎而出，擁有比其他競爭者高階的證照是必然的條件。不但可以在求職時能比其他對手更有機會獲得主管的任用，在從事金融業務時也能使客戶更加信任您的專業。目前我國現行法律規定，期貨顧問事業於各種傳播媒體從事期貨交易分析之人員、內部稽核人員、期貨顧問業務之經理人、對期貨交易、期貨信託基金、期貨相關現貨商品、或其他經主管機關公告或核准項目之交易或投資有關事項提供研究分析意見或推介建議之業務員、期貨業務之經理人、全權委託期貨交易業務有關交易決定之業務員、期貨經理事業之總經理、期貨信託事業董事長、期貨信託事業總經理、期貨信託事業業務部門之副總經理、協理、經理、期貨信託事業之部門主管及分支機構經理人、期貨信託事業基金經理人......等職位應具備期貨交易分析人員資格。所以期貨交易分析人員目前是受到法律保障職位的證照。取得期貨交易分析人員證照可謂好處多多，能使您在從業上更有發展前途。提醒各位考生，取得期貨交易分析人員資格者，自資格證書所載核發日起五年內未辦理登記或離職滿五年者，喪失資格。本書主要依照考試科目分為四個科目：(一) 期貨法規與自律規範：本科目乃是純粹死背科目，請把最近18次考試的選擇題題目及答案背下來，也就是背到一看到題目就知道答案的熟悉程度。另外會考的是每年修正的法條，比較修正前後規定的差異和修法的原因。有些考題出現的法律專有名詞，完全不會出現在法條中。例如:強制仲裁、約定仲裁......考生要特別把這些法律專有名詞的定義給搞清楚。不然即使翻遍了法條也找不到答案，也看不懂題目和選項之間的關係。(二) 衍生性商品之風險管理要特別注本科意計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。而最新的Basel III規定、Var值、違約機率也是要特別注意。(三) 期貨、選擇權與其他衍生性商品本科要特別專注在計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。尤其是選期貨定價公式、選擇權上下限、put–call parity、選擇權定價公式、Greeks的公式一定要背熟會算，遮些都是每次必考的重點。(四) 總體經濟及金融市場沒有念過這科的考生想要先看教科書自修，不能直接看總體經濟學，要先看經濟學原理。如果沒學過經濟學原理，直接看總體經濟學會看不懂。考生要特別留心的是圖形曲線。能夠熟記並且在心裡畫出各種經濟學曲線。如IS-LM曲線、AD-AS曲線。要知道其中任何一項變因的變化，可以使曲線往上下左右哪個方向或是變平變彎的變化。經濟學。最後要提醒各位考生，即使考取了期貨交易分析人員資格，只代表具備了基礎的期貨交易分析能力，距離要真正從金融市場賺錢，還有很多多東西要學要自己想。各位千萬不要以為考取了期貨交易分析人員資格就有能力可以擊敗市場。這些學術理論有很多的基本假設和現實生活並不相符，現實中也有很多重要的條件沒有考慮進去。請各位考生千萬不要生搬硬套，直接代入應用在現實世界裡。最後，祝各位讀者考試順利過關，事業蒸蒸日上。
                    
"
期貨分析師：衍生性商品風險管理【歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015214947155?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,黃卓盛、吳曉松,宏典文化  ,9789865926779.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214947155/2015214947155b.jpg,"

★本版新增104年四屆期貨分析師考試試題－100%題題詳解！★期貨分析師過關考生分享：準備期貨分析師考試，身邊一定要有一本「考古題」，考古題最好附有詳解，這樣準備起來會更得心應手……。本書完整收錄100-104年度「期貨分析師考試－衍生性商品風險管理」歷屆試題。總計5年20回考試共729題，並由合格分析師與會計師聯合製作詳盡解析，題題解析到位，助考生更快速聚焦命題重點！由於投入金融行業與持有各種金融證照的人越來越多，競爭越來越激烈。各位金融從業人員若想在眾多競爭對手中脫穎而出，擁有比其他競爭者高階的證照是必然的條件。不但可以在求職時能比其他對手更有機會獲得主管的任用，在從事金融業務時也能使客戶更加信任您的專業。目前我國現行法律規定，期貨顧問事業於各種傳播媒體從事期貨交易分析之人員、內部稽核人員、期貨顧問業務之經理人、對期貨交易、期貨信託基金、期貨相關現貨商品、或其他經主管機關公告或核准項目之交易或投資有關事項提供研究分析意見或推介建議之業務員、期貨業務之經理人、全權委託期貨交易業務有關交易決定之業務員、期貨經理事業之總經理、期貨信託事業董事長、期貨信託事業總經理、期貨信託事業業務部門之副總經理、協理、經理、期貨信託事業之部門主管及分支機構經理人、期貨信託事業基金經理人......等職位應具備期貨交易分析人員資格。所以期貨交易分析人員目前是受到法律保障職位的證照。取得期貨交易分析人員證照可謂好處多多，能使您在從業上更有發展前途。提醒各位考生，取得期貨交易分析人員資格者，自資格證書所載核發日起五年內未辦理登記或離職滿五年者，喪失資格。本書主要依照考試科目分為四個科目：(一) 期貨法規與自律規範：本科目乃是純粹死背科目，請把最近18次考試的選擇題題目及答案背下來，也就是背到一看到題目就知道答案的熟悉程度。另外會考的是每年修正的法條，比較修正前後規定的差異和修法的原因。有些考題出現的法律專有名詞，完全不會出現在法條中。例如:強制仲裁、約定仲裁......考生要特別把這些法律專有名詞的定義給搞清楚。不然即使翻遍了法條也找不到答案，也看不懂題目和選項之間的關係。(二) 衍生性商品之風險管理要特別注本科意計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。而最新的Basel III規定、Var值、違約機率也是要特別注意。(三) 期貨、選擇權與其他衍生性商品本科要特別專注在計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。尤其是選期貨定價公式、選擇權上下限、put–call parity、選擇權定價公式、Greeks的公式一定要背熟會算，遮些都是每次必考的重點。(四) 總體經濟及金融市場沒有念過這科的考生想要先看教科書自修，不能直接看總體經濟學，要先看經濟學原理。如果沒學過經濟學原理，直接看總體經濟學會看不懂。考生要特別留心的是圖形曲線。能夠熟記並且在心裡畫出各種經濟學曲線。如IS-LM曲線、AD-AS曲線。要知道其中任何一項變因的變化，可以使曲線往上下左右哪個方向或是變平變彎的變化。經濟學。最後要提醒各位考生，即使考取了期貨交易分析人員資格，只代表具備了基礎的期貨交易分析能力，距離要真正從金融市場賺錢，還有很多多東西要學要自己想。各位千萬不要以為考取了期貨交易分析人員資格就有能力可以擊敗市場。這些學術理論有很多的基本假設和現實生活並不相符，現實中也有很多重要的條件沒有考慮進去。請各位考生千萬不要生搬硬套，直接代入應用在現實世界裡。最後，祝各位讀者考試順利過關，事業蒸蒸日上。
                    
"
期貨分析師：期貨、選擇權與其他衍生性商品【歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015214947285?zone=book&lid=book_class3_ihb&actid=book_class3_ihb,黃卓盛、吳曉松,宏典文化  ,9789865926786.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214947285/2015214947285b.jpg,"

★本版新增104年四屆期貨分析師考試試題－100%題題詳解！★期貨分析師過關考生分享：準備期貨分析師考試，身邊一定要有一本「考古題」，考古題最好附有詳解，這樣準備起來會更得心應手……。本書完整收錄100-104年度「期貨分析師考試－期貨、選擇權與其他衍生性商品」歷屆試題。總計5年20回考試共736題，並由合格分析師與會計師聯合製作詳盡解析，題題解析到位，助考生更快速聚焦命題重點！由於投入金融行業與持有各種金融證照的人越來越多，競爭越來越激烈。各位金融從業人員若想在眾多競爭對手中脫穎而出，擁有比其他競爭者高階的證照是必然的條件。不但可以在求職時能比其他對手更有機會獲得主管的任用，在從事金融業務時也能使客戶更加信任您的專業。目前我國現行法律規定，期貨顧問事業於各種傳播媒體從事期貨交易分析之人員、內部稽核人員、期貨顧問業務之經理人、對期貨交易、期貨信託基金、期貨相關現貨商品、或其他經主管機關公告或核准項目之交易或投資有關事項提供研究分析意見或推介建議之業務員、期貨業務之經理人、全權委託期貨交易業務有關交易決定之業務員、期貨經理事業之總經理、期貨信託事業董事長、期貨信託事業總經理、期貨信託事業業務部門之副總經理、協理、經理、期貨信託事業之部門主管及分支機構經理人、期貨信託事業基金經理人......等職位應具備期貨交易分析人員資格。所以期貨交易分析人員目前是受到法律保障職位的證照。取得期貨交易分析人員證照可謂好處多多，能使您在從業上更有發展前途。提醒各位考生，取得期貨交易分析人員資格者，自資格證書所載核發日起五年內未辦理登記或離職滿五年者，喪失資格。本書主要依照考試科目分為四個科目：(一) 期貨法規與自律規範：本科目乃是純粹死背科目，請把最近18次考試的選擇題題目及答案背下來，也就是背到一看到題目就知道答案的熟悉程度。另外會考的是每年修正的法條，比較修正前後規定的差異和修法的原因。有些考題出現的法律專有名詞，完全不會出現在法條中。例如:強制仲裁、約定仲裁......考生要特別把這些法律專有名詞的定義給搞清楚。不然即使翻遍了法條也找不到答案，也看不懂題目和選項之間的關係。(二) 衍生性商品之風險管理要特別注本科意計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。而最新的Basel III規定、Var值、違約機率也是要特別注意。(三) 期貨、選擇權與其他衍生性商品本科要特別專注在計算題的部分，考古題中的每道計算題要確實做過至少一遍，而且要知道為什麼要這樣算，而不是死背公式和算法。尤其是選期貨定價公式、選擇權上下限、put–call parity、選擇權定價公式、Greeks的公式一定要背熟會算，遮些都是每次必考的重點。(四) 總體經濟及金融市場沒有念過這科的考生想要先看教科書自修，不能直接看總體經濟學，要先看經濟學原理。如果沒學過經濟學原理，直接看總體經濟學會看不懂。考生要特別留心的是圖形曲線。能夠熟記並且在心裡畫出各種經濟學曲線。如IS-LM曲線、AD-AS曲線。要知道其中任何一項變因的變化，可以使曲線往上下左右哪個方向或是變平變彎的變化。經濟學。最後要提醒各位考生，即使考取了期貨交易分析人員資格，只代表具備了基礎的期貨交易分析能力，距離要真正從金融市場賺錢，還有很多多東西要學要自己想。各位千萬不要以為考取了期貨交易分析人員資格就有能力可以擊敗市場。這些學術理論有很多的基本假設和現實生活並不相符，現實中也有很多重要的條件沒有考慮進去。請各位考生千萬不要生搬硬套，直接代入應用在現實世界裡。最後，祝各位讀者考試順利過關，事業蒸蒸日上。
                    
"
