書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
印前製程〔圖文組版項〕丙級檢定學術科試題精析（第五版）【含教學素材及1：1術科試題成品檔下載QR Cod,https://www.kingstone.com.tw//basic/2014770092392?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳麗娟,新文京    ,9789864305438,https://cdn.kingstone.com.tw/book/images/product/20147/2014770092392/2014770092392b.jpg,"


	本書第五版依據行政院勞動部勞動力發展署技能檢定中心最新公布，108年8月28日之後報考適用之印前製程（圖文組版項）丙級技術士技能檢定學科、術科測驗試題最新公告修訂編寫而成。
	全書分為三章：第一章為檢定實施要點，包括檢定規範與應檢須知；第二章為術科試題實作解析，依公告樣張製作4題模擬試題，並將製作步驟以圖示逐一分解。術科步驟中的字級、字型、顏色、文字框及圖框所標示的數值皆為參考值，供考生練習用；第三章為學科試題總複習，先對學科內容加以重點整理，方便讀者複習，接著依「8個工作項目」分類解析，並將相關知識之重點整理於題型下以方便閱讀。
	目錄頁提供QR Code，讀者可掃描下載教學素材及1：1術科試題成品檔，書末則以拉頁形式提供術科試題成品。讀者按照本書依步驟多加練習術科操作，並詳細閱讀學科總複習重點與試題，定能事半功倍順利通過檢定考試。

"
乙級「室內設計技術士」證照術科－歷年考題及A1 1：1參考解答（107年）,https://www.kingstone.com.tw//basic/2015215927439?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,晨興,晨興設計  ,9789869690119,https://cdn.kingstone.com.tw/book/images/product/20152/2015215927439/2015215927439b.jpg,"


	1. 因應107室內設計證照考題大幅變動，最佳參考書圖。
	2. 最完整『室內設計技術士』證照考題及參考解答。
	3. 以A1海報1:1印刷，所有比例與考試相同，提供應試者最精準確實之參考資料。
	4. 考題繪製均模擬考試時間，在時間內繪製完成，每一幅作品均為恰到好處之作。為應考讀者最佳之參考作品。
	5. 完整收錄該年度考題，提供讀者多方參考不同題型，最有效率參考資訊。
	6. 同時適用初學者及科班學員程度。

商品內容：
	(1) 考題本一本（107年第一及第二梯次）。
	(2) 107　A1 1/1 參考解答黑白2張、彩色2張。

"
丙級視覺傳達設計學術科通關寶典－2018年（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215639547?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕 程正豪,台科大    ,9789864555888,https://cdn.kingstone.com.tw/book/images/product/20152/2015215639547/2015215639547b.jpg,"


	1.依據勞動部最新公告學術科試題編寫。

	2.學科解析詳實，重點清晰。

	3.學科解析以功能型顏色標示，與試題明顯區別，強化學習效果節省時間加速閱讀與複習，提升學習效果。

	4.術科以四段式基本製圖解析：透過造形分類，統整製圖要領；以藍色線條繪出製圖重點，配合說明，只要四步驟就能輕鬆完成製圖。

	5.術科五段式字體解析：透過字體部首比例、骨架、位置、弧度、重要筆劃等分析，讓書寫字體更流利。

	6.術科彩色圖解完稿技巧：呈現學生分段示範過程，可熟悉基本製圖、字體、版面配置、裝裱和修改處理，確實掌握得分要領。

	7.提供習作加強模擬練習：除課本內提供即席的習作練習，另有試題用紙可搭配使用，加強模擬測試。

	8.附錄「製圖配色檢查表」，可供學生隨身攜帶，作為配色調色參考和考前複習。

	9.附贈OTAS題測網，可供線上測驗（web版）及單機版使用，可重複測驗練習，加強檢定實力，實用超值。

	 

"
丙級視覺傳達設計學術科通關寶典－2017年修訂版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215404534?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕、程正豪,台科大    ,9789864554881,https://cdn.kingstone.com.tw/book/images/product/20152/2015215404534/2015215404534b.jpg,"


	1.依據勞動部最新公告學術科試題編寫。

	2.學科解析詳實，重點清晰。

	3.學科解析以功能型顏色標示，與試題明顯區別，強化學習效果節省時間加速閱讀與複習，提升學習效果。

	4.術科以四段式基本製圖解析：透過造形分類，統整製圖要領；以藍色線條繪出製圖重點，配合說明，只要四步驟就能輕鬆完成製圖。

	5.術科五段式字體解析：透過字體部首比例、骨架、位置、弧度、重要筆劃等分析，讓書寫字體更流利。

	6.術科彩色圖解完稿技巧：呈現學生分段示範過程，可熟悉基本製圖、字體、版面配置、裝裱和修改處理，確實掌握得分要領。

	7.提供習作加強模擬練習：除課本內提供即席的習作練習，另有試題用紙可搭配使用，加強模擬測試。

	8.附錄「製圖配色檢查表」，可供學生隨身攜帶，作為配色調色參考和考前複習。

	9.附贈OTAS題測網，可供線上測驗（web版）及單機版使用，可重複測驗練習，加強檢定實力，實用超值。

"
乙級室內設計技術士證照術科105年,https://www.kingstone.com.tw//basic/2014410152295?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,晨興,晨興設計  ,9789869212359,https://cdn.kingstone.com.tw/book/images/product/20144/2014410152295/2014410152295b.jpg,"


	1. 因應考題圖框變更，最佳參考書圖
	2. 最完整『室內設計技術士』證照考題及參考解答。
	3. 以A1海報1:1印刷，所有比例與考試相同，提供應試者最精準確實之參考資料。
	4. 考題繪製均模擬考試時間，在時間內繪製完成，每一幅作品均為恰到好處之作，不至於過分描繪不可能達成的繪製精緻度。為應考讀者最佳之參考作品。
	5. 完整收錄年度考題，多方參考不同題型，提供最有效率參考資訊。
	6. 同時適用初學者及科班學員程度。

	 

商品內容:
	(1) 考題本一本(105年第一及第二兩梯次)
	(2) A1參考解答黑白2張、彩色2張

"
丙級視覺傳達設計學術科通關寶典－2017年（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215274281?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕、程正豪,台科大    ,9789864552986,https://cdn.kingstone.com.tw/book/images/product/20152/2015215274281/2015215274281b.jpg,"


	1.依據勞動部最新公告學術科試題編寫。
	2.學科解析詳實，重點清晰。
	3.學科解析以功能型顏色標示，與試題明顯區別，強化學習效果節省時間加速閱讀與複習，提升學習效果。
	4.術科以四段式基本製圖解析：透過造形分類，統整製圖要領；以藍色線條繪出製圖重點，配合說明，只要四步驟就能輕鬆完成製圖。
	5.術科五段式字體解析：透過字體部首比例、骨架、位置、弧度、重要筆劃等分析，讓書寫字體更流利。
	6.術科彩色圖解完稿技巧：呈現學生分段示範過程，可熟悉基本製圖、字體、版面配置、裝裱和修改處理，確實掌握得分要領。
	7.提供習作加強模擬練習：除課本內提供即席的習作練習，另有試題用紙可搭配使用，加強模擬測試。
	8.附錄「製圖配色檢查表」，可供學生隨身攜帶，作為配色調色參考和考前複習。
	9.附贈OTAS題測網，可供線上測驗（web版）及單機版使用，可重複測驗練習，加強檢定實力，實用超值。

"
丙級視覺傳達設計學科題庫分類解析－2016年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215113306?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,程正豪,台科大    ,9789864550913,https://cdn.kingstone.com.tw/book/images/product/20152/2015215113306/2015215113306b.jpg,"


	1.依據勞動部最新公告學科試題編寫。
	2.解析詳實，巨細靡遺，重點清晰。
	3.試題細分工作項目與自我評量，提升學習效果。
	4.學科試題以功能型顏色標示，節省時間加速閱讀與複習。
	5.試題與解析做一明顯區別，強化學習效果。
	6.附贈OTAS題測網，可供線上測驗（web版）及單機版使用，可重複測驗練習，加強檢定實力，實用超值。

"
丙級視覺傳達設計術科快攻秘笈－2016年版,https://www.kingstone.com.tw//basic/2015215032867?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕,台科大    ,9789864550920,https://cdn.kingstone.com.tw/book/images/product/20152/2015215032867/2015215032867b.jpg,"


	1.四段式基本製圖解析：透過造形分類，統整製圖要領；以藍色線條繪出製圖重點，配合說明，只要四步驟就能輕鬆完成製圖。
	2.五段式字體解析：透過字體部首比例、骨架、位置、弧度、重要筆劃等分析，讓書寫字體更流利。
	3.彩色圖解完稿技巧：呈現學生分段示範過程，可熟悉基本製圖、字體、版面配置、裝裱和修改處理，確實掌握得分要領。
	4.提供習作加強模擬練習：除課本內提供即席的習作練習，另有試題用紙可搭配使用，加強模擬測試。
	5.附錄「製圖配色檢查表」，可供學生隨身攜帶，作為配色調色參考和考前複習。

"
丙級網頁設計學術科通關寶典2015年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2014713456212?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,北科大檢定研究室,台科大    ,9789863089322,https://cdn.kingstone.com.tw/book/images/product/20147/2014713456212/2014713456212b.jpg,"


	1.圖文並進解題法：以條列式、標題化的文字敘述，精簡扼要的說明操作要點；數量眾多的操作畫面擷取圖，圖片上面標示有操作順序，引導初學者快速掌握解題技巧。

	2.答案正確步驟少：本書出版歷經五年屢獲讀者好評，解題技巧經過縝密的討論力求精簡正確，操作步驟力求規則化。

	3.試題分析表格化：將各題各網頁的製作流程，繪製成流程圖，提供考生對試題的掌握，提升學習效率。

	4.分類學習效能佳：將試題依其屬性分類進行解題，提供考生類化學習、融會貫通，達到熟能生巧、快速解題的能力。

	5.附有影音教學檔：隨書附贈影音教學光碟，提供1到5題各網頁實際操作的示範教學。

	6.附贈OTAS題測網可供線上測驗(Web版)子及單機版使用，可重複練習增強檢定實力，實用超值。

	7.依勞動部最新公告試題編寫，術科試題編號：960301~960310。

"
視覺傳達設計丙級技能檢定：學術科試題精析（第五版）,https://www.kingstone.com.tw//basic/2019600053871?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,蘇美綺,新文京    ,9789864300068,https://cdn.kingstone.com.tw/book/images/product/20196/2019600053871/2019600053871b.jpg,"

本書獻給想了解廣告、有志從事視覺設計，進而想取得「視覺傳達設計丙級證照」的學子們！　　本書依據行政院勞動力發展署技能檢定中心最新公布之「視覺傳達設計」技術士檢定參考題庫編著而成，希望提供讀者最新、最快的訊息。全書分為學科題庫解析、基本製圖解析、字體解析、色彩解析等四大部份，以深入淺出的方式，針對題目作詳盡的解釋與分析，將術科製圖的基本步驟一一詳列，提供讀者最有效的學習。　　第一部份學科題庫分成七個單元：色彩學、攝影、印刷概要、廣告媒體、圖學、設計基礎及廣告相關法規與安全衛生，共計614題選擇題。學科測試方式為考80題選擇，每題以1.25分計，答錯不倒扣，試題難易比例為60%、40%，考試時間100分鐘。　　術科題庫共計10題，每題均包含基本製圖及字體繪製兩部分，本書第二部份針對基本製圖加以解析，第三部份針對字體繪製加以解析。　　第四部份為色彩解析，說明術科使用的塗色工具與廣告顏料，並附上調色總表。　　書末附錄編有：術科應檢注意事項、術科試題、字體範例、基本製圖彩色稿、術科試題範例試作等實用資料。　　本書自2011年初版發行以來即廣受各技職院校老師採用，每版銷完即修訂改版，2015年3月出版第五版，對前一版未盡理想之處均加以修訂更新，讓本書更方便讀者準備應考，也更方便教師輔導學生考取證照。

"
