書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
日文閱讀與翻譯（外語群日語類）－適用至2021年統測含解析本－升科大四技（附贈MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216316072?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,図書之介,台科大    ,9789864559626.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216316072/2015216316072b.jpg,"


	1.方便記憶，背誦的編排。
	2.系統性的文法解說。
	3.最適合考前總複習使用。
	4.豐富的接續詞、副詞、擬聲擬態語補強閱讀句子文章的能力。
	5.近義文法解釋，幫助同學理解。
	6.針對日文統測以及日語能力檢定N3~N2的全方位參考書。
	7.羅列豐富的N3、N2句型並按五十音排序，方便查閱。

"
CSEPT全真模考應試錦囊 Book 2 （Answer key請mail索取）,https://www.kingstone.com.tw//basic/2015216014305?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,徐毓琇,文鶴      ,9789861478555.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216014305/2015216014305b.jpg,"

● 網路會員訂購者欲索取解答，請mail至cranebook@crane.com.tw，並提供網路訂單編號。課本音檔iCrane免費下載 goolgle商店網址https://play.google.com/store/apps/details?id=tw.com.crane.cmp&hl=zh_TW一、CSEPT 大學校院英語能力測驗 (College Student English Proficiency Test)，係 LTTC 專為國內技職體系與大學校院評量英語教學及學習成效的需求所研發的英語能力檢定測驗。二、測驗依難易程度分為兩級，第一級適合基礎至中等英語程度（相當於GEPT 初至中級）；第二級適合中等至進階英語程度（相當於 GEPT中至中高級）。三、CSEPT 大學校院英語能力測驗全真模考應試錦囊係本公司繼全民英檢(GEPT) 之後又一嘔心瀝血之作。為求順應市場需求，邀集學者專家審慎編寫試題，期能更符合正式考試內容之難易程度。四、本模擬試題冊共計六回，前五回適合第一級的程度，第六回特別針對程度較佳且勇於挑戰者而設計，符合第二級程度。讀者只要按部就班，反覆練習，即能增進實力、輕鬆闖關，取得證照。
                    
"
實用英文,https://www.kingstone.com.tw//basic/2018052987536?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,陳愛華、張景翔,新文京    ,9789864307203.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052987536/2018052987536b.jpg,"


	本書以生活化與實用性為著眼點，以生活化的情境引導讀者「看到」生活中最密切相關的英語：各種看板、告示牌、傳單，並以此為切入點，學習最實用的英文。

	全書以兩位主角要從台灣前往美國探望朋友為主要情境設定，由此展開高鐵站、機場、訂房及餐飲、路標、校園生活等場域做為五大單元。在每個單元均設計若干情境式對話，學習在這些場域中常用的詞彙與對話，並引導讀者認識在這些場域中常會出現的看板、告示牌、傳單，從中學習相關的英語詞彙和常用語句。

	許多人在中學時期的英文基礎沒學好，大學短短一年的大一英文也難以補救回來，一般的英文教材讀本不管是字彙、文法或句型，都比中學階段更難，令學生望而卻步。這樣挫折的學習經驗讓他們畢業後也是一直深深相信自己「不會英文」，看到英文自動轉換為文盲。這本「實用英文」不講句型文法，也不叫你背一些生活中幾乎用不到的字彙。不會閱讀或書寫完整的英文文章沒關係，如果你不是想從事外貿工作或學術研究，其實不必太焦慮，但是本書教你至少可以應付生活中常見的英文，比如說，至少旅遊觀光時，看到「禁止攝影」的告示牌，你能知道意思，不會真的當文盲。

	本書適合做為大專院校非英語專業的學生做為英語通識教材，也適合出國商旅、探親、遊／留學，以及觀光旅遊或餐飲業者快速自學。

"
漢英翻譯基礎與策略（修訂版）,https://www.kingstone.com.tw//basic/2018052982906?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,李孚聲,崧燁文化  ,9789865167264.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052982906/2018052982906b.jpg,"


	本書顧名思義，就是要對如何有效地進行漢英翻譯做一番較為細緻的探討。本書的重點不在理論，而在實踐。因為實踐是翻譯之本，是翻譯的出發點和歸宿，是翻譯理論的基礎。從事翻譯最忌空談理論，況且，目前翻譯理論非常龐雜，學派林立，這就更不能機械地套用某種翻譯理論了。

	漢英翻譯歷程比英漢翻譯更為艱辛，要想做好漢英翻譯最需要具備什麼能力呢？ 當然是英文寫作能力。

	對於翻譯策略或技巧的掌握，首先體現在句子層面的翻譯上。英語的單句可以說是翻譯最基本的「單位」或意義層次，翻譯必須從英語的句型構建開始，而不是從漢語句子開始。漢語的「基本單位」或意群可以是一組「流水句」，而英語句子卻是基本固定不變的「主語—謂語—賓語」的模式，漢英翻譯其實就是根據這個模式用英語組句，整個過程可簡化為：

	找主語→確定謂語→確定次要動詞→判斷語氣→決定語態→選用名詞

	篇章翻譯是翻譯的最高層次，一個篇章可以是一個段落，也可以是整篇文章。譯文的整體審視要在這個層面進行。譯文的風格、體裁以及詞匯的潤色和檢審，都要在這裡完成。

	本書就是按照「基礎知識→句子翻譯→篇章翻譯」的框架編排的。在翻譯實踐中這的確是段艱辛的歷程，然而，翻譯完成之時帶給譯者的喜悅也是無與倫比的，這種喜悅可以比作經過跋涉攀緣到達山頂的感覺。

	我們常說漢英翻譯是一種再創造，是指用道地的英語充分表達中文原作「盡在不言中」的含義的整個過程。當你經過艱辛的努力，終於找到了恰當的詞匯、通順的句型、暢達的篇章結構時，你會感到無比的快樂，這種快樂不但不亞於創作，反而更勝於創作。這也許就是翻譯工作的魅力所在吧。

"
領隊導遊英文【含錄音檔及歷屆試題 QR Code】,https://www.kingstone.com.tw//basic/2018052982876?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,王清煌、張誠仁,新文京    ,9789864306909.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052982876/2018052982876b.jpg,"

本書融合帶團實務知識與溝通式語言教學，兼顧英語領隊導遊實務及「聽說讀寫」等語言技能，全書面面是重點，包含多變用字及句型、實用句與聽力訓練等廣泛內容，最重要的是「環境營造開口說」。全書分為〈準備篇〉、〈領隊篇〉、〈導遊篇〉、〈附錄〉等四大部分：〈準備篇〉以中英對照的方式，介紹領隊導遊帶團技巧，〈領隊篇〉設計從機場櫃檯辦理登機到旅館辦理入住，以及餐廳用餐、危機狀況處理等10種情境，引導讀者練習這些情境下常用到的英文；〈導遊篇〉包含了九份與野柳、知名夜市與小吃、臺北故宮博物院、臺南孔廟及鹽水蜂炮與炸寒單、龍山寺與保安宮等包含自然景觀、人文、民俗節慶、庶民生活等不同性質觀光旅遊的英文導覽介紹；〈附錄〉則收錄了領隊篇聽力練習的講稿、課文部分中譯、英語導遊口試─自我介紹範例、出國檢查表及機場常用語。本書一大特色是在聽力、閱讀均設計兩段式練習，先看「GIST 大意類型」問題，了解此次閱讀或聆聽的目的，迅速抓到重點，之後，再以「Skim & Scan」（略讀與掃讀）技巧閱讀或聆聽全文後再回答細節問題，不但能讓讀者留意「細節」，更能引導讀者思考更全面的「大意」。各章練習題均於章末附解答，並請專業外師錄製書中的聽力、閱讀等內容錄音檔，以QR Code提供讀者掃描聽取。目錄頁最後附有歷屆試題QR Code，提供讀者掃描讀取近十年領隊導遊人員考試試題及解答，有助於讀者準備應考「英語導遊筆試」。本書適用於文化觀光或休閒事業管理、餐飲管理或旅遊經營相關科系等專業課程教學必修，以及應用外語教學指定選修用書，也是旅遊專業人員進修和準備「英語領隊及導遊」證照的首選考試用書。
                    
"
實用護理師英語,https://www.kingstone.com.tw//basic/2018052916345?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,王令璿,五南      ,9789865220716.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052916345/2018052916345b.jpg,"

全書共分七大篇，分別為初診篇、病史詢問及症狀評估篇、住院照護篇、內外科病人指導篇、婦產科病人指導篇、小兒科病人指導篇及公共衛生概論篇，各篇中包含數種不同照護主題，每種內容依據情境、對話、文章選讀及字彙等編排，期使閱讀對象學習實用性之醫護對話，並深化其對各科常用字彙之敏感度。
                    
"
全方位英語文教學,https://www.kingstone.com.tw//basic/2018052921332?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,陳湄涵,五南      ,9789865220099.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052921332/2018052921332b.jpg,"

邁向專業英語教學的第一步！本書特色：◎陳述圖畫書在外語教學的理論基礎、選用技巧、教學訣竅，並舉實例逐步引導教師進入說故事的殿堂。◎融合理論與實務，以淺顯易懂的文體，詳細闡述各種外語教法的緣起、理論基礎、課堂呈現及應用活動，大幅提升教師的專業素養，進而激發教學靈感。◎就主要的語言教學元素──字彙、發音、文法、對話、閱讀與歌曲歌謠，分門別類提供有系統的指引及教學範例。◎針對教學目標、學生的學齡及程度，循教學的四步驟來設計各種完整實用的教案，是專業英語教師的利器。◎提供豐富多元的外語評量方法，協助教師有效地評估學生的需求及學習成就。
                    
"
初級日本語：能力本位教材（第三版）（附習作簿）（附語音光碟）,https://www.kingstone.com.tw//basic/2015216495487?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,陳金順、王百祿、張耿明,全華      ,9789865033620.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216495487/2015216495487b.jpg,"

本教材以本國學生為對象所編撰。為加強學習者自習，除了「練習」附有解答之外；另提供練習帳以評量的方式，檢視自我學習的情況。練習帳之測驗題儘量仿照日語能力檢定測驗的出題方式，讓學習者熟悉檢定測驗的出題方式，以提昇未來參加日語能力檢定之應試能力。此外，本書另附有聲CD，由日籍老師真人發音，幫助學習者正確發音，進而培養學習者脫口說日語的會話能力。
                    
"
日本語HAI（動．助詞篇）,https://www.kingstone.com.tw//basic/2018030981402?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,林欐嫚,翰蘆圖書  ,9789869867504.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018030981402/2018030981402b.jpg,"


	《日本語 HAI－動・助詞篇》，為作者另一本暢銷書《日本語 HAI》的延伸力作。

	 

	《日本語 HAI－動・助詞篇》，特別針對讀者在學習過程中，容易混淆之處，以表格、圖畫形式分類、對照呈現、歸納統整，讓讀者能一目了然、快速理解、釐清盲點。

	 

"
日本語HAI（三版）,https://www.kingstone.com.tw//basic/2018030981372?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,林欐嫚,翰蘆圖書  ,9789869840194.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018030981372/2018030981372b.jpg,"


	感謝讀者厚愛。為配合日本迎接「令和」之新時代，及鼓勵學生要隨時更新資訊，筆者特此改版成《日本語HAI(三版)》。

	本書係針對日文初學者特別設計的教科書，適合報考日文檢定5級考生特別編寫。

	鑑於許多的初階的日文教科書編寫者必未實際任教日文課程、或與日文教學現場脫節，作者因此以期長達近30年的教學經驗，特別編寫本書。

	全書內容豐富、活潑，除豐富的課程外，還有日本文化、歷史等生活常識，很適合自學者，或作為日文教學者的上課教材。

	 

"
越南語多義字,https://www.kingstone.com.tw//basic/2018070008473?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,阮氏美香,翰蘆圖書  ,9789869840170.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018070008473/2018070008473b.jpg,"


	美香老師有多年教授越南語及相關設計企業數位課程經驗，快速讓你在越南語學習中提升更多詞彙、句子，本書也適用越南語驗定必備的詞彙及句型。

	 

	有學就有用，絕不錯過時機

	 

本書特色

	 

	◎越南語基礎到高級詞彙字庫

	◎增加詞彙、句型

	◎解決學習上遇到一字多義的困擾

	◎適合越南語初、中、高級學習者

	◎完全針對多義字需求設計、搭配實用句型且有效學習有學就有用，聽說讀寫的詞彙都在此

	◎多義字索引、無論是移民特考、警察考試、導遊考試、越語檢定等皆用

	 

	版面整齊．條例清楚．詞彙豐富

	 

"
談笑用兵 英文句型全攻略,https://www.kingstone.com.tw//basic/2018052877578?zone=book&lid=book_class3_ioe&actid=book_class3_ioe,林羨,五南      ,9789577636539.0,https://cdn.kingstone.com.tw/book/images/product/20180/2018052877578/2018052877578b.jpg,"


	◎以有限的英文詞彙，靈活運用各類英文句型，變化出無限多英文句子！

	本書針對英文句型結構，由單字、片語、動詞類型的點，結合成簡單句、合句、複句、複合句四種類型變化的線，搭配特殊句型的條件句與假設語氣、比較句型、直接引述與間接引述、it的用法、以及倒裝句，運用大量例句，完整深入講解英文句型的結構與變化技巧，並以一千兩百多個練習題，由易而難，讓讀者充分練習，把握「正確中求變化，變化中求正確」的原則，能以有限的英文詞彙，靈活運用各類英文句型，於談笑用兵之間，輕鬆寫出變化萬千的英文句子。

"
