書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
建築師電機設計(05426),https://www.kingstone.com.tw//basic/2015214622618?zone=book&lid=book_class3_iok&actid=book_class3_iok,羅國杰,全華      ,9789572143537,https://cdn.kingstone.com.tw/book/images/product/20152/2015214622618/2015214622618b.jpg,"


	本書是作者以三、四十年相關的工程設計與施工管理的寶貴經驗，並參考世界先進國家之法規及經驗，從建築、電機、水電空調、消防與環保專業領域出發，且加入現代智慧型建築的需求概念；內容分為：建物社會責任篇、建築電器工程環保化篇、消防安檢篇、近代建物的智慧化、新時代代表性建築的電氣工事、建物水電工程、電腦輔助設計、住宅屋內配線設計及電氣事務。，堪稱一本有關建築設計之重要著作！適合建築師及建築相關人士參考用。

	 

■ 本書優點特色

	 

	作者以三、四十年相關的工程設計與施工管理的寶貴經驗，並參考世界先進國家之法規及經驗，從建築、電機、水電空調、消防與環保專業領域出發，加入現代智慧型建築的需求概念，堪稱一本有關建築設計之重要著作！

"
一點就通的服裝版型筆記,https://www.kingstone.com.tw//basic/2014230099824?zone=book&lid=book_class3_iok&actid=book_class3_iok,夏士敏,五南      ,9789865224448,https://cdn.kingstone.com.tw/book/images/product/20142/2014230099824/2014230099824b.jpg,"


	服裝裁剪製作技術自古為工匠之事，僅為師徒相傳，沒有典籍記載。現今服裝版型的學術研究著重於人體的尺寸計測、著裝狀態的補正，市面上的服裝版型書籍則多為提供各種設計款式服裝版型的圖例。對於沒有實務經驗的初學者來說，如果能有一本從零開始，了解衣服版型是如何從平面素材轉化成立體服裝，版型結構線條又該如何產生與應用的參考書籍，在學習服裝設計的過程中更能一點就通!

	 

	本書彙整服裝版型設計立體化基礎方法，以教學資料系統完備的日本文化學園大學之「文化原型」學理基礎，並參照作者多年的實務經驗，嘗試將裁剪版型技術以圖例說明轉化為可供版型研究參考的資料。

"
現代發明學：從創意創新到群眾募資商品化,https://www.kingstone.com.tw//basic/2014400151215?zone=book&lid=book_class3_iok&actid=book_class3_iok,葉忠福,揚智文化  ,9789862983607,https://cdn.kingstone.com.tw/book/images/product/20144/2014400151215/2014400151215b.jpg,"


	本書內容著重於四大部分，即「創意思考與創新」、「產品設計與開發」、「創客空間與群眾募資商品化」、「智慧財產與專利管理」。以現代發明環境下的實務性質知識及經驗學習為主，書籍內容與產業界實務契合，知識實用性佳，有別於一般純理論的書籍。本書更在各章節間補充插入專欄文章，用生動的發明故事讓閱讀者輕鬆學習。

	本書除加入最新群眾募資、創客空間新知資料外，亦加強產品研發、智權管理等資料的完整性。更收集了創新發明工作者所必須的周邊資訊，如國際發明展、國際設計展與創客競賽場次、群眾募資平台、技術交易平台等資訊，提供給在學學生及發明人實務上的運用。 葉忠福  謹識

"
建築設計這樣做,https://www.kingstone.com.tw//basic/2014410166810?zone=book&lid=book_class3_iok&actid=book_class3_iok,鄭晃二,五南      ,9789865222529,https://cdn.kingstone.com.tw/book/images/product/20144/2014410166810/2014410166810b.jpg,"

這本書是寫給對於設計教育有興趣的人。指導升學規劃與輔導的高中老師。身邊有朋友、小孩要選填念設計系的人。正在念建築系或是準備建築師考試的考生。還有，已經畢業多年，仍會有設計做不完噩夢的建築人……建築系除了做設計還學什麼？本書一次為您說清楚：理論與歷史、環境與都市、營建與技術、設計輔助…
                    
"
Rhinoceros 3D?造型建模實務,https://www.kingstone.com.tw//basic/2014410164656?zone=book&lid=book_class3_iok&actid=book_class3_iok,吳細顏,D&A Lab     ,9789869853132,https://cdn.kingstone.com.tw/book/images/product/20144/2014410164656/2014410164656b.jpg,"


	第一本從零開始的專業Rhino 3D 教學書籍，讓您一步步跟著走一定學會！

	 

	Rhino 3D教材由國立聯合大學建築學系 D&A Lab 實驗室編撰完成，內容編寫經由課堂授課經驗累積，實際了解學生學習 3D 建模與參數化設計軟體之盲點後編寫而成，是一本完全針對想學好 3D 參數化建模軟體卻完全零基礎的學生而設計的手把手教材內容，內容經由詳細的指令說明，一圖一步驟整本全彩印刷的方式進行教學，讓學生獨力即可按照步驟一步步完全自學成功，三百多頁的全彩教材內容由淺入深同時加上案例實戰，讓您零基礎輕鬆學會參數化建模設計，毫無懸念！

"
Grasshopper 可調式參數化3D造型設計,https://www.kingstone.com.tw//basic/2014020002911?zone=book&lid=book_class3_iok&actid=book_class3_iok,吳細顏,D&A Lab     ,9789869853149,https://cdn.kingstone.com.tw/book/images/product/20140/2014020002911/2014020002911b.jpg,"


	Rhino 3D教材由國立聯合大學建築學系 D&A Lab 實驗室編撰完成，內容編寫經由課堂授課經驗累積，實際了解學生學習 3D 建模與參數化設計軟體之盲點後編寫而成，是一本完全針對想學好 3D 參數化建模軟體卻完全零基礎的學生而設計的手把手教材內容，內容經由詳細的指令說明，一圖一步驟整本全彩印刷的方式進行教學，讓學生獨力即可按照步驟一步步完全自學成功，三百多頁的全彩教材內容由淺入深同時加上案例實戰，讓您零基礎輕鬆學會參數化建模設計，毫無懸念！

"
建築設計：涵構與理路,https://www.kingstone.com.tw//basic/2019200052793?zone=book&lid=book_class3_iok&actid=book_class3_iok,李峻霖,五南      ,9789577638618,https://cdn.kingstone.com.tw/book/images/product/20192/2019200052793/2019200052793b.jpg,"


	這本書的出版，我們將其定位為學院內建築設計的入門書籍，目標讀者設定在建築相關的學院內就讀的學生、有興趣攻讀建築學士後學位的朋友或初入建築設計產業的職場新兵，讓讀者了解建築設計大致上的樣態後，也能激發出讀者去追尋建構符合自己的建築設計方法，我們不是要成就一位大師，但是我們可以選擇自己要成為一個有思維、有態度、懂論述、也會實踐的建築專業工作者。本書章節內容的架構主要由關於建築與建築設計的認知與入門基礎開始，包含了：前言、意涵、哲史、運動、術語、分析、思考、落實與結語。

	我們衷心地建議建築系的學生在踏入學習建築設計之路前，先學著怎麼過「生活」；在進入建築設計操作之前，我們建議應該先學會什麼是思考與如何思考；在開始找問題之前，我們建議先了解這個世界的運行方式；在尋求解決問題的可能性之前，我們建議先理解自己看待這個世界的態度與價值觀。

	最後，僅以電影Twelve Years a Slave的一段話送給「即將」與「仍在」建築設計這條路上奮進與堅持理想的我們與各位準建築人們：A lot of times you don't choose to hold on because there's hope; you held on, and so there's hope.

"
CI設計：為品牌注入生命力,https://www.kingstone.com.tw//basic/2019640110060?zone=book&lid=book_class3_iok&actid=book_class3_iok,黃靜、謝蔚莉、梁佳韻 編著,崧燁文化  ,9789576819445,https://cdn.kingstone.com.tw/book/images/product/20196/2019640110060/2019640110060b.jpg,"


	CI 設計進入中國企業家、設計師、消費者的視野已超過30年。現階段的設計師培養，已經不能僅僅停留在怎麼做 CI 設計這一層面，我們必須將學生培養放置在一個未來的職業環境中去考量──要成為一名優秀的視覺設計師，他們需要具備什麼樣的能力。

	 

	本書首先概述CI設計，包括CI設計的基本概念、CI設計解決什麼樣的問題；再介紹CI設計的基本元素，包括理念識別、行為識別、視覺識別三節；基礎論述都結束以後，接下來便進入CI設計中實際的流程階段；最後三章特別將CI設計中尤為重要的視覺──也就是VI設計的部分，再作更進一步的說明，包括VI設計的基本元素、VI設計的應用以及VI設計的手冊製作。

	 

	本書的編寫不僅僅立足於CI設計課程各環節的教學內容，更著重走訪了設計公司相關的從業人員，針對設計行業對未來設計師的從業要求進行了梳理，從而確定了我們所培養的設計師應該具備什麼樣的能力。

"
應用透視基礎：世事「洞明」皆學問,https://www.kingstone.com.tw//basic/2019479422082?zone=book&lid=book_class3_iok&actid=book_class3_iok,恩剛、恩溪弄,崧燁文化  ,9789577358882,https://cdn.kingstone.com.tw/book/images/product/20194/2019479422082/2019479422082b.jpg,"


	透視的基礎理論是揭示平面與空間轉化規律的中心投影理論，通常作為應用理論廣泛運用於繪畫、設計、建築、測量、製造加工等方面，主要作用於平面造型的圖形表現方面，如繪畫、藝術設計表達、建築設計表達、製造加工方面的產品外觀設計表達等。透視作為投影理論，屬於圖學研究的範疇，對透視理論的發展歷史和應用歷史的研究又通常被劃在美術史、建築史和圖學當中。

	 

	由透視的基礎理論（包括基本概念、基本原理、基本規律）所構成的透視學是較系統的理論體系，也是目前美術、藝術設計、建築設計、工業設計等專業開設的基礎技法理論課程。

	 

	透視基礎理論由基本概念、基本原理、基本規律（法則）組成，它通常作為應用理論而被廣泛應用於繪畫和設計表達。對於透視基礎理論的學習與研究，基本上是在理論與應用相結合的基礎上進行的。透視基礎理論對繪畫和設計表達具有基礎性的指導、分析作用，是美術與設計的技法理論。在教學方面，透視基礎理論及其應用是目前繪畫、藝術設計、建築設計、工業設計、工程設計等專業開設的基礎技法理論課程。

	 

	本書以透視基礎理論及其應用為主要內容，在系統論述透視基礎理論的過程中，把透視的基本理論在繪畫創作與設計方面的應用作為重點，同時注重基礎理論部分的完整性和系統性及其結構方面的更新。在論述透視基礎理論的同時，調整和充實其內容，把具有基礎知識性質的、較成熟的、新的學術成就反映到透視學科的內容中來，力圖產生一定的學術價值和應用價值，以適應不斷改革發展的教學需要和繪畫設計表達需要。

"
乙級印前製程技能檢定術科試題解析（第六版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015216235403?zone=book&lid=book_class3_iok&actid=book_class3_iok,王溢川,全華      ,9789865031480,https://cdn.kingstone.com.tw/book/images/product/20152/2015216235403/2015216235403b.jpg,"

本書以勞動部最新公告之印前製程乙級技術士技能檢定術科標準進行詳細解說。全書共分九章，除了八題既有公告試題之外，並加入應檢之〈試前重點說明〉及〈應檢規範與評審表〉。而除了檢定試題解題步驟外，亦同時介紹了印刷與落版等相關基本知識。
                    
"
