書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
本地 The Place：屏東,https://www.kingstone.com.tw//basic/2017330236557?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,編集者新聞社有限公司,屏東縣政府,9789869765404.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330236557/2017330236557b.jpg,"

為彙整屏東在地文化之人、事、物、思維，將本縣地景、產業、族群文化及民俗信仰等常民生活、地域特色，化成文字予以記錄、保存與推廣；《本地 The Place：屏東》將透過專業編輯團隊深入本縣地域、記錄人文地景、重新詮釋地方，並配合本府參展「2019 臺灣文化創意設計博覽會」編輯地方館展示成果冊，藉臺灣文博會展覽及地方書籍，引領地方文化議題的思考。
                    
"
文青養成指南 ： 臺灣文學史基本教材,https://www.kingstone.com.tw//basic/2018630254524?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,陳君文，簡弘毅執行編輯,臺灣文學館,9789865321697.0,https://cdn.kingstone.com.tw/book/images/product/20186/2018630254524/2018630254524b.jpg,"

以臺灣文學館常設展內容為基礎之臺灣文學基礎教材讀本。
                    
"
本地 The Place：桃園,https://www.kingstone.com.tw//basic/2017330239053?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,編集者新聞社有限公司,桃縣文化局,9789869765435.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330239053/2017330239053b.jpg,"

為彙整桃園在地文化之人、事、物、思維，將本市地景、產業、族群文化及⺠俗信仰等常⺠生活、地域特色，化成文字予以記錄、保存與推廣;本地 The Place：桃園 透過專業編輯團隊深入本市地域、記錄人文地景、重新詮釋地方，並配合桃園市文化局參展「2019 臺灣文化創意設計博覽會」編輯 地方館展示成果冊，藉臺灣文博會展覽及地方書籍，引領地方文化議題 的思考。
                    
"
鰻魚傳奇：蘭博叢書07,https://www.kingstone.com.tw//basic/2015360066120?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,曾萬年、韓玉山,宜蘭縣立蘭,9789860349160.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015360066120/2015360066120b.jpg,"

鰻魚外銷曾經為臺灣賺進大筆外匯，如今卻榮景不再，換來的是每年冬季，宜蘭河口邊的海岸，擠得滿滿的捕鰻人和供他們休息的簡易帳篷，以及每尾喊出天價鰻魚苗。全世界的鰻魚資源都在近幾年內銳減，箇中原因跟鰻魚的生態、文化都有關係，請讓本書娓娓道來。《鰻魚傳說》深入淺出的報導一書，讓一般人有機會更接近鰻魚的世界。
                    
"
臺灣木質藤本多樣性[精裝],https://www.kingstone.com.tw//basic/2023770002317?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,楊勝任，陳柏豪,農業林務局,9789865455385.0,https://cdn.kingstone.com.tw/book/images/product/20237/2023770002317/2023770002317b.jpg,"

在臺灣森林及相關的生態研究中，比較被重視的物種多為具有木材利用價值之喬木或稀有植物，而藤本植物在森林生態系中多樣性高，約占臺灣原生植物十分之一，目前紀錄種已超過500種，尤其是木質藤本，是森林演替的指標種類。林務局長期推動輔導原民部落進行森林主副產物採取利用，以延續部落傳統精神及帶動在地經濟發展，如黃藤為原民部落常見藤編之種類，另山苦瓜、木鼈子、豆科植物更是原民部落常見之食用或編織民俗植物，故本書可做為後續森林主產物、林下經濟品項產品多元開發及產業化品項推廣研發之基礎。本書是國內第一本專門介紹台灣藤本植物書籍，有助於填補長期以來被忽略的種類，另外每種木質藤本皆有木材橫切面之照片及檢索表，可以作為研究人員、林業人員、生態解說等之參考。輔以2017臺灣維管束植物紅皮書名錄為保育等級之參考，以作為後續推植物保育及自然步道解說之需求。並皆以中英對照撰寫，讓國外專家及植物學者可以了解台灣藤本植物之多樣性，進而與全球藤本植物多樣性保育研究接軌。
                    
"
本地 The Place：台南,https://www.kingstone.com.tw//basic/2017330236847?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,新聞社有限公司,臺南文化局,9789869765428.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330236847/2017330236847b.jpg,"

《本地The Place：台南》呈現臺南豐富的山、海地景，族群文化及民俗信仰等常民生活、地方地域特色，透過系統性的整理，利用編輯手法將空間結構、生活記憶及民俗信仰等文化特色，彙整再轉化衍生出臺南的獨特性。並配合臺南市文化局參展「2019 臺灣文化創意設計博覽會」編輯地方館展示成果冊，藉臺灣文博會展覽及地方書籍，引領地方文化議題的思考。
                    
"
萵苣家族 台灣生菜村的故事Taiwan lettuce village：社區繪本：2013跟著故事去旅行,https://www.kingstone.com.tw//basic/2027330104954?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,吳正隆、心凰,雲林縣政府,9789860387957.0,https://cdn.kingstone.com.tw/book/images/product/20273/2027330104954/2027330104954b.jpg,"


 以雲林縣麥寮興華社區的在地故事所編之社區繪本。「我的Book」社區繪本創作研習，從故事發展、角色擬定、構圖、插圖、繪製到完稿的歷程，就像是一個個小人物狂想曲的寫照。一本本素人的繪本故事，打造出人們的未來記憶。每一個的作品，就是從雲林這塊沃土長出的作物般的多元、豐富、美味、蘊含著不可思議的生命量能，滋潤每一個讀者的心田。

"
尋洄。山海間。成功小鎮,https://www.kingstone.com.tw//basic/2017330225988?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,吳珮琪， 鄭國正採訪撰稿,臺東縣政府,9789860571455.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330225988/2017330225988b.jpg,"

台東縣成功鎮，舊名「新港」，古名「麻荖漏」，鄰近山與海，早年因天然海灣地形及豐富的海洋資源，造就了海洋文化及產業的發展。因地理位置優勢，吸引先民此於開墾、發展，形成多元族群特色，至今也保有不同時代的遺址、建築；從歷史、人文、產業、自然景觀至生活足跡，皆值得一一詳述記錄。透過人物訪談、史料研究，以時間軸進行資料整理，以敘事方式，呈現常民生活記憶，期望讀者能透過此書，深入淺出地認識這海洋小鎮-成功。
                    
"
臺灣現當代作家研究資料彙編.108， 郭良蕙,https://www.kingstone.com.tw//basic/2018630082349?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,王鈺婷編選,臺灣文學館,9789860571714.0,https://cdn.kingstone.com.tw/book/images/product/20186/2018630082349/2018630082349b.jpg,"

郭良蕙生平小傳、照片、手稿、作品目錄、年表、研究綜述及重要評論資料。
                    
"
連結－台灣 ： 第十五屆全國台灣文學研究生學術研討會論文集,https://www.kingstone.com.tw//basic/2018630083971?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,石牧民等作，詹閔旭主編,臺灣文學館,9789860577310.0,https://cdn.kingstone.com.tw/book/images/product/20186/2018630083971/2018630083971b.jpg,"

第15屆全國台灣文學研究生學術研討會論文集，以「連結—台灣」為會議主題。
                    
"
織竹 知竹－臺灣當代時尚竹器與竹藝創作展,https://www.kingstone.com.tw//basic/2019690007556?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,王志誠總編輯,中市文化局,9789860569506.0,https://cdn.kingstone.com.tw/book/images/product/20196/2019690007556/2019690007556b.jpg,"

織竹 知竹-臺灣當代時尚竹器與竹藝創作展作品輯
                    
"
旅行舊時光 萬里金山老故事漫遊 [中文版],https://www.kingstone.com.tw//basic/2017330138110?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,林佩君、林資香,北觀風景處,9789860443202.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330138110/2017330138110b.jpg,"

旅行舊時光 萬里金山老故事漫遊是一本輕便攜帶之旅遊書，介紹萬里金山人文風情，透過本書，可供遊客自導式旅遊萬里金山之參考。

"
府城古蹟導覽（4版）,https://www.kingstone.com.tw//basic/2015213807948?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,何培夫,臺南文化局,9781009903264.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015213807948/2015213807948b.jpg,"

本書是介紹「臺南市古蹟」的歷史。歷史是人類在時空中行為的成果，是累積、也是延續，是變遷、更是永恆。古蹟文物是先民智慧的結晶，其大美為歷史寫下證言，替文化提出詮釋。臺南是近代臺灣最早開發的地方，就眾多考古遺址及出土文物的證據來看，包括「左鎮人」，以及在南科陸續出土、橫跨距今數千年的大坌坑、牛稠子乃至較晚近的大湖，蔦忪各文化層，可以說臺南也是臺灣本土文明的原鄉。
                    
"
漆藝之美：陳火慶逝世十周年特展專輯,https://www.kingstone.com.tw//basic/2015213857943?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,臺中市立葫蘆墩文化中心,中縣文化中,9789860316858.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015213857943/2015213857943b.jpg,"

漆器工藝在台灣雖沒有深厚的基礎，但漆藝的本質有寬廣的應用領域，在工業化的社會中，瀕臨失傳與斷層的危機，陳火慶藝師的適時出現與政府機關的努力，使得這項歷史悠久的傳統工藝不僅得以薪火相傳，在文化與產業發達的現代社會更形發展：從另一角度思維，綜觀陳火慶藝師的一生，可說是一部台灣的社會傳奇，也是工藝傳奇，從一個傳統社會交層的匠師，到國家教育部選拔的重要民族藝師，他是地方特色產業開啟之鑰與保證者、漆藝歷史重建的見證者、漆藝技藝承的關鍵者。工藝在社會發展的功能與意義，在自由化、民主化的現代社會將會更形彰顯，而人們對工藝的社會價值觀將隨著改變，陳火慶藝師傳奇的漆藝人生，亦將是台灣社會的發展歷史的一段篇章，值得細體會欣賞。
                    
"
浸水營古道：一條走過五百年的路,https://www.kingstone.com.tw//basic/2025214153159?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,徐如林、楊南郡,農業林務局,9789860405170.0,https://cdn.kingstone.com.tw/book/images/product/20252/2025214153159/2025214153159b.jpg,"

歷時二十多年刻劃而成的報導文學史詩鉅作。古道研究權威楊南郡與徐如林，帶領大家走入「浸水營古道」，從這條路窺見臺灣五百年來的命運！沒有一條道路能像浸水營古道一樣，激發人們那麼多的思古之幽情。這一條道路的形成，可以推溯到五百年前，被稱為卑南王的卑南族總頭目，威震臺灣東部與南部各原住民的時代。五百年來，卑南族、排灣族、荷蘭人、平埔族、漢人、日本人，利用這一條路探金、納貢、交易山產、訪親、山地探險、學術調查、移民、販牛、郵遞、傳教、行軍、赴任、爭戰、討伐、山地警備、巡視、健行、山訓......，許多可歌可泣的故事發生在這裡。五百年來，層層疊疊的時空，訴說著不僅是浸水營古道的故事，更是臺灣的故事。
                    
"
來自山上的水－桃園文化繪本,https://www.kingstone.com.tw//basic/2017330106805?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,林凱莉,稅制委員會,9789860386042.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330106805/2017330106805b.jpg,"

本書敘述台灣日治時期重要水利工程之一，從大嵙崁溪上游石門口開鑿引水隧道，自山裡取水灌溉桃園臺地，桃園大圳興建工程的故事。
                    
"
彩虹端上的聲音：泰雅歌謠專輯（CD）,https://www.kingstone.com.tw//basic/2019190007216?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,固力狗音樂工作室,雪霸管理處,9845100044735.0,https://cdn.kingstone.com.tw/book/images/product/20191/2019190007216/2019190007216b.jpg,"

雪霸國家公園轄區(和平鄉、泰安鄉、五峰鄉、尖石鄉)內泰雅族原住民族所居住範圍，進行相關傳統音樂、口傳音樂及創作民歌等之錄製，並擬定當地耆老及對音樂工作有相當了解之人士進行採訪及錄音錄影，完成相關採錄音樂之後，選定12-15首重要相關採錄音樂作編曲，製作有聲出版品推廣計劃。重建泰雅族音樂的原貌，並且賦予時代新的銓釋。亦做為未來部落與國家公園推動文化傳承與環境教育解說工作之依據。
                    
"
2020屏東大學通識教育學術研討會論文集：創新教學與跨領域對話,https://www.kingstone.com.tw//basic/2015250069804?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,劉金源，姚振黎，唐瑞霞，鄭彰,屏東大學  ,9789860654257.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015250069804/2015250069804b.jpg,"

本研討會以「創新教學」與「跨領域對話」為主題，分別從「人文藝術領域」、「自然與健康領域」與「教育與社會實踐領域」三個面向來切入「創新」與「整合」的議題。
                    
"
水陸興替‧交通大溪[精裝],https://www.kingstone.com.tw//basic/2027330282287?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,陳皇志、陳家豪、許志成,大溪木藝博,9789865463724.0,https://cdn.kingstone.com.tw/book/images/product/20273/2027330282287/2027330282287b.jpg,"

本書從大溪「交通運輸」為主題研究，從歷史、社會、經濟等面向解析，並運用歷史GIS，提供讀者深度認識大溪發展脈絡與歷史中日常風貌。
                    
"
認識金門小百科：生命禮俗篇,https://www.kingstone.com.tw//basic/2015380132898?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,楊天厚，林麗寬,金門文化局,9789865468125.0,https://cdn.kingstone.com.tw/book/images/product/20153/2015380132898/2015380132898b.jpg,"

本次出版計畫「認識金門小百科-生命禮俗篇出版計畫」，撰寫一個人自母親懷胎十個月之後呱呱落地，經過父母親友的撫養教育，到長大成年，如做滿月、取名字、做週歲之禮、學行、拜床母、等等的成年禮俗；結婚的大事，如六禮，包括納米、問名，納吉、納徵、請期、親迎等六項禮儀；人生的終點喪葬禮儀，像是臨終、殯殮、居喪、祭祀等等，為帶領民眾更孰悉傳統的生命禮俗，將出版認識金門小百科-生命禮俗篇，介紹人生中最重要的儀式，每篇專題以至少2頁600字文稿及至少2張照片採圖文對照的方式呈現，內容以淺白的文字搭配照片，使讀者能更容易閱讀。
                    
"
蘭嶼豬回老家~遙望蘭嶼故鄉.40年.漫漫歸鄉路,https://www.kingstone.com.tw//basic/2014370178595?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,溫秀嬌(主編),畜產試驗所,9789865455231.0,https://cdn.kingstone.com.tw/book/images/product/20143/2014370178595/2014370178595b.jpg,"

由溫秀嬌、黃振芳等人主筆，記錄蘭嶼豬40年來之研究發展。
                    
"
PLUS19台灣溫泉鄉：金山～萬里,https://www.kingstone.com.tw//basic/2017330284398?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,樸實創意設計有限公司,交通部觀光,9789865313036.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330284398/2017330284398b.jpg,"

為翻轉台灣溫泉區形象，重新挖掘各溫泉新的旅遊DNA，結合設計整合美學概念，重塑溫泉旅遊品牌，以金山萬里溫泉區為例，將金山地區山、海戶外旅遊為主題，把在地獅頭山、燭臺雙嶼、溫泉澡堂、蹦火仔等獨有元素，透過藝術家於衝浪板彩繪創作，讓民眾重新認識，翻轉溫泉區意象，並吸引年輕遊客造訪。
                    
"
國家發展計畫（110至113年）,https://www.kingstone.com.tw//basic/2015520131026?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,國家發展委員會,國家發展委,9789865467180.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015520131026/2015520131026b.jpg,"

本期「國家發展計畫(110至113年)」爰秉持「穩定中追求成長、變局中把握先機」的理念，在過去四年所淬鍊的成長動能上，萃取並發展具戰略性與關鍵性的產業項目，同時培育雙語及數位人才，深化臺灣的競爭新優勢，不僅讓世界看見臺灣，更要讓臺灣成為全球關鍵角色。
                    
"
PLUS19台灣溫泉鄉：谷關,https://www.kingstone.com.tw//basic/2017330284268?zone=book&lid=book_class3_iqa&actid=book_class3_iqa,樸實創意設計有限公司,交通部觀光,9789865312954.0,https://cdn.kingstone.com.tw/book/images/product/20173/2017330284268/2017330284268b.jpg,"

為翻轉台灣溫泉區形象，重新挖掘各溫泉新的旅遊DNA，結合設計整合美學概念，重塑溫泉旅遊品牌，以谷關溫泉區為例，將谷關當地鳥類、昆蟲、植物及山林投影等資源帶進遊客中心，讓遊客由淺入深探索谷關新知識，提升對谷關的地理環境及生態資源的認識度。
                    
"
