書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
行政院原子能委員會109年年報[盒裝],https://www.kingstone.com.tw//basic/2024490011511?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,行政院原子能委員會,原子委員會,9789865467197,https://cdn.kingstone.com.tw/book/images/product/20244/2024490011511/2024490011511b.jpg,"

原能會製作年報向民眾宣導本會年度的施政作為，並以中、英文同步方式編撰，內容大綱分為原能會願景、組織架構、人力與經費、重要施政成果及大事紀等五大項，並以紙本與電子書併同發行，提供各界對本會的了解及信賴。
                    
"
創新創業密碼：施振榮Stan哥的王道心法,https://www.kingstone.com.tw//basic/2014941715471?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,施振榮(著)、林信昌(整理),陽明交大  ,9789865470029,https://cdn.kingstone.com.tw/book/images/product/20149/2014941715471/2014941715471b.jpg,"

台灣科技創業教父施振榮的王道經營哲學及實踐案例「這一路走來，我都是由王道出發，要打造一個所有利益相關者可以攜手創造價值且利益平衡的機制，如此才能永續經營。」──施振榮施振榮，宏碁集團創辦人兼榮譽董事長，目前擔任智榮基金會董事長，大家喚他Stan哥。身為台灣第一代創業家，Stan哥一路走來以王道心法面對客觀環境的變化與挑戰，不斷調整組織及經營策略，讓企業永續經營。2019年更以75歲高齡成為「最老的創業家」，持續投注心力在社會企業，藉由創新思維為社會開創更多的新價值。本書由施振榮先生暢談自創的王道心法，分享領導人應具備的「創造價值、利益平衡、永續經營」三大基本信念，以及如何挑戰困難、突破瓶頸的心路歷程，希望有助於想投入創新創業的年輕朋友走出一條自己的路，為台灣開創新未來，為國家作出更多貢獻。■ 創新：不斷創新才能持續創值■ 創業：為社會創造價值■ 王道心法：創造價值、利益平衡、永續經營․創業與專業組織要透過團隊來共創價值，這裡所說的價值是指「六面向的總價值」，在「有形、直接、現在」的顯性價值外，還要兼顧「無形、間接、未來」的隱性價值。此外，價值也有正價值與負價值，在創造價值的同時，要注意避免產生負面的隱性價值。․滾雪球滾出新未來創業該如何成長擴張？我提出一個「滾雪球」策略。要產生滾雪球的效應，首先一定要有「長坡」。所謂的長坡，指的就是產業發展的「大趨勢」，順勢則興，逆勢則亡，像IoT、5G、AI 的未來發展都是大趨勢，只要順著趨勢，要滾大就不太費力了。․建構利益平衡的新機制一個人如果只由利己的立場出發，往往追求絕對的平衡，但這是追求不到也無法實現的平衡。對於平衡，我們應該由相對的角度出發，看待平衡應由生態系統的整體平衡來看，才能創造更大的價值。․以王道價值系統觀翻轉思維要創造價值，各行各業都要有「兼商」（兼著做商人）的觀念，不論是學界、藝文界、政治界等等，在做好自己的本業之外，要為社會創造價值就需要透過「商」的價值交換機制，才能滿足生活中各層面的需求。★本書特色1. 由科技創業教父施振榮先生親自以企業生命循環觀點與跨域創新角度，暢談王道經營哲學的實踐之道。2. 以許多非常珍貴的個案為例，科技與人文並重，涵括經歷不少成功與失敗才累積出來的重要觀念，可提供給有心投入創新創業的年輕朋友參考。3. 對政府施政提出多項精闢建言，相信能作為政府提振經濟的一帖良方。
                    
"
通訊傳播市場報告. 109年,https://www.kingstone.com.tw//basic/2015410303069?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,國家通訊傳播委員會,通訊傳播委,9789865467012,https://cdn.kingstone.com.tw/book/images/product/20154/2015410303069/2015410303069b.jpg,"

本通訊傳播市場報告主要內容含括當年度消費者使用行為調查結果、產業供給面資訊、國內外通訊傳播市場匯流發展現況及趨勢分析比較。
                    
"
107－109年度 「數位創新經濟基礎網路環境建構 支援平台計畫」 結案報告,https://www.kingstone.com.tw//basic/2015570112754?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,陳志仁，陳文字，張正武，陳禹潔,郵電司    ,9789865312077,https://cdn.kingstone.com.tw/book/images/product/20155/2015570112754/2015570112754b.jpg,"

107-109年度 「數位創新經濟基礎網路環境建構 支援平台計畫」 結案報告
                    
"
科技計畫研發成果管理推廣與知識分享[109粉],https://www.kingstone.com.tw//basic/2015570107897?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,黃鳳梅、陶治中、吳東凌,運輸研究所,9789865311643,https://cdn.kingstone.com.tw/book/images/product/20155/2015570107897/2015570107897b.jpg,"

配合本所107~108年度科技研究計畫研發成果及交通部之科技發展政策，本計畫同步實施相關技術之智慧財產權研究，做為創新研發成果之專利申請依據，並協助交通部完成交通科技服務政策之智財權議題探討。此外，協助辦理本所各項創新研發成果與專利技術推廣授權，活化研發成果之運用，促進公部門發展交通服務，並提升國內交通產業技術。 為促進國內交通科技之學術交流發展，本計畫持續進行本所交通科技知識分享服務網之資料庫維護更新，並提供各界查詢最新交通科技文獻及專利資訊，研究成果則可促進我國交通產業技術之創新發展。 本計畫執行期間完成之重要成果包括：(1)完成「公車客運轉乘班表無接縫銜接的自動檢核系統」中華民國發明專利申請；(2)完成「電動大客車應用技術」、「智慧機車發展技術」以及「交通運輸領域區塊鏈應用技術」等主題之專利地圖分析； (3)辦理著作權及知識管理相關課題教育訓練；(4) 提供智財權法律疑慮諮詢服務等，以上成果有效提升交通部及本所智財權推廣應用之施政成效。
                    
"
網路崛起的社會運動對臺灣的影響,https://www.kingstone.com.tw//basic/2015410291847?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,廖達琪、陳月卿、林祐聖、陳東升,中山大學  ,9789869211499,https://cdn.kingstone.com.tw/book/images/product/20154/2015410291847/2015410291847b.jpg,"

西元2014年春，臺灣發生太陽花社會運動，占領立法院達24天，主要責難其黑箱審議「兩岸服務貿易協議」，訴求開放民主，深化審議，制定「兩岸協議監督條例」等；並以嫻熟資訊技術，透過社群媒體，大力動員，參與者眾，震驚各方。而此一網路崛起的社運，對臺灣的影響究竟是何？猶待探究。本書乃集結臺灣的政治及社會學者，分別以立法院、社區、鐵路工會、政治人物，及德國由大量使用社群媒體之社運而轉型成政黨的AfD等為對象，來探索當前世界普遍由網路崛起之社運，對民主參與及審議實踐的可能影響。本書綜合發現：網路崛起之社運對立法院及社區的民主參與及審議有助益，但對政治人物及鐵路工會的影響較不明顯，而德國新興政黨AfD則顯示較負面的效果。
                    
"
李國鼎先生訪問紀錄－臺灣科技政策發展[精裝],https://www.kingstone.com.tw//basic/2015520125377?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,陳怡如、袁經緯、林志菁,中央研究院,9789865432324,https://cdn.kingstone.com.tw/book/images/product/20155/2015520125377/2015520125377b.jpg,"

1978年年底適逢臺美斷交，李國鼎先生協助孫運璿院長擬定〈科學技術發展方案〉，成立科技顧問組，並擔任召集人，推動八項重點科技，包括能源、材料、資訊、自動化、光電、生物、肝炎防治、食品；具體措施包括成立資訊工業策進會和新竹科學工業園區。李國鼎先生是臺灣產業轉型最重要的推手，從農業到工業、從勞力密集到技術密集產業，特別重視人才培育和扶植高科技產業。他利用開發基金進行創業投資，取代過去以國營事業推動工業發展的策略，半導體產業的台積電公司就是最成功的案例。
                    
"
108年度「數位創新經濟基礎網路環境建構支援平台計畫（2/3）」研究報告,https://www.kingstone.com.tw//basic/2015570103899?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,陳志仁、陳文字、張正武、陳禹潔,郵電司    ,9789865310370,https://cdn.kingstone.com.tw/book/images/product/20155/2015570103899/2015570103899b.jpg,"

為協助建構有利數位創新之基礎環境，本計畫盤點ITU之ICT發展指標等國際寬頻網路環境相關指標，從中探討我國寬頻發展瓶頸、提出我國寬頻網路環境指標架構及調查機制。本計畫亦分析美國、日本等10個標竿國家之寬頻政策與市場環境，作為我國高速寬頻與數位人權之政策發展參考。另為帶動我國創新應用服務，本研究盤點5G、IoT、PPDR、自駕車、無人機等技術與應用發展動向，及國際對於新興應用服務事業之監理沙盒機制，以探討我國未來潛在推動機制。同時，本計畫透過持續與國內產官學研界之利害關係人交流，擬定我國高速寬頻網路與創新應用服務發展之政策方向，透過建立國內指標與相關政策配套，促進寬頻網路市場良性競爭，推動我國寬頻網路完備與應用發展。
                    
"
川流韶光 台灣電力文化資產叢書05－06（兩本一套不分售）,https://www.kingstone.com.tw//basic/2017330242626?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,台灣電力股份有限公司、王舜薇,台電      ,9781010801382,https://cdn.kingstone.com.tw/book/images/product/20173/2017330242626/2017330242626b.jpg,"

「川流韶光 台灣電力文化資產叢書05－06（兩本一套不分售）」為台電公司第二套叢書，以兩本專書形式呈現，分別講述「文明初來電：新店溪水力發電百年記」、「後山電火：東部水力發電」各場域歷史人文、技術工事與經濟發展等故事，以下為專書內容簡介：台灣電力文化資產叢書05　文明初來電：新店溪水力發電百年記作者：王舜薇、張瓊方、陳歆怡叢書編號：05歡迎搭乘新店客運849公車前往烏來，循著沿途站牌，自下游到上游遊開啟新店溪流域文史與地景之旅。120 年前，日本土倉家族，開啟人們築電之夢，後續在總督府的監管推動下，利用地形落差及豐沛的水源，積極展開一系列新店溪水力發電廠興建工程。1905 年，臺灣第一座電廠—龜山水力發電所啟用，點亮臺北城，進入嶄新的歷史。時至今日，新店溪流域水力發電廠也搭上文化資產保存的趨勢，喚醒公司同仁及地方文史工作者，積極投入電廠文化傳承與保存的任務，期望藉由這本書能帶給讀者除了電廠的硬體記憶外，能啟發更深層的人文感動。台灣電力文化資產叢書06　後山電火：東部水力發電作者：李瑞宗叢書編號：06 臺灣東部溪流河床高低落差大、河短且水流湍急，有利於發展水力發電，日治時期就因製鋁工業需求而開發水力發電工程。戰後東臺灣電力發展幾經業務擴增與組織改組，現由東部發電廠進行東部電力系統之運轉維護，是全臺流域及轄區最廣之水力電廠，各個水力機組分布於和平溪、立霧溪、木瓜溪（含支流清水溪）、壽豐溪，各有其獨特的歷史故事──從1939年完成第一部清水機組至今，80年來撐起東部水力發電的一片天。
                    
"
107年通訊傳播績效報告,https://www.kingstone.com.tw//basic/2015410285648?zone=book&lid=book_class3_iqh&actid=book_class3_iqh,國家通訊傳播委員會,通訊傳播委,9789860596731,https://cdn.kingstone.com.tw/book/images/product/20154/2015410285648/2015410285648b.jpg,"

本績效報告係依據通訊傳播基本法第13條編撰提出，報告內容包括國際通訊傳播趨勢發展，我國通訊傳播市場發展概況，以及我國通訊傳播政策績效成果等。
                    
"
