書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
最完整跨平台網頁設計：HTML + CSS + JavaScript + jQuery + Bootstrap + Google Maps王者歸來（第二版）（全彩印刷）,https://www.kingstone.com.tw//basic/2013120599642?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,洪錦魁,深智數位  ,9789860776331,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599642/2013120599642b.jpg,"


★★★★★2021年8月Mybest網站推薦網頁設計類第1名★★★★★
	☆☆☆☆☆【6大主題】、【821個網頁實例】☆☆☆☆☆


	這是目前市面上內容最完整的跨平台、響應式網頁設計圖書，讀者研讀本書可以學會【HTML】、【CSS】、【JavaScrpt】、【jQuery】、【Bootstrap】、【Google Maps】等相關主題，從入門到進階、從元件到完整網頁設計。

	這也是一本從零開始帶領讀者完整學習網頁設計的書籍，共有34個章節。完整講解【基礎網頁內容】、【網頁版型設計】、【動態網頁設計】、【跨平台網頁實作】。每個觀念皆有實例輔助解說，可以增進讀者學習效率。

	研讀本書讀者可以學會下列的應用。
	☆ 認識與使用網路【免費資源】
	☆ 增加【網頁配色】知識
	☆ 解說與實作【完整的網頁設計】
	☆ 設計完整【響應式網頁】實例
	☆ 設計含【下拉式清單】的【響應式網頁】
	☆ 設計含【動態特效】、【輪播】、【警報】與【卡片】的【響應式網頁】
	☆ 設計含【旋轉特效】、【Google地圖】的【響應式網頁】

	有了上述知識，讀者可以輕鬆將上述觀念應用在建立【部落格】、【企業】、【行銷】、【新聞】、【購物網】等相關網站的應用。

"
學好跨平台網頁設計（第三版）：HTML5、CSS3、JavaScript、jQuery與Bootstrap 5超完美特訓班（附範例/RWD影音教學）,https://www.kingstone.com.tw//basic/2014713619792?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865029074,https://cdn.kingstone.com.tw/book/images/product/20147/2014713619792/2014713619792b.jpg,"

最熱門的跨平台網頁設計技術大集合！ 6大主題、300個立即可套用範例，全新Bootstrap 5來襲， 最適合全面學習、現學現用的21堂經典關鍵課！ HTML5是最主流的跨平台網頁開發技術，書中以HTML5為主體，綜合當今最經典的跨平台網頁程式設計工具，完整解鎖各項技術，提供最佳學習途徑，現學現用！ 【結合最新前端技術】 全面引進最新的前端框架與技術，無論是HTML5、CSS3、JavaScript、jQuery、jQuery Mobile或是Bootstrap 5，都能銜接學習而快速上手，打造符合新一代標準的跨平台網站。 全新Bootstrap 5更是新一代RWD網站開發中的熱門焦點，能讓網頁因應不同大小的螢幕自動改變內容的配置，確保每個平台的使用者都能得到最好的操作體驗。無論是框架的安裝方式、格線系統的使用、網頁的元件、表單及工具的應用，一直到網頁互動程式的開發，Bootstrap 5都能提供簡單但功能強大的幫助！ 【徹底掌握開發語法】 透過詳細語法解說、大量圖表示意，引領了解各主題的核心概念與重點技術，並利用最適合的開發工具進行範例實作，徹底掌握語法與應用。 【立即套用海量範例】 提供大量範例應用，每個主題都依功能別加入實用範例，可依架構學習，也可以依功能主題立即尋找可套用的範例。 【跨越平台行動優先】 面對行動裝置的普及，網頁就必須跨越不同螢幕尺寸，因應不同作業平台。書中將RWD網頁建置技術徹底解構，進而掌握從電腦到手機版網頁的設計心法，讓跨平台網頁製作更簡單！ 【超值RWD影音教學】 提供RWD(Responsive Web Design，響應式網頁設計)使用Bootstrap 5的實戰影音教學，利用Bootstrap 5引導您從無到有快速打造一個跨平台的RWD網站，快速強化開發實力！ 【超值學習資源】範例程式檔、RWD網頁快速開發：使用Bootstrap 5實戰影音教學
                    
"
JavaScript and Jquery for Website Developing,https://www.kingstone.com.tw//basic/203c011448273?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Saleem,Faeq",LAP Lambert Academic Publishing,9783659890802,https://cdn.kingstone.com.tw/english/images/product/0802/9783659890802.jpg,"

Today's web is still evolving. One of the more popular movements is known as unobtrusive scripting. The unobtrusive scripting paradigm contains two components, progressive enhancement and behavioral separation. Behavioral separation calls for structure to be separated from style, and for both of these elements to be separated from behavior. In this model, HTML or XHTML provides the structure, whereas the CSS provides the style and JavaScript provides the behavior. Progressive enhancement means adding more features to the page as the browser's capabilities are tested; enhancing the user experience when possible but not expecting that JavaScript or a certain JavaScript function will always be available. In this way, the JavaScript is unobtrusive; it doesn't get in the way of the user experience. If JavaScript isn't available in the browser, the website still works because the visitor can use the website in some other way.
                    
"
WEB網站的華麗冒險：HTML5+CSS3+jQuery斜槓青年的網頁設計起手式,https://www.kingstone.com.tw//basic/2013120574878?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,朱庭輝、尤柄文,深石數位  ,9789865005085,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574878/2013120574878b.jpg,"


	「/」Slash，相信目前是最受歡迎的符號，斜槓青年們對這個符號也不陌生，為了讓自己的工作技能再次的往上提升，相信您一定不能錯過網頁設計這個專業又實用的強大技能。HTML5+CSS3+jQuery前端網頁設計三大必學基本技能。天下武功唯快不破，但是前提是您需要紮實的網頁設計基本功。本書以HTML5為網頁設計起手式，幫助初學者將網頁設計基礎打穩，接著加入CSS3樣式設計，藉由CSS3樣式組合出華麗的網頁風格，最後搭配JavaScript✕jQuery展現網頁各種互動應用。
	在本書內容中也加入目前受歡迎的Bootstrap響應式網頁框架與jQuery Mobile模組，透過這兩項網頁設計的利器，相信初學者也能夠很快的掌握網頁設計技能。由基礎語法到進階應用，慢慢引導初學者掌握三大網站設計技能，一起與我們展開WEB網站的華麗冒險。

	【特點精要】
	● 本書使用最簡單的人類語言來解釋專業網頁程式語言，幫助初學者快速掌握網頁語法基礎。
	● 學武不實戰終究是紙上談兵，本書提供各種範例程式碼現學現賣，實戰展示所學。
	● HTML5+CSS3+jQuery江湖必備技能，讓本書帶領你逐步學習網頁設計招式，一起闖蕩網頁設計的世界。

	快速掌握網頁設計起手式
	現學現賣程式範例大匯集
	高手招式江湖走跳必備款

"
HTML5、CSS3、JavaScript、jQuery、jQuery UI、Ajax、RWD網頁程式設計（第七版）,https://www.kingstone.com.tw//basic/2014713604415?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,陳惠貞,碁峰資訊  ,9789865026295,https://cdn.kingstone.com.tw/book/images/product/20147/2014713604415/2014713604415b.jpg,"

全彩印刷，對學習網頁設計極有幫助！ 經典暢銷書全新改版，快速學會網頁程式設計的關鍵技術！有了本書，讓您一次學會網頁程式設計的關鍵技術： *HTML5的元素和各種表單輸入類型，讓網頁的結構條理分明。 *CSS3的Box Model、定位方式，以及色彩、字型、文字、清單、背景、漸層、表格、陰影、邊界、留白、框線、變形、轉場與媒體查詢等屬性，以根據PC或行動裝置的特徵設計網頁。 *JavaScript的核心語法和瀏覽器端的應用，讓靜態網頁具有動態效果，包括DOM、window物件、標準內建物件、環境物件、document物件、element物件、錯誤處理、事件處理、JavaScript程式範例等。 *jQuery的核心語法、事件、特效和常用函式，讓網頁設計更快速便利。 *jQuery UI的常用元件和佈景主題，讓網頁設計更專業美觀。 *Ajax動態網頁技術在背景非同步下載更新的資料，例如伺服器端的資料或氣象、就業、觀光等網際網路上的開放資料，包括普遍使用的JSON格式。 *響應式網頁設計 (RWD，Responsive Web Design) 根據瀏覽器環境自動調整網頁的版面配置，讓網頁完整呈現在PC、平板、手機等裝置。
                    
"
網頁設計.愛上jQuery 程式設計寶典,https://www.kingstone.com.tw//basic/2013120554924?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,羅子洋,易習圖書  ,9789576154294,https://cdn.kingstone.com.tw/book/images/product/20131/2013120554924/2013120554924b.jpg,"

jQuery是目前網路世界裡與Prototype同列使用率最高的兩大Ajax核心之ㄧ。但與Prototype一樣的是功能強大，但不同的是jQuery的語法簡單易懂，而且非常人性化，除了可以是做為網路Web 2.0的主要利器之外，亦可以當作取代傳統javascript的工具，一樣的效果，不一樣的寫法，更簡單，更直覺。在今日新資訊爆發的時代，如何選擇一個能夠迅速上手而又簡單易學的工具，對於一個網路從業人員來說是如何使工作事半功倍的重要課題。所以如果我們可以坐著又何必一定要站著呢?本書共分為十八章，完全以範例導向(全書約170個範例)來講解所有的jQuery語法，任何的範例均可使用IE或Firefox打開並了解其效果為何，並可輕鬆複製至網頁中立即使用。從本書您可以學到:▓ jQuery為何深受廣大設計師的酷愛　　　　 ■ 如何呼叫其他作業程式(ASP.RUBY.PERL等)■ 認識CSS DOM與jQuery的完美搭配　　　■ 約170個範例，隨學即用■ 如何使用jQuery驅動CSS與DOM 　　　  ■ 如何製作圖庫展示■ 如何製作絢麗的網頁效果　　　　　　    ■ 如何製作互動表單■ 突破Ajax的神秘面紗　　　　　　　　　 ■ 如何結合XML書籍的特色1. 打破傳統的理論教學，減少艱深複雜的學理推論，由本書第四章後，讀者均可以就自己的興趣選擇由任何一章學習起。2. 每個範例均提共效果圖形及語法說明，簡單易懂，讓您學習充滿成就感！3. 本書適合任何對Web 2.0 Ajax感到非常重要的從業人員(無論初學或是高級程式人員)。
                    
"
"A Simple Start to Jquery, Javascript, and Html5 for BeginnersASimple Start to Jquery, Java",https://www.kingstone.com.tw//basic/203c007113098?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Sanderson,Scott",MGM Books,9781952964664,https://cdn.kingstone.com.tw/english/images/product/4664/9781952964664.jpg,"

Are you looking for a quickest and easiest way to learn jQuery, JavaScript, and HTML5?Inside this computer programming guide, you'll learn: The Basics of HTML5The Basics of JavaScriptThe Basics of CSS3HTML5jQueryFormsWeb ServicesWeb Socket CommunicationsManaging Local Data With the Help of Web StorageOffline Web ApplicationsAnd More!If you're new to jQuery, JavaScript, and/or HTML5, then this is for you because it turns a complicated subject into something that's easy to understand.The author, Mr. Scott Sanderson has a love and passion for computer programming languages, and knows that computers are the way of the future. He has spent over 20 years teaching students, and lectured at MIT and Stanford.What Readers are Saying: ""Good refresher and a basic reference. Like the idea of the book. You get a bullet point and and then a paragraph about the bullet point. Nice for it size and the content as a whole. Comes across more like a research paper. But I will use it. Not bad content for its price.""
                    
"
最完整跨平台網頁設計：HTML + CSS + JavaScript + jQuery + Bootstrap + Google Maps,https://www.kingstone.com.tw//basic/2013120553262?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,洪錦魁,深智數位  ,9789865501433,https://cdn.kingstone.com.tw/book/images/product/20131/2013120553262/2013120553262b.jpg,"


本書特色

	這是一本極詳細、超清楚、最完整的跨平台網頁設計書籍，整本書一步一步將HTML元素與CSS屬性依功能分類，詳細的用程式實例做解說，期待讀者以最輕鬆方式學會網頁設計基礎知識，當讀者有了HTML和CSS知識後，本書將更進一步帶領讀者設計動態網頁、響應式網頁、Google地圖網頁，邁向網頁設計高手之路。

這本書分成三篇：

□第一篇：HTML5完整學習
	這是學習網頁設計的基礎，筆者幾乎將所有HTML的元素(Element)依功能分類，分成10個章節，用了約160個程式實例與圖檔做說明，相信讀者可以由此建立HTML的紮實基礎。

□第二篇：CSS3完整學習
	這是學習網頁編輯與美化，筆者幾乎將所有CSS的屬性(Properties)依功能分類，分成14個章節，用了約249個程式實例與圖檔做說明，在此讀者可以徹底學會網頁編輯與美化的基礎與技巧。

□第三篇：邁向網頁設計高手之路
	筆者在這篇使用約353個程式實例講解了下列知識：
	JavaScript：網頁結構的DOM與BOM。
	jQuery(包含jQuery Mobile)：動畫與特效。
	Bootstrap：響應式網頁設計。
	Google Map：將Google Map嵌入網頁，這將是設計網路導航的入門。

	此外：這本書包含280頁的Word檔案電子書，全書有第1-24章的是非和選擇題習題解答，以及第1 – 34章實作題習題(此部分不含習題解答)，這些習題可以協助讀者更進一步學習。

"
Sams Teach Yourself jQuery in 24 Hours,https://www.kingstone.com.tw//basic/203c109793183?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Holzner, Steven",Sams        ,9780672335563,https://cdn.kingstone.com.tw/english/images/product/5563/9780672335563.jpg,0
JQuery從入門到實戰之路,https://www.kingstone.com.tw//basic/2013120501133?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,袁江,佳魁      ,9789863797432,https://cdn.kingstone.com.tw/book/images/product/20131/2013120501133/2013120501133b.jpg,"

本書透過理論與實作相結合的方式，由淺入深、循序漸進地介紹jQuery 函數庫的使用，同時又輔以大量真實的開發案例，涵蓋了利用jQuery 工作時可能遇到的問題，讓讀者輕鬆使用jQuery 來增強網頁的互動性，做出更好的Web 前端產品以及各種更炫更酷的效果。本書特色循序漸進，由淺入深、大量的案例實戰，全書結合了作者長期的網頁設計製作和教學經驗，讓讀者真正做到學以致用。技術全面，內容充實，詳細介紹了jQuery 1.6.4 幾乎所有的特性和屬性，並輔以圖文、配有原始程式碼，加速學習。
                    
"
