書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Java,https://www.kingstone.com.tw//basic/203c108660863?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Andy,Vickler",Ladoo Publishing LLC,9781955786232.0,https://cdn.kingstone.com.tw/english/images/product/6232/9781955786232.jpg,"

The market is filled to the brim with books that claim to have the secret recipe to help you learn JavaScript faster. However, few live up to the promises they make. This book is written in a practical and easy way and offers theory and plenty of practical material. There are explanations and practical examples that help beginners learn fast. Instead of diving deeper into lengthy and boring texts, I tried to get straight to the point for each topic.I have defined each topic and added an easy to understand explanation to help you understand the concepts and the main keywords that will do the magic in the code. Coupled with the explanation, you will find a code snippet for each topic that is custom written and has been tested for errors. You can copy them and load them up on a web browser to see the results, or you can simply edit them and customize them to understand them well. The choice is yours. This book is written in an orderly form with beginner-level topics and progressively tougher topics later on. Here is a rundown of the contents of the book.- JavaScript Use Cases- Variables- Constants- Prompts- Conditionals- Arrays- Strings- JavaScript For and While Loops- Functions- Objects- ClassesNow is your chance to delve into Javascript basics with this easy to follow guide. With the many examples and code snippets, you'll have everything you need at your fingertips.
                    
"
Java Parables Volume 1,https://www.kingstone.com.tw//basic/203c109267415?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Pamela Osakwe,Leon-Mezue",Ingram      ,9781916207837.0,https://cdn.kingstone.com.tw/english/images/product/7837/9781916207837.jpg,"

This book includes: Javascript basicsFront End programmingBack End programmingThis book is written in a practical and easy way and offers theory and plenty of practical material. There are explanations and practical examples that help beginners learn fast. Instead of diving deeper into lengthy and boring texts, I tried to get straight to the point for each topic.I have defined each topic and added an easy to understand explanation to help you understand the concepts and the main keywords that will do the magic in the code. Coupled with the explanation, you will find a code snippet for each topic that is custom written and has been tested for errors. You can copy them and load them up on a web browser to see the results, or you can simply edit them and customize them to understand them well. The choice is yours. This book is written in an orderly form with beginner-level topics and progressively tougher topics later on. Here is a rundown of the contents of the book.JavaScript Use CasesVariablesConstantsPromptsConditionalsArraysStringsJavaScript For and While LoopsFunctionsObjectsClassesNow is your chance to delve into Javascript basics with this easy to follow guide. With the many examples and code snippets, you'll have everything you need at your fingertips.Gain a deep understanding of front-end programming using JavaScript with this handy book!Are you interested in learning front-end development with JavaScript? Then you have chosen the right book.Front-end development is all about the browser and putting your applications out there to the biggest possible audience. This guide will walk you through the concepts you need to know for front-end development.Focusing on React JS, this guide is aimed at those who already have a programming background and some experience in programming for the web but need to brush up on their skills and learn new ones.Learn how to set up your React JS environment.Discover what ReactJS is all about.Read in depth about the React JS components.Find out about the React JS props, state, and lifecycle.Investigate React JS forms, events, and refs.Learn about React JS Keys.Understand the React JS Router.And so much more!This book will provide you with plenty of examples along the way, and each chapter is self-contained, discussing the concepts and the APIs as you learn your way around React JS and how to use it. By the end of the guide, you will have a deep understanding of how to build your website and web applications with ease. Take a deep dive into Node.js to learn more about this complex web-development application.Do you want to learn how to build scalable web applications? If you said yes, then this is the book you have been searching for!Node.js is the number one choice for server-side web development, as it allows you to build both client and server-side software using the same paradigms and tools. This book will take you through the important concepts involved in using Node.js to build your server-side applications. Each chapter is self-contained with its own practical but simple examples to show you how it works. By the end of this book, you will have all the knowledge you need to put together your own web application.Learn how to set up your Node.js environment.Explore everything about the REPL Terminal.Read about the Node.js package manager.Discover Node.js callbacks and asynchronous JS.And so much more!Node.js one part of your toolkit in building server and client-side applications.
                    
"
Java,https://www.kingstone.com.tw//basic/203c108619191?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Andy,Vickler",Ingram      ,9781955786188.0,https://cdn.kingstone.com.tw/english/images/product/6188/9781955786188.jpg,"

Would you like to join today's world and understand the specifics of one of the most popular programming languages?Maybe you have only heard about Javascript and got some thoughts about trying it yourself?Or maybe you already want to get into Javascript programming but just don't know the absolute best way to start? If your answer is ""Yes"" to at least one of these questions, then keep reading... We are super excited to represent our most recent book: ""JAVASCRIPT"" - The Ultimate Guide to Learn Javascript Programming Step-By-Step. A book designed and put together for people who want to start the learning process of Javascript programming and have little or no experience with it. Now, let's take a look at a few things you will learn from this book: Step-by-step Javascript programming instructions and complete plan for beginnersWhy should you choose Javascript above other programming languages?How to control the flow of the Javascript programMistakes to avoid and Top benefits of Javascript programmingMany many more...Now, it is time to stop hesitating and start learning, so don't wait.
                    
"
Core Java Interview Questions You’ll Most Likely Be Asked,https://www.kingstone.com.tw//basic/203c109233347?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Vibrant,Publishers",Ingram      ,9781636510408.0,https://cdn.kingstone.com.tw/english/images/product/0408/9781636510408.jpg,"

Build interactive, data-driven websites with the potent combination of open source technologies and web standards, even if you have only basic HTML knowledge. With the latest edition of this popular hands-on guide, you'll tackle dynamic web programming using the most recent versions of today's core technologies: PHP, MySQL, JavaScript, CSS, HTML5, jQuery, and the powerful React library.Web designers will learn how to use these technologies together while picking up valuable web programming practices along the way--including how to optimize websites for mobile devices. You'll put everything together to build a fully functional social networking site suitable for both desktop and mobile browsers.Explore MySQL from database structure to complex queriesUse the MySQL PDO extension, PHP's improved MySQL interfaceCreate dynamic PHP web pages that tailor themselves to the userManage cookies and sessions and maintain a high level of securityEnhance JavaScript with the React libraryUse Ajax calls for background browser-server communicationStyle your web pages by acquiring CSS skillsImplement HTML5 features, including geolocation, audio, video, and the canvas elementReformat your websites into mobile web apps
                    
"
Java,https://www.kingstone.com.tw//basic/203c101234143?zone=english&lid=search&actid=WISE&kw=Java&pi=0,Whiteflowerpublsihing,Whiteflowerpublsihing,9781393041153.0,https://cdn.kingstone.com.tw/english/images/product/1153/9781393041153.jpg,"

Do you want to develop a skill that will ensure you never go jobless again?Go from beginner to builder quickly with this hands-on JavaScript guide.No experience? No problem!This friendly guide starts from the very beginning and walks you through the basics, then shows you how to apply what you've learned to real projects. You'll start building right away, including web page elements and simple applications, so you can immediately see how JavaScript is used in the real world.In Learn JavaScript Quickly, you will discover: A full beginner's guide on programming, including the simplest, most basic things all newbies should know before getting started with JavaScriptStep-by-step mentorship through JavaScript's crucial concepts, rules, and functionsThe best techniques and tools to supplement your JavaScript knowledge, allowing for frustration-free learningSimple explanations for all programming tasks, such as creating Array elements and handling HTML events, so that comprehension won't be an issueHelpful programming exercises and tasks (solutions included) to challenge yourself and fully master JavaScriptHow to create complex websites in record time, simply by following the straightforward instructions provided insideAnd much more.Don't let the fact that you've never programmed before stop you from having a highly profitable career--JavaScript is the simplest programming language anyone can learn
                    
"
Programming Fundamentals Using Java,https://www.kingstone.com.tw//basic/203c108440901?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"William,McAllister",Ingram      ,9781683926696.0,https://cdn.kingstone.com.tw/english/images/product/6696/9781683926696.jpg,"

Do you want to develop a skill that will ensure you never go jobless again?Go from beginner to builder quickly with this hands-on JavaScript guide.No experience? No problem!This friendly guide starts from the very beginning and walks you through the basics, then shows you how to apply what you've learned to real projects. You'll start building right away, including web page elements and simple applications, so you can immediately see how JavaScript is used in the real world.In Learn JavaScript Quickly, you will discover: A full beginner's guide on programming, including the simplest, most basic things all newbies should know before getting started with JavaScriptStep-by-step mentorship through JavaScript's crucial concepts, rules, and functionsThe best techniques and tools to supplement your JavaScript knowledge, allowing for frustration-free learningSimple explanations for all programming tasks, such as creating Array elements and handling HTML events, so that comprehension won't be an issueHelpful programming exercises and tasks (solutions included) to challenge yourself and fully master JavaScriptHow to create complex websites in record time, simply by following the straightforward instructions provided insideAnd much more.Don't let the fact that you've never programmed before stop you from having a highly profitable career--JavaScript is the simplest programming language anyone can learn
                    
"
Java For Beginners,https://www.kingstone.com.tw//basic/203c106272702?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Matt,Bryant",Ingram      ,9781801882361.0,https://cdn.kingstone.com.tw/english/images/product/2361/9781801882361.jpg,"

✓ Are You Ready to Learn and Start Programming with JavaScript in Less than a Week? ✓ Are you looking for a comprehensive guide to take your very first step into programming? This book is a complete introduction to the world of programming, and you don't need any data science knowledge to read it.The importance of the first approach is crucial and taking the first steps by following a manual written by a professional programmer can certainly make a difference.You will learn what a programming language is and how to use it.Inside: ✓ What is exactly is a Programming Language and why do we need a one? ✓ Clearly Understand What JavaScript Programming Is and How It Works to realize why it has much more advantages than the other programming languages;  ✓ Have A Complete Knowledge about Coding; it is important to acquire this skill because it determines how far you advance in your career and what opportunities are available to you down the road. ✓ Discover how fun coding can be! ✓ ... & Lot More!You have no idea how many and what job opportunities you can have if you have a good understanding of programming.Very soon, being able to program will become a must for anyone who wants to build a career.Unsure where to get started with coding? Worried that learning a coding language will be too hard?  The goal of this book is simple: You will be given all the information, tips, tricks, and practice codes that you need to write your codes and turn your ideas into reality!The truth is...Learning how to start with a new coding language is not always as easy as it may seem, and some beginners are worried that working in this kind of language is going to be difficult and they give up before trying. Choosing to hire another programmer to do the work, is costly, and if anything ever goes wrong with the program, you still have to pay them. Choose the only guide you need to learn coding quickly and easily, from expert developers with 20+ years' experience.

"
Java For Beginners,https://www.kingstone.com.tw//basic/203c106277973?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Matt,Bryant",Ingram      ,9781801882354.0,https://cdn.kingstone.com.tw/english/images/product/2354/9781801882354.jpg,0
Android Studio 4.2 Development Essentials - Java Edition,https://www.kingstone.com.tw//basic/203c108442267?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Neil,Smyth","Payload Media, Inc.",9781951442316.0,https://cdn.kingstone.com.tw/english/images/product/2316/9781951442316.jpg,0
Java Programming,https://www.kingstone.com.tw//basic/203c103151045?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Alan,Grid",Ingram      ,9781914045295.0,https://cdn.kingstone.com.tw/english/images/product/5295/9781914045295.jpg,"

Do you want to learn a Programming language? Are you interested in mastering programming language starting from the basic level? Quite frankly, computer programming is vital in web development. Furthermore, due to the increasing user bases of current development frameworks, its popularity has grown. If you want to become programmer you need a detailed guide, this book is worth looking at. Learn how to program a computer. Visually uses a creative, visual approach to help beginners understand simple concepts. It's a short book, so it's a good weekend read for somebody who's just starting up with computer programming. Picking up a 1,000-page book with nothing but boring text inside is more miserable, frustrating, and discouraging for a new coder. Not only is the presentation appealing, but it is also organised well. It layers logically and adequately progresses to the advanced concepts. It isn't a computer programming book in the traditional sense. It's an introduction to programming that uses computer programming, as the title suggests.It's excellent for this reason. A student who does not understand how to write a JavaScript program is widespread. It's common to come across a developer who can code JavaScript but has no background in computer science. computer programming will help develop a strong computer science base (its prime purpose). This is the book to start with if you have the resources and desire to learn computer programming from A to Z. This book explains the following topics. Below is a preview of what you'll learn: The importance of learning computer programmingProgram structureVariable declarationLooping structuresProgramming syntaxAlgorithms in programmingData structuresHierarchy of programming languagesCharacteristics of programming languagesWeb programmingFactors to consider when choosing a programming languagePopular programming languagesSecurity in programmingAnd much more!! The book will equip you with enough knowledge to kickstart computer programming. Simply buy it and learn this amazing language.﻿
                    
"
Java Programming,https://www.kingstone.com.tw//basic/203c103784650?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Alan,Grid",Alan Grid,9781914045288.0,https://cdn.kingstone.com.tw/english/images/product/5288/9781914045288.jpg,"

Do you want to learn a Programming language? Are you interested in mastering programming language starting from the basic level? Quite frankly, computer programming is vital in web development. Furthermore, due to the increasing user bases of current development frameworks, its popularity has grown. If you want to become programmer you need a detailed guide, this book is worth looking at. Learn how to program a computer. Visually uses a creative, visual approach to help beginners understand simple concepts. It's a short book, so it's a good weekend read for somebody who's just starting up with computer programming. Picking up a 1,000-page book with nothing but boring text inside is more miserable, frustrating, and discouraging for a new coder. Not only is the presentation appealing, but it is also organised well. It layers logically and adequately progresses to the advanced concepts. It isn't a computer programming book in the traditional sense. It's an introduction to programming that uses computer programming, as the title suggests.It's excellent for this reason. A student who does not understand how to write a JavaScript program is widespread. It's common to come across a developer who can code JavaScript but has no background in computer science. computer programming will help develop a strong computer science base (its prime purpose). This is the book to start with if you have the resources and desire to learn computer programming from A to Z. This book explains the following topics. Below is a preview of what you'll learn: The importance of learning computer programmingProgram structureVariable declarationLooping structuresProgramming syntaxAlgorithms in programmingData structuresHierarchy of programming languagesCharacteristics of programming languagesWeb programmingFactors to consider when choosing a programming languagePopular programming languagesSecurity in programmingAnd much more!! The book will equip you with enough knowledge to kickstart computer programming. Simply buy it and learn this amazing language.﻿
                    
"
Java 程式設計寶典,https://www.kingstone.com.tw//basic/2013120591936?zone=book&lid=search&actid=WISE&kw=Java&pi=0,陳明(編著)、何英治(審訂),經瑋      ,9789576154706.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591936/2013120591936b.jpg,"

Do you want to learn JavaScript?Do you want to find out how does Javascript work? Do you want to exploit what JavaScript programming offers?Quite frankly, JavaScript is vital in web development. Furthermore, due to the increasing user bases of current development frameworks, its popularity has grown.If you're new to JavaScript and don't need a detailed guide, this book is worth looking at. Learn how to use JavaScript Visually uses a creative, visual approach to help beginners understand simple concepts.It's a short book, so it's a good weekend read for somebody who's just starting up with JavaScript.Picking up a 1,000-page book with nothing but boring text inside is more miserable, frustrating, and discouraging for a new coder.Not only is the presentation appealing, but it is also organized well. It layers logically and adequately progresses to the advanced concepts.It isn't a JavaScript book in the traditional sense. It's an introduction to programming that uses JavaScript, as the title suggests.It's excellent for this reason. A student who does not understand how to write a JavaScript program is widespread.It's common to come across a developer who can code JavaScript but has no background in computer science. Java Script Programming will help develop a strong computer science base (its prime purpose).Here's what you're going to discover in the pages of JAVASCRIPT PROGRAMMING: Basics of JavascriptWorking of JavascriptBasic rules and practical applicationsMake your Javascript programMistakes to avoid with Javascript...and more! So what are you waiting for?Get this book now and start your journey to learning JavaScript
                    
"
Java to Kotlin,https://www.kingstone.com.tw//basic/203c108379294?zone=english&lid=search&actid=WISE&kw=Java&pi=0,"Duncan,McGregor",Ingram      ,9781492082279.0,https://cdn.kingstone.com.tw/english/images/product/2279/9781492082279.jpg,"

Do you want to learn JavaScript?Do you want to find out how does Javascript work? Do you want to exploit what JavaScript programming offers?Quite frankly, JavaScript is vital in web development. Furthermore, due to the increasing user bases of current development frameworks, its popularity has grown.If you're new to JavaScript and don't need a detailed guide, this book is worth looking at. Learn how to use JavaScript Visually uses a creative, visual approach to help beginners understand simple concepts.It's a short book, so it's a good weekend read for somebody who's just starting up with JavaScript.Picking up a 1,000-page book with nothing but boring text inside is more miserable, frustrating, and discouraging for a new coder.Not only is the presentation appealing, but it is also organized well. It layers logically and adequately progresses to the advanced concepts.It isn't a JavaScript book in the traditional sense. It's an introduction to programming that uses JavaScript, as the title suggests.It's excellent for this reason. A student who does not understand how to write a JavaScript program is widespread.It's common to come across a developer who can code JavaScript but has no background in computer science. Java Script Programming will help develop a strong computer science base (its prime purpose).Here's what you're going to discover in the pages of JAVASCRIPT PROGRAMMING: Basics of JavascriptWorking of JavascriptBasic rules and practical applicationsMake your Javascript programMistakes to avoid with Javascript...and more! So what are you waiting for?Get this book now and start your journey to learning JavaScript
                    
"
