書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
Python,https://www.kingstone.com.tw//basic/203c109955447?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Andy,Vickler",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6331/9781955786331.jpg,9781955786331.0,"

Are you thinking about learning how to use the Python programming language? Thinking about getting started on a programming career?Python is one of the easiest computer programming languages to learn and use, with simple syntax and easy rules to follow. While it is aimed at beginners to Python coding, this book can also be used as a reference for those with a little more experience who want to brush up on their skills. The codes are also written in a way that you can change the values to see how different things work. Once you have mastered this guide, you can move seamlessly onto more experienced topics but I cannot stress enough the importance of practicing the codes regularly. Here's what you will learn: - Python Datatypes- Python Strings- Python Lists- Python Tuples- Python Conditionals- Python Dictionaries - Python For Loops- Python While Loops- Python Break & Continue Statements- Python Functions- Python ClassesDon't waste any more time. Scroll up, click on Buy Now, and get started on your Python programming journey!
                    
"
Python,https://www.kingstone.com.tw//basic/203c109955446?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Andy,Vickler",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6324/9781955786324.jpg,9781955786324.0,"

Are you thinking about learning how to use the Python programming language? Thinking about getting started on a programming career?Python is one of the easiest computer programming languages to learn and use, with simple syntax and easy rules to follow. While it is aimed at beginners to Python coding, this book can also be used as a reference for those with a little more experience who want to brush up on their skills. The codes are also written in a way that you can change the values to see how different things work. Once you have mastered this guide, you can move seamlessly onto more experienced topics but I cannot stress enough the importance of practicing the codes regularly. Don't waste any more time. Scroll up, click on Buy Now, and get started on your Python programming journey!Have you wondered if there were fun things you could do with Python? Have you ever believed you can improve tasks using Python? If you've answered yes, then you have come to the right place. Python is a language that offers an approachable syntax and great readability. The language resembles English, is simple when compared to other languages and is easier for people to learn. With only a little time, you can write simple programs. Python also comes with data structure support, and this is something we will be looking at in the book. The book has many examples you can use to understand how to scrape data from the Internet and clean it for your analysis. The book also has exercises to help you improve your understanding of the concepts. With this book, open a whole new world of possibilities with Python! Are you thinking about learning data science? Do you know how to code in Python and want to take your learning further? Then you've come to the right place.Data is more available today than it ever has been and in much larger quantities than ever before. And it's only set to increase. Because of that, we need to evolve in how we process data, and that's where data science comes in. But let's not forget machine learning, a subset of data science that offers us ways of examining and analyzing data to draw meaningful insights. Machine learning and data science are our future, and if you choose not to go down the route of learning it to an expert level, you should at least understand how it all works. Python is the most popular computer programming language and by far the best for data science and machine learning. An intuitive language, it offers all the tools needed to analyze data, manipulate it, produce visualizations, and so much more.Don't slip behind. Data science is the future so embark on a journey you will never regret.
                    
"
Python Programming,https://www.kingstone.com.tw//basic/203c108525863?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Kim,Lim",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0571/9781803180571.jpg,9781803180571.0,"

Would you like to program Python with ease?Do you have a passion for games and computer simulators?Even if you are a beginner at programming with Python and want to receive a comprehensive introduction, this is the book for you. Developed by computer science expert Kim Lim, the ""for the absolute beginner"" guide teaches programming principles through the creation of simple games. You'll gain the skills needed for practical applications of Python programming and learn how these skills can be used in real-world scenarios. Throughout the chapters, you will find code examples that illustrate the concepts presented. At the end of each chapter, you'll find a complete game that demonstrates the chapter's key ideas, a chapter summary, and a series of challenges that test your new knowledge. In this guide you will learn: The basics of programming.Illustrated formulas and exercisesHow to program gamesand much moreBy the time you finish this book, you'll be proficient in Python and will be able to apply the basic programming principles you've learned to the next programming language you tackle.Take action and get your copy now! 

"
Robust Python,https://www.kingstone.com.tw//basic/203c108291538?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Patrick,Viafore",O'Reilly Media,https://cdn.kingstone.com.tw/english/images/product/0667/9781098100667.jpg,9781098100667.0,"

Does it seem like your Python projects are getting bigger and bigger? Are you feeling the pain as your codebase expands and gets tougher to debug and maintain? Python is an easy language to learn and use, but that also means systems can quickly grow beyond comprehension. Thankfully, Python has features to help developers overcome maintainability woes.In this practical book, author Patrick Viafore shows you how to use Python's type system to the max. You'll look at user-defined types, such as classes and enums, and Python's type hinting system. You'll also learn how to make Python extensible and how to use a comprehensive testing strategy as a safety net. With these tips and techniques, you'll write clearer and more maintainable code.Learn why types are essential in modern development ecosystemsUnderstand how type choices such as classes, dictionaries, and enums reflect specific intentsMake Python extensible for the future without adding bloatUse popular Python tools to increase the safety and robustness of your codebaseEvaluate current code to detect common maintainability gotchasBuild a safety net around your codebase with linters and tests
                    
"
Python Aplicado,https://www.kingstone.com.tw//basic/203c109322236?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Eugenia,Bahit",Blurb       ,https://cdn.kingstone.com.tw/english/images/product/0125/9781838190125.jpg,9781838190125.0,"

Python Aplicado es la nueva edici籀n de Python para Principiantes, un libro en el que la autora recorre el lenguaje desde su concepci籀n hasta su aplicaci籀n en disciplinas tan variadas como la administraci籀n de sistemas GNU/Linux, la ciencia de datos, la probabilidad y estad穩stica, el desarrollo de aplicaciones Web, las bases de datos y la programaci籀n orientada a objetos. LO NUEVO: En esta nueva edici籀n, incorpora temas como las pruebas unitarias, ampl穩a el temario de funciones a conceptos m獺s avanzados que los abarcados en Python para Principiantes, y aborda algunos patrones de dise簽o en el cap穩tulo de orientaci籀n a objetos, adem獺s de sumar un esclarecedor pr籀logo que permitir獺 a las lectoras y lectores, comprender la diferencia -tanto a nivel pr獺ctico como te籀rico-, entre programar y codificar. Un libro destinado tanto a estudiantes de programaci籀n como a profesionales de diversas disciplinas cient穩ficas.
                    
"
Python Programming,https://www.kingstone.com.tw//basic/203c108463420?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Tim,Matthes",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0388/9781803340388.jpg,9781803340388.0,"

Would you like to be able to enhance your Python skills and have a thorough understanding of Neural Networks, Artificial Intelligence, and Data Science, even if you don't know much (or nothing at all) about it?  If the answer is ""YES"", then keep reading, because in this collection of two books you will discover:   - What Machine Learning is, and What are its Concepts & Terms, so that you can have full knowledge on the subject, and you can be sure to easily understand and learn every argument and skill related to this topic- How to Work With Python for Data Science, to be effectively able to use this user-friendly language and its easy-to-understand syntax for data science in a very effortless and quick way that even a beginner would understand   This is a beginner's guide so I am going to cover all the basics you need to get started with Python programming and Machine Learning.If you are already experienced in Python coding this guidebook will help you to review all the basics in a best and specific technical way!    Do I need to add more?What are you waiting for?Buy and start earning!     

"
Python Programming Crash Course,https://www.kingstone.com.tw//basic/203c109949060?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2242/9781803062242.jpg,9781803062242.0,"

Do your customers want to learn Python Programming well and fast?Do you want to make sure that by buying just one book they will come back to buy again and again?Then, You Need This Book in Your Library and... Your Customers Will Never Stop to Use and Gift It! ? - WHY THIS BOOK CAN HELP YOUR CUSTOMERSThis Python Programming Crash Course is for you. This is the most complete Python guide with 2 Manuscripts in 1 book: 1- Python Programming For Beginners2- Python for Data Analysis A great opportunity: Simplicity, Best Order and Selection of topics to Learn Fast and Selected Practice Exercises and Examples. In Manuscripts 1 ""Python Programming For Beginners"" you'll learn: What is PythonHow to install Python and what is the best distributionWhat are data types and variablesHow to work with numbers in PythonWhat operators there are in Python and when to use themHow to manipulate StringsHow to implement Program Flow ControlsHow to implement loops in PythonWhat are Python lists, Tuples, Sets, Dictionaries, and how to use themHow to create modules and functionsHow to program according to the Object-Oriented paradigmHow to create classesWhat are and how to use Inheritance, Polymorphism, Abstraction, and EncapsulationAnd much more... In Manuscript 2 ""Python for Data Analysis"" you'll learn: What Data Analysis is and why it is importantWhat are the different types of Data AnalysisWhat are the 6 key steps of the Data Analysis process that you should followWhat are the applications of Data Analysis and AnalyticsHow to set up the Python environment for Data AnalysisWhat are and how to use Python Data StructuresHow to work with IPython/Jupyter NotebookHow to work with NumPyHow to visualize data with MatplotlibWhat other visualization libraries are out thereWhy is Big Data important and how to get the best out of itHow to leverage Neural Networks for Data AnalysisAnd much more... Buy it NOW and let Your Customers get addicted to this amazing book
                    
"
Python Programming for Beginners,https://www.kingstone.com.tw//basic/203c109949059?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2204/9781803062204.jpg,9781803062204.0,"

ARE YOUR CUSTOMERS LOOKING FOR A COMPLETE GUIDE PYTHON?Do you want to make sure that by buying just one book they will come back to buy again and again?Then, You Need This Book in Your Library and... Your Customers Will Never Stop to Use and Gift It! ? - WHY THIS BOOK CAN HELP YOUR CUSTOMERSProgramming has come a long way. The world of programming may have started quite some time ago; it was only a couple of decades ago that it gained attention from computer experts from across the globe.We came across the rather brilliant Linux. New programming languages were born as well, and people certainly enjoyed these to the utmost.While most of these programming languages worked, there was something that was missing. Surely, something could be done to make coding a less tedious task to do and carry out. That is exactly what a revolutionary new language, named after Monty Python's Flying Circus, did for the world.This language is what connected the dots and gave programmers the much-needed ease of coding that they have since been yearning for. Naturally, the language was received well by the programming community. Today, it is one of the most important languages for both professionals and students who aim to excel in fields like Machine Learning, automation, artificial intelligence, and so much more.With real-life examples showing a wide variety of use, Python is now living and breathing in almost every major social platform, web application, and website. This book covers: Python - The First ImpressionsGetting ready for PythonThe world of Variables and OperatorsMaking Your Program InteractiveList, Tuples and dictionariesFunctions and ModulesWorking with FilesObject Oriented ProgrammingAnd much more. I am happy to report that this book will provide you with every possible chance of learning Python and allow you to jump-start your journey into the world of programming.We will look into various aspects of the language and hopefully provide you with real-life examples to further explain the importance of such aspects. The idea of this book is to prepare you as you learn the core concepts of Python.Buy it NOW and let Your Customers get addicted to this amazing book
                    
"
Python for Data Analysis,https://www.kingstone.com.tw//basic/203c109191241?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2228/9781803062228.jpg,9781803062228.0,"

DO YOUR CUSTOMERS WANT TO DISCOVER THE SECRETS BEHIND PYTHON DATA SCINCE?Do you want to make sure that by buying just one book they will come back to buy again and again?Then, You Need This Book in Your Library and... Your Customers Will Never Stop to Use and Gift It! ? - WHY THIS BOOK CAN HELP YOUR CUSTOMERSData analysis plays an important role in many aspects of life today. From the moment you wake up, you interact with data at different levels. A lot of important decisions are made based on data analytics. Companies need data to help them meet many of their goals. As the population of the world keeps growing, its customer base keeps expanding. In light of this, they must find ways of keeping their customers happy while at the same time meeting their business goals. Given the nature of competition in the business world, it is not easy to keep customers happy. Competitors keep preying on each other's customers, and those who win have another challenge ahead - how to maintain the customers lest they slide back to their former business partners. This is one area where Data Analysis comes in handy. This book covers: What is Data AnalysisPython Crash CourseData MungingWhy Data Preprocessing Is ImportantWhat is Data Wrangling?Inheritances to Clean Up the CodeReading and writing dataThe Different Types of Data We Can Work WithThe Importance of Data VisualizationIndexing and selecting arraysCommon Debugging ToolsNeural Network and What to Use for?And much more. To understand their customers better, companies rely on data. They collect all manner of data at each point of interaction with their customers.But data analytics is not just about customers and the profit motive. It is also about governance. Governments are the biggest data consumers all over the world. They collect data about citizens, businesses, and every other entity that they interact with at any given point. This is important information because it helps in a lot of instances. The way you interact with data can make a big difference, bigger than you can imagine. Buy it NOW and let Your Customers get addicted to this amazing book!
                    
"
Make Python Talk,https://www.kingstone.com.tw//basic/203c109943762?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Mark,Liu",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/1560/9781718501560.jpg,9781718501560.0,"

A project-based book that teaches beginning Python programmers how to build working, useful, and fun voice-controlled applications.  This fun, hands-on book will take your basic Python skills to the next level as you build voice-controlled apps to use in your daily life. Starting with a Python refresher and an introduction to speech-recognition/text-to-speech functionalities, you'll soon ease into more advanced topics, like making your own modules and building working voice-controlled apps. Each chapter scaffolds multiple projects that allow you to see real results from your code at a manageable pace, while end-of-chapter exercises strengthen your understanding of new concepts. You'll design interactive games, like Connect Four and Tic-Tac-Toe, and create intelligent computer opponents that talk and take commands; you'll make a real-time language translator, and create voice-activated financial-market apps that track the stocks or cryptocurrencies you are interested in. Finally, you'll load all of these features into the ultimate virtual personal assistant - a conversational VPA that tells jokes, reads the news, and gives you hands-free control of your email, browser, music player, desktop files, and more. Along the way, you'll learn how to: ● Build Python modules, implement animations, and integrate live data into an app● Use web-scraping skills for voice-controlling podcasts, videos, and web searches● Fine-tune the speech recognition to accept a variety of input● Associate regular tasks like opening files and accessing the web with speech commands● Integrate functionality from other programs into a single VPA with computational knowledge engines to answer almost any question Packed with cross-platform code examples to download, practice activities and exercises, and explainer images, you'll quickly become proficient in Python coding in general and speech recognition/text to speech in particular.

"
