書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小南一新超群自修國語一上（含首冊）（110學年）,https://www.kingstone.com.tw//basic/2015216909427?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,南一書局  ,9789865301606.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909427/2015216909427b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小閱讀成語雙效養成一年級,https://www.kingstone.com.tw//basic/2015216970328?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,南一書局  ,4718373111204.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216970328/2015216970328b.jpg,0
國小課堂評量｛南版｝國語一上（110學年）,https://www.kingstone.com.tw//basic/2015216937024?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,明霖      ,4101111101900.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937024/2015216937024b.jpg,0
國小南一新超群百分百測驗卷國語一上（110學年）,https://www.kingstone.com.tw//basic/2015216913882?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,南一書局  ,4718373110054.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216913882/2015216913882b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小南一新超群評量國語一上（含首冊）（110學年）,https://www.kingstone.com.tw//basic/2015216911628?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,南一書局  ,9789865303006.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911628/2015216911628b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小（南老師）國語講義式評量一上（110學年）,https://www.kingstone.com.tw//basic/2015216907423?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,良品      ,9789860732108.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907423/2015216907423b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小(南老師)國語一下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216791732?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,良品      ,220090101023.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216791732/2015216791732b.jpg,0
國小(南版)國語評量講義一下(109學年),https://www.kingstone.com.tw//basic/2015216797314?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,明霖      ,4082111101902.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797314/2015216797314b.jpg,0
新超群國語辭典{世紀新修版},https://www.kingstone.com.tw//basic/2015216604834?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,南一      ,9789575890001.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216604834/2015216604834b.jpg,0
國小(南版)國語評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216404212?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216404212/2015216404212b.jpg,0
國小(南老師)國語評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216165113?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165113/2015216165113b.jpg,0
國小(南版)國語評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216171022?zone=book&lid=book_class3_tac&actid=book_class3_tac,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171022/2015216171022b.jpg,0
