書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小課堂評量｛翰版｝國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216929111?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,明霖      ,4091121201908,https://cdn.kingstone.com.tw/book/images/product/20152/2015216929111/2015216929111b.jpg,0
國小（翰老師）國語講義式評量二上（110學年）,https://www.kingstone.com.tw//basic/2015216905559?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,良品      ,9789860732030,https://cdn.kingstone.com.tw/book/images/product/20152/2015216905559/2015216905559b.jpg,0
國小翰林小無敵實力評量國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216918382?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,9789863338628,https://cdn.kingstone.com.tw/book/images/product/20152/2015216918382/2015216918382b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小翰林小無敵學習卷國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216920583?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,9789863338833,https://cdn.kingstone.com.tw/book/images/product/20152/2015216920583/2015216920583b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小翰林小無敵自修國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216916128?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,9789863338680,https://cdn.kingstone.com.tw/book/images/product/20152/2015216916128/2015216916128b.jpg,0
國小(翰老師)國語二下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216789821?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,良品      ,320090101044,https://cdn.kingstone.com.tw/book/images/product/20152/2015216789821/2015216789821b.jpg,0
國小翰林小無敵自修國語二上（109學年）,https://www.kingstone.com.tw//basic/2015216559738?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,93103-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216559738/2015216559738b.jpg,0
國小翰林小無敵實力評量國語二上（109學年）,https://www.kingstone.com.tw//basic/2015216561779?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,94103-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216561779/2015216561779b.jpg,0
國小翰林小無敵學習卷國語二上（109學年）,https://www.kingstone.com.tw//basic/2015216563773?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,翰林      ,95103-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216563773/2015216563773b.jpg,0
國小(翰版)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216406056?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,明霖      ,4072121201907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216406056/2015216406056b.jpg,0
國小(翰老師)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216412255?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216412255/2015216412255b.jpg,0
國小(翰老師)國語評量講義二上(108學年),https://www.kingstone.com.tw//basic/2015216161085?zone=book&lid=book_class3_tbb&actid=book_class3_tbb,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216161085/2015216161085b.jpg,0
