書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小南一新超群自修社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216911048?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,南一書局  ,9789865302689.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911048/2015216911048b.jpg,0
國小課堂評量｛南版｝社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216938236?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,明霖      ,4101115301900.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216938236/2015216938236b.jpg,0
國小（南老師）社會講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216908635?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,良品      ,9789860738742.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216908635/2015216908635b.jpg,0
國小南一新超群評量社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216913202?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,南一書局  ,9789865303181.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216913202/2015216913202b.jpg,0
國小南一新超群百分百測驗卷社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216915336?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,南一書局  ,4718373330254.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216915336/2015216915336b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小(南老師)社會三下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216792944?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,良品      ,220090401062.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216792944/2015216792944b.jpg,0
國小(南版)社會評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216408920?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216408920/2015216408920b.jpg,0
國小(南老師)社會評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216415041?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216415041/2015216415041b.jpg,0
國小(南老師)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216165403?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165403/2015216165403b.jpg,0
國小(南版)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216171572?zone=book&lid=book_class3_tc1&actid=book_class3_tc1,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171572/2015216171572b.jpg,0
