書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小康軒新挑戰測驗卷自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216940307?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,康軒      ,204070500301.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216940307/2015216940307b.jpg,0
國小（康老師）自然講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216905009?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,良品      ,9789860738810.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216905009/2015216905009b.jpg,0
國小課堂評量｛康版｝自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216928619?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,明霖      ,4101134301905.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216928619/2015216928619b.jpg,0
國小康軒新挑戰學習評量自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216933606?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,康軒      ,9789865358853.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216933606/2015216933606b.jpg,0
國小康軒新挑戰自然自修三上（110學年）,https://www.kingstone.com.tw//basic/2015216931602?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,康軒      ,9789865358860.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216931602/2015216931602b.jpg,0
國小(康老師)自然三下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216789371?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,良品      ,420090301069.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216789371/2015216789371b.jpg,0
國小(康版)自然評量講義三下(109學年),https://www.kingstone.com.tw//basic/2015216795150?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,明霖      ,4072134301908.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216795150/2015216795150b.jpg,0
國小(康版)自然評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216405684?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216405684/2015216405684b.jpg,0
國小(康老師)自然評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216411753?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216411753/2015216411753b.jpg,0
國小(康老師)自然評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216164291?zone=book&lid=book_class3_tcs&actid=book_class3_tcs,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216164291/2015216164291b.jpg,0
