書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小康軒新挑戰學習評量數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216933316?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,9789865354695.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216933316/2015216933316b.jpg,0
國小康軒新挑戰學習講義數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216935310?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,9789865354732.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216935310/2015216935310b.jpg,0
國小（康老師）數學講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216904347?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,良品      ,9789860638851.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216904347/2015216904347b.jpg,0
國小康軒新挑戰{麻辣}講義數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216934788?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,9789865354770.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216934788/2015216934788b.jpg,0
國小課堂評量｛康版｝數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216927957?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,明霖      ,4081133401908.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216927957/2015216927957b.jpg,0
國小康軒新挑戰測驗卷數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216940017?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,204050700371.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216940017/2015216940017b.jpg,0
國小康軒新挑戰數學自修四上（110學年）,https://www.kingstone.com.tw//basic/2015216931312?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,9789865354633.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216931312/2015216931312b.jpg,0
國小(康老師)數學四下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216788619?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,良品      ,420090201086.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216788619/2015216788619b.jpg,0
國小(康版)數學評量講義四下(109學年),https://www.kingstone.com.tw//basic/2015216794498?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,明霖      ,4072133401906.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216794498/2015216794498b.jpg,0
國小數學過招100回{各版本適用} 4年級,https://www.kingstone.com.tw//basic/2015216605206?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,202050704841.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216605206/2015216605206b.jpg,0
國小圖解數學 4年級{各版本適用},https://www.kingstone.com.tw//basic/2015216606258?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,202050705261.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216606258/2015216606258b.jpg,0
國小康軒新挑戰數學自修四上（109學年）,https://www.kingstone.com.tw//basic/2015216540453?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,204050700081.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216540453/2015216540453b.jpg,0
國小康軒新挑戰學習講義數學四上（109學年）,https://www.kingstone.com.tw//basic/2015216544901?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216544901/2015216544901b.jpg,0
國小(康版)數學評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216405004?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216405004/2015216405004b.jpg,0
108國小圖解數學4年級.各版本適用,https://www.kingstone.com.tw//basic/2015216079007?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,康軒編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216079007/2015216079007b.jpg,0
108{高手}國小數學過招100回4年級. 各版本適用,https://www.kingstone.com.tw//basic/2015216079557?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,康軒編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216079557/2015216079557b.jpg,"

單元1：一億以內的數單元2：億以上的數單元3：概數單元4：整數的乘法單元5：整數的除法單元6：整數四則計算單元7：分數單元8：小數單元9：角度單元10：體積單元11：三角形單元12：四邊形單元13：周長與面積單元14：兩個單位的計算單元15：時間的計算單元16：公里單元17：統計圖
                    
"
108國小數學計算高手4年級. 各版本適用,https://www.kingstone.com.tw//basic/2015216079977?zone=book&lid=book_class3_tdm&actid=book_class3_tdm,康軒編輯,康軒      ,202050704941.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216079977/2015216079977b.jpg,"

單元1：整數的加減單元2：整數的概數單元3：整數的乘法單元4：整數的除法單元5：整數四則單元6：分數單元7：小數單元8：長度的計算單元9：容量的計算單元10：重量的計算單元11：時間的加減單元12：角度單元13：周長與面積
                    
"
