書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小翰林小無敵實力評量數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216919174?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,9789863339229,https://cdn.kingstone.com.tw/book/images/product/20152/2015216919174/2015216919174b.jpg,0
國小翰林小無敵學習卷數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216921375?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,9789863339175,https://cdn.kingstone.com.tw/book/images/product/20152/2015216921375/2015216921375b.jpg,0
國小翰林小無敵自修數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216916968?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,9789863339519,https://cdn.kingstone.com.tw/book/images/product/20152/2015216916968/2015216916968b.jpg,0
國小課堂評量｛翰版｝數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216929951?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,明霖      ,4081123401901,https://cdn.kingstone.com.tw/book/images/product/20152/2015216929951/2015216929951b.jpg,0
國小（翰老師）數學講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216906341?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,良品      ,9789860732917,https://cdn.kingstone.com.tw/book/images/product/20152/2015216906341/2015216906341b.jpg,0
國小(翰老師)數學四下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216790650?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,良品      ,320090201089,https://cdn.kingstone.com.tw/book/images/product/20152/2015216790650/2015216790650b.jpg,0
國小翰林小無敵自修數學四上（109學年）,https://www.kingstone.com.tw//basic/2015216560437?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,93307-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216560437/2015216560437b.jpg,0
國小翰林小無敵學習卷數學四上（109學年）,https://www.kingstone.com.tw//basic/2015216564435?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,95307-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216564435/2015216564435b.jpg,0
國小數學勝算120回{各版本適用} 4年級,https://www.kingstone.com.tw//basic/2015216605886?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,翰林      ,96377-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216605886/2015216605886b.jpg,0
國小(翰老師)數學評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216412965?zone=book&lid=book_class3_tdn&actid=book_class3_tdn,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216412965/2015216412965b.jpg,0
