書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小南一新超群百分百測驗卷國語五上（110學年）,https://www.kingstone.com.tw//basic/2015216914254?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,南一書局  ,4718373550058.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914254/2015216914254b.jpg,0
國小課堂評量｛南版｝國語五上（110學年）,https://www.kingstone.com.tw//basic/2015216937444?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,明霖      ,4081111501903.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937444/2015216937444b.jpg,0
國小閱讀成語雙效養成五年級,https://www.kingstone.com.tw//basic/2015216970748?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,南一書局  ,4718373550898.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216970748/2015216970748b.jpg,0
國小南一新超群評量國語五上（110學年）,https://www.kingstone.com.tw//basic/2015216912090?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,南一書局  ,4718373550034.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216912090/2015216912090b.jpg,"

110學年度(上)學期各版本參考書，如需查詢請至金石堂本站官網，國中小各校使用書版本【查詢系統】讓你一次買齊！
                    
"
國小南一新超群自修國語五上（110學年）,https://www.kingstone.com.tw//basic/2015216909847?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,南一書局  ,9789865301644.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909847/2015216909847b.jpg,0
國小（南老師）國語講義式評量五上（110學年）,https://www.kingstone.com.tw//basic/2015216907843?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,良品      ,9789860732061.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907843/2015216907843b.jpg,0
國小(南老師)國語五下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216792104?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,良品      ,220090101108.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216792104/2015216792104b.jpg,0
國小(南版)國語評量講義五下(109學年),https://www.kingstone.com.tw//basic/2015216797604?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,明霖      ,4072111501901.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797604/2015216797604b.jpg,0
國小(南版)國語評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216408180?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216408180/2015216408180b.jpg,0
國小(南老師)國語評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216414389?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216414389/2015216414389b.jpg,0
國小(南老師)國語評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216165243?zone=book&lid=book_class3_tec&actid=book_class3_tec,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165243/2015216165243b.jpg,0
