書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小（翰老師）社會講義式評量六上（110學年）,https://www.kingstone.com.tw//basic/2015216906921?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,良品      ,9789860738728,https://cdn.kingstone.com.tw/book/images/product/20152/2015216906921/2015216906921b.jpg,0
國小課堂評量｛翰版｝社會六上（110學年）,https://www.kingstone.com.tw//basic/2015216936522?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,明霖      ,4101125601908,https://cdn.kingstone.com.tw/book/images/product/20152/2015216936522/2015216936522b.jpg,0
國小翰林小無敵學習卷社會六上（110學年）,https://www.kingstone.com.tw//basic/2015216922327?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,翰林      ,9789863338888,https://cdn.kingstone.com.tw/book/images/product/20152/2015216922327/2015216922327b.jpg,0
國小翰林小無敵自修社會六上（110學年）,https://www.kingstone.com.tw//basic/2015216917910?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,翰林      ,9789863339632,https://cdn.kingstone.com.tw/book/images/product/20152/2015216917910/2015216917910b.jpg,0
國小翰林小無敵實力評量社會六上（110學年）,https://www.kingstone.com.tw//basic/2015216920163?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,翰林      ,9789863339397,https://cdn.kingstone.com.tw/book/images/product/20152/2015216920163/2015216920163b.jpg,0
國小(翰老師)社會六下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216791282?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,良品      ,320090401120,https://cdn.kingstone.com.tw/book/images/product/20152/2015216791282/2015216791282b.jpg,0
國小(翰版)社會評量講義六下(109學年),https://www.kingstone.com.tw//basic/2015216796812?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,明霖      ,4072125601901,https://cdn.kingstone.com.tw/book/images/product/20152/2015216796812/2015216796812b.jpg,0
國小翰林小無敵學習卷社會六上（109學年）,https://www.kingstone.com.tw//basic/2015216565487?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,翰林      ,95811-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216565487/2015216565487b.jpg,0
國小(翰版)社會評量講義六下(108學年),https://www.kingstone.com.tw//basic/2015216407398?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216407398/2015216407398b.jpg,0
國小(翰老師)社會評量講義六下(108學年),https://www.kingstone.com.tw//basic/2015216413597?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216413597/2015216413597b.jpg,0
國小(翰老師)社會評量講義六上(108學年),https://www.kingstone.com.tw//basic/2015216162167?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216162167/2015216162167b.jpg,0
國小(翰版)社會評量講義六上(108學年),https://www.kingstone.com.tw//basic/2015216168619?zone=book&lid=book_class3_tfz&actid=book_class3_tfz,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216168619/2015216168619b.jpg,0
