書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國中數學基本素養1：數與代數的運算,https://www.kingstone.com.tw//basic/2015240248332?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,許建銘,五南      ,9789865221355,https://cdn.kingstone.com.tw/book/images/product/20152/2015240248332/2015240248332b.jpg,"


	「知識零碎」與「思考紊亂」是國中生面對會考時不可輕忽的敵人，建議同學先搞懂「基本素養」，經由扎實而至融會貫通的學習歷程，才能穩操勝算。

	自2019下半年起，台灣中小學教育正式迎接新課綱的到來。本書作者配合教育新思潮的啟動，將國中階段的數學學習內涵分冊編撰為「數與代數的運算」以及「幾何概念與性質」共兩冊，希望幫助莘莘學子有系統地窺知整個國中數學學習領域的「基本素養」，一方面涵養扎實的數學知識，有效解決更新穎多變的未來試題；一方面獲得更貼近真實社會需求的能力，接軌快速變化的世界。

	本書內容涵蓋國中階段的數學「核心知識」與「關鍵思考」（包含重要幾何定理的解說），期望透過全面性的扎實材料與奠基歷程，讓學生在參加教育會考時，除了能輕鬆應付基礎試題外，還能投入充裕的時間，解決可能面臨更大挑戰的精熟試題。

"
國小數學科重點總複習,https://www.kingstone.com.tw//basic/2015232183887?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優數學教研會,光田      ,4712839704443,https://cdn.kingstone.com.tw/book/images/product/20152/2015232183887/2015232183887b.jpg,"

國小五、六年級數學，可說是國中數學的基礎，為了在國中數學領域，融會貫通，勇奪高分，本書特別將國小數學分成32個單元。這些單元可依同學程度，逐段練習，以收事半功倍之效。市面上，數學參考書種類繁多，但未必都適合銜接國中最新課程，本書特別商請教學經驗豐富的名師編寫，以國小五、六年級數學為基礎，加以延伸，以利同學升上國中時，數學能夠銜接，輕鬆地邁入國中數學的領域。全書題目數量豐富，不僅適合用作國小數學課程的總複習，也適合參加「國中資優班」或「私中入學」考試的同學作為練習教材。
                    
"
升私中先修特訓班：數學（3本不分售）,https://www.kingstone.com.tw//basic/2015240250113?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,宗翰、齊峻,寰宇知識  ,4710701016533,https://cdn.kingstone.com.tw/book/images/product/20152/2015240250113/2015240250113b.jpg,"

挺進明星私中殿堂、國中先修準備，強化國英數是關鍵！明星私中、優質國中搶破頭，市售的關於考私校或資優班的輔助教材，多半是以評量題庫練習的為主，只能讓學生增加練習度；而名師學院「升私中先修特訓班」系列書籍著重學生的學習完整度，是專為國小五、六年級生及有心準備國中資優班國小高年級生，進行國中先修、升私中考試複習教材。「升私中先修特訓班 數學」由國際數學奧林匹亞競賽（IMO）金牌教練－宗翰領軍，搭配齊峻、建廷兩大數學名師，精選30個資優生必學的主題，完整教學與詳盡解題步驟，讓學生能夠理解，從不會到會，先學先贏站穩腳步。不論是小學高年級、小學資優教育、國中先修與銜接、考私中或數理資優班，一套教材就夠！資優生必學的30個精選主題★ 建立紮實觀念，強化數學實力★ 題型多元豐富，適用國際競賽★ 詳盡解題步驟，輕鬆破解難題資優生必考的模擬試題★ 試題由淺入深，強化數學實力★ 題型多元豐富，適用國際競賽★ 詳盡解題步驟，輕鬆破解難題
                    
"
數學！這樣準備保證上：升國中數學資優班考前衝刺秘笈（第四版）（附超值DVD）,https://www.kingstone.com.tw//basic/2015240249674?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,數理資優研究團隊,博碩文化  ,9789864345403,https://cdn.kingstone.com.tw/book/images/product/20152/2015240249674/2015240249674b.jpg,"


熱賣暢銷回饋，學生家長紛紛反映：比請家教還有效！


	本書是專為有心準備國中數學資優班及明星私校的小五、小六及國一（七年級）生，而設計的考前複習教材，具有以下特色：

★ 獨創動態圖解法：

	作者發現數學沒學好的原因，絕大多數跟孩子們的思考方式有關，為了解決這個問題，本書作者利用「動態圖解」的方式，來輔助題目的講解，透過啟發同學的想像力，將題目敘述轉換為具像的圖形，幫助同學理解題意，破解看不懂題目的迷思。

★ 數位學習家教伴讀：

	本書附贈超值的影音教學光碟DVD，讓您用最經濟、實惠的價格，一次購足全套的學習組合－－題本教材及數位學習光碟。同學在試算題本中的題目時，若仍解不出來，可以隨選播放影音教學影片，反覆邊聽邊看，學會解題技巧。

★ 24K金的考前複習法：

	學習有方法，複習也是有章法的喔！為了輔助同學做好萬全的考前複習，本書特別製作了重點彙整精華（附於書末）及複習進度表（附於光碟中）。同學能選用合適的複習方案，按照進度表來複習數個主題單元，動手試算不同難易程度的題目，以培養考試臨場感，累積作答實力。在考前做最後衝刺時，能撕下重點彙整精華（公式卡），隨身攜帶，方便在空檔之餘，複習重要的公式。

	【教學影片歡迎前往】
	    可點選下面圖案前往購買教學影片：
	www.udemy.com/course/mathpreparationsoeasy/?referralCode=AF9C321000F79BDE4CD6

"
國中數學基本素養2：幾何概念與性質,https://www.kingstone.com.tw//basic/2015240248462?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,許建銘,五南      ,9789865221362,https://cdn.kingstone.com.tw/book/images/product/20152/2015240248462/2015240248462b.jpg,"


	「知識零碎」與「思考紊亂」是國中生面對會考時不可輕忽的敵人，建議同學先搞懂「基本素養」，經由扎實而至融會貫通的學習歷程，才能穩操勝算。

	自2019下半年起，台灣中小學教育正式迎接新課綱的到來。本書作者配合教育新思潮的啟動，將國中階段的數學學習內涵分冊編撰為「數與代數的運算」以及「幾何概念與性質」共兩冊，希望幫助莘莘學子有系統地窺知整個國中數學學習領域的「基本素養」，一方面涵養扎實的數學知識，有效解決更新穎多變的未來試題；一方面獲得更貼近真實社會需求的能力，接軌快速變化的世界。

	本書內容涵蓋國中階段的數學「核心知識」與「關鍵思考」（包含重要幾何定理的解說），期望透過全面性的扎實材料與奠基歷程，讓學生在參加教育會考時，除了能輕鬆應付基礎試題外，還能投入充裕的時間，解決可能面臨更大挑戰的精熟試題。

"
升國中私中智優先修（數學科）第4版,https://www.kingstone.com.tw//basic/2015216308299?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,升國中教研會,光田      ,4712839709950,https://cdn.kingstone.com.tw/book/images/product/20152/2015216308299/2015216308299b.jpg,"

[升國中先修．私中入學]對於即將要升上國中的國小學生而言，未知的課業內容總是教人感到惶恐；尤其是讓人又愛又怕的「數學科」更是如此。為了幫助初升國中的學生們面對這樣的難題，本書針對國小升國中馬上要面臨的數學課程設計單元，並同時複習與這些單元有關的國小數學內容，讓學生在面對國中的新課程時，不但不會手足無措，更能應用小學已經學過的數學知識，掌握新的課程內容，從此奠定國中數學的基礎，使往後的學習一帆風順。全書共分為六個單元：「負數與絕對值」、「整數的四則運算」、「指數律與科學記號」、「因數和倍數」、「分數的四則運算」和「一元一次方程式」。每個單元都有學力評量，不僅可讓同學練習應用所學來解題，也可供同學檢測自己對該主題的熟悉程度。書末並附有綜合測驗，將全書的單元內容整合，精編試題，同學們練習之後，能收統整複習的效果。本書的設計是以國小所學的數學，銜接國中的數學課程；因此，學生不用擔心看不懂單元的內容。同時，每回測驗都附有解答及難題精解，若遇有不會的題目，也能快速的找到答案和解法。最後，希望所有的讀者，藉由本書預先修習國中數學，都能在國中階段有所發揮，學業精進。
                    
"
來吧！再也不用怕數學：歡迎來到函數世界,https://www.kingstone.com.tw//basic/2015240242590?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,王富祥、游雪玲,八方      ,9789863812067,https://cdn.kingstone.com.tw/book/images/product/20152/2015240242590/2015240242590b.jpg,"


	數學不用靠死背、你也能出類拔萃，18歲前數學の不頭痛寶典！
	一本囉唆卻又簡潔的數學秘笈
	一本什麼都有，不用到處找問題&解答的數學題型大解密
	一本如同老師在你身邊耳提面命的數學家教行動電源

	本系列數學書，預計出版四冊，主題包含《實數的生存法則》、《用代數來思考》、《歡迎來到函數世界》、《形體全攻略》，收錄從國小接觸到數學開始到高中考上大學前，你會遇到的所有數學觀念與考試題型，通通一網打盡！讓你不用再多花錢四處買參考書，只要你把這4本書依序念到精通，算到透徹，任何升學考都難不倒你。

	1.前半段例題：依應用策略的先後次序，逐一舉例，並不厭其煩地「備註、備註、再備註」。其目的就是要「洗你的腦、又洗你的腦、再洗你的腦」，洗到你很自然地記住這些「策略及相關工具」。

	2.後半段例題：打散應用策略的次序，隨機安排例題，並減少備註，以利提供在考場面對多變試題時，能在「不預期一定是某段落的某策略應用」的狀態下，有能力自行「看出解題的所以然」來！

	＊適讀年齡：國中1～3年級、高中1～3年級

"
升私中國中全壘打（數學科）,https://www.kingstone.com.tw//basic/2015240237473?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優班教研會,光田      ,4712839709257,https://cdn.kingstone.com.tw/book/images/product/20152/2015240237473/2015240237473b.jpg,"

〔私中入學．國中資優班考試 適用〕國中是另一個新的開始，但也是舊的延續。國中數學是建立在國小數學科的基礎上，如果對國小數學的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小數學課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「數學科」考題，全書共24回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
國小數學推理智能測驗,https://www.kingstone.com.tw//basic/2015232242638?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,王登傳,前程出版社,9789577044747,https://cdn.kingstone.com.tw/book/images/product/20152/2015232242638/2015232242638b.jpg,"

適用指標◎ 國中資優班甄試能力分組先修     ◎ 課外、課內輔助教材本書特色★單元加以類化歸納，循序漸進便利學生練習。★增強學生思考、分析能力。★多元題型的練習，厚植學生解題實力。
                    
"
國小數學總複習測驗,https://www.kingstone.com.tw//basic/2015232166439?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優數學教研會,光田      ,4712839704245,https://cdn.kingstone.com.tw/book/images/product/20152/2015232166439/2015232166439b.jpg,"

本書是針對想要考取國中資優班和私立中學的國小高年級學生而設計。全書的內容是複習國小五、六年級的數學，使用多樣化的題型，讓小朋友從練習當中，熟練各種題目的作答，主要的題型有「選擇題」、「填充題」、「計算題」和「應用題」等。全書共24回練習，並附有解答；所有題目均由經驗豐富的數學教師所設計，相信對於想進入理想的私立中學或國中資優班的同學有莫大幫助。
                    
"
