書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國文閱讀測驗決勝帖（國中）,https://www.kingstone.com.tw//basic/2015214466342?zone=book&lid=book_class3_tka&actid=book_class3_tka,黃海,建興      ,9789862241424.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214466342/2015214466342b.jpg,"

本書編寫特色：一.文學常識觀念清晰，詩文體例豐富完備，內容詳實難易適中！二.評量試題變化新穎，基測趨勢完全掌握，閱讀能力十足激發！三.音譯詳明語譯流暢，選文精彩旨意明確，國語文實力大躍進！
                    
"
成語活用手冊（國中）,https://www.kingstone.com.tw//basic/2015214466182?zone=book&lid=book_class3_tka&actid=book_class3_tka,陳文之,建興      ,9789578179462.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214466182/2015214466182b.jpg,"

■本書精選成語一千六百餘條 ■以中學國文教材之詞語為主■兼取報章雜誌常用成語俚諺■書後附試題供評量語文能力
                    
"
國中麻辣複習講義國文（1－4冊）（110最新版）,https://www.kingstone.com.tw//basic/2015216923539?zone=book&lid=book_class3_tka&actid=book_class3_tka,編輯,康軒      ,9789865357511.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216923539/2015216923539b.jpg,0
110升高中{麻辣}複習講義{國文}（全）+真人影音解題,https://www.kingstone.com.tw//basic/2015216607330?zone=book&lid=book_class3_tka&actid=book_class3_tka,編輯,康軒      ,704011516191.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607330/2015216607330b.jpg,0
109升高中{麻辣}試題總複習{國文}(全),https://www.kingstone.com.tw//basic/2015216250727?zone=book&lid=book_class3_tka&actid=book_class3_tka,編輯,康軒      ,710355502181.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216250727/2015216250727b.jpg,"

109升高中{麻辣}試題總複習{國文}(全)
                    
"
109升高中麻辣複習講義(全){國文}+影音解題,https://www.kingstone.com.tw//basic/2015216110618?zone=book&lid=book_class3_tka&actid=book_class3_tka,編輯,康軒      ,704011516181.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110618/2015216110618b.jpg,0
108{得分王}國語總複習講義(升私中. 資優班必備),https://www.kingstone.com.tw//basic/2015216077133?zone=book&lid=book_class3_tka&actid=book_class3_tka,康軒編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077133/2015216077133b.jpg,0
108{得分王}國語升私中模擬試題,https://www.kingstone.com.tw//basic/2015216077393?zone=book&lid=book_class3_tka&actid=book_class3_tka,康軒編輯,康軒      ,202011101851.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077393/2015216077393b.jpg,0
升國中私中智優先修(國語科)第3版,https://www.kingstone.com.tw//basic/2015232668438?zone=book&lid=book_class3_tka&actid=book_class3_tka,升國中教研會,光田      ,4712839707932.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015232668438/2015232668438b.jpg,"


	本書以學期的時間為主軸，採用主題方式學習，融合各家版本學習內容，讓國小高年級及國中一上的學生，透過練習，熟悉各類型題目，最後以統整方式進行評量，模擬檢測。

	語文應該運用在日常生活中，因此題目也逐漸朝向生活化與實用化；綜觀私中入學，及國中智優分班之模擬試題評量的趨勢，積極走向活學活用，而讓學生瞭解每一單元的學習要點，就可以熟悉各種考試的解題技巧。

	閱讀與作文能力也是近年熱門的話題，從基本的字形、字音、字義、語詞、成語到句型，都需要階段性的練習。希望透過本書的學習，能夠讓學生的基礎能力增進，國語文能力躍進。

	本書係編者本著認真、嚴謹的態度來完成，一遇疑義之處，必遍查多種資料，以求真求實，唯限於才學淺薄，難免有疏漏之處，尚祈先進不吝指正。

"
國中國文閱讀測驗全方位(第2版),https://www.kingstone.com.tw//basic/2015214853173?zone=book&lid=book_class3_tka&actid=book_class3_tka,光田出版社,光田      ,4712839707895.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015214853173/2015214853173b.jpg,"


本書是<第1輯>和<第2輯>的合訂本。
	 
	國中學生國文科閱讀測驗大部分試題都考閱讀理解能力，因此，除了熟讀課本之外，考生平時要廣泛閱讀課外讀物，才能在升高中考場上得心應手。
	 
	近年來升高中的閱讀測驗題組，其選文的題型千變萬化，文題內容更是包羅萬象，其中約略可分為「白話文」與「文言文」兩部分，「白話文」部分包括有新詩、散文、寓言及其他文組(網路新聞、廣告、請帖、對聯、書信等)；「文言文」部分包含有歷代名家選文與古典詩、詞、曲等。因此，如何增強國文閱讀能力，提升良好的閱讀習慣，奠定閱讀測驗紮實的實力基礎，已是刻不容緩的課題。
	 
	基於升高中閱讀測驗的多方趨勢，編者擷取清新雋永的各式優質選文，依主題與屬性區分，並配合選文的方便學習，附加詞語解釋、文言文語譯，以利學生理解，進而提升國語文閱讀能力。
	 
	本書針對國中基本學力測驗的命題方式，精編模擬試題範例，書分第一輯、第二輯，全方位提供學生準備考試的練習需要，讓學生了解題組測驗的脈絡，一步一步引導學生熟悉閱讀測驗方式，培養精確的解題，期盼藉由本書輕鬆獲得高分。

"
