書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國中大滿貫複習講義歷史（1－4冊）（110最新版）,https://www.kingstone.com.tw//basic/2015216923119?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,9789863336846,https://cdn.kingstone.com.tw/book/images/product/20152/2015216923119/2015216923119b.jpg,0
國中大滿貫複習講義公民（1－4冊）（110最新版）,https://www.kingstone.com.tw//basic/2015216923249?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,9789863336716,https://cdn.kingstone.com.tw/book/images/product/20152/2015216923249/2015216923249b.jpg,0
國中大滿貫複習講義地理（1－4冊）（110最新版）,https://www.kingstone.com.tw//basic/2015216923089?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,9789863338369,https://cdn.kingstone.com.tw/book/images/product/20152/2015216923089/2015216923089b.jpg,0
110升高中{大滿貫}複習講義{歷史}（全）+線上自學重點教學影片,https://www.kingstone.com.tw//basic/2015216608832?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03890-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216608832/2015216608832b.jpg,0
110升高中{大滿貫}複習講義{地理}（全）+線上自學重點教學影片,https://www.kingstone.com.tw//basic/2015216608962?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03880-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216608962/2015216608962b.jpg,0
110升高中{大滿貫}複習講義{公民}（全）+線上自學重點教學影片,https://www.kingstone.com.tw//basic/2015216609044?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03870-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216609044/2015216609044b.jpg,0
升高中大滿貫總複習評量卷{歷史}(全),https://www.kingstone.com.tw//basic/2015216249738?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03019-26,https://cdn.kingstone.com.tw/book/images/product/20152/2015216249738/2015216249738b.jpg,"

升高中大滿貫總複習評量卷{歷史}(全)
                    
"
升高中大滿貫總複習評量卷{公民}(全),https://www.kingstone.com.tw//basic/2015216249868?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03017-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216249868/2015216249868b.jpg,"

升高中大滿貫總複習評量卷{公民}(全)
                    
"
109贏戰3800應用題彙編{社會}(全),https://www.kingstone.com.tw//basic/2015216250277?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,13055-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216250277/2015216250277b.jpg,"

109贏戰3800應用題彙編{社會}(全)
                    
"
109升高中大滿貫總複習講義(全){歷史},https://www.kingstone.com.tw//basic/2015216103177?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03890-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216103177/2015216103177b.jpg,0
109升高中大滿貫總複習講義(全){地理},https://www.kingstone.com.tw//basic/2015216103207?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03880-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216103207/2015216103207b.jpg,0
109升高中大滿貫總複習講義(全){公民},https://www.kingstone.com.tw//basic/2015216103337?zone=book&lid=book_class3_tkn&actid=book_class3_tkn,編輯,翰林      ,03870-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216103337/2015216103337b.jpg,0
