書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
深度學習的 16 堂課：CNN + RNN + GAN + DQN + DRL，看得懂、學得會、做得出！,https://www.kingstone.com.tw//basic/2013120599222?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,Jon Krohn、Grant Beyleveld,旗標      ,9789863126782.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599222/2013120599222b.jpg,"


Ⓞ 16 堂課引領入門，學得會、做得順的絕佳教材！
Ⓞ最詳盡的深度學習基石書，CNN + RNN + GAN + DQN + DRL 各種模型學好學滿

	初學者想要自學深度學習 (Deep Learning)，可以在市面上找到一大堆「用 Python 學深度學習」、「用 xxx 框架快速上手深度學習」的書；也有不少書說「請從數學複習起！」，捲起袖子好好探究底層那些數學原理......但過早切入工具的學習、理論的探究，勢必對連深度學習的概念都還一知半解的初學者形成極大的學習門檻：

	「我連什麼是深度學習？它是如何呈現、被使用的？都還模模糊糊，怎麼一下子就叫我 K Python、K 建模技術、K 數學......了？」

	「程式號稱再怎麼短，始終還是讓人無感，模型跑出來準確率 95.7% → 96.3%...那就是深度學習的重點？」

	【精心設計循序漸進 16 堂課，帶你無痛起步！】

	為了徹底解決入門學習時的混亂感，本書精心設計循序漸進的 16 堂課，將帶你「無痛起步」，迅速掌握深度學習的重點。

	本書共分成 4 大篇、16 堂課。第 1 篇會利用 4 堂課 (零程式！零數學！) 帶你從深度學習在【機器視覺】、【自然語言處理】、【藝術生成】和【遊戲對局】 4 大領域的應用面看起，這 4 堂課不光是介紹，內容會安插豐富的線上互動網站，讓讀者可以實際上網操作，立刻體驗深度學習各種技術是如何呈現的。不用懂程式、啃理論，本篇適合任何人閱讀，絕對看得懂、做得順，可以對深度學習瞬間有感！

	有了第 1 篇這些知識做為基礎，你就可以抱著踏實的心情跟著第 2～4 篇這 12 堂課一一學習 4 大領域背後所用的技術，包括卷積神經網路 (CNN)、循環神經網路 (RNN)、對抗式生成網路 (GAN)、深度強化式學習 (DRL)...等等。學習時我們選擇了馬上就可以動手的 Google Colab 線上開發環境搭配 tf.Keras 框架來實作，閱讀內文時請務必搭配書中提供的範例程式動手演練。期盼透過這 16 堂課的學習，能夠讓學習曲線平滑、順暢，不用迂迴曲折地浪費時間。

	最後要說明的是，本書所有範例都是最精簡的版本，以方便引領讀者理解 AI 的原理。""師父領進門，修行在個人，AI 才在萌芽階段，以後海闊天空，鼓勵大家不斷精進、勇往直前！""　

本書特色

□滿滿延伸學習教材
	‧範例 + 旗標 Bonus 加值內容 → www.flag.com.tw/bk/st/F1383
	‧作者深度學習系列教學影片 → reurl.cc/mLj7jV
	‧更多互動學習資源 → 詳內文 16.6 節

□看得懂脈絡 – 不只通單一主題，也通學習脈絡
	‧絕對看得懂的神經網路基礎，不被損失函數/梯度下降/反向傳播/正規化/常規化...一拖拉庫技術名詞搞的暈頭轉向！
	‧各章章末提供新名詞脈絡整理，讓你隨時掌握學習視野！

□學得會技術 – 不只通技術，也通應用
	‧先熟悉機器視覺、自然語言處理、藝術生成、遊戲對局 4 大領域的應用，對為何學深度學習更有感！
	‧不急著 Coding、建模！上網就可以立即體驗生動的深度學習技術！

□做得出成果 – 不只通觀念，也通實作
	Colab + tf.Keras 具體實踐 4 大應用，熱門深度學習技術學好學滿！
	→機器視覺：CNN (卷積神經網路)
	→自然語言處理：RNN (循環神經網路)
	→藝術生成：GAN (對抗式生成網路)、DQN
	→遊戲對局：DRL (深度強化式學習)

□詳細解說，流暢翻譯
	本書由【施威銘研究室】監修，書中針對原書進行大量補充，並適當添加註解，幫助讀者更加理解內容！

"
深度學習最佳入門邁向AI專題實戰,https://www.kingstone.com.tw//basic/2013120597358?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,陳昭明,深智數位  ,9789860776263.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120597358/2013120597358b.jpg,"


深度學習
	最佳入門邁向AI專題實戰

	★★★★★【深度學習】★★★★★
	☆☆☆☆☆【理論】+【實作】☆☆☆☆☆


	這是目前市面上講解【深度學習(Deep Learning)】從基礎到應用最完整的書籍，從基礎數學與統計開始，將演算法的原理解釋得更簡易清晰，協助讀者跨入 AI 的門檻，為避免流於空談，盡量增加應用範例，希望能達到即學即用。多位試閱本書內容的專家與學者全部皆給【五顆星】滿分評價。

	整本書採用【最新版TensorFlow】+【大量圖片輔助】，+ 【完整理論解說】+【Python程式實作】以原理與實作，講解下列最熱門的AI主題。

	☆【神經網路(NN)】
	☆【卷積神經網路(CNN)】
	☆【物件偵測(YOLO)】
	☆【光學文字辨識(OCR)】
	☆【車牌辨識(ANPR)】
	☆【人臉辨識】
	☆【生成對抗網路 (GAN)】
	☆【深度偽造 (DeepFake)】
	☆【自然語言處理(NLP)】
	☆【聊天機器人(ChatBot)】
	☆【語音辨識(ASR)】
	☆【強化學習(RL)】

	讀者只要遵循本書步驟學習相信必可以徹底認識人工智慧、機器學習與深度學習觀念，邁向浩瀚領域。

"
圖解AI與深度學習的運作機制,https://www.kingstone.com.tw//basic/2013120593770?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,涌井貞美,台灣東販  ,9786263047525.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593770/2013120593770b.jpg,"


	近年來最熱門的科技關鍵字「AI人工智慧」，到底是如何做出判斷的呢？
	目前人工智慧領域中最熱門的「深度學習」，又是怎麼一回事？
	在科技快速進步的現代，了解AI的機制與原理，已經成了必備的知識。
	AI相關的科技雖然看似複雜，但若只是想了解原理，而不深究數學上的細節的話，其實並沒有想像中那麼困難。

	「深度學習」是機器學習方式的一種，與過往由人類教導機器學習的方式不同，是由機器自己從大量的資料中學習，並做出判斷。
	本書即是一本從頭解說「深度學習」運作機制的入門書。
	書中搭配了豐富的圖表，文字淺白且說明深入淺出，只要有高中程度的數學知識，就可以充分理解本書所講解的內容，讓你在閱讀本書時，實際體會到「原來AI是這樣思考、這樣做出判斷的！」。

	Step 1→說明深度學習的活躍情況
	深度學習的登場，讓現代的AI有了飛躍性地發展。一開始會先從「現在的AI」是什麼樣子，以及AI與深度學習之間的關係開始講起。

	Step 2→用許多插圖及例子說明深度學習的機制
	在進行數學性的說明之前，先讓我們用插圖來看看深度學習是什麼樣的東西吧。雖然這樣的說明並不嚴謹，但可以幫助各位了解深度學習的概念。

	Step 3→用數學式仔細說明神經網路的機制
	在藉由許多插圖解釋深度學習與神經網路的機制之後，接著會用數學式更進一步深入解說神經網路是如何運作的。

	●大量插圖與圖表，幫助理解
	●說明輕鬆好懂，適合初次想深入了解AI的入門者
	●提供書中所用的訓練資料與範例檔案下載

"
深度學習實務應用|雲端、行動與邊緣裝置,https://www.kingstone.com.tw//basic/2014713620361?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,Anirudh Koul、 Siddha Ganju、 Meher Kasam,歐萊禮    ,9789865026066.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620361/2014713620361b.jpg,"

使用Python、Keras與TensorFlow於人工智慧與電腦視覺專案 「標題中包含了實用是很有根據的。現今產業中的機器學習實務有兩個優先事項：員工需要提升技能以及模型需要微調。本書是朝向兩者的捷徑。」 -Paco Nathan，Derwen AI創辦人 不論您是一位渴望進入人工智慧世界的軟體工程師，還是經驗老到的資料科學家，或是夢想著要建立下一個廣受歡迎的人工智慧應用程式的愛好者，您可能都會想要知道要如何開始進行。本書一步步的教導您如何為雲端、行動裝置、瀏覽器與邊緣裝置建立實用的深度學習應用。 藉由多年來將深度學習研究轉換為獲獎應用程式的產業經驗，本書的三位作者會指導您如何將想法創意轉換為人們可以使用的事物。 ‧以Keras、TensorFlow、Core ML與TensorFlow Lite訓練、調校及部署電腦視覺模型 ‧為各式裝置開發人工智慧應用，包括Raspberry Pi、Jetson Nano及Google Coral ‧探索有趣的專案，從矽谷的Not Hotdog應用程式到Google等級的影像搜尋，還有超過40個案例探討與產業範例 ‧在電腦遊戲環境中模擬自動駕駛汽車，並使用增強式學習來建立微型版本 ‧使用遷移學習在幾分鐘內訓練模型 ‧發掘用來最大化模型準確度與時間、除錯、以及調整至數百萬使用者規模的實用指示
                    
"
核心開發者親授！PyTorch深度學習攻略,https://www.kingstone.com.tw//basic/2013120593480?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,Eli Stevens、Luca Antiga、Th,旗標      ,9789863126737.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593480/2013120593480b.jpg,"


【PyTorch官方唯一推薦教材！】

	 

	深度學習是近年來非常夯的一個領域，發展的速度也十分的驚人。曾經，深度學習的函式庫五花八門，各自都具備了一定的重要性。如今，使用者開始往兩大函式庫，PyTorch及Tensorflow靠攏，進而鞏固了它們的地位。在2018年以前，Tensorflow在國際學術頂尖會議中的論文引用率都遠超PyTorch。自2019年起，PyTorch就奮起直追，越來越受到學者們的喜愛。在ICLR 2020和CVPR 2020會議中，使用PyTorch的論文數已超越Tensorflow。由此可見，掌握PyTorch，是勢在必行的！

	 

	PyTorch最為人稱道就是語法和Python相近，一樣簡潔好學，與Numpy、Pandas函式庫的相容性也很好，並支援動態運算圖（dynamic computational graph），有助於模型的優化，對記憶體的使用也非常有效率。本書作者為PyTorch核心開發者，深知PyTorch的強大之處，並擁有豐富的深度學習經驗，將帶你從無到有，利用PyTorch建構出深度學習模型，並用其來解決現實問題的能力。

	 

	與其他深度學習框架書相比，本書的最大特色為：利用數個章節來實作肺癌偵測專案。在實作該專案的過程中，你可以實際體會到如何充分把所學應用出來，並針對過程中所遇到的問題來找出解方。更重要的是，作者的寶貴經驗會讓你少走許多彎路，快速培養實戰能力！

	 

	閱讀完本書後，你將了解：

	★深度學習的基本資料結構：張量（tensor）

	★如何實作模組及損失函數

	★如何從PyTorch Hub中載入預先訓練的模型

	★在有限的資料下，訓練模型的方法

	★分析測試結果，並找出現有模型中的問題

	★透過擴增資料等方法，提高模型的表現

	 

	如果你對深度學習非常有熱忱，並且已經具備一定的Python能力，願意跟著書中內容動手嘗試，那你就是本書最適合的讀者！ 

	 

本書特色

	 

	◎作者為PyTorch核心開發者，能以更全面的視角來進行教學

	◎實作內容豐富，花費大量篇幅處理肺癌偵測專案

	◎時刻提點實作專案時可能遇到的陷阱，讓讀者少走彎路

	◎各章節的內容皆搭配程式範例，讀者可實際演練來加深印象

	◎本書由施威銘研究室監修，書中針對原書進行大量補充，並適當添加註解，幫助讀者更好地理解內容

	　

專家推薦

	 

	●Soumith Chintala，PyTorch 共同開發者 & Facebook AI Research 研究員： 

	『這本書出版後，我們終於有了關於 PyTorch 的權威著作，它具體地說明了基礎的知識和概念。』 

	 

	●Mathieu Zhang，NVIDIA 深度學習技術經理： 

	『將深度學習切割成易於讀者消化的區塊，再以程式範例作為輔助。』

	 

	●Philippe Van Bergen，PÇ Consulting 雲端架構師：

	『具及時性、實務性及透徹性的一本書。你應該把它放在你的電腦旁，而不只是把它放在書架上。』

	 

	●Orlando Alejo Méndez Morales，Experian 軟體分析師：

	『這本書提供了非常實用的深度學習概述，適合做為教學資源。』

	 

"
500個必問題：深度學習AI頂尖企業面試實況,https://www.kingstone.com.tw//basic/2013120586789?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,談繼勇、郭子釗、李劍、佃松宜,深智數位  ,9789865501938.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120586789/2013120586789b.jpg,"


最全面深度學習的書籍
	從數學基礎、機器學習技法、深度學習基礎一直到最潮的應用全部都完整講解，一本書就讓你晉級深度學習大師。


▌濃縮知識點、各大公司筆試面試題▌
	本書內容取材自編者在日常學習過程中總結的知識點，以及各大公司常見的筆試、面試題，有效解決讀者學習上、求職上的困擾，一舉突破瓶頸。

▌大量數學公式、圖、表 ▌
	本書內含豐富大量的數學公式、圖、表，總計達800個以上！

▌內容豐富、由淺入深 ▌
	從向量、矩陣、機率、微積分、張量的基礎開始說明，進而進入演算法，以及機器學習分類。在了解了基礎知識之後，直接進入分類、邏輯回歸、線性回歸等重要基礎。中間也介紹了機器學習中最重要的決策樹、SVM、PCA、特徵工程等重點。接下來就是著名的神經網路及各種參數、函數、最佳化方法的介紹。有了基礎之後，自然就是各種著名的神經網路、包括CNN、RNN、LSTM(GRU)、GAN等最潮的應用。目前應用最廣的物件偵測、各種演算法都完整說明，甚至最新的YOLOV4都有完整實例介紹。也有Transfer Learning的應用。框架部分，介紹了Tensorflow, Keras及PyTorch。

	本書的精華最後兩章，包括了最佳化網路、參數調整、以及佈署至行動端、壓縮模型等真正專案上的實作經驗，讀完整本書，對這幾十年的人工智慧應用就會有完整而深入的認識。

"
Deep Learning 3|用Python進行深度學習框架的開發實作,https://www.kingstone.com.tw//basic/2014713614162?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,斎藤康毅,歐萊禮    ,9789865027346.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614162/2014713614162b.jpg,"


從無到有的實作，在動手做的過程中強化對於深度學習的理解
	或許您也曾經用過Tensorflow、PyTorch這類深度學習的框架（Framework），相信您也曾經對裡頭那些神奇的技術與有趣的結構嘆服不已。這本書就是為了解開這些疑問，正確瞭解這些技術而撰寫的。希望你可以從中體會這種技術性的「樂趣」。基於這個目的，本書將秉持著「從零開始製作」的方針，從無到有，一邊操作，一邊思考，透過實作加深理解，獲得審視現代深度學習框架的「新視野」。再藉由這個「新視野」，更廣泛、深入地理解深度學習。

高人氣、高評價的「Deep Learning基礎理論實作」系列第三部
	《Deep Learning：用Python進行深度學習的基礎理論實作》、《Deep Learning 2|用Python進行自然語言處理的基礎理論實作》是從零開始進行深度學習，藉此瞭解相關結構。當時以單純性為優先，而「手動」設定了運算的「連結」。真正的框架是將這個部分自動化，Define-by-Run就是其中的一種手法，本書將利用從零開始製作DeZero的方式來學習這個機制。請別擔心，閱讀這本書不需要具備前作《Deep Learning：用Python進行深度學習的基礎理論實作》系列的知識。

"
Python機器學習與深度學習特訓班（第二版）：看得懂也會做的AI人工智慧實戰（附120分鐘影音教學/範例程式）,https://www.kingstone.com.tw//basic/2014713614452?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,鄧文淵(總監製),碁峰資訊  ,9789865026783.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614452/2014713614452b.jpg,"

國內外最具代表性案例，9大專題實戰、15個分類實例 Google Colab、Microsoft Azure兩大雲端應用，人臉辨識、自然語言、 文字識別、語音轉換、分析預測、物件自動標示、影像辦識真正實練， 從資料收集整理、模型訓練調整，檢測修正到產出全面解秘！ 資料科學(Data Science)技術崛起後，人工智慧(Artificial Intelligence)、機器學習(Machine Learning)與深度學習(Deep Learning)儼然成為電腦科學最熱門的話題。其實，人工智慧的應用早已出現在我們生活周遭，如即時車牌影像辨識，以及智慧型手機中的臉部指紋辨識解鎖、影像轉文字翻譯、智慧語音助理…等。 在人工智慧領域中最重要也最適合作為入門的程式語言非Python莫屬。本書就以TensorFlow、Keras為基底，運用Python進行實作，深入人工智慧技術，掌握機器學習與深度學習的真正強大應用。 程式人、工程師挑戰人工智慧最佳學習地圖 由類神經網路基礎到AI應用實戰 訓練、模型、預測、辨識、分析與驗證 全面深入機器學習與深度學習技術核心 ■打造專屬Python、TensorFlow與Keras最強開發環境。 ■圖解簡化複雜難懂的類神經網路觀念，涵蓋多層感知器(MLP)、卷積神經網路(CNN)與循環神經網路(RNN)。 ■整合最夯的人工智慧雲端開發平台：Google Colab，應用雲端提供的充沛資源，全面提升運算效能。 ■加碼最新的機器學習雲端應用平台：Microsoft Azure，連結功能強大、方向多元的Web API，豐富專業應用領域。 ■顛覆只重視理論或產生結果的傳統機器學習內容，實際挑戰從資料收集與準備、模型訓練與調整、檢測修正到結果產出的最完整機器學習實戰流程。 ■全面深入不同應用面向： 印刷文字辨識、手寫文字辨識、遠端圖片分析、本機圖片分析、辨識圖片地標或名人、臉部辨識、人臉比對、語言識別、文字翻譯、黑白照片上色、人臉情緒偵測、圖片物件偵測、人工智慧製作縮圖、圖片場景偵測、汽車型號及年份偵測、自動標示物件、資料走勢預測… ■網羅國內外最具代表性案例： 手寫文字辨識、圖片分類、即時匯率分析、文字雲與文章自動摘要、YouTube影片加上字幕、股票走勢分析、臉部辨識登入系統、擷取車牌、即時車牌影像辨識…等，進行有系統而扎實的真正演練。 ■一次領略機器學習與深度學習的重要關鍵話題： TensorFlow、Keras、Anaconda、Spyder、Jupyter Notebook、CUDA、cuDNN、MLP、Mnist、CNN、RNN、LSTM、Colab、Azure、Cognitive Services、Computer Vision、Face API、Language API、Text Analytics、Translator Text、Algorithmia、Jieba、wordcloud、SpeechRecognition、Aegisub、twstock、plotly、SQLite、SQLite Database Browser、Haar… ■針對專案實戰提供關鍵影音輔助教學，加速學習效率。超值學習資源：120分鐘關鍵影音教學/範例程式檔/一探演算法雲端寶庫：Algorithmia教學PDF
                    
"
寫給程式設計師的深度學習|使用fastai和PyTorch,https://www.kingstone.com.tw//basic/2014713612878?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,Jeremy Howard- Sylvain Gugger,歐萊禮    ,9789865027360.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713612878/2014713612878b.jpg,"


	建構AI應用程式，您不必拿PhD

	「這是程式員精通深度學習的最佳資源之一。」
	—Peter Norvig
	Google研究總監

	「本書透過實際的操作，以簡單且實用的方法揭開深度學習的神秘面紗。」
	—Curtis Langlotz
	史丹佛大學醫學及成像人工智慧中心主任

	深度學習通常被視為數學博士和大型科技公司的獨門秘術，然而，正如這本指南所言，如果你已經會寫Python，那麼你只要稍微了解數學、取得少量的資料，就可以用最精簡的程式，寫出令人印象深刻的深度學習作品。怎麼做？使用fastai！它是史上第一個以一致的介面來讓你使用最常見的深度學習應用的程式庫。

	本書作者Jeremy Howard與Sylvain Gugger是fastai的創作者，他們將告訴你如何使用fastai和PyTorch訓練各種任務的模型，並帶領你逐步研究深度學習理論，以充分了解藏身幕後的演算法。

	‧訓練電腦視覺、自然語言處理、表格式資料和聯合過濾等任務的模型
	‧學習在實務上最重要且最新的深度學習技術
	‧釐清深度學習模型如何運作，改善準確度、速度與可靠度
	‧了解如何將模型轉換成web應用程式
	‧從零開始實作深度學習演算法
	‧思考作品的道德意義
	‧從PyTorch的聯合創始人Soumith Chintala的前言獲得真知灼見

"
動手做深度學習：揭開神經網路的面紗（學AI真簡單系列2）,https://www.kingstone.com.tw//basic/2015216842090?zone=book&lid=search&actid=WISE&kw=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92&pi=0,AI4kids,全華      ,9789865035709.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216842090/2015216842090b.jpg,"

本書是為16~18歲青少年提供最新的人工智慧探索實作內容。書中講述人工智慧的「視覺辨識」相關的實作主題，啟發下一世代AI工作者或創造者。這本為初學者寫的深度學習專書，打破艱澀的理論與難以理解的程式語言，介紹Teachable Machine、Tensorflow Playground等web工具，以深入淺出的方式帶領讀者進入深度學習與類神經網路的知識領域，再以詳細實作步驟，讓您也一步一步學會如何打造貓狗辨識、人臉辨識門禁的AI視覺辨識應用。本書作者為AI4kids團隊，曾應教育部國教署邀請，至全國高中主任會議分享AI教學、親子天下雜誌專文報導，成員來自AIA台灣人工智慧學校的校友，團隊有軟體技術、創新研發、工程管理、電商行銷等資歷專長，因為對AI科技教育的熱情而投入AI的教案研發與教學，目標是透過教孩子動手實作AI專題，來啟發他們的好奇心與想像力，協助他們運用各種程式或平台工具來探索、創造自己的AI應用。
                    
"
