書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
計算機概論概要,https://www.kingstone.com.tw//basic/2015213994686?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,曹中,大東海文化,https://cdn.kingstone.com.tw/book/images/product/20152/2015213994686/2015213994686b.jpg,9789862830710.0,"

由大東海名師團隊曹中老師，根據考選部「計算機概要」命題大綱，將所有重點分門別類，設計出最吻合考生需求的精修書籍。全書分為十大章節，循序漸進地自計算機系統組織結構、資料表示法、電腦軟體、計算機網路等基本觀念，延伸至程式語言設計、資料結構、資料處理、資料庫、資訊管理等專業技術或實務應用，精確整理精華要點，並多以詳細流程圖、比較表格、程式計算流程等，強化基本觀念，解決繁雜繁雜程式所造成的困擾。篇章內容搭配名詞解釋、相關例題及詳解，能讓考生快速掌握計概精隨所在，各章末提供歷屆試題，即時檢測學習成效，於考場時無往不利，成績更上層樓。
                    
"
2022新趨勢計算機概論,https://www.kingstone.com.tw//basic/2014713615244?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,陳惠貞,碁峰資訊  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615244/2014713615244b.jpg,9789865027902.0,"

針對資訊科學教育所設計，廣泛且精要地探討資訊科學相關主題 內容涵蓋資訊科學的核心知識與實務應用，並融入最新的發展趨勢與資訊脈動 ★全新改版資訊科技的不斷創新，無線網路與行動通訊的蓬勃發展，雲端運算的快速擴張，以及大數據分析、人工智慧、5G與物聯網的應用呈現爆炸性的成長，這股趨勢不僅改變了人們的生活習慣，也改變了學習模式與工作型態。針對這些變革，本書除了涵蓋資訊科學的核心知識與實務應用，更將下列熱門的議題融入適當的章節： *雲端運算、大數據、物聯網、智慧家庭、智慧城市、智慧交通、智慧製造、智慧農業 *人工智慧 (AI)、機器學習、深度學習、機器人、智慧物聯 (AIoT)、自駕車、無人機、無人商店 *虛擬實境 (VR)、擴增實境 (AR)、混合實境 (MR) *金融科技 (FinTech)、行動支付、群眾募資、虛擬貨幣、比特幣、區塊鏈 *電子商務、行動商務、跨境電商、網路行銷、行動行銷、在地服務、共享經濟、網紅經濟 *Wi-Fi無線上網、4G/5G行動通訊、資訊安全、無線網路安全、雲端防毒、手機防毒 *資訊隱私權、智慧財產權、個人資料保護法、著作權法、專利法、營業秘密法，以及電腦犯罪、網路霸凌、灌爆臉書、散布假新聞等行為的刑責 ★多元特色豐富圖表：透過拍攝精緻的產品照片及豐富圖表，提升學生的理解程度。 資訊部落：透過資訊部落，對其它專業的技術或議題做進一步的討論。 隨堂練習：透過隨堂練習，讓學生即刻驗證在課堂上學習的知識。 本章回顧：各章末提供簡短摘要，幫助學生快速回顧內容。 學習評量：各章末提供學習評量，檢測學生的學習成效或做為課後作業之用。
                    
"
計算機概論：資訊素養大補帖（第16版）,https://www.kingstone.com.tw//basic/2015217013031?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,趙坤茂、張雅惠、黃俊穎、黃寶萱,全華      ,https://cdn.kingstone.com.tw/book/images/product/20152/2015217013031/2015217013031b.jpg,9789865036645.0,"

本書自出版至今，一直都是最受讀者喜愛的計算機概論書籍之一。本書的撰述對象主要是針對理工學院與管理學院的大專生，以及有志自修資訊工程相關領域的朋友，因此，特別著重「資訊工程」基礎概念的介紹，在題材的選擇上，希望能讓讀者對計算機各領域的進展有概括性的理解。本書也透過範例的實作及演練，讓讀者對書的內容將不僅有抽象性的概念，同時也有實質的體會。為了增添本書的可讀性，也在章節裡加入一些相關的題材，如：國際資訊界的一些名人軼事，以及某些資訊概念背後的故事等。希望本書能讓讀者對整個資訊工程領域有通盤性的認識。
                    
"
公職考試2021試題大補帖【計算機概論（含計算機概要、計算機系統）】（103~109年試題）（申論題型）,https://www.kingstone.com.tw//basic/2015216867314?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,百官網公職師資群,大碩教育  ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216867314/2015216867314b.jpg,9789863459835.0,"

【試題大補帖系列熱賣中！】 不容錯過的上榜必備好書在這裡！ 精選多年度公職考試歷屆試題，讓你省去到處尋找考古題的煩惱！試題按照年度排列，迅速掌握出題方向 每道題目提供完整解析，測驗、複習一把罩本書收錄公職考試【計算機概論(含計算機概要、計算機系統)】103~109年共七年的申論試題詳解，幫助您一次準備全面應戰、熟悉題型順利上榜。本書收錄科目包含：計算機概論、計算機概要、計算機系統本書收錄考試包含：調查四等、關務三等、鐵特高員、高考、地方三等、調查/國安、技師考試本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度試題一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
新世代計算機概論含ICT計算機綜合能力國際認證Essentials Level （第二版） 附MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2013120583443?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,陳恩航、楊進雄、賴寶傑,台科大    ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120583443/2013120583443b.jpg,9789865232122.0,"


	1.內容規畫完善：涵蓋大專院校所需的電腦資訊入門知識，更廣搜IT產業最新發展近況，例如無線網路、行動設備、電子商務等熱門資訊。

	2.結合認證考試：涵蓋ICT認證考試範疇，融合知識與實務應用，奠定考證能力。

	3.掌握科技新知：穿插熱門主題、最新科技發展趨勢，幫助您掌握資訊脈動。

	4.圖解軟體操作：圖文並茂的Step-by-Step說明，輕鬆上手，成果立現。

	5.重點回顧：章末重點摘要，幫助您快速回顧內容。

	6.學習評量：每章設計多種評量題目，檢測學習成效及增進應試能力。

"
國營事業招考：計算機概論必考1000題【適用台電、中油、中華電、台菸、台水、捷運等】,https://www.kingstone.com.tw//basic/2015216508491?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,柳威廷,宏典文化  ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216508491/2015216508491b.jpg,9789862755891.0,"

★2021全新企劃發行！「速成焦點＋主題式題庫」二合一。綜覽各國營事業招考計算機概論考題，「1本打天下」就是他！。★作者精心將各大國民營事業近7年計算機概論試題(1188題)按「三大領域、十一大最頻出主題」加以系統化歸類，並予以詳細解析，更貼心幫讀者們彙整各主題一定要準備到的速成焦點。「題目新＋題數多＋品質佳」，是您考前衝刺寫考古題時可以信賴的選擇！計算機概論(電腦概論)為近年來就業與入學考試中主要科目之一，既為概論表示其範圍涵蓋所有資訊領域中所有基礎知識，若無有系統的建構足夠的基礎觀念，則準備起來常有顧此失彼、迷失方向之感。筆者建議在準備相關考試時，先將計算機概論依觀念相依度較相似的主體，分為三大領域個別加強基礎觀念，再逐一擴展充實，如此才能在堅強得基礎上更上一層樓。三大領域：(一)電腦常識、計算機組織、作業系統。(二)資料結構、程式設計、資料庫。(三)計算機網路、資訊安全與電子商務。以下分別介紹三大領域中研讀重點的主題：(一)電腦常識、計算機組織、作業系統電腦常識內容包括電腦的演進、組成與分類、數字系統、表示法、電腦硬體設備認識及Microsoft office系列基本運用等，皆會出現而此範圍中。除了記憶類型的試題外，數字系統換算、電腦硬體設備認識常常為必考的基本題，尤以2進位、8進位、10進位、16進位系統間的換算最為重要。另外，2的補數表示法亦為這個部份的常考重點。計算機組織的重點包含基本邏輯電路、布林代數，管線化架構、記憶體架構以及I/O系統等。作業系統則包含以排程、死結的避免、記憶體管理與虛擬記憶體最為重要。除了各種基本觀念的記憶類型試題外，也常見關於對於各種排程與記憶體管理的操作。(二)資料結構、程式設計、資料庫資料結構為程式設計的基礎，兩者可一起準備，資料結構中最重要的重點包括：堆疊與佇列、二元樹、排序、搜尋、前中後序的換算。而程式語言則除了前述資料結構重點的實際演算法撰寫外，費氏數列則是另一考試重點。而資料結構則以記憶類型試題較多，主要重點有SQL語法操作、資料庫類型、正規化、鎖定等。(三)計算機網路、資訊安全與電子商務、網路攻擊計算機網路的重點包含網路的基本觀念、OSI七層架構、子網路的切割、網路應用等等，常考的類型包含基本觀念的挑錯、傳輸特性的比較、子網路的切割計算等。而資訊安全與電子商務，多為記憶類型試題，須熟記各種專有名詞與縮寫。此外，網路攻擊各種型態也成為近年考試常考的題目，只要瞭解各種網路攻擊的手法與內容，基本上可以輕鬆取分。最後，要建議讀者的是準備計算機概論(電腦概論)最有效的方法，就是大量的演練考古題，透過實際動筆演練不僅可驗收自己準備的成果外，也能發現需要加強的地方，更能對出題類型與考試趨勢有進一步的掌握。而演練方式除了知道答案對錯外，更重要的是了解到為何對、為何錯，並更進一步延伸整理出相關的知識，如此才能更上一層樓。一如本模擬試題編彙除大量選材自歷年試題外，並對內容詳加解析，輔以整理表格與延伸補充知識，希望可以幫助讀者在演練時觸類旁通，將來考試時更可無往不利。
                    
"
計算機概論（電腦概論、電腦常識）【適用台電、中油、中鋼、中華電信、台菸、台水、漢翔、北捷桃捷、郵政】,https://www.kingstone.com.tw//basic/2015216824720?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,蔡宏恩,宏典文化  ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216824720/2015216824720b.jpg,9789862757031.0,"

★榮獲ptt、dcard上榜考生口碑推薦，最齊全的計概教材！天羅地網掌握計算機概論（電腦概論、電腦常識）最重要命題焦點，輔以大量圖表解說，易懂好記。各國營事業招考最新試題完整收錄／解析！2021迎戰各大國營事業招考計算機概論（電腦概論、電腦常識），「1本打天下」就是他！★本書用心幫考生整理好龐雜的各大國營事業（台電、中油、中鋼、中華電信、台菸、台水、漢翔、捷運...等）最新考題。將最新考點納入重點整理，並製作完整解析。完整周全的內容，讓您讀到「最新，真正會考」的重點！計算機概論此一考試科目的範圍相當廣泛，其中包括數位邏輯、計算機組織與結構、資料表示法、程式設計、作業系統、資料庫、資料結構、電腦通訊及資訊安全等考科，因考科內容相當繁多，可供出考題的重點繁多、變化莫測，相較之下考試難易並不會來得困難，國家 考試及各類國營事業皆會以參考歷屆試題命題，考生應將歷屆試題加 以熟讀、整理及演練，找出考試的題型及出題方向。計算機概論一科看似複雜難懂，但只要掌握住學習方法，很快就能得心應手！本書特別針對讀者的困難編寫整理相關概念，以條列式重點，大量簡明易懂的表格圖解，搭配簡單扼要的說明，讓您輕易的從表格中掌握住必考重點。計算機概論此科要拿高分並不困難，只要多一分努力，即可多一分收穫，考生可藉由本書掌握重點外，並有計劃性的研讀及演練複習， 便能事半功倍，求取功名。 本書題目皆由國營事業、國家考試、捷運、預官考古題整理而成，相信考生只要熟讀本書重點及勤作本書題目，必能拿取高分。 筆者所學有限，整理歸納這幾年來考古題型的重點，計算機概論內 容範圍廣大，如有內容不足或錯誤之處在所難免，還請各位前輩先進能不吝指教，來信告知。本科制勝策略對於電機電子資訊類科的考生而言，準備此科較能得心應手， 許多課程觀念及內容，在過去求學的課程中，已經有先行研讀並建立 初步概念，故可將重點放在加強、演練題目及複習課文內容，力求高分。而非電機電子資訊相關科系的考生亦無需灰心，考題上尚有許多記憶性試題及固定計算，考生應著重在觀念上的建立，因計算機概論中有許多的題目重點題型，從近年來的考題趨勢發現，招考題型中，多參照歷屆試題出題，從四技二專統測及國家考試歷屆試題作為演練題目的出發，相信考生只要勤加練習考古題型，必能拿取高分。 計算機概論一科中，出題內容中記憶類題型的佔分比例頗重，考前應熟記本書的每一章所有的重點及榜首練功房內容，考試獲得高分的祕訣不外乎多看多寫，挑選一本有歸納重點的好書後，加以精讀及熟練，把考試的內容深刻的記憶在腦海中，並經由模擬作答書寫幾遍，便能使記憶更加深刻。各位考生秉持上述方法多加練習，準備此科並不困難，平日多一份準備，考試以平常心應考，拿高分並不困難。最後期勉諸君能金榜題名。
                    
"
2021計算機概論高分題庫：強化考前即戰力[十二版]（國民營－台電/中油/中鋼/中華電信/捷運）,https://www.kingstone.com.tw//basic/2015216787247?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,千華編委會,千華      ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216787247/2015216787247b.jpg,9789865201531.0,"

★計算機概論的考題雖然乍看包羅萬象，但大體上仍不脫四個大範圍：一、電腦概論：通常算是計概領域內比較傳統的範圍，新考題也不會考得太過深入，因此只要對電腦概論有所接觸，觀念正確，多注意一些專有名詞，如CAD、GSP等，大抵就沒問題了。二、網路概論：各式通訊協定、網路架構、電子商務、網路所需硬體等都屬於網路概論的範圍。網路的範圍較電腦概論靈活許多，也更容易出現新考題，所以除了熟悉考古題，平日的多看多記也是十分重要。三、混合：這一類的考題是第一和第二類的考題應用型，需要電腦和網路概論都熟悉才能正確作答。四、程式：要掌握程式類考題，請務必至少熟悉Visual Basic程式語言，像是VB的語法、VB的運算優先順序等都是出現過的考題。本書為因應各種考試，特別將計算機概論中重要觀念及必考內容加以濃縮整理，輔以精選題庫、歷屆試題，期能有事半功倍的成果。本書特色：◎重點彙整‧考前衝刺事半功倍「精要重點」提示分為十二單元，將計算機概論的以淺顯易懂的方式條列呈現，提醒每個單元之重點觀念，完整建立重點內容架構，易於學習及記憶背誦，掌握正確準備方向。◎模擬演練‧精闢解析戰力倍增讀完課文之後即可馬上試作，藉測驗來測試學習成果，利於增加重點概念的記憶點，並且更加瞭解考試題型及試題核心。模擬測驗題庫共十二回，附有精密的分析擬答，透過模擬練習的積累，訓練自己在看到題目的第一時間，能夠有條理地掌握題目要點，並擁有更明確的應試邏輯與概念。◎最新試題‧命題焦點融會貫通書末收錄試題及解析，保證時效最新、解析最精、收錄最全，歷年試題的統整，利於掌握考試最新脈動與命題方向。本書將106～109年試題一網打盡，毫不保留，經過名師詳解，類似的題目再出個一百次，也不害怕！輕鬆學習、快速理解，掌握命題趨勢，必定能在考場所向披靡！
                    
"
研究所2021試題大補帖【計算機概論】（107~109年試題）,https://www.kingstone.com.tw//basic/2015216684430?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,張逸,大碩教育  ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216684430/2015216684430b.jpg,9789863459118.0,"

本書收錄國內各重點大學研究所107~109年【計算機概論】共三年試題。本書收錄學校：臺灣大學、政治大學、中央大學、中正大學、成功大學、中山大學、臺北大學、中興大學本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度重點學校試題一次收錄，輕鬆練習多校試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
一次考上銀行 計算機概論（含網路概論）：給你逐題解析.強化實力（銀行招考、金融基測）,https://www.kingstone.com.tw//basic/2015216710504?zone=book&lid=search&actid=WISE&kw=%E8%A8%88%E7%AE%97%E6%A9%9F%E6%A6%82%E8%AB%96&pi=0,蔡穎、茆政吉,千華      ,https://cdn.kingstone.com.tw/book/images/product/20152/2015216710504/2015216710504b.jpg,9789865201265.0,"

★讓《一次考上銀行 計算機概論》成為你進入八大行庫的鑰匙！◎主題式章節架構‧彙整重點觀念為因應各種考試，特別將計算機概論中的重要觀念及必考內容加以濃縮整理，輔以精選題庫，期能有事半功倍的成果。課文部份將考試重點的基本概念以提綱挈領、淺顯易懂的方式條列呈現，並於各章最前面特別編寫「課前提示」，提醒本章重點觀念，完整建立重點內容架構，易於學習及記憶背誦，掌握正確準備方向。◎精選試題隨堂考‧強化應試實力名師針對各單元重點，精選相關試題，並逐條詳解，生硬的理論經過名師詮釋後，變得淺顯易懂。讀完課文之後即可自我檢測，藉以測試學習成果，同時加深考點記憶、迅速瞭解考試題型及試題要點，逐步增加應考實力。◎最新試題與解析‧掌握命題趨勢書末收錄試題及解析，保證時效最新、解析最精、收錄最全，歷年試題的統整，利於掌握考試最新脈動與命題方向。本書將106～109年試題一網打盡，毫不保留，經過名師詳解，類似的題目再出個一百次，也不害怕！輕鬆學習、快速理解，掌握命題趨勢，必定能在考場所向披靡！作者的話計算機概論是一門包羅萬象的學科，從電腦內最基本的邏輯元件、數字系統、資料結構等，到整體的電腦軟體應用的程式設計、網路、資安等等。如此龐大範疇準備起來如無預先好好規劃時間的分配以掌握重點方向加強，必定難以爭取到最佳的分數。首先，觀察歷年來考題必定涵蓋的基本分數，此部分出題方向如下： 1.數字系統： bit、byte、KB、MB的應用計算、也包括 2進位、 10進位、 16進位的轉換，IEEE 754表示法等幾乎都是必考題目。 2. 硬體基本觀念，此部分包含記憶體階層的速度比較、記憶體元件的特性比較（RAM、ROM）、基本的邏輯元件運算（ AND、OR、NOT、XOR）、系統的中斷類型，電腦的周邊介面特性（USB、IEEE 1394、藍芽）。 3. 資料結構與演算法，基本的資料結構特性（Stack、Queue、List、Tree、Graph）、前序中序後序追蹤的轉換、搜尋與排序的基本演算法與速度比較。而程式設計部分須熟悉基本控制語法，尤其是迴圈的控制運算；另外，物件導向程式設計中的基本定義亦是常見的試題。 4. 網路與資訊安全，在網路部份對於基本的 IPv4與 IPv6比較，無線網路類型比較，子網路遮罩的計算與分割、 OSI與TCP/IP的分層與主要功用都是幾乎必出之考題。另外，資訊安全中對稱與非對稱加密、數位簽章、網路攻擊的類型、電腦病毒類型、資訊安全的基本定義亦是每年必出試題。除了基本分數一定要掌握外，掌握命題趨勢則是更上一層樓的關鍵。從今年題目來分析，可以發現目前主流的雲端運算亦影響出題方向，所以對於雲端運算的基本定義、服務類型等必須熟記，另外隨之而來的資料庫、資訊安全、網路等考題比重亦比往常提升。如今年在資訊安全相關題目比重較往常提升，另外除了基本的資安定義、攻擊類型外，今年亦有針對攻擊的細部運作與新型攻擊的類型涵蓋入考題中，因此除了以往認識資安的基本攻擊名詞外，未來這些攻擊的基本運作方式亦要特別留意。此外，連資安的認證規範（ ISO 27001、ISO 27002）亦開始出現在考題中，這部分是在準備資訊考科時基本教科書比較難涵蓋的範圍。因此，除了在基本教科書的熟讀外，亦要分配部分時間掌握目前資訊流行議題的方向，方能更上一層樓。
                    
"
