書名,書籍網站,作者,出版社,ISBN,圖片網址
Python,https://www.kingstone.com.tw//basic/203c109955447?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Andy,Vickler",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6331/9781955786331.jpg,9781955786331
Python,https://www.kingstone.com.tw//basic/203c109955446?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Andy,Vickler",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6324/9781955786324.jpg,9781955786324
Python Programming,https://www.kingstone.com.tw//basic/203c108525863?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Kim,Lim",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0571/9781803180571.jpg,9781803180571
Robust Python,https://www.kingstone.com.tw//basic/203c108291538?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Patrick,Viafore",O'Reilly Media,https://cdn.kingstone.com.tw/english/images/product/0667/9781098100667.jpg,9781098100667
Python Aplicado,https://www.kingstone.com.tw//basic/203c109322236?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Eugenia,Bahit",Blurb       ,https://cdn.kingstone.com.tw/english/images/product/0125/9781838190125.jpg,9781838190125
Python Programming,https://www.kingstone.com.tw//basic/203c108463420?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Tim,Matthes",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0388/9781803340388.jpg,9781803340388
Python Programming Crash Course,https://www.kingstone.com.tw//basic/203c109949060?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2242/9781803062242.jpg,9781803062242
Python Programming for Beginners,https://www.kingstone.com.tw//basic/203c109949059?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2204/9781803062204.jpg,9781803062204
Python for Data Analysis,https://www.kingstone.com.tw//basic/203c109191241?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Robert,Campbell",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2228/9781803062228.jpg,9781803062228
Make Python Talk,https://www.kingstone.com.tw//basic/203c109943762?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Mark,Liu",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/1560/9781718501560.jpg,9781718501560
Python Library,https://www.kingstone.com.tw//basic/203c108653863?zone=english&lid=search&actid=WISE&kw=Python&pi=0,Programming School,Ingram      ,https://cdn.kingstone.com.tw/english/images/product/5282/9781803125282.jpg,9781803125282
Python 3 Programming Made Easier,https://www.kingstone.com.tw//basic/203c109940971?zone=english&lid=search&actid=WISE&kw=Python&pi=0,Notion Press,Ingram      ,https://cdn.kingstone.com.tw/english/images/product/5112/9781639975112.jpg,9781639975112
Research Software Engineering with Python,https://www.kingstone.com.tw//basic/203c109115187?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Damien,Irving",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/8348/9780367698348.jpg,9780367698348
Python programming,https://www.kingstone.com.tw//basic/203c109957284?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Michail,K繹lling",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/1408/9781990151408.jpg,9781990151408
Python Programming,https://www.kingstone.com.tw//basic/203c108751581?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Stephen,Ward",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/1865/9781803351865.jpg,9781803351865
Data Science Projects with Python - Second Edition,https://www.kingstone.com.tw//basic/203c109268381?zone=english&lid=search&actid=WISE&kw=Python&pi=0,"Stephen,Klosterman",Packt       ,https://cdn.kingstone.com.tw/english/images/product/4480/9781800564480.jpg,9781800564480
